Entry ID,JP Entry Name,Retail Price in %,Order by Prio.,JP Order by ABC,Purchase Price,[ JP Descr. Pos.],[ JP Descr. Size],JP Descr. Str.
362,ブラックスポット,0,40,-5,0,0x2ce1fc,92,真っ黒な紙に、赤字で伝言が書かれている。\n「先日戦った空域にて待つ　　　死神のピアストル」
363,ブラックスポット,0,41,-4,0,0x2ce258,92,真っ黒な紙に、赤字で伝言が書かれている。\n「いつもの空域で待つ　　　　　死神のピアストル」
364,ブラックスポット,0,42,-3,0,0x0,0,""
365,ダミークリア,0,-1,-1,0,0x0,0,""
366,ダミークリア,0,-1,-1,0,0x0,0,""
367,ダミークリア,0,-1,-1,0,0x0,0,""
368,ダミークリア,0,-1,-1,0,0x0,0,""
369,ダミークリア,0,-1,-1,0,0x0,0,""
370,ダミークリア,0,-1,-1,0,0x0,0,""
371,ダミークリア,0,-1,-1,0,0x0,0,""
372,ダミークリア,0,-1,-1,0,0x0,0,""
373,ダミークリア,0,-1,-1,0,0x0,0,""
374,ダミークリア,0,-1,-1,0,0x0,0,""
375,ダミークリア,0,-1,-1,0,0x0,0,""
376,ダミークリア,0,-1,-1,0,0x0,0,""
377,ダミークリア,0,-1,-1,0,0x0,0,""
378,ダミークリア,0,-1,-1,0,0x0,0,""
379,ダミークリア,0,-1,-1,0,0x0,0,""
380,ダミークリア,0,-1,-1,0,0x0,0,""
381,ダミークリア,0,-1,-1,0,0x0,0,""
382,ダミークリア,0,-1,-1,0,0x0,0,""
383,ダミークリア,0,-1,-1,0,0x0,0,""
384,ダミークリア,0,-1,-1,0,0x0,0,""
385,ダミークリア,0,-1,-1,0,0x0,0,""
386,ダミークリア,0,-1,-1,0,0x0,0,""
387,ダミークリア,0,-1,-1,0,0x0,0,""
388,ダミークリア,0,-1,-1,0,0x0,0,""
389,ダミークリア,0,-1,-1,0,0x0,0,""
390,ダミークリア,0,-1,-1,0,0x0,0,""
391,ダミークリア,0,-1,-1,0,0x0,0,""
392,ダミークリア,0,-1,-1,0,0x0,0,""
393,ダミークリア,0,-1,-1,0,0x0,0,""
394,ダミークリア,0,-1,-1,0,0x0,0,""
395,ダミークリア,0,-1,-1,0,0x0,0,""
396,ダミークリア,0,-1,-1,0,0x0,0,""
397,ダミークリア,0,-1,-1,0,0x0,0,""
398,ダミークリア,0,-1,-1,0,0x0,0,""
399,ダミークリア,0,-1,-1,0,0x0,0,""
