Entry ID,[Filter],JP entry name,Width,Depth,Element ID,[Element name],Pad. #0,Pad. #1,Movement flags,Counter%,EXP,Gold,Pad. #2,Pad. #3,MAXHP,Unk. #0,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State #9,State #10,State #11,State #12,State #13,State #14,Unk. #1,Effect ID,[Effect name],State ID,[State name],State miss%,Pad. #4,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad. #5,Pad. #6,Item #0 prob.,Item #0 amount,Item #0 ID,[Item #0 name],Item #1 prob.,Item #1 amount,Item #1 ID,[Item #1 name],Item #2 prob.,Item #2 amount,Item #2 ID,[Item #2 name],Item #3 prob.,Item #3 amount,Item #3 ID,[Item #3 name]
11,*,フォカラルガ,3,3,2,Purple,-1,-1,0xfc7,15,285,193,-1,-1,417,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,122,64,15,68,221,194,194,80,5,-1,-1,2,1,279,混乱の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
12,*,ギジェリガー,1,1,0,Green,-1,-1,0xfcf,10,142,62,-1,-1,231,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,16,80,45,5,93,146,136,136,100,25,-1,-1,3,1,173,狩人の手甲,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,1,1,3,Blue,-1,-1,0xfff,10,65,35,-1,-1,149,18.0,11,9,11,10,9,10,16,15,15,15,16,14,0,10,14,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,12,64,36,15,69,135,108,108,100,20,-1,-1,2,1,183,シナナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
14,*,盗掘者シモン,1,1,1,Red,-1,-1,0xfc7,20,596,1898,-1,-1,1362,18.0,9,9,11,11,10,10,4,4,4,4,4,0,0,5,4,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,14,57,51,20,71,162,144,115,115,20,-1,-1,10,1,263,アジルの種,33,1,260,パワワの種,50,1,261,ウィルの種,100,1,262,ストレの種
14,ecinit014.dat,盗掘者,1,1,1,Red,-1,-1,0xfc5,25,210,4200,-1,-1,1206,18.0,10,9,11,10,10,10,10,5,10,5,5,10,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,14,14,14,25,86,152,129,129,120,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
15,*,ヌール,1,1,0,Green,-1,-1,0xfff,5,4,15,-1,-1,22,18.0,10,11,9,9,11,10,9,10,10,9,9,0,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,25,64,5,28,57,64,64,90,15,-1,-1,3,1,240,サプの葉,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
15,ecinit015.dat,ヌルコンドウ,1,1,0,Green,-1,-1,0xfff,10,1,10,-1,-1,31,18.0,9,10,10,10,10,11,9,9,10,11,11,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,3,3,10,26,48,56,56,90,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
16,*,モクズ,1,1,2,Purple,-1,-1,0xfff,10,301,72,-1,-1,99,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,400,70,Add Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,256,204,256,75,10,-1,-1,1,1,190,キ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
17,*,ツィツィ,1,1,2,Purple,-1,-1,0xfcf,15,21,21,-1,-1,53,18.0,11,14,7,9,10,10,16,15,15,14,14,15,0,10,15,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,40,126,15,60,88,76,76,90,20,-1,-1,1,1,269,氷の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
18,*,セベスク,1,1,3,Blue,-1,-1,0xfff,10,26,30,-1,-1,133,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,7,35,29,10,39,99,88,88,85,25,-1,-1,3,1,168,セベスクのうろこ,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
18,ecinit018.dat,セベスク,1,1,3,Blue,-1,-1,0xfcd,15,4,40,-1,-1,71,18.0,10,10,10,9,11,10,9,9,10,11,11,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,7,7,7,10,35,88,79,79,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
19,*,ユールマラー,1,1,2,Purple,-1,-1,0xfc5,25,49,44,-1,-1,182,18.0,14,14,7,7,10,10,22,20,20,18,18,0,0,10,22,10,10,10,10,10,10,500,71,Add Silence + Damage,5,Silence,40,-1,7,36,30,25,45,97,115,69,95,15,-1,-1,5,1,187,ダマンナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
19,ecinit019.dat,ユールマラー,1,1,2,Purple,-1,-1,0xfc5,10,8,80,-1,-1,109,18.0,10,11,9,10,10,10,9,9,10,11,11,0,0,10,10,10,10,10,10,10,10,10,71,Add Silence + Damage,5,Silence,90,-1,13,13,13,15,54,143,176,176,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
20,*,イルドゥス,1,1,3,Blue,-1,-1,0xfc7,15,259,645,-1,-1,187,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,10,18,10,10,10,10,10,10,500,69,Add Sleep + Damage,3,Sleep,40,-1,23,86,57,10,97,206,194,151,85,160,-1,-1,5,1,8,ダカットの秘剣,5,1,69,ダカットカスタム,1,1,258,月の実,-1,-1,-1,None
21,*,ベルクロード,1,1,0,Green,-1,-1,0xfc7,20,228,155,-1,-1,217,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,115,72,10,116,221,216,216,105,20,-1,-1,4,1,136,フレアコート,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
22,*,ベルハウンド,1,1,0,Green,-1,-1,0xfc7,20,291,109,-1,-1,321,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,20,97,64,10,103,197,192,192,105,20,-1,-1,3,1,134,フリルのスカート,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
23,*,ガトー,1,1,0,Green,-1,-1,0xfc7,15,34,33,-1,-1,112,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,50,23,15,63,95,70,70,110,30,-1,-1,3,1,172,ガトーのツメ,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
24,*,デシェレト,1,1,1,Red,-1,-1,0x7c0,5,120,118,-1,-1,291,18.0,9,7,14,11,10,10,0,10,10,11,11,0,0,5,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,14,57,57,5,38,168,172,172,85,0,-1,-1,8,1,267,炎の小箱,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
25,*,イアールト,1,1,1,Red,-1,-1,0xfc7,10,90,47,-1,-1,136,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,14,74,48,5,45,152,144,144,90,5,-1,-1,2,1,133,炎の赤フン,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
26,*,パラミス,1,1,1,Red,-1,-1,0xfc7,20,143,96,-1,-1,120,18.0,9,7,14,11,10,10,9,10,10,11,11,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,64,15,126,191,194,194,100,20,-1,-1,1,1,268,爆炎の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
27,*,コロガス,1,1,3,Blue,-1,-1,0xff5,10,102,68,-1,-1,111,18.0,11,9,11,10,9,10,22,20,20,20,22,0,0,10,18,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,13,70,44,10,63,130,133,133,90,15,-1,-1,3,1,189,ヘコマナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
28,*,マータ,1,1,0,Green,-1,-1,0xfc5,15,167,90,-1,-1,503,18.0,10,11,9,9,11,10,18,20,0,18,18,0,0,10,22,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,13,56,38,15,50,163,147,84,75,5,-1,-1,5,1,27,呪いの投刃,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
29,*,エルモ,1,1,5,Silver,-1,-1,0xfff,15,11,105,-1,-1,15,18.0,10,10,10,10,11,9,10,9,10,10,10,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,32,44,10,40,62,64,204,110,150,-1,-1,2,1,174,エルモのわっか,1,1,263,アジルの種,1,1,258,月の実,-1,-1,-1,None
30,*,エルモック,1,1,1,Red,-1,-1,0xfff,5,343,434,-1,-1,62,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,13,68,95,10,85,132,136,435,110,150,-1,-1,4,1,210,ブラックマップ,1,1,263,アジルの種,1,1,258,月の実,-1,-1,-1,None
31,*,ヘムヘム,1,1,3,Blue,-1,-1,0xffd,10,291,71,-1,-1,177,18.0,11,9,11,10,9,10,20,20,20,0,20,0,0,10,20,10,10,10,10,10,10,500,69,Add Sleep + Damage,3,Sleep,50,-1,27,100,50,5,113,216,151,151,80,20,-1,-1,2,1,185,ネーナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
32,*,調査兵,1,1,4,Yellow,-1,-1,0xfc7,10,368,192,-1,-1,688,18.0,9,10,10,11,9,11,9,11,10,11,10,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,22,83,71,10,93,226,218,208,95,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
33,*,ガランガラン,3,3,0,Green,-1,-1,0xfc7,20,357,144,-1,-1,1117,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,1000,72,Add Fatigue + Damage,6,Fatigue,40,-1,18,84,59,15,71,205,149,149,85,10,-1,-1,4,1,244,Ж樹の玉,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
34,*,マブルール,1,1,0,Green,-1,-1,0xfcf,10,29,24,-1,-1,73,18.0,10,11,9,9,11,10,0,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,4,Add Poison + Damage,0,Poison,80,-1,8,48,32,15,34,96,96,96,75,30,-1,-1,2,1,182,ケガレナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
35,*,クチュ,1,1,1,Red,-1,-1,0xff7,5,219,81,-1,-1,337,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,550,-1,None,0,Poison,0,-1,20,77,64,5,86,179,192,192,85,10,-1,-1,1,1,275,回復の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
36,*,ソピローテ,1,1,0,Green,-1,-1,0xfcf,15,201,86,-1,-1,297,18.0,10,11,9,9,11,10,14,15,15,14,14,0,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,16,65,60,20,81,164,180,180,95,15,-1,-1,2,1,132,トロピカシャツ,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
37,*,シーサー,1,1,0,Green,-1,-1,0xfc7,15,470,133,-1,-1,355,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,63,15,171,259,190,190,110,30,-1,-1,1,1,264,スピィの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
38,*,レジボン,3,3,2,Purple,-1,-1,0xff7,25,953,291,-1,-1,2433,18.0,11,14,7,9,10,10,0,5,5,20,3,0,0,10,5,10,10,10,10,10,10,2500,70,Add Confusion + Damage,4,Confusion,40,-1,20,76,96,15,60,243,192,192,85,5,-1,-1,10,1,186,マドワナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
39,*,ミラドール,1,1,0,Green,-1,-1,0xfcf,30,191,109,-1,-1,185,18.0,10,11,9,9,11,10,0,10,0,9,9,0,0,10,11,10,10,10,10,10,10,500,8,Add Stone + Damage,2,Stone,80,-1,20,76,76,30,95,216,230,230,120,10,-1,-1,2,1,184,カタマンナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
40,*,ラフレシア,3,3,3,Blue,-1,-1,0xfcf,10,594,231,-1,-1,1117,18.0,11,9,11,10,9,10,11,10,10,0,11,0,0,10,9,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,19,73,55,10,74,223,165,165,80,5,-1,-1,2,1,262,ストレの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
41,*,エルモンテ,1,1,0,Green,-1,-1,0xfff,5,581,599,-1,-1,76,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,17,84,117,10,105,164,168,537,110,150,-1,-1,4,1,210,ブラックマップ,1,1,263,アジルの種,1,1,258,月の実,-1,-1,-1,None
42,*,フードン,1,1,0,Green,-1,-1,0xfff,5,9,129,-1,-1,40,18.0,10,20,5,5,20,10,100,100,100,100,100,0,0,10,100,10,10,10,10,10,10,520,-1,None,0,Poison,0,-1,23,86,64,10,106,180,194,194,85,20,-1,-1,100,1,358,フードンの肉,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
43,*,フィモソマ,1,1,3,Blue,-1,-1,0x7c0,5,627,177,-1,-1,501,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,108,81,5,146,244,244,244,80,0,-1,-1,1,1,272,竜巻の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
44,*,プジョット,1,1,0,Green,-1,-1,0xfcf,10,386,117,-1,-1,358,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,27,124,70,5,145,227,210,210,100,25,-1,-1,1,1,281,睡眠の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
45,*,モペール,1,1,2,Purple,-1,-1,0xfff,10,301,72,-1,-1,345,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,400,70,Add Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,288,204,256,75,10,-1,-1,1,1,222,キキヤス石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
46,*,メスカリナ,1,1,3,Blue,-1,-1,0xfff,15,613,132,-1,-1,519,18.0,11,9,11,10,9,10,0,10,10,10,11,10,0,10,9,10,10,10,10,10,10,500,4,Add Poison + Damage,0,Poison,80,-1,33,159,59,10,146,282,177,177,80,25,-1,-1,2,1,182,ケガレナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
47,*,プラニナ,1,1,0,Green,-1,-1,0xfc7,10,130,42,-1,-1,118,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,18,88,58,15,63,176,176,176,75,30,-1,-1,2,1,250,ライ雑草,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
48,*,デ式ディガー,1,1,4,Yellow,-1,-1,0xfc5,15,149,110,-1,-1,353,18.0,9,10,10,11,9,11,0,11,10,11,10,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,18,70,61,10,71,164,211,158,95,15,-1,-1,1,1,50,モーニングスター,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
49,*,レナウト,1,1,2,Purple,-1,-1,0xffd,5,331,98,-1,-1,247,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,72,Add Fatigue + Damage,6,Fatigue,70,-1,28,128,68,15,149,234,204,204,85,40,-1,-1,2,1,135,ゴーストの服,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
50,*,ブブロッカ,1,1,3,Blue,-1,-1,0xfff,5,285,193,-1,-1,244,18.0,20,5,20,10,5,10,20,20,20,20,20,0,0,20,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,19,20,68,188,280,108,80,5,-1,-1,5,1,171,ブブロッカの甲羅,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
51,*,アイガムハ,3,3,2,Purple,-1,-1,0xfcf,25,1122,278,-1,-1,1381,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,27,155,104,10,100,314,272,248,80,5,-1,-1,2,1,266,コジポの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
52,*,ニウニウ,1,1,3,Blue,-1,-1,0xffd,5,471,100,-1,-1,217,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,296,212,212,80,5,-1,-1,1,1,261,ウィルの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
53,*,ニャカラガ,1,1,3,Blue,-1,-1,0xffd,5,471,100,-1,-1,433,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,312,212,212,80,5,-1,-1,1,1,263,アジルの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
54,*,カネヅル,1,1,0,Green,-1,-1,0xfff,5,173,1000,-1,-1,325,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,108,51,5,136,216,259,518,120,120,-1,-1,2,1,291,黄金の花粉,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
55,*,メメゾーレ,3,3,0,Green,-1,-1,0xfc7,20,940,266,-1,-1,1722,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,1000,72,Add Fatigue + Damage,6,Fatigue,40,-1,30,137,92,15,110,317,231,231,85,10,-1,-1,2,1,262,ストレの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
56,*,ヒュドラ煌兵,1,1,4,Yellow,-1,-1,0xff5,5,682,247,-1,-1,809,18.0,9,10,10,11,9,11,9,11,10,11,10,11,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,38,352,123,5,166,302,268,470,70,25,-1,-1,1,1,280,脱力の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
57,*,イラブ,1,1,1,Red,-1,-1,0xfc7,10,342,78,-1,-1,227,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,137,90,5,85,287,272,272,90,5,-1,-1,2,1,138,藍染のローブ,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
58,*,ゴーヤエルモ,1,1,3,Blue,-1,-1,0xfff,5,1139,789,-1,-1,82,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,190,10,171,265,272,870,110,150,-1,-1,4,1,210,ブラックマップ,1,1,263,アジルの種,1,1,258,月の実,-1,-1,-1,None
59,*,ナマトヌカ,3,3,3,Blue,-1,-1,0x7c0,25,1025,444,-1,-1,1162,18.0,11,9,11,10,9,10,0,10,0,10,11,0,0,10,0,10,10,10,10,10,10,1500,8,Add Stone + Damage,2,Stone,20,-1,30,108,104,20,73,296,353,272,120,0,-1,-1,5,1,184,カタマンナ石,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
60,*,モノノフ,1,1,3,Blue,-1,-1,0xfc5,20,545,225,-1,-1,883,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,31,112,84,25,138,295,280,224,110,10,-1,-1,1,1,246,ガツガツのキノコ,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
61,*,ヴィヒム,1,1,0,Green,-1,-1,0xfc7,10,451,109,-1,-1,257,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,28,128,85,15,92,256,256,256,75,30,-1,-1,1,1,282,即死の玉手箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
