Entry ID,JP entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Purchase price,Retail price in %,Order by prio.,JP order by ABC,Padding,[JP descr. pos.],[JP descr. size],JP descr. str.
464,重装甲板,62,X,X,X,X,X,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,6700,50,24,24,0,2946828,80,通常の３倍の厚みをもった装甲板。\n重いが剛性の高い素材を用い、防御力を上げる。
465,特殊鋼装甲板,62,X,X,X,X,X,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,25,25,0,2946908,92,月Ж石を混合した金属で作り上げた装甲板。\n見た目以上に性能はよく、効率的に防御力を上げる。
466,龍の装甲板,62,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,7900,50,26,26,0,2947000,84,ヤフトマーの職人が魂を込めてつくった装甲板。\nていねいな作りで美しく、防御力も高い。
467,古の装甲板,62,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,8500,50,27,27,0,2947084,92,古くから伝わる謎の金属を装甲板にしたもの。\n貴重なのでなかなか手に入らない。防御力を上げる。
468,銀の装甲板,62,X,X,X,X,X,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,11000,50,28,28,0,2947176,84,純度の高い月Ж石を散りばめた装甲板。\n豊富なエネルギーで力場を作り防御力を上げる。
469,きらめく装甲板,62,X,X,X,X,X,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,13500,50,29,29,0,2947260,88,６色の月Ж石を散りばめた装甲板。美しい輝きを放ち\n月Жエネルギーの力場で防御力を上げる。
470,カラオケセット,62,X,X,X,X,X,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,30,30,0,2947348,76,船内でお祭り騒ぎができる。\n長旅も気にならないが、アイカはマイクを離さない。
471,システムキッチン,62,X,X,X,X,X,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,5500,50,31,31,0,2947424,96,きれいに整っているので料理の失敗が少なくなる。\n毎晩、おいしい食事が楽しめる。後片付けも簡単。
472,床暖房,62,X,X,X,X,X,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,3000,50,32,32,0,2947520,80,エンジンの廃熱を利用し、室内の温度を上げる。\n冷え性を予防する。女性に大人気。
473,空気清浄器,62,X,X,X,X,X,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,5800,50,33,33,0,2947600,88,汚れがちな艦内の空気をきれいにする。\nすがすがしい気持ちで航海ができ男くささも取れる。
474,床の間,62,X,X,X,X,X,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,6700,50,34,34,0,2947688,92,ヤフトマーの独特な雰囲気で気分が落ち着く。\n精神集中を行う事ができ、意外なひらめきも浮かぶ。
475,防音壁,62,X,X,X,X,X,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,11000,50,35,35,0,2947780,84,室内にうるさいエンジン音が響かなくなる。\n安眠が約束され、旅の疲れもきれいに取れる。
476,高価な蛇輪,62,X,X,X,X,X,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,8500,50,36,36,0,2947864,92,バルアの人間工学に基づいた特別注文の舵。\n舵輪は手にしっくりとなじみ、長旅でも疲れにくい。
477,シャンデリア,62,X,X,X,X,X,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,9300,50,37,37,0,2947956,84,バルア貴族に愛用されている豪華な照明。\n殺風景な船内を照らしだし、気分も明るくなる。
478,くまの置物,62,X,X,X,X,X,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,38,38,0,2948040,68,くまの形をした木彫りの人形。\n素朴でかわいい。ファイナのお気に入り。
479,観葉植物,62,X,X,X,X,X,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,10100,50,39,39,0,2948108,76,室内に置く鑑賞用の植物。\n心が落ち着き、空気もおいしくおいしく感じされる。
