Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad 1,Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 2,Trait Value,Buy,Sell%,EU Order 1,EU Order 2,Pad 3,[GB Descr Str]
413,0x802d5630,"8"" Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,100,82,2,3,-1,None,0,0,2100,50,13,9,0,"A secondary cannon for the Little Jack.
A modified version of the Main Cannon."
414,0x802d563c,"12"" Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,170,77,2,4,-1,None,0,0,3500,50,14,3,0,"A high-caliber secondary cannon developed for
warships."
415,0x802d5648,"10"" Cannon",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,200,82,3,4,-1,None,0,0,3640,50,15,0,0,"The first 10 Inch secondary cannon, developed
by the Nasrean Navy."
416,0x802d5654,"10"" Cannon Coil",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,220,89,3,4,-1,None,0,0,3710,50,16,1,0,"A 10 inch secondary cannon with a reinforced
barrel that helps to absorb shock."
417,0x802d5664,"12"" Blaster",0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,250,85,2,5,-1,None,0,0,3850,50,17,2,0,"A high-caliber secondary cannon, only used
on larger ships."
418,0x802d5670,3'Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,280,87,3,6,-1,None,0,0,4690,50,18,4,0,"A secondary cannon developed in Yafutoma,
inspired by cylindrical plants."
419,0x802d567c,5'Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,0,330,90,2,6,-1,None,0,0,5110,50,19,7,0,"A secondary cannon used by the Yafutoman Navy.
It is a short-range, high-powered cannon."
420,0x802d5688,Light Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,120,60,2,3,-1,None,0,0,1520,50,20,25,0,"A light torpedo, well-suited for smaller ships.
After launch, it attacks its target from above."
421,0x802d5698,Guided Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,120,70,2,2,-1,None,0,0,1760,50,21,19,0,"A torpedo equippable by the Little Jack. Has the
highest chance to hit out of all the torpedos."
422,0x802d56a8,Shock Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,0,160,55,2,3,-1,None,0,0,2000,50,22,34,0,"A torpedo equippable by the Little Jack.
After launch, it charges its target from above."
423,0x802d56b8,Hunter Torpedo,0b00110000,X,X,"","","",2,Torpedo,0,Green,0,160,60,3,3,-1,None,0,0,2240,50,23,23,0,"A torpedo equippable by the Little Jack. Has
greater range than standard torpedos."
424,0x802d56c8,Valuan Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,220,60,2,3,-1,None,0,0,2400,50,24,36,0,"A torpedo used by Valua against the Nasrean Navy
during the Valua-Nasr War."
425,0x802d56d8,Heavy Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,250,50,3,4,-1,None,0,0,4400,50,25,22,0,"A large torpedo with the same firepower as a
main cannon, but has lower accuracy."
426,0x802d56e8,Serpent Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,300,65,2,4,-1,None,0,0,5360,50,26,33,0,"A medium-sized torpedo that goes after a target
like a snake. Short range, but very powerful."
427,0x802d56f8,Flash Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,350,70,3,5,-1,None,0,0,6320,50,27,17,0,"A small torpedo that packs a big punch. Has long
range and good firepower."
428,0x802d5708,Arcwhale Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,400,70,3,6,-1,None,0,0,6800,50,28,12,0,"A torpedo with both good range and destructive
power. But, uses a high level of Spirit."
429,0x802d571c,Dragon Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,450,60,2,7,-1,None,0,0,8800,50,29,15,0,"A torpedo that emphasizes firepower more than
range. Does a great deal of damage when it hits."
430,0x802d572c,Harpoon Cannon,0b00100000,X,"","","","",3,Special,6,Neutral,0,350,65535,0,15,-1,None,0,0,0,0,30,20,0,"The Little Jack's ultimate weapon. It was
acquired to destroy Rhaknam."
431,0x802d573c,MoonStone Cannon,0b00001110,"","",X,X,X,3,Special,6,Neutral,0,800,65535,0,20,-1,None,0,0,0,0,31,30,0,"The ultimate weapon of the Delphinus. Builds up
Moon energy and releases it in a massive blast."
432,0x802d5750,Moon Cannon,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,0,500,99,0,9,-1,None,0,0,1000,100,32,27,0,"A main cannon that uses both Moonstone energy
and gunpowder to fire."
433,0x802d575c,Moon Gun,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,0,400,99,3,5,-1,None,0,0,1000,100,33,28,0,"A secondary cannon relies on Moonstone energy
instead of draining Spirit."
434,0x802d5768,Moon Torpedo,0b00111110,X,X,X,X,X,2,Torpedo,6,Neutral,0,600,75,3,3,-1,None,0,0,1000,100,34,29,0,"A torpedo that uses Moonstone energy to keep
Spirit consumption low."
435,0x802d5778,Pyril Cannon,0b00001110,"","",X,X,X,0,Main Cannon,1,Red,0,200,120,0,6,-1,None,0,0,13200,50,35,32,0,"A rotating cannon designed for battleships.
Has Red properties, and high accuracy."
436,0x802d5788,Wevl Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,3,Blue,0,180,120,3,4,-1,None,0,0,10200,50,36,37,0,"A secondary cannon designed for battleships.
Has Blue properties, and high accuracy."
437,0x802d5794,Electril Torpedo,0b00001110,"","",X,X,X,2,Torpedo,4,Yellow,0,500,50,3,2,-1,None,0,0,1000,50,37,16,0,"A torpedo designed for large warships. Has
Yellow properties, and great firepower."
438,0x802d57a8,Crystil Cannon,0b00001110,"","",X,X,X,0,Main Cannon,2,Purple,0,550,60,0,4,-1,None,0,0,1000,50,38,14,0,"Made of a special alloy for added durability.
Has Purple properties, and great firepower."
439,0x802d57b8,Kazai Gun,0b00110000,X,X,"","","",1,Sec Cannon,3,Blue,0,50,99,2,5,-1,None,0,0,1000,50,39,24,0,"Contains a tower bar to absorb the shock of
firing. Has Blue properties, and high accuracy."
