Entry ID,EU SOT Pos,[Entry GB Name],Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad 1,Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 2,Pad 3
12,0x802b0e5c,Death Strike,0,S-Move,68,Unconscious + Damage B,1,Single PC,0,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,70,0,0
13,0x8034c0b8,Charge,0,S-Move,-1,None,5,Self,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
14,0x802b0e6c,Poison Gas,0,S-Move,4,Poison + Damage,96,PC Square S3,0,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
15,0x802b0e78,Stone Breath,0,S-Move,8,Stone + Damage,1,Single PC,0,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,60,0,0
16,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
17,0x802b0e88,Random Fire,0,S-Move,0,Damage,98,PC Square S7,0,16,Attack,25,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
18,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
19,0x802b0e94,Counter Stance,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
20,0x802b0ea4,Gather Strength,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
21,0x802b0e94,Counter Stance,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
22,0x8034c0c0,Burst,0,S-Move,0,Damage,97,PC Square S5,0,16,Attack,40,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
23,0x802b0eb4,Terminal,0,S-Move,0,Damage,1,Single PC,0,16,Attack,55,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
24,0x802b0ec0,Devolver,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
25,0x802b0ecc,Poisonous Bile,0,S-Move,4,Poison + Damage,2,All PCs,0,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
26,0x802b0edc,Death Blossom,0,S-Move,0,Damage,201,PCs Nearby S1,0,16,Attack,20,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
27,0x802b0eec,Cannon Fire,0,S-Move,0,Damage,1,Single PC,0,16,Attack,50,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
28,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,27,Oestrus,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
29,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,31,Tsurak,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
30,0x802b0f04,Wheel Blast,0,S-Move,0,Damage,97,PC Square S5,0,16,Attack,35,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
31,0x802b0f10,Laser Blast,0,S-Move,8,Stone + Damage,1,Single PC,0,16,Attack,5,6,Neutral,0,Physical,16,Attack,17,Defense,2,Stone,20,0,0
32,0x802b0f1c,Crypt Laser,0,S-Move,68,Unconscious + Damage B,1,Single PC,0,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,60,0,0
33,0x802b0f28,Death Laser,0,S-Move,68,Unconscious + Damage B,1,Single PC,0,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,60,0,0
34,0x802b0f34,Assess Damage,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
35,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
36,0x802b0f44,Steelskin,0,S-Move,67,Invulnerable,5,Self,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
37,0x8034c0c8,Focus,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
38,0x802b0f50,Eternal Freeze,0,S-Move,0,Damage,2,All PCs,0,16,Attack,12,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
39,0x802b0f60,Lightning Strike,0,S-Move,0,Damage,1,Single PC,0,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
40,0x802b0f74,Terrible Bite,0,S-Move,72,Fatigue + Damage,1,Single PC,0,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
41,0x802b0f84,Deep Sleep,0,S-Move,63,Regenerate + Sleep,5,Self,0,400,HP,65280,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
42,0x802b0f90,Avalauncher,0,S-Move,0,Damage,102,PC Ray S5,0,16,Attack,35,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
43,0x802b0f9c,Silver Eclipse,0,S-Move,0,Damage,2,All PCs,0,16,Attack,25,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
44,0x8034c0d0,Drain,0,S-Move,26,Decr All Attr,1,Single PC,0,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,8,Weak,0,0,0
45,0x802b0fac,Turn Recovery,0,S-Move,33,Regenerate,5,Self,0,0,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
46,0x802b0fbc,Destruction,0,S-Move,17,Rem Pos States + Damage,2,All PCs,0,16,Attack,10,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
47,0x8034c0d8,Tremble,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
48,0x802b0fc8,Silver Tundra,0,S-Move,0,Damage,1,Single PC,0,16,Attack,50,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
49,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,54,Kanezl,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
50,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,85,Imezl,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
51,0x8034c0e0,Explore,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
52,0x802b0fd8,Stone Ooze,0,S-Move,7,Stone,1,Single PC,0,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,40,0,0
53,0x802b0fe4,Tundra Blast,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
54,0x802b0ff4,Death Waltz,0,S-Move,0,Damage,2,All PCs,0,16,Attack,40,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
55,0x8034c0e8,Engage,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
56,0x802b1000,Thunder Storm,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
57,0x802b1010,Eerie Wail,0,S-Move,0,Damage,107,PC Triangle 60°,0,16,Attack,15,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
58,0x802b0f34,Assess Damage,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
59,0x802b0ff4,Death Waltz,0,S-Move,0,Damage,2,All PCs,0,16,Attack,40,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
60,0x802b101c,Vigoro's Charm,0,S-Move,70,Confusion + Damage,1,Single PC,0,16,Attack,5,1,Red,0,Physical,16,Attack,17,Defense,4,Confusion,0,0,0
61,0x802b0f10,Laser Blast,0,S-Move,8,Stone + Damage,1,Single PC,0,16,Attack,20,5,Silver,0,Physical,16,Attack,17,Defense,2,Stone,50,0,0
62,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,12,Varkris,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
63,0x8034c0f0,Digest,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
64,0x802b0f74,Terrible Bite,0,S-Move,72,Fatigue + Damage,1,Single PC,0,16,Attack,15,2,Purple,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
65,0x8034c0f8,Neglora,0,S-Move,17,Rem Pos States + Damage,2,All PCs,0,16,Attack,5,-1,None,-1,None,-1,None,-1,None,-1,None,-1,0,0
66,0x802b102c,Ice Storm,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
67,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,60,Mereo,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
68,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,84,Kilite,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
69,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,107,Jynnus,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
70,0x8034c100,Grenade,0,S-Move,0,Damage,96,PC Square S3,0,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
71,0x802b0e6c,Poison Gas,0,S-Move,4,Poison + Damage,96,PC Square S3,0,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
72,0x802b1038,Sacrum Crystal,0,S-Move,31,Recover HP,4,All ECs,0,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
73,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,97,Razorbeak,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
74,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,75,Eversor,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
75,0x802b1048,Discharge,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
76,0x802b1054,Tatatimorutto,0,S-Move,0,Damage,1,Single PC,0,16,Attack,40,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
77,0x802b1064,Round Claw,0,S-Move,0,Damage,1,Single PC,0,16,Attack,40,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
78,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,93,Scarabée,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
79,0x802b1070,Sacri Crystal,0,S-Move,31,Recover HP,3,Single EC,0,500,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
80,0x802b1080,Sacres Crystal,0,S-Move,31,Recover HP,3,Single EC,0,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
81,0x802b1090,Sacrulen Crystal,0,S-Move,31,Recover HP,4,All ECs,0,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
82,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,92,Langry,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
83,0x802b10a4,Silver Nightmare,0,S-Move,74,Control PC,1,Single PC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
84,0x802b10b8,Silver Binds,0,S-Move,0,Damage,1,Single PC,0,16,Attack,50,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
85,0x802b0fac,Turn Recovery,0,S-Move,33,Regenerate,5,Self,0,0,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
86,0x802b0fbc,Destruction,0,S-Move,17,Rem Pos States + Damage,2,All PCs,0,16,Attack,25,-1,None,-1,None,-1,None,-1,None,-1,None,-1,0,0
87,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,44,Iridzu,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
88,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,21,Feralisk,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
89,0x802b0ef8,Call Allies,0,S-Move,43,Call EC,0,None,0,22,Ferlith,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
90,0x802b0f9c,Silver Eclipse,0,S-Move,0,Damage,2,All PCs,0,16,Attack,25,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
91,0x802b10c8,Not Used,0,S-Move,8,Stone + Damage,1,Single PC,0,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,70,0,0
92,0x802b10dc,Fatigue Breath,0,S-Move,72,Fatigue + Damage,1,Single PC,0,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
93,0x802b10dc,Fatigue Breath,0,S-Move,72,Fatigue + Damage,1,Single PC,0,16,Attack,15,1,Red,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
94,0x802b10ec,Lunar Blessing,0,S-Move,33,Regenerate,5,Self,0,600,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
95,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
96,0x8034c0a0,KETSUBAN,0,S-Move,0,Damage,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
97,0x802b10fc,Emergency,0,S-Move,64,Call EC + Defeat All ECs,0,None,0,99,Kantor,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
98,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
99,0x8034c110,Blaster,0,S-Move,0,Damage,101,PC Ray S3,0,16,Attack,25,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
100,0x8034c118,Magic?,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
101,0x802b1108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
102,0x802b1108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
103,0x802b1108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
104,0x802b1108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
105,0x802b1108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
106,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
107,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
108,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
109,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
110,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
111,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
112,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
113,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
114,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
115,0x802b0ef8,Call Allies,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
116,0x802b1118,Power Potion,0,S-Move,21,Incr Attack & Defense,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
117,0x802b1128,Speed Potion,0,S-Move,20,Incr Quick,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
118,0x802b1080,Sacres Crystal,0,S-Move,31,Recover HP,3,Single EC,0,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
119,0x802b1138,Death Tackle,0,S-Move,0,Damage,102,PC Ray S5,0,16,Attack,40,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
120,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
121,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
122,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
123,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
124,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
125,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
126,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
127,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
128,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
129,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
130,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
131,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
132,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
133,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
134,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
135,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
136,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
137,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
138,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
139,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
140,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
141,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
142,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
143,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
144,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
145,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
146,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
147,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
148,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
149,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
150,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
151,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
152,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
153,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
154,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
155,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
156,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
157,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
158,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
159,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
160,0x8034c120,Search,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
161,0x802b0e6c,Poison Gas,0,S-Move,4,Poison + Damage,96,PC Square S3,0,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
162,0x802b1148,Fatigue Gas,0,S-Move,72,Fatigue + Damage,96,PC Square S3,0,16,Attack,15,4,Yellow,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
163,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
164,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
165,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
166,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
167,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
168,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
169,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
170,0x802b1154,Needle Storm,0,S-Move,0,Damage,1,Single PC,0,16,Attack,40,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
171,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
172,0x8034c108,DUMMY,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
