Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Pad 1,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,Buy,Sell%,EU Order 1,EU Order 2,Pad 6,[GB Descr Str]
450,0x802d5860,Engine Cover,0b00111110,X,X,X,X,X,0,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,800,50,10,12,0,"Protects the ship's engine from getting dirty,
and increases the ship's Quick."
451,0x802d5870,Turbo Kit,0b00111110,X,X,X,X,X,0,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,1520,50,11,34,0,"Ship Modification, that increases the Moon Stone
power output, increasing the ship's Quick."
452,0x802d587c,Bore-up Kit,0b00111110,X,X,X,X,X,0,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,2400,50,12,7,0,"A kit that increases engine size for greater
power and exhaust, increasing ship's Quick."
453,0x802d5888,Twin Propellers,0b00111110,X,X,X,X,X,0,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,3200,50,13,35,0,"An additional propeller that increases the
ship's Quick."
454,0x802d5898,Air Intake,0b00111110,X,X,X,X,X,0,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,6800,50,14,0,0,"Sends clean air into the engine, stabilizing
fuel consumption and increasing ship speed."
455,0x802d58a4,Twin Turbo,0b00111110,X,X,X,X,X,0,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,8800,50,15,36,0,"A compound turbo kit that modifies the engine
and increases the ship's Quick."
456,0x802d58b0,Timing Valve,0b00111110,X,X,X,X,X,0,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,10800,50,16,32,0,"Standardizes valve timing to stabilize engine
exhaust, increasing ship's Quick."
457,0x802d58c0,Triple Turbo,0b00111110,X,X,X,X,X,0,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,12800,50,17,33,0,"A triple turbo kit for maximum engine power, for
a speed boost even greater than the Twin Turbo."
458,0x802d58d0,High Torque Kit,0b00111110,X,X,X,X,X,0,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,14800,50,18,19,0,"Raises durability for greater power through
higher RPM's, increasing ship speed."
459,0x802d58e0,Double Shaft,0b00111110,X,X,X,X,X,0,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,16640,50,19,10,0,"Splits the engine into two independent stages,
doubling power output and increasing ship speed."
460,0x802d58f0,Armored Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,20,5,0,"A standard armored deck, commonly available.
Improves ship Defense."
461,0x802d5900,Steel Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,1900,50,21,31,0,"A deck armored with multiple layers of steel.
Has high defensive power."
462,0x802d590c,Slanted Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2200,50,22,27,0,"Deflects projectiles with slanted plates atop
a standard armored deck. Improves ship Defense."
463,0x802d591c,Compound Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,5500,50,23,9,0,"A deck armored with layers of different steels.
Has high defensive power."
464,0x802d592c,Heavy Armor Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,6700,50,24,18,0,"A deck with armor three times as thick as the
standard weight. Improves ship Defense."
465,0x802d5940,Alloy Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,25,2,0,"A deck armored with an alloy including Moon
Stone dust. Improves ship Defense."
466,0x802d594c,Dragon Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,7900,50,26,11,0,"An armored deck created by Yafutoman craftsmen.
Beautiful and greatly improves ship Defenses."
467,0x802d5958,Ancient Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,8500,50,27,3,0,"A deck armored with a rare, mysterious metal
from ancient times. Improves ship Defense."
468,0x802d5968,Silver Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,11000,50,28,26,0,"An armored deck supplemented with high grade
Moonstones. Their power improves ship Defense."
469,0x802d5974,Sparkling Deck,0b00111110,X,X,X,X,X,0,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,13500,50,29,29,0,"An armored deck studded with Moonstones of 6
different colors. Improves ship Defense."
470,0x802d5984,Intercom,0b00111110,X,X,X,X,X,0,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,30,21,0,"A system for communicating between decks. 
Good luck keeping Aika from abusing it."
471,0x802d5990,Enhanced Kitchen,0b00111110,X,X,X,X,X,0,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,5500,50,31,13,0,"State-of-the-art cooking facilities for great-
tasting dinners every night."
472,0x802d59a4,Floor Heater,0b00111110,X,X,X,X,X,0,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,3000,50,32,15,0,"Takes advantage of engine heat to keep
living quarters nice and comfortable."
473,0x802d59b4,Air Purifier,0b00111110,X,X,X,X,X,0,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,5800,50,33,1,0,"Purifies the air below decks to keep everything
smelling clean and fresh, not sweaty."
474,0x802d59c4,Yafutoman Alcove,0b00111110,X,X,X,X,X,0,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,6700,50,34,39,0,"A bit of Yafutoman culture to help calm the mind
and soothe the soul."
475,0x802d59d8,Soundproofing,0b00111110,X,X,X,X,X,0,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,11000,50,35,28,0,"Blocks annoying engine noise for a better
night's sleep, reducing fatigue on long trips."
476,0x802d59e8,Expensive Wheel,0b00111110,X,X,X,X,X,0,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,8500,50,36,14,0,"A custom-made wheel, ergonomically designed in
Valua. Reduces fatigue for the helmsman."
477,0x802d59f8,Chandelier,0b00111110,X,X,X,X,X,0,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,9300,50,37,8,0,"Luxurious lighting favored by Valuan nobility.
Brings a touch of opulence to airborne life."
478,0x802d5a04,Wooden Doll,0b00111110,X,X,X,X,X,0,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,38,38,0,"A carved wooden doll, shaped like a cuddly
animal. Simple, cute, and adored by Fina."
479,0x802d5a10,Indoor Plant,0b00111110,X,X,X,X,X,0,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,10100,50,39,20,0,"Some greenery to provide color aboard the ship.
Has a soothing effect, and helps clean the air."
