Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
0,ma016.std,16,Cupil Sword,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma016.std,16,Cupil Sword,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma016.std,16,Cupil Sword,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma017.std,17,Cupil Cutlass,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma017.std,17,Cupil Cutlass,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma017.std,17,Cupil Cutlass,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma018.std,18,Cupil Claymore,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma018.std,18,Cupil Claymore,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma018.std,18,Cupil Claymore,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma019.std,19,Cupil Cannon,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma019.std,19,Cupil Cannon,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma019.std,19,Cupil Cannon,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma020.std,20,Cupil Spike,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma020.std,20,Cupil Spike,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma020.std,20,Cupil Spike,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma021.std,21,Cupil Weight,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma021.std,21,Cupil Weight,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma021.std,21,Cupil Weight,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma022.std,22,Cupil Pan,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma022.std,22,Cupil Pan,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma022.std,22,Cupil Pan,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma023.std,23,Cupil Club,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma023.std,23,Cupil Club,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma023.std,23,Cupil Club,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma024.std,24,Cupil Hammer,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma024.std,24,Cupil Hammer,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma024.std,24,Cupil Hammer,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma025.std,25,Final Cupil,0,Set Approach Speed,0,7,0,Idle 1,0b01000000000000000000000000000000,0,???,0,1.00,5.00
1,ma025.std,25,Final Cupil,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma025.std,25,Final Cupil,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
