Entry ID,[Filter],[EC ID],[EC JP Name],[EC EU Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
0,MB009.std,9,レイチア,Basallish,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,2,1.50,17.50
1,MB009.std,9,レイチア,Basallish,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB009.std,9,レイチア,Basallish,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.50
3,MB009.std,9,レイチア,Basallish,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB009.std,9,レイチア,Basallish,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB009.std,9,レイチア,Basallish,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb010.std,10,カイライ,Dementis,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,0.20,5.00
1,mb010.std,10,カイライ,Dementis,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb010.std,10,カイライ,Dementis,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb010.std,10,カイライ,Dementis,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb010.std,10,カイライ,Dementis,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb010.std,10,カイライ,Dementis,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb011.std,11,フォカラルガ,Walrenk,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,5,1.00,5.00
1,mb011.std,11,フォカラルガ,Walrenk,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb011.std,11,フォカラルガ,Walrenk,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb011.std,11,フォカラルガ,Walrenk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb011.std,11,フォカラルガ,Walrenk,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb011.std,11,フォカラルガ,Walrenk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb012.std,12,ギジェリガー,Varkris,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,6,1.60,12.00
1,mb012.std,12,ギジェリガー,Varkris,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb012.std,12,ギジェリガー,Varkris,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb012.std,12,ギジェリガー,Varkris,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb012.std,12,ギジェリガー,Varkris,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb012.std,12,ギジェリガー,Varkris,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb013.std,13,アスフール,Azbeth,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.00,15.50
1,mb013.std,13,アスフール,Azbeth,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb013.std,13,アスフール,Azbeth,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb013.std,13,アスフール,Azbeth,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb013.std,13,アスフール,Azbeth,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb013.std,13,アスフール,Azbeth,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB014.std,14,盗掘者シモン,Zivilyn Bane,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.20,16.50
1,MB014.std,14,盗掘者シモン,Zivilyn Bane,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB014.std,14,盗掘者シモン,Zivilyn Bane,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,0.90,1.00
3,MB014.std,14,盗掘者シモン,Zivilyn Bane,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB014.std,14,盗掘者シモン,Zivilyn Bane,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB014.std,14,盗掘者シモン,Zivilyn Bane,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb015.std,15,ヌール,Ghastling,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.60,16.50
1,mb015.std,15,ヌール,Ghastling,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb015.std,15,ヌール,Ghastling,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb015.std,15,ヌール,Ghastling,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb015.std,15,ヌール,Ghastling,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb015.std,15,ヌール,Ghastling,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB016.std,16,モクズ,Florast,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,0.90,12.10
1,MB016.std,16,モクズ,Florast,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB016.std,16,モクズ,Florast,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB016.std,16,モクズ,Florast,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB016.std,16,モクズ,Florast,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB016.std,16,モクズ,Florast,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB017.std,17,ツィツィ,Tsirat,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.30,15.00
1,MB017.std,17,ツィツィ,Tsirat,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB017.std,17,ツィツィ,Tsirat,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB017.std,17,ツィツィ,Tsirat,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB017.std,17,ツィツィ,Tsirat,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB017.std,17,ツィツィ,Tsirat,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB018.std,18,セベスク,Thorkryn,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.20,14.00
1,MB018.std,18,セベスク,Thorkryn,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB018.std,18,セベスク,Thorkryn,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB018.std,18,セベスク,Thorkryn,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB018.std,18,セベスク,Thorkryn,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB018.std,18,セベスク,Thorkryn,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB019.std,19,ユールマラー,Scorfly,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.90,23.00
1,MB019.std,19,ユールマラー,Scorfly,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB019.std,19,ユールマラー,Scorfly,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB019.std,19,ユールマラー,Scorfly,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB019.std,19,ユールマラー,Scorfly,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB019.std,19,ユールマラー,Scorfly,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb020.std,20,イルドゥス,Centralk,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.00,5.00
1,mb020.std,20,イルドゥス,Centralk,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb020.std,20,イルドゥス,Centralk,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb020.std,20,イルドゥス,Centralk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb020.std,20,イルドゥス,Centralk,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb020.std,20,イルドゥス,Centralk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb021.std,21,ベルクロード,Feralisk,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,2,1.30,15.10
1,mb021.std,21,ベルクロード,Feralisk,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb021.std,21,ベルクロード,Feralisk,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb021.std,21,ベルクロード,Feralisk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb021.std,21,ベルクロード,Feralisk,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb021.std,21,ベルクロード,Feralisk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB022.std,22,ベルハウンド,Ferlith,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,2,1.60,15.10
1,MB022.std,22,ベルハウンド,Ferlith,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB022.std,22,ベルハウンド,Ferlith,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB022.std,22,ベルハウンド,Ferlith,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB022.std,22,ベルハウンド,Ferlith,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB022.std,22,ベルハウンド,Ferlith,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb023.std,23,ガトー,Crylhound,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.70,20.10
1,mb023.std,23,ガトー,Crylhound,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,1.00,1.00
2,mb023.std,23,ガトー,Crylhound,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,0.80
3,mb023.std,23,ガトー,Crylhound,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb023.std,23,ガトー,Crylhound,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb023.std,23,ガトー,Crylhound,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB024.std,24,デシェレト,Magma Tiki,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,5.00
1,MB024.std,24,デシェレト,Magma Tiki,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB024.std,24,デシェレト,Magma Tiki,3,Set Turn Speed,1,8,0,Idle 1,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB024.std,24,デシェレト,Magma Tiki,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB024.std,24,デシェレト,Magma Tiki,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB024.std,24,デシェレト,Magma Tiki,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb025.std,25,イアールト,Salamander,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,3,0.20,4.10
1,mb025.std,25,イアールト,Salamander,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb025.std,25,イアールト,Salamander,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb025.std,25,イアールト,Salamander,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb025.std,25,イアールト,Salamander,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb025.std,25,イアールト,Salamander,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb026.std,26,パラミス,Baroo,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,2,1.50,17.50
1,mb026.std,26,パラミス,Baroo,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb026.std,26,パラミス,Baroo,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.50
3,mb026.std,26,パラミス,Baroo,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb026.std,26,パラミス,Baroo,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb026.std,26,パラミス,Baroo,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB027.std,27,コロガス,Oestrus,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.00,5.50
1,MB027.std,27,コロガス,Oestrus,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB027.std,27,コロガス,Oestrus,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB027.std,27,コロガス,Oestrus,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB027.std,27,コロガス,Oestrus,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB027.std,27,コロガス,Oestrus,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb028.std,28,マータ,Deatth,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,0.20,5.00
1,mb028.std,28,マータ,Deatth,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb028.std,28,マータ,Deatth,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb028.std,28,マータ,Deatth,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb028.std,28,マータ,Deatth,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb028.std,28,マータ,Deatth,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB029.std,29,エルモ,Looper,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.20,17.00
1,MB029.std,29,エルモ,Looper,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB029.std,29,エルモ,Looper,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB029.std,29,エルモ,Looper,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB029.std,29,エルモ,Looper,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB029.std,29,エルモ,Looper,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb030.std,30,エルモック,Loopalon,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.20,17.00
1,mb030.std,30,エルモック,Loopalon,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb030.std,30,エルモック,Loopalon,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb030.std,30,エルモック,Loopalon,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb030.std,30,エルモック,Loopalon,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb030.std,30,エルモック,Loopalon,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb031.std,31,ヘムヘム,Tsurak,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,3,1.00,10.00
1,mb031.std,31,ヘムヘム,Tsurak,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb031.std,31,ヘムヘム,Tsurak,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,2.00
3,mb031.std,31,ヘムヘム,Tsurak,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,mb031.std,31,ヘムヘム,Tsurak,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,mb031.std,31,ヘムヘム,Tsurak,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,mb032.std,32,調査兵,Enforca,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.60,20.10
1,mb032.std,32,調査兵,Enforca,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,mb032.std,32,調査兵,Enforca,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,mb032.std,32,調査兵,Enforca,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
