Entry ID,Entry JP Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
17,ドラコ,45000,240,125,300,100,15,10,10,10,8,11,11,10,-1,None,-1,-1,-1,-1,None,1,Sec Cannon,300,0,80,6,Neutral,2,Torpedo,500,2,80,6,Neutral,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,6100,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
18,ヒュドラ,200000,280,300,370,200,15,5,10,10,10,10,0,10,0,Main Cannon,350,0,70,6,Neutral,1,Sec Cannon,360,1,80,6,Neutral,1,Sec Cannon,370,2,80,6,Neutral,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,11900,0,100%,496,キャプテンマーク,0,100%,432,ジェドキャノン,6,Kalifa,434,ジェドトゥーピド
19,カット１９,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,カット２０,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,黒空賊船,9000,40,25,10,50,8,25,10,10,10,10,20,10,0,Main Cannon,120,0,70,6,Neutral,2,Torpedo,120,1,60,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,450,300,3,20%,402,汎主砲改,3,20%,440,ドクロの船首像,-1,None,-1,None
22,Ж黒空賊船,12000,100,70,220,50,8,15,9,9,9,9,9,10,0,Main Cannon,140,0,80,6,Neutral,2,Torpedo,200,1,40,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1030,600,0,100%,484,炎の爆弾,-1,None,-1,None,-1,None,-1,None
23,ブラックベアード,10000,50,40,10,50,10,10,10,10,10,10,10,10,0,Main Cannon,115,0,75,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,410,300,0,100%,496,キャプテンマーク,0,100%,480,爆弾,-1,None,-1,None
24,レドキュラム,100000,150,0,400,40,0,1,10,0,10,10,10,10,3,Special,400,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,グリデ・ガルデ,110000,300,100,250,70,10,1,0,10,5,5,5,5,3,Special,180,0,-1,6,Neutral,3,Special,200,0,-1,6,Neutral,3,Special,400,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,4640,2700,0,100%,496,キャプテンマーク,0,100%,30,グリデガウィング,0,100%,493,完全修復材
26,ブリュウホウ,100000,350,200,350,130,10,70,10,15,10,0,10,10,3,Special,250,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,450,0,-1,6,Neutral,3,Special,200,0,-1,6,Neutral,0,0,0,0,0,0,17140,8100,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
27,イェラーガ,150000,400,100,330,80,5,2,10,10,10,10,0,10,3,Special,330,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,19050,8700,0,100%,496,キャプテンマーク,0,100%,5,雷鳴のカトラス,-1,None,-1,None
28,ジェロス,240000,240,300,350,250,30,20,8,8,8,8,8,0,3,Special,800,0,-1,6,Neutral,3,Special,900,0,-1,6,Neutral,3,Special,1000,0,-1,6,Neutral,3,Special,1300,1,-1,6,Neutral,0,0,0,0,0,0,33590,0,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
29,アンギーラ,56000,300,100,100,80,10,5,10,25,10,10,10,10,3,Special,250,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,10830,5400,0,100%,482,特大爆弾,0,100%,425,タイガー魚雷,7,Osman,456,タイミングバルブ
30,ラージャ,15000,270,50,100,80,10,45,10,10,15,10,5,10,3,Special,230,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2630,1100,4,50%,491,硬修復材,6,Kalifa,508,水晶玉,2,10%,475,防音壁
31,ラージャエンブラ,25000,300,100,150,120,15,45,10,10,15,10,3,10,3,Special,270,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2630,1100,4,50%,493,完全修復材,7,Osman,507,おおきな金塊,-1,None,-1,None
32,オビスポー,60000,220,200,300,80,10,18,8,13,10,15,10,10,3,Special,250,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,11480,5600,0,100%,465,特殊鋼装甲板,7,Osman,508,水晶玉,-1,None,-1,None
33,カット３３,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
34,カット３４,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
35,ロック鳥,45000,50,150,300,90,6,23,10,13,10,10,15,10,3,Special,300,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,3,Special,400,0,-1,6,Neutral,0,0,0,0,0,0,13580,6900,6,Kalifa,478,くまの置物,7,Osman,507,おおきな金塊,-1,None,-1,None
36,ヒュージエルモ,30000,999,260,999,130,15,50,10,10,10,10,10,10,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,28580,13000,0,100%,495,耐熱ギアグリス,0,100%,496,キャプテンマーク,0,100%,505,ヘクサバリア
37,アラーニャ,52000,250,200,250,85,10,80,10,15,1,8,10,5,3,Special,280,0,-1,6,Neutral,3,Special,220,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,14290,6500,6,Kalifa,447,女神の船首像,6,Kalifa,473,空気清浄器,-1,None,-1,None
38,要塞ゲート,200000,350,999,999,0,10,1,10,10,10,10,10,10,0,Main Cannon,500,2,80,6,Neutral,1,Sec Cannon,500,2,80,6,Neutral,2,Torpedo,500,2,80,6,Neutral,3,Special,500,2,80,6,Neutral,0,0,0,0,0,0,5630,3000,0,100%,494,ギアグリス,-1,None,-1,None,-1,None,-1,None
39,カット３９,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
40,ガディアノス,15000,999,100,999,235,25,30,10,10,10,10,10,10,3,Special,300,0,-1,6,Neutral,3,Special,450,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,6120,2500,0,100%,493,完全修復材,0,100%,469,きらめく装甲板,0,100%,433,ジェドーガン
41,ガディタウス,15000,999,150,999,235,25,45,10,10,10,10,10,10,3,Special,350,0,-1,6,Neutral,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,6120,2500,0,100%,493,完全修復材,0,100%,469,きらめく装甲板,-1,None,-1,None
42,カット４２,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
43,ブラックベアード,15000,100,200,90,100,30,20,3,3,3,3,3,3,0,Main Cannon,350,0,85,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5520,2400,0,100%,456,タイミングバルブ,0,100%,449,きらめく船首像,0,100%,500,ハイブリワックス
44,Жジャンク船,25000,250,300,300,90,20,3,7,7,7,7,7,7,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,220,2,75,6,Neutral,2,Torpedo,250,3,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1910,900,0,100%,484,炎の爆弾,7,Osman,508,水晶玉,-1,None,-1,None
