Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str,[Ship JP Descr Pos],[Ship JP Descr Size],Ship JP Descr Str
24,バーニィ,1,Red,1,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,1,0,0,0,0x2c645c,96,縦横無尽に裂けた大地から、爆炎の帯が吹き出し、\n敵全体に大きなダメージを与える。　　　消費Ｇ＝４,0x2d0a0c,80,Ж術発射装置によって使用可能。\n大火炎の弾で、敵にダメージを与える。　消費Ｇ＝４
25,バーネス,1,Red,2,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,1,0,0,0,0x2c64bc,96,Жく閃光とともに天空より降り注ぐ火炎の玉が、\n敵全体に特大のダメージを与える。　　　消費Ｇ＝６,0x2d0a5c,80,Ж術発射装置によって使用可能。\n灼熱弾で、敵にダメージを与える。　　　消費Ｇ＝６
26,グラシャ,2,Purple,10,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,2,0,0,0,0x2c651c,92,敵単体を凍気で包み込み、ダメージを与える。\nガッツの消費量が少ないのも魅力だ。　　消費Ｇ＝１,0x2d0aac,80,Ж術発射装置によって使用可能。\n氷の弾で、敵にダメージを与える。　　　消費Ｇ＝１
27,グラシィ,2,Purple,11,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,50,2,0,0,0,0x2c6578,92,敵単体の足元から、瞬間的に発生したツララが\n敵の体を貫き、大きなダメージを与える。消費Ｇ＝２,0x2d0afc,80,Ж術発射装置によって使用可能。\n氷柱の弾で、敵にダメージを与える。　　消費Ｇ＝２
28,グラシェス,2,Purple,12,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,70,2,0,0,0,0x2c65d4,92,足元から伸び上がった巨大な氷柱が、敵単体を\n包み込んで、特大のダメージを与える。　消費Ｇ＝３,0x2d0b4c,80,Ж術発射装置によって使用可能。\n吹雪の弾で、敵にダメージを与える。　　消費Ｇ＝３
29,グラゾーバ,2,Purple,13,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,2,0,0,0,0x2c6630,96,天空から降り注ぐ巨大な氷柱が、敵単体に次々と\n突き刺さり、超特大のダメージを与える。消費Ｇ＝４,0x2d0b9c,80,Ж術発射装置によって使用可能。\nブリザード弾で、敵にダメージを与える。消費Ｇ＝４
30,バーノーン,1,Red,3,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,10,-1,150,1,0,0,0,0x2c6690,92,原子レベルで重なる誘爆が巨大な火球と化し、\n敵全体に超特大のダメージを与える。　　消費Ｇ＝10,0x2d0bec,80,Ж術発射装置によって使用可能。\n業火の弾で、敵にダメージを与える。　　消費Ｇ＝10
31,ウェイベス,3,Blue,62,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,4,0,0,0,0x2c66ec,96,敵単体に超高気圧のかたまりをぶつけて、特大の\nダメージを与える。広い範囲を巻き込む。消費Ｇ＝６,0x2d0c3c,80,Ж術発射装置によって使用可能。\n巨大波動弾で、敵にダメージを与える。消費Ｇ＝６
32,ボルタ,4,Yellow,30,0b0011,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,3,0,0,0,0x2c674c,96,自分の目前で発生した放電が、敵単体に向かい、\nその直線上にいるすべての敵にダメージ。消費Ｇ＝２,0x2d0c8c,80,Ж術発射装置によって使用可能。\n電磁弾で、敵にダメージを与える。　　　消費Ｇ＝２
33,ボルティ,4,Yellow,31,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,3,0,0,0,0x2c67ac,100,地を切り裂く電撃が、敵単体に大ダメージを与える。\n運悪く流れ電撃に当たっても大ダメージ。消費Ｇ＝４,0x2d0cdc,80,Ж術発射装置によって使用可能。\n強電磁弾で、敵にダメージを与える。　　消費Ｇ＝４
34,ボルテス,4,Yellow,32,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,3,0,0,0,0x2c6810,96,敵単体に向かって放たれた電撃が広範囲に広がり、\n多くの敵に特大ダメージを与える。　　　消費Ｇ＝６,0x2d0d2c,80,Ж術発射装置によって使用可能。\n強烈な電磁弾で、敵にダメージを与える。消費Ｇ＝６
35,ボルドーラ,4,Yellow,33,0b0011,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,3,0,0,0,0x2c6870,100,最強の攻撃Ж術。蓄積された電圧を一気に解き放ち、\n全体に近い範囲の敵に超特大ダメージ!!　消費Ｇ＝８,0x2d0d7c,80,Ж術発射装置によって使用可能。\n強電磁砲弾で、敵にダメージを与える。　消費Ｇ＝８
