Entry ID,Entry JP Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Pad 1,Buy,Sell%,JP Order 1,JP Order 2,Pad 2,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[JP Descr Pos],[JP Descr Size],JP Descr Str
490,修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,30,50,10,15,0,400,0,Green,0,0,0,0x2cff3c,84,"小破した船体のダメージを修復するための修理素材。
船体のＨＰを4000ポイント修復する。"
491,硬修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,75,50,11,12,0,800,0,Green,0,0,0,0x2cff90,84,"中破した船体のダメージを修復するための修理素材。
船体のＨＰを8000ポイント修復する。"
492,強修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,50,12,9,0,0,0,Green,0,0,0,0x2cffe4,76,"緑月晶の粉を溶かし込み回復効力を上げた修復材。
船体のＨＰを完全に修復する。"
493,完全修復材,0b0101,X,"",X,101,Recover HP by 100%,-1,100,0,300,50,13,5,0,0,0,Green,0,0,0,0x2d0030,68,"高純度の月Ж石を使った最高の修復材。
船体のＨＰを完全に回復する。"
494,ギアグリス,0b0001,"","",X,102,Recover SP,-1,100,0,500,50,14,6,0,10,0,Green,0,0,0,0x2d0074,68,"ギアに塗る事で抵抗を減らし力の伝達を良くする。
ガッツが回復する。"
495,耐熱ギアグリス,0b0001,"","",X,103,Recover SP by 100%,-1,100,0,1000,50,15,17,0,0,0,Green,0,0,0,0x2d00b8,60,"ギアを高速使用した際の熱ダレを防ぐ。
ガッツが完全回復する。"
496,キャプテンマーク,0b0100,X,"","",115,Grow All Attr,-1,100,0,0,50,16,8,0,0,0,Green,0,0,0,0x2d00f4,84,"砲撃戦に勝利した証しの撃墜マーク。
使用する事で船の能力が上がり、船体耐久度も増す。"
497,アパワックス,0b0001,"","",X,105,Incr Attack + Defense,2,100,0,100,50,17,0,0,0,0,Green,0,0,0,0x2d0148,76,"船体と砲身に塗り込む事で攻撃力と防御力が上がる。
効果は２ターン持続する。"
498,アポスワックス,0b0001,"","",X,105,Incr Attack + Defense,4,100,0,1000,50,18,1,0,0,0,Green,0,0,0,0x2d0194,76,"船体と砲身に塗り込む事で攻撃力と防御力が上がる。
効果は４ターン持続する。"
499,クイッカワックス,0b0001,"","",X,104,Incr Quick,1,100,0,150,50,19,11,0,0,0,Green,0,0,0,0x2d01e0,72,"機関部に塗り込む事でエンジンの出力を上げる。
効果は１ターン持続する。"
500,ハイブリワックス,0b0001,"","",X,108,Incr All Attr,4,100,0,1500,50,20,22,0,0,0,Green,0,0,0,0x2d0228,88,"バルア帝国のデ・ロッコ機関が開発したワックス。
船体のあらゆる能力が１ターン上昇する。"
501,熱源センサー,0b0001,"","",X,112,Incr Critical%,0,100,0,2000,50,21,21,0,0,0,Green,0,0,0,0x2d0280,84,"センサーが船の機関部を的確にとらえ
砲手の射撃を補助する。クリティカル率が上がる。"
502,舵のグリス,0b0001,"","",X,113,Consume SP by 50%,0,100,0,2000,50,22,3,0,0,0,Green,0,0,0,0x2d02d4,76,"舵の操作性が上がり、操舵手の負担を軽くする。
使用ガッツが減りにくくなる。"
503,機関オイル,0b0001,"","",X,114,Recover SP by 200%,0,100,0,2000,50,23,7,0,0,0,Green,0,0,0,0x2d0320,96,"機関部に使うと出力が安定し、エンジンが良く回る。
機関士の負担が減り、ガッツ回復が２倍になる。"
504,ライトウェイト,0b0001,"","",X,111,Incr First Strike%,0,100,0,2000,50,24,29,0,0,0,Green,0,0,0,0x2d0380,76,"船体に浮力を与え、船体重量を軽くする。
砲撃戦での先制攻撃の確率が上がる。"
505,ヘクサバリア,0b0001,"","",X,109,Block Attack,0,100,0,5000,50,25,26,0,0,0,Green,0,0,0,0x2d03cc,88,"名のある技術者が開発。対砲撃用防御壁を展開する。
全ての物理的攻撃を１ターン無効にする。"
506,ヘクサフォース,0b0001,"","",X,110,Block Magic,0,100,0,2500,50,26,27,0,0,0,Green,0,0,0,0x2d0424,84,"名のあるЖ術師が開発。対Ж術用防御壁を展開する。
全てのЖ術を１ターン無効にする。"
507,おおきな金塊,0b0000,"","","",-1,None,-1,-1,0,10000,100,27,2,0,0,0,Green,0,0,0,0x2d0478,80,"抱えきれないほどの大きな金塊。
コレクションしてもいいが、売ればそれなりに高い。"
508,水晶玉,0b0000,"","","",-1,None,-1,-1,0,1000,100,28,16,0,0,0,Green,0,0,0,0x2d04c8,96,"とある名工によって磨き上げられた最高の一品。
コレクションしてもいいが、売ればそれなりに高い。"
509,Ж術発射装置,0b0000,"","","",-1,None,-1,-1,0,0,0,29,13,0,0,0,Green,0,0,0,0x2d0528,100,"攻撃Ж術弾を発射することができるようになる装置。
ナスル砂漠上空の決戦で、ベレーザから奪ったもの。"
