Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[JP EC1 Name],EC1 X,EC1 Z,EC2 ID,[JP EC2 Name],EC2 X,EC2 Z,EC3 ID,[JP EC3 Name],EC3 X,EC3 Z,EC4 ID,[JP EC4 Name],EC4 X,EC4 Z,EC5 ID,[JP EC5 Name],EC5 X,EC5 Z,EC6 ID,[JP EC6 Name],EC6 X,EC6 Z,EC7 ID,[JP EC7 Name],EC7 X,EC7 Z,Initiative,Defeat Cond. ID,[Defeat Cond. Name],Escape Cond. ID,[Escape Cond. Name],BGM ID
33,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,3,4,24,デシェレト,5,3,24,デシェレト,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must Not Lose,0,Can Escape,58
34,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,100,アサシン,5,3,100,アサシン,3,3,100,アサシン,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,1,May Try Again,1,Cannot Escape,58
35,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,ナマトヌカ,1,2,59,ナマトヌカ,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must Not Lose,1,Cannot Escape,58
36,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,ナマトヌカ,2,2,59,ナマトヌカ,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must Not Lose,1,Cannot Escape,58
37,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,4,アーアペプ,4,1,3,マロッカ,3,4,3,マロッカ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,28,0,Must Not Lose,0,Can Escape,58
38,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,モノノフ,4,3,60,モノノフ,6,3,60,モノノフ,3,2,60,モノノフ,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must Not Lose,0,Can Escape,59
39,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,盗掘者シモン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,90,1,May Try Again,1,Cannot Escape,58
40,2,0,Vyse,4,8,5,Gilder,6,8,-1,None,-1,-1,-1,None,-1,-1,112,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,102,1,May Try Again,1,Cannot Escape,58
41,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,盗掘者シモン,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,110,1,May Try Again,1,Cannot Escape,58
42,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,122,1,May Try Again,1,Cannot Escape,59
43,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,盗掘者シモン,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,1,May Try Again,1,Cannot Escape,58
44,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,142,1,May Try Again,1,Cannot Escape,58
45,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May Try Again,1,Cannot Escape,58
46,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May Try Again,1,Cannot Escape,58
47,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May Try Again,1,Cannot Escape,58
48,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must Not Lose,0,Can Escape,61
49,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May Try Again,1,Cannot Escape,61
50,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May Try Again,1,Cannot Escape,62
51,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,164,1,May Try Again,1,Cannot Escape,61
52,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May Try Again,1,Cannot Escape,61
53,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May Try Again,1,Cannot Escape,62
54,2,0,Vyse,4,7,5,Gilder,6,7,-1,None,-1,-1,-1,None,-1,-1,102,要塞将兵,4,2,102,要塞将兵,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must Not Lose,1,Cannot Escape,58
55,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,-1,None,-1,-1,102,要塞将兵,3,1,102,要塞将兵,6,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must Not Lose,1,Cannot Escape,58
56,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must Not Lose,0,Can Escape,58
57,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must Not Lose,0,Can Escape,58
58,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must Not Lose,0,Can Escape,58
59,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must Not Lose,0,Can Escape,-1
60,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,3,2,75,デ式レーダー,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must Not Lose,0,Can Escape,-1
61,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,4,2,75,デ式レーダー,3,3,75,デ式レーダー,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must Not Lose,0,Can Escape,-1
62,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,3,2,75,デ式レーダー,5,2,75,デ式レーダー,2,3,75,デ式レーダー,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must Not Lose,0,Can Escape,-1
63,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,3,2,24,デシェレト,5,3,24,デシェレト,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must Not Lose,0,Can Escape,-1
64,2,0,Vyse,5,7,1,Aika,6,8,2,Fina,4,8,-1,None,-1,-1,24,デシェレト,3,3,24,デシェレト,5,2,24,デシェレト,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must Not Lose,0,Can Escape,-1
65,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,ベレーザ兵,4,3,105,ベレーザ兵,7,3,105,ベレーザ兵,3,2,105,ベレーザ兵,8,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must Not Lose,0,Can Escape,-1
66,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,ヒュドラ巨兵,4,1,108,ヒュドラ巨兵,2,4,108,ヒュドラ巨兵,6,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,162,1,May Try Again,1,Cannot Escape,-1
67,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,3,3,106,工作兵,4,3,106,工作兵,5,3,106,工作兵,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must Not Lose,0,Can Escape,-1
68,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,3,3,106,工作兵,4,3,106,工作兵,5,3,106,工作兵,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must Not Lose,0,Can Escape,-1
69,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May Try Again,0,Can Escape,-1
70,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May Try Again,0,Can Escape,-1
71,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May Try Again,0,Can Escape,-1
72,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
73,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
74,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
75,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
76,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
77,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
78,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
79,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,軍艦兵,0,0,0,0,Must Not Lose,0,Can Escape,-1
