Entry ID,US Entry Name,Element ID,[Element Name],Ord by 123,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[US Ship Descr Pos],[US Ship Descr Size],US Ship Descr Str
10,Noxi,0,Green,50,0x2,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,2,0,0,20,1,Magical,0,Poison,50,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332398,60,Damages one enemy\nUse it in the first half of the battle!,0x0,0,""
11,プワゾーク,0,Green,51,0x2,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,130,1,Magical,0,Poison,50,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x3323d4,72,毒攻撃Ж術の第２段階です。\nＥＣ全体にダメージと一定確率で毒を与えます。,0x0,0,""
12,スリーパ,3,Blue,110,0x2,"",X,"",9,Sleep,4,All ECs,6,Magic,0,2,0,0,0,0,Physical,3,Sleep,50,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x33241c,48,睡眠Ж術です。\nＥＣ全体を一定確率で眠らせます。,0x0,0,""
13,クイッカ,3,Blue,70,0x3,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,6,1,0,-1,0,0,0,0x33244c,56,すばやさアップЖ術です。\nＰＣ１人の素早さを上げます。,0x335e68,72,エンジンの出力を上げてスピードを上げる。\n動きの速い敵に対して有効だ！
14,キュア,5,Silver,80,0x2,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332484,60,治療Ж術です。\nＰＣ１人の毒、眠り、混乱を確実に解除します。,0x0,0,""
15,ライザ,5,Silver,90,0x2,"",X,"",27,Revive w/ HP of 50%,1,Single PC,6,Magic,0,5,0,0,0,0,Physical,-1,None,40,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x3324c0,68,復活Ж術の第１段階です。\nＰＣ１人の戦闘不能を一定確率で解除します。,0x0,0,""
16,ライゾン,5,Silver,91,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,6,Magic,0,10,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332504,64,復活Ж術の第２段階です。\nＰＣ１人の戦闘不能を確実に解除します。,0x0,0,""
17,ジェダ,5,Silver,100,0x2,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,4,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332544,64,即死Ж術の第１段階です。\nＥＣ単体を一定確率で戦闘不能にします。,0x0,0,""
18,ジェデス,5,Silver,101,0x2,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332584,64,即死Ж術の第２段階です。\nＥＣ全体を一定確率で戦闘不能にします。,0x0,0,""
19,ジェドーサ,5,Silver,102,0x2,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,25,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x3325c4,60,即死Ж術の第３段階です。\nＥＣ単体を確実に戦闘不能にします。,0x0,0,""
20,ウェイバ,3,Blue,60,0x3,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,0x332600,68,波動攻撃Ж術の第１段階です。\n円範囲の敵に青属性ダメージを与えます。,0x335eb0,84,波動弾を発射し、敵にダメージを与える。\n振動に弱い敵に大きなダメージを与えられるぞ！
21,ウェイビィ,3,Blue,61,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,95,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,0x332644,68,波動攻撃Ж術の第２段階です。\n円範囲の敵に青属性ダメージを与えます。,0x335f04,92,大きな波動弾を発射し、敵にダメージを与える。\n振動に弱い敵に大きなダメージを与えられるぞ！
22,ウェボーン,3,Blue,63,0x3,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,175,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,0x332688,68,波動攻撃Ж術の第４段階です。\n円範囲の敵に青属性ダメージを与えます。,0x335f60,84,巨大な波動弾を発射し、敵に大ダメージを与える。\n振動に弱い敵には必殺の威力があるぞ！
23,Pyri,1,Red,0,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,20,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,0x3326cc,92,A spell that damages all enemies in a great\nexplosion.Clean up all the weaklings at once!,0x335fb4,80,Launches a ball of fire at the enemies.\nUseful on enemies weak against fire.
24,バーニィ,1,Red,1,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,1,0,0,0,0x332728,64,火炎攻撃Ж術の第２段階です。\n敵全体に赤属性ダメージを与えます。,0x336004,88,Launches a great fireball to consume the\nenemies. Great on enemies weak against fire.
25,バーネス,1,Red,2,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,1,0,0,0,0x332768,64,火炎攻撃Ж術の第３段階です。\n敵全体に赤属性ダメージを与えます。,0x33605c,80,灼熱の弾を発射し、敵にダメージを与える。\n火に弱い敵なら一気にＨＰを奪えるぞ！
26,Crystali,2,Purple,10,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,2,0,0,0,0x3327a8,96,An ice spell that seriously damages one enemy.\nUseful when fighting monsters with a lot of HP.,0x3360ac,72,Launches a ball of ice at the enemies.\nUse on enemies weak against ice.
27,グラシィ,2,Purple,11,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,110,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,50,2,0,0,0,0x332808,64,凍気攻撃Ж術の第２段階です。\n敵単体に紫属性ダメージを与えます。,0x3360f4,84,Launches a pillar of ice at the enemies.\nGreat damage on enemies weak against ice.
28,グラシェス,2,Purple,12,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,6,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,70,2,0,0,0,0x332848,64,凍気攻撃Ж術の第３段階です。\n敵単体に紫属性ダメージを与えます。,0x336148,68,吹雪の弾を発射し、敵にダメージを与える\n氷に弱い敵なら一撃必殺だ！
29,Crystalen,2,Purple,13,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,5,0,0,80,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,2,0,0,0,0x332888,96,An ice spell that inflicts massive damage on one\nopponent. Very useful against large monsters.,0x33618c,80,ブリザード弾を発射し、敵にダメージを与える。\n敵を完全に凍りつかしてしまうぞ！
30,Pyrolen,1,Red,3,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,5,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,10,-1,150,1,0,0,0,0x3328e8,92,An explosive spell that damages all enemies. \nWipe all of the small monsters in one blow!!,0x3361dc,76,業火の弾を発射し、敵にダメージを与える。\n敵を完全に燃やし尽くしてしまうぞ！
31,ウェイベス,3,Blue,62,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,135,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,4,0,0,0,0x332944,68,波動攻撃Ж術の第３段階です。\n円範囲の敵に青属性ダメージを与えます。,0x336228,80,波動砲弾を発射し、敵にダメージを与える。\nどんな装甲も内部から破壊してしまうぞ！
32,ボルタ,4,Yellow,30,0x3,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,15,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,3,0,0,0,0x332988,76,電撃攻撃Ж術の第１段階です。\n直線上の敵すべてに黄属性ダメージを与えます。,0x336278,72,電磁弾を発射し、敵にダメージを与える。\n電気系統にダメージを与えるぞ！
33,ボルティ,4,Yellow,31,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,25,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,3,0,0,0,0x3329d4,76,電撃攻撃Ж術の第２段階です。\n直線上の敵すべてに黄属性ダメージを与えます。,0x3362c0,84,強い電磁弾を発射し、敵にダメージを与える。\n電磁波の力で内部からダメージを与えるぞ！
34,ボルテス,4,Yellow,32,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,140,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,3,0,0,0,0x332a20,76,電撃攻撃Ж術の第３段階です。\n直線上の敵すべてに黄属性ダメージを与えます。,0x336314,92,強烈な電磁弾を発射し、敵にダメージを与える。\n強烈な電磁波がものすごいダメージを与えるぞ！
35,ボルドーラ,4,Yellow,33,0x3,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,180,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,3,0,0,0,0x332a6c,76,電撃攻撃Ж術の第４段階です。\n直線上の敵すべてに黄属性ダメージを与えます。,0x336370,84,強電磁砲弾を発射し、敵にダメージを与える。\n装甲に関係なく敵に大ダメージを与えるぞ！
