Entry ID,US Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Feat. ID,[Feat. Name],Pad. 1,Feat. Value,Pad. 2,Pad. 3,Purchase Price,Pad. 4,Pad. 5,Retail Price in %,Order by Prio.,US Order by ABC,Pad. 6,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
423,ホーク魚雷,0x30,X,X,"","","",2,Torpedo,0,Green,160,60,3,3,-1,None,0,0,0,0,2240,0,0,50,23,23,0,0x3348c8,72,リトルジャックが装備できる魚雷。\nバルアの最新艦に装備されるはずの砲。
424,イーグル魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,220,60,2,3,-1,None,0,0,0,0,2400,0,0,50,24,24,0,0x334910,68,リトルジャックが装備できる魚雷。\n特殊合板を使用し、大口径化を実現。
425,タイガー魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,250,50,3,4,-1,None,0,0,0,0,4400,0,0,50,25,25,0,0x334954,68,バルアの新鋭艦用魚雷。\nバルアの新鋭艦に装備されているものと同じ。
426,大蛇の魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,300,65,2,4,-1,None,0,0,0,0,5360,0,0,50,26,26,0,0x334998,64,戦艦タイプの艦に装備できる魚雷\n照準が合わせやすく命中しやすい。
427,ジャイアント魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,350,70,3,5,-1,None,0,0,0,0,6320,0,0,50,27,27,0,0x3349d8,56,戦艦タイプの艦に装備できる魚雷\n飛距離が長く威力が高い。
428,ホエール魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,400,70,3,6,-1,None,0,0,0,0,6800,0,0,50,28,28,0,0x334a10,60,戦艦タイプの艦に装備できる魚雷\n飛距離は短いが威力が高い。
429,ドラゴン魚雷,0xe,"","",X,X,X,2,Torpedo,6,Neutral,450,60,2,7,-1,None,0,0,0,0,8800,0,0,50,29,29,0,0x334a4c,64,戦艦タイプの艦に装備できる魚雷\n飛距離と威力の両方を追求した砲。
430,Harpoon Cannon,0x20,X,"","","","",3,Special,6,Neutral,350,65535,0,15,-1,None,0,0,0,0,0,0,0,0,30,30,0,0x334a8c,92,Equipped on the front of the Little Jack\ncapable of delivering massive amounts of damage.
431,デルフィナス砲,0xe,"","",X,X,X,3,Special,6,Neutral,800,65535,0,20,-1,None,0,0,0,0,0,0,0,0,31,31,0,0x334ae8,76,月煌石エネルギー変換砲を発射。\n船の全出力を稼動させエネルギー弾を発射する。
432,ジェドキャノン,0x3e,X,X,X,X,X,0,Main Cannon,6,Neutral,500,99,0,9,-1,None,0,0,0,0,1000,0,0,100,32,32,0,0x334b34,60,最強の主砲。\n銀の月煌石のエネルギーを収束させて発射する。
433,ジェドーガン,0x3e,X,X,X,X,X,1,Sec. Cannon,6,Neutral,400,99,3,5,-1,None,0,0,0,0,1000,0,0,100,33,33,0,0x334b70,60,最強の副砲。\n銀の月煌石のエネルギーを収束させて発射する。
434,ジェドトゥーピド,0x3e,X,X,X,X,X,2,Torpedo,6,Neutral,600,75,3,3,-1,None,0,0,0,0,1000,0,0,100,34,34,0,0x334bac,60,最強の魚雷。\n銀の月煌石のエネルギーを収束させて発射する。
435,バーンキャノン,0xe,"","",X,X,X,0,Main Cannon,1,Red,200,120,0,6,-1,None,0,0,0,0,13200,0,0,50,35,35,0,0x334be8,28,旋回主砲。\n赤の効果がある。
436,ウェブガン,0xe,"","",X,X,X,1,Sec. Cannon,3,Blue,180,120,3,4,-1,None,0,0,0,0,10200,0,0,50,36,36,0,0x334c04,36,戦艦タイプ用副砲。\n青の効果がある。
437,ボルト魚雷,0xe,"","",X,X,X,2,Torpedo,4,Yellow,500,50,3,2,-1,None,0,0,0,0,1000,0,0,50,37,37,0,0x334c28,52,デルフィナスが装備できる長距離砲。\n黄の効果がある。
438,ロックキャノン,0xe,"","",X,X,X,0,Main Cannon,2,Purple,550,60,0,4,-1,None,0,0,0,0,1000,0,0,50,38,38,0,0x334c5c,68,戦艦タイプの旋回主砲。\n威力は高いが命中させるのに熟練の腕が必要。
439,ストレングガン,0x30,X,X,"","","",1,Sec. Cannon,3,Blue,50,99,2,5,-1,None,0,0,0,0,1000,0,0,50,39,39,0,0x334ca0,60,戦艦タイプ用副砲。\n効果範囲が狭く命中率が低いが威力が高い。
