Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,[Chara. #0 Y],Chara. #1 ID,[Chara. #1 name],Chara. #1 X,[Chara. #1 Y],Chara. #2 ID,[Chara. #2 name],Chara. #2 X,[Chara. #2 Y],Chara. #3 ID,[Chara. #3 name],Chara. #3 X,[Chara. #3 Y],Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],[EU enemy #0 name],Enemy #0 X,Enemy #0 Y,Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],[EU enemy #1 name],Enemy #1 X,Enemy #1 Y,Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],[EU enemy #2 name],Enemy #2 X,Enemy #2 Y,Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],[EU enemy #3 name],Enemy #3 X,Enemy #3 Y,Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],[EU enemy #4 name],Enemy #4 X,Enemy #4 Y,Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],[EU enemy #5 name],Enemy #5 X,Enemy #5 Y,Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],[EU enemy #6 name],Enemy #6 X,Enemy #6 Y,Unknown,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name]
10,4,0,Vyse,5,8,1,Aika,7,9,2,Fina,3,9,255,None,255,255,134,ラァス,Rockwyrm,Rockwyrm,4,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,68,1,May try again,1,Cannot escape
11,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,17,ツィツィ,Tsirat,Tsirat,2,4,17,ツィツィ,Tsirat,Tsirat,3,2,17,ツィツィ,Tsirat,Tsirat,4,3,17,ツィツィ,Tsirat,Tsirat,5,4,17,ツィツィ,Tsirat,Tsirat,6,2,17,ツィツィ,Tsirat,Tsirat,7,5,17,ツィツィ,Tsirat,Tsirat,8,3,0,0,Must not lose,0,Can escape
12,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,73,採掘士,Mine Patrol,Fossor,4,2,73,採掘士,Mine Patrol,Fossor,6,2,73,採掘士,Mine Patrol,Fossor,2,1,73,採掘士,Mine Patrol,Fossor,8,1,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,82,0,Must not lose,1,Cannot escape
13,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,136,アントニオＪｒ,Antonio 2,Antonio 2,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,84,1,May try again,1,Cannot escape
14,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,137,ディアトリマ,Rik'talish,Rik'talish,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,92,1,May try again,1,Cannot escape
15,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,155,ドブラ,Gordo,Gordo,5,1,156,ウォン三兄弟,Mad Chef,Furiosus,5,3,156,ウォン三兄弟,Mad Chef,Furiosus,3,1,156,ウォン三兄弟,Mad Chef,Furiosus,7,1,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,94,1,May try again,1,Cannot escape
16,2,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,32,調査兵,Enforcer,Enforca,4,3,32,調査兵,Enforcer,Enforca,6,3,32,調査兵,Enforcer,Enforca,3,4,32,調査兵,Enforcer,Enforca,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,98,1,May try again,1,Cannot escape
17,4,0,Vyse,6,4,1,Aika,4,4,2,Fina,4,6,5,Gilder,6,6,138,シニストラ,Sinistra,Sinistra,1,1,139,デクストラ,Destra,Destra,7,7,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,104,1,May try again,1,Cannot escape
18,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,140,ラミレス,Ramirez,Ramirez,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,106,2,May lose,1,Cannot escape
19,4,0,Vyse,4,8,1,Aika,5,5,5,Gilder,6,8,255,None,255,255,141,ビゴロ,Vigoro,Vigoro,5,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,108,1,May try again,1,Cannot escape
20,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,142,ブラキロフス,Dralkor Tank,Dralkor Lacus,4,1,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,112,1,May try again,1,Cannot escape
21,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,145,ジャオ,Jao,Jao,4,3,146,マオ,Mao,Mao,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,128,1,May try again,1,Cannot escape
22,6,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,4,Enrique,8,8,144,ディーゴ,Tortigar,Tortigar,4,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,132,1,May try again,1,Cannot escape
23,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,147,ムラジ,Muraji,Muraji,5,1,60,モノノフ,Soldier,Mereo,5,3,60,モノノフ,Soldier,Mereo,4,3,60,モノノフ,Soldier,Mereo,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,1,May try again,1,Cannot escape
24,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,148,ニルヴィナス,Veltarn,Veltarn,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,144,1,May try again,1,Cannot escape
25,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,150,ホルシ−ド,Dracoslyth,Dracoslyth,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,0,0,Must not lose,0,Can escape
26,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,255,None,255,255,152,ラミレス,Ramirez,Ramirez,5,3,100,アサシン,Shadow,Umbra,3,3,100,アサシン,Shadow,Umbra,7,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,158,2,May lose,1,Cannot escape
27,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,ビゴロ,Vigoro,Vigoro,5,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,160,1,May try again,1,Cannot escape
28,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,ラプラタヌス,Eliminator,Eliminator,4,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,160,1,May try again,1,Cannot escape
29,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,ガルシアン,Galcian,Galcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,0,0,Must not lose,0,Can escape
30,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,ラミレス,Ramirez,Ramirez,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,168,1,May try again,1,Cannot escape
31,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,ラミレス,Ramirez,Ramirez,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,170,1,May try again,1,Cannot escape
32,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,255,None,255,255,14,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,5,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,66,1,May try again,1,Cannot escape
33,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,255,None,255,255,24,デシェレト,Magma Tiki,Magma Tiki,3,4,24,デシェレト,Magma Tiki,Magma Tiki,5,3,24,デシェレト,Magma Tiki,Magma Tiki,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,66,0,Must not lose,0,Can escape
34,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,255,None,255,255,100,アサシン,Shadow,Umbra,5,3,100,アサシン,Shadow,Umbra,3,3,100,アサシン,Shadow,Umbra,7,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,158,1,May try again,1,Cannot escape
35,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,ナマトヌカ,Alusphere,Alusphere,1,2,59,ナマトヌカ,Alusphere,Alusphere,7,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,130,0,Must not lose,1,Cannot escape
36,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,ナマトヌカ,Alusphere,Alusphere,2,2,59,ナマトヌカ,Alusphere,Alusphere,6,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,130,0,Must not lose,1,Cannot escape
37,1,0,Vyse,4,7,1,Aika,6,7,255,None,255,255,255,None,255,255,4,アーアペプ,Grouder,Grouder,4,1,3,マロッカ,Marocca,Marocca,3,4,3,マロッカ,Marocca,Marocca,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,28,0,Must not lose,0,Can escape
38,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,モノノフ,Soldier,Mereo,4,3,60,モノノフ,Soldier,Mereo,6,3,60,モノノフ,Soldier,Mereo,3,2,60,モノノフ,Soldier,Mereo,7,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,0,Must not lose,0,Can escape
39,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,5,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,90,1,May try again,1,Cannot escape
40,2,0,Vyse,4,8,5,Gilder,6,8,255,None,255,255,255,None,255,255,112,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,102,1,May try again,1,Cannot escape
41,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,110,1,May try again,1,Cannot escape
42,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,122,1,May try again,1,Cannot escape
43,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,130,1,May try again,1,Cannot escape
44,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,142,1,May try again,1,Cannot escape
45,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,盗掘王シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,166,1,May try again,1,Cannot escape
46,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,盗掘王シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,166,1,May try again,1,Cannot escape
47,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,盗掘王シモン,Zivilyn Bane,Zivilyn Bane,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,166,1,May try again,1,Cannot escape
48,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,ガルシアン,Galcian,Galcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,0,0,Must not lose,0,Can escape
49,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,ラミレス,Ramirez,Ramirez,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,168,1,May try again,1,Cannot escape
50,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,ラミレス,Ramirez,Ramirez,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,170,1,May try again,1,Cannot escape
51,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,ガルシアン,Galcian,Galcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,164,1,May try again,1,Cannot escape
52,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,ラミレス,Ramirez,Ramirez,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,168,1,May try again,1,Cannot escape
53,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,ラミレス,Ramirez,Ramirez,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,170,1,May try again,1,Cannot escape
54,2,0,Vyse,4,7,5,Gilder,6,7,255,None,255,255,255,None,255,255,102,要塞将兵,Officer,Executor,4,2,102,要塞将兵,Officer,Executor,6,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,106,0,Must not lose,1,Cannot escape
55,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,255,None,255,255,102,要塞将兵,Officer,Executor,3,1,102,要塞将兵,Officer,Executor,6,1,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,106,0,Must not lose,1,Cannot escape
56,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,Tenkou,4,3,71,テンコウ,Tenkou,Tenkou,6,3,71,テンコウ,Tenkou,Tenkou,3,4,71,テンコウ,Tenkou,Tenkou,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,0,Must not lose,0,Can escape
57,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,Tenkou,4,3,71,テンコウ,Tenkou,Tenkou,6,3,71,テンコウ,Tenkou,Tenkou,3,4,71,テンコウ,Tenkou,Tenkou,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,0,Must not lose,0,Can escape
58,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,Tenkou,4,3,71,テンコウ,Tenkou,Tenkou,6,3,71,テンコウ,Tenkou,Tenkou,3,4,71,テンコウ,Tenkou,Tenkou,7,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,0,Must not lose,0,Can escape
59,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,Eversor,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,108,0,Must not lose,0,Can escape
60,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,Eversor,3,2,75,デ式レーダー,Destroyer,Eversor,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,108,0,Must not lose,0,Can escape
61,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,Eversor,4,2,75,デ式レーダー,Destroyer,Eversor,3,3,75,デ式レーダー,Destroyer,Eversor,5,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,108,0,Must not lose,0,Can escape
62,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,Eversor,3,2,75,デ式レーダー,Destroyer,Eversor,5,2,75,デ式レーダー,Destroyer,Eversor,2,3,75,デ式レーダー,Destroyer,Eversor,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,108,0,Must not lose,0,Can escape
63,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,255,None,255,255,24,デシェレト,Magma Tiki,Magma Tiki,3,2,24,デシェレト,Magma Tiki,Magma Tiki,5,3,24,デシェレト,Magma Tiki,Magma Tiki,7,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,66,0,Must not lose,0,Can escape
64,2,0,Vyse,5,7,1,Aika,6,8,2,Fina,4,8,255,None,255,255,24,デシェレト,Magma Tiki,Magma Tiki,3,3,24,デシェレト,Magma Tiki,Magma Tiki,5,2,24,デシェレト,Magma Tiki,Magma Tiki,7,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,66,0,Must not lose,0,Can escape
65,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,ベレーザ兵,Red Guard,Red Praeses,4,3,105,ベレーザ兵,Red Guard,Red Praeses,7,3,105,ベレーザ兵,Red Guard,Red Praeses,3,2,105,ベレーザ兵,Red Guard,Red Praeses,8,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,134,0,Must not lose,0,Can escape
66,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,ヒュドラ巨兵,Hydra Elite,Hydra,4,1,108,ヒュドラ巨兵,Hydra Elite,Hydra,2,4,108,ヒュドラ巨兵,Hydra Elite,Hydra,6,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,162,1,May try again,1,Cannot escape
67,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,Praeses Elite,3,3,106,工作兵,Elite Guard,Praeses Elite,4,3,106,工作兵,Elite Guard,Praeses Elite,5,3,106,工作兵,Elite Guard,Praeses Elite,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,150,0,Must not lose,0,Can escape
68,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,Praeses Elite,3,3,106,工作兵,Elite Guard,Praeses Elite,4,3,106,工作兵,Elite Guard,Praeses Elite,5,3,106,工作兵,Elite Guard,Praeses Elite,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,150,0,Must not lose,0,Can escape
69,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,エルシアン,Elcian,Elcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,210,1,May try again,0,Can escape
70,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,エルシアン,Elcian,Elcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,210,1,May try again,0,Can escape
71,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,エルシアン,Elcian,Elcian,5,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,210,1,May try again,0,Can escape
72,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,198,ルピー,Rupee,Rupee,5,2,208,バーツ,Barta,Barta,5,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,42,1,May try again,1,Cannot escape
