Entry ID,Entry US Name,PC Flags,[V],[A],[F],[D],[E],[G],Sell%,US Order 1,US Order 2,Pad 1,Buy,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,[US Descr Pos],[US Descr Size],US Descr Str
181,悟りの腕輪,0b00111111,X,X,X,X,X,X,100,22,29,0,10,65,Block Attack,0,1,17,Defense,0,40,-1,None,0,0,-1,None,0,0,0x365540,92,"無我の境地に達することで、通常の攻撃を一切
受けつけなくなる。また防御力も大きく上昇する。"
182,ケガレナ石,0b00111111,X,X,X,X,X,X,100,23,23,0,100,48,Poison,0,-10,32,Green,0,-2,17,Defense,0,5,18,MagDef,0,5,0x36559c,92,"「毒」を完全に防ぐ上、防御力とЖ防力も高める。
また緑属性の攻撃をやわらげる力も秘めている。"
183,シナナ石,0b00111111,X,X,X,X,X,X,100,30,30,0,100,49,Unconscious,0,-10,37,Silver,0,-2,17,Defense,0,5,18,MagDef,0,5,0x3655f8,92,"急な「失神」を防ぐ上、防御力とЖ防力を高める。
また銀属性の攻撃をやわらげる力も秘めている。"
184,カタマンナ石,0b00111111,X,X,X,X,X,X,100,29,11,0,100,50,Stone,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x365654,96,"「石化」を完全に防ぐ上、防御力とЖ防力を高める。
石化攻撃を持つ敵に対して絶大な効力を発揮する。"
185,ネーナ石,0b00111111,X,X,X,X,X,X,100,24,44,0,100,51,Sleep,0,-10,35,Blue,0,-2,17,Defense,0,5,18,MagDef,0,5,0x3656b4,96,"「睡眠」を完全に防ぐ上、防御力とЖ防力を高める。
また青属性の攻撃をやわらげる力も秘めている。"
186,マドワナ石,0b00111111,X,X,X,X,X,X,100,25,57,0,100,52,Confusion,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0x365714,96,"「混乱」を完全に防ぐ上、防御力とЖ防力を高める。
また紫属性の攻撃をやわらげる力も秘めている。"
187,ダマンナ石,0b00111111,X,X,X,X,X,X,100,26,37,0,100,53,Silence,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0x365774,96,"「沈黙」を完全に防ぐ上、防御力とЖ防力を高める。
また紫属性の攻撃をやわらげる力も秘めている。"
188,ツカレナ石,0b00111111,X,X,X,X,X,X,100,28,39,0,100,54,Fatigue,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x3657d4,96,"「疲労」を完全に防ぐ上、防御力とЖ防力を高める。
ガッツを制する者だけが戦いに勝つことができる。"
189,ヘコマナ石,0b00111111,X,X,X,X,X,X,100,27,52,0,100,56,Weak,0,-10,36,Yellow,0,-2,17,Defense,0,5,18,MagDef,0,5,0x365834,96,"「衰弱」を完全に防ぐ上、防御力とЖ防力を高める。
また黄属性の攻撃をやわらげる力も秘めている。"
190,キ石,0b00111111,X,X,X,X,X,X,100,31,15,0,1000,79,Block Neg States,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x365894,96,"持っていると、不利な状態を一切受けつけなくなり、
さらに防御力とЖ防力も高める。まさに奇跡の石。"
191,日よけのベール,0b00111111,X,X,X,X,X,X,50,34,49,0,640,17,Defense,0,9,18,MagDef,0,9,-1,None,0,0,-1,None,0,0,0x3658f4,88,"灼熱の陽射しから肌を守るため、砂漠の遊牧民が
かぶるベール。防御力とЖ防力が上昇する。"
192,耳あて帽,0b00111111,X,X,X,X,X,X,50,39,61,0,3580,17,Defense,0,24,18,MagDef,0,24,-1,None,0,0,-1,None,0,0,0x36594c,100,"北の空を飛ぶ空賊にはかかせない暖かい毛皮の帽子。
暖かい毛皮で頭を包み、防御力とЖ防力が上昇する。"
193,麻のターバン,0b00111111,X,X,X,X,X,X,50,35,1,0,770,16,Attack,0,9,1,Will,0,9,-1,None,0,0,-1,None,0,0,0x3659b0,92,"ナスルの民が通気性の高い麻で編んだターバン。
頭にしっかり巻くと、攻撃力と気力が上昇する。"
194,とんがり帽子,0b00111111,X,X,X,X,X,X,50,40,41,0,4300,16,Attack,0,24,1,Will,0,24,-1,None,0,0,-1,None,0,0,0x365a0c,92,"東方の空賊が大一番でのみ着用する奇抜な帽子。
目立つという自覚から、攻撃力と気力が上昇する。"
195,作業帽,0b00111111,X,X,X,X,X,X,50,33,28,0,480,17,Defense,0,4,18,MagDef,0,4,16,Attack,0,4,1,Will,0,4,0x365a68,76,"働き者の頭を保護する実用的な帽子。
攻撃力、防御力、気力、Ж防力が上昇する。"
196,青の空賊旗,0b00111111,X,X,X,X,X,X,50,41,0,0,6820,17,Defense,0,18,18,MagDef,0,18,16,Attack,0,18,1,Will,0,18,0x365ab4,92,"みずからの空賊旗を頭に巻くことは固い決意の表明。
攻撃力、防御力、気力、Ж防力が上昇する。"
197,アフロのかつら,0b00111111,X,X,X,X,X,X,50,36,2,0,3200,80,PC 1st Strike%,0,40,19,Hit%,0,40,-1,None,0,0,-1,None,0,0,0x365b10,92,"ナスルで流行の最先端を突き抜けているかつら。
相手のド肝を抜いて、先制確率と命中率があがる。"
198,シモンの覆面,0b00111111,X,X,X,X,X,X,50,37,31,0,3000,81,PC Run%,0,100,4,Quick,0,10,20,Dodge%,0,10,-1,None,0,0,0x365b6c,100,"目と口だけが開いた覆面でスピードと回避率が上昇。
特殊な場合を除けば必ず敵から逃げることができる。"
199,クルルのバンダナ,0b00111111,X,X,X,X,X,X,50,38,21,0,2800,4,Quick,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365bd0,92,"クルルの革をなめしたものを折りたたんで頭に巻くと
身のこなしがよくなり、スピードが上昇する。"
200,呪いの鉄仮面,0b00100101,X,"","",X,"",X,50,42,45,0,4760,68,Reduce SP,0,1,16,Attack,0,75,17,Defense,0,75,-1,None,0,0,0x365c2c,92,"頭にかぶると攻撃力、防御力が飛躍的に上昇するが、
呪いでパーティのガッツが０になってしまう。"
201,リボン,0b00011101,"",X,X,X,"",X,50,43,62,0,60,4,Quick,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365c88,92,"アイカが長い髪を束ねるために使っている細長い布。
動きやすくなるので、スピードが上昇する。"
202,花かんざし,0b00011101,"",X,X,X,"",X,50,44,46,0,2960,4,Quick,0,30,20,Dodge%,0,5,-1,None,0,0,-1,None,0,0,0x365ce4,80,"髪を束ねるためのヤフトマーの民芸品。
スピードが上昇するため、回避率も高くなる。"
203,三日月のバレッタ,0b00011101,"",X,X,X,"",X,50,45,60,0,5710,4,Quick,0,19,17,Defense,0,28,18,MagDef,0,28,-1,None,0,0,0x365d34,88,"三日月を模したデザインがとてもおしゃれな髪飾り。
スピード、防御力、Ж防力が上昇する。"
204,ゴーグル,0b00110000,X,X,"","","","",50,46,26,0,40,19,Hit%,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365d8c,92,"大空の航行では必需品ともいえるゴーグル。
強風の中でも視界が確保できるため命中率が上がる。"
205,暗視ゴーグル,0b00110000,X,X,"","","","",50,47,5,0,1930,19,Hit%,0,60,16,Attack,0,6,-1,None,0,0,-1,None,0,0,0x365de8,88,"暗闇の中でも視界を確保できる特殊なゴーグル。
装備することで命中率と攻撃力が上昇する。"
206,スコープゴーグル,0b00110000,X,X,"","","","",50,48,32,0,6660,19,Hit%,0,50,16,Attack,0,19,1,Will,0,19,-1,None,0,0,0x365e40,92,"相手の隙を見極めることができる高性能なゴーグル。
命中率と攻撃力はもちろん、気力も上昇する。"
207,ウッドパイプ,0b00000101,"","","",X,"",X,50,49,8,0,300,79,Block Neg States,0,-3,17,Defense,0,8,-1,None,0,0,-1,None,0,0,0x365e9c,92,"オトナの男に似合う、ずっしり重い木製のパイプ。
不利な状態への耐性があり、防御力も上昇する。"
208,チャンバーパイプ,0b00000101,"","","",X,"",X,50,51,38,0,4760,79,Block Neg States,0,-9,17,Defense,0,38,-1,None,0,0,-1,None,0,0,0x365ef8,96,"真ちゅうの筒で内部を強化した金属製のパイプ。
不利な状態への耐性が大変高く、防御力も上昇する。"
209,グラシアのわっか,0b00011000,"",X,X,"","","",50,16,20,0,2860,20,Dodge%,0,100,17,Defense,0,8,-1,None,0,0,-1,None,0,0,0x365f58,92,"敵からの通常攻撃をほとんどかわせるようになる
不思議な力を秘めたわっか。防御力も上昇する。"
210,ブラックマップ,0b00100000,X,"","","","","",100,56,51,0,777,84,Random Encounter%,0,100,80,PC 1st Strike%,0,25,82,EC 1st Strike%,0,0,83,EC Run%,0,0,0x365fb4,92,"敵に最も遭遇しやすいルートが記された地図。
また遭遇時の先制確率が上がり、敵の逃走も防ぐ。"
211,ホワイトマップ,0b00100000,X,"","","","","",100,57,56,0,666,84,Random Encounter%,0,5,80,PC 1st Strike%,0,0,82,EC 1st Strike%,0,0,81,PC Run%,0,100,0x366010,92,"敵に最も遭遇しにくいルートが記された地図。
また敵に遭遇しても、ほとんどの場合は逃走できる。"
212,キャプテンハット,0b00100000,X,"","","","","",100,61,17,0,10,16,Attack,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x36606c,96,"デルフィナスのクルーからヴァイスに贈られた帽子。
みんなからの信頼を受けて、攻撃力が上昇する。"
213,あみあみタイツ,0b00010000,"",X,"","","","",100,62,3,0,10,16,Attack,0,40,1,Will,0,40,-1,None,0,0,-1,None,0,0,0x3660cc,92,"自称アイカの隠れファンであるクルーの１人が
どこからか入手したもの。攻撃力と気力が上昇する。"
214,黒の眼帯,0b00100101,X,"","",X,"",X,100,52,22,0,10,16,Attack,0,7,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x366128,92,"どう猛な野獣の革を加工したドラクマ愛用の眼帯。
装備すると気がひき締まり、攻撃力が上昇する。"
215,銀のベール,0b00011000,"",X,X,"","","",100,53,19,0,100,1,Will,0,16,18,MagDef,0,16,-1,None,0,0,-1,None,0,0,0x366184,92,"ファイナの可憐な頭部を護る神秘的なベール。
編みこんだ銀の繊維で、気力とЖ防力が上昇する。"
216,皇族の紋章,0b00000010,"","","","",X,"",100,55,10,0,1000,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0x3661e0,92,"帝位継承権を持つ者だけが身につけることを許された
由緒正しい紋章。防御力とЖ防力が上昇する。"
217,だてメガネ,0b00110001,X,X,"","","",X,100,54,36,0,500,17,Defense,0,11,18,MagDef,0,11,16,Attack,0,11,1,Will,0,11,0x36623c,88,"ギルダーの愛用品。防御力、Ж防力、攻撃力、
さらに気力までもが上昇するすばらしいメガネ。"
218,アルマダの勲章,0b00111111,X,X,X,X,X,X,100,60,4,0,5000,49,Unconscious,0,-10,17,Defense,0,30,18,MagDef,0,30,-1,None,0,0,0x366294,96,"無敵を誇るアルマダ艦隊の輝かしい戦功の証し。
防御力とЖ防力が上昇し、失神することもなくなる。"
219,ウォーターパイプ,0b00000101,"","","",X,"",X,50,50,7,0,1490,79,Block Neg States,0,-6,17,Defense,0,21,-1,None,0,0,-1,None,0,0,0x3662f4,92,"違いのわかる男だけがたしなむ、至高の水パイプ。
不利な状態への耐性が高く、防御力も上昇する。"
220,防寒断熱帽,0b00111111,X,X,X,X,X,X,50,58,53,0,2080,33,Red,0,-5,34,Purple,0,-5,-1,None,0,0,-1,None,0,0,0x366350,96,"赤、紫という対照的な二つの属性の攻撃を画期的に
やわらげる力を秘めた帽子。持っておいて損はない。"
221,アンバランス,0b00111111,X,X,X,X,X,X,50,59,6,0,1010,1,Will,0,8,17,Defense,0,8,19,Hit%,0,10,4,Quick,0,8,0x3663b0,100,"気力と防御力と命中率とスピードが上昇する、お得な
感じの宝飾品。作られた場所や時代などは一切不明。"
222,キキヤス石,0b00111111,X,X,X,X,X,X,100,32,14,0,1000,79,Block Neg States,0,90,17,Defense,0,75,18,MagDef,0,75,-1,None,0,0,0x366414,92,"飛躍的に防御力とЖ防力を上昇させる代わりに、
すべての不利な状態がかかりやすくなってしまう。"
223,ダミーアクセサリ,0b00000000,"","","","","","",0,63,63,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
224,ダミーアクセサリ,0b00000000,"","","","","","",0,64,64,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
225,ダミーアクセサリ,0b00000000,"","","","","","",0,65,65,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
226,ダミーアクセサリ,0b00000000,"","","","","","",0,66,66,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
227,ダミーアクセサリ,0b00000000,"","","","","","",0,67,67,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
228,ダミーアクセサリ,0b00000000,"","","","","","",0,68,68,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
229,ダミーアクセサリ,0b00000000,"","","","","","",0,69,69,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
230,ダミーアクセサリ,0b00000000,"","","","","","",0,70,70,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
231,ダミーアクセサリ,0b00000000,"","","","","","",0,71,71,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
232,ダミーアクセサリ,0b00000000,"","","","","","",0,72,72,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
233,ダミーアクセサリ,0b00000000,"","","","","","",0,73,73,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
234,ダミーアクセサリ,0b00000000,"","","","","","",0,74,74,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
235,ダミーアクセサリ,0b00000000,"","","","","","",0,75,75,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
236,ダミーアクセサリ,0b00000000,"","","","","","",0,76,76,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
237,ダミーアクセサリ,0b00000000,"","","","","","",0,77,77,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
238,ダミーアクセサリ,0b00000000,"","","","","","",0,78,78,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
239,ダミーアクセサリ,0b00000000,"","","","","","",0,79,79,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x0,0,""
