Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[EC1 JP Name],[EC1 US Name],EC1 X,EC1 Z,EC2 ID,[EC2 JP Name],[EC2 US Name],EC2 X,EC2 Z,EC3 ID,[EC3 JP Name],[EC3 US Name],EC3 X,EC3 Z,EC4 ID,[EC4 JP Name],[EC4 US Name],EC4 X,EC4 Z,EC5 ID,[EC5 JP Name],[EC5 US Name],EC5 X,EC5 Z,EC6 ID,[EC6 JP Name],[EC6 US Name],EC6 X,EC6 Z,EC7 ID,[EC7 JP Name],[EC7 US Name],EC7 X,EC7 Z,Initiative,Defeat Cond ID,[Defeat Cond Name],Escape Cond ID,[Escape Cond Name],BGM ID
10,4,0,Vyse,5,8,1,Aika,7,9,2,Fina,3,9,-1,None,-1,-1,134,ラァス,Rokwyrm,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,68,1,May Try Again,1,Must Not Escape,60
11,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,17,ツィツィ,Tsirat,2,4,17,ツィツィ,Tsirat,3,2,17,ツィツィ,Tsirat,4,3,17,ツィツィ,Tsirat,5,4,17,ツィツィ,Tsirat,6,2,17,ツィツィ,Tsirat,7,5,17,ツィツィ,Tsirat,8,3,0,0,Must Not Lose,0,May Escape,58
12,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,73,採掘士,Mine Patrol,4,2,73,採掘士,Mine Patrol,6,2,73,採掘士,Mine Patrol,2,1,73,採掘士,Mine Patrol,8,1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,82,0,Must Not Lose,1,Must Not Escape,58
13,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,136,アントニオＪｒ,Antonio 2,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,84,1,May Try Again,1,Must Not Escape,60
14,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,137,ディアトリマ,Rik'talish,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,92,1,May Try Again,1,Must Not Escape,60
15,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,155,ドブラ,Gordo,5,1,156,ウォン三兄弟,Mad Chef,5,3,156,ウォン三兄弟,Mad Chef,3,1,156,ウォン三兄弟,Mad Chef,7,1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,94,1,May Try Again,1,Must Not Escape,60
16,2,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,32,調査兵,Enforcer,4,3,32,調査兵,Enforcer,6,3,32,調査兵,Enforcer,3,4,32,調査兵,Enforcer,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,98,1,May Try Again,1,Must Not Escape,58
17,4,0,Vyse,6,4,1,Aika,4,4,2,Fina,4,6,5,Gilder,6,6,138,シニストラ,Sinistra,1,1,139,デクストラ,Destra,7,7,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,104,1,May Try Again,1,Must Not Escape,60
18,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,140,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,106,2,May Lose,1,Must Not Escape,61
19,4,0,Vyse,4,8,1,Aika,5,5,5,Gilder,6,8,-1,None,-1,-1,141,ビゴロ,Vigoro,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,1,May Try Again,1,Must Not Escape,61
20,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,142,ブラキロフス,Dralkor Tank,4,1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,112,1,May Try Again,1,Must Not Escape,60
21,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,145,ジャオ,Jao,4,3,146,マオ,Mao,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,128,1,May Try Again,1,Must Not Escape,60
22,6,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,4,Enrique,8,8,144,ディーゴ,Tortigar,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,132,1,May Try Again,1,Must Not Escape,60
23,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,147,ムラジ,Muraji,5,1,60,モノノフ,Soldier,5,3,60,モノノフ,Soldier,4,3,60,モノノフ,Soldier,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,1,May Try Again,1,Must Not Escape,60
24,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,148,ニルヴィナス,Veltarn,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,144,1,May Try Again,1,Must Not Escape,60
25,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,150,ホルシ−ド,Dracoslyth,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,0,0,Must Not Lose,0,May Escape,60
26,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,152,ラミレス,Ramirez,5,3,100,アサシン,Shadow,3,3,100,アサシン,Shadow,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,2,May Lose,1,Must Not Escape,61
27,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,ビゴロ,Vigoro,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,160,1,May Try Again,1,Must Not Escape,61
28,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,ラプラタヌス,Eliminator,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,160,1,May Try Again,1,Must Not Escape,60
29,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,0,0,Must Not Lose,0,May Escape,61
30,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May Try Again,1,Must Not Escape,61
31,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May Try Again,1,Must Not Escape,62
32,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,14,盗掘者シモン,Zivilyn Bane,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,1,May Try Again,1,Must Not Escape,58
33,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,Magma Tiki,3,4,24,デシェレト,Magma Tiki,5,3,24,デシェレト,Magma Tiki,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,0,Must Not Lose,0,May Escape,58
34,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,100,アサシン,Shadow,5,3,100,アサシン,Shadow,3,3,100,アサシン,Shadow,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,1,May Try Again,1,Must Not Escape,58
35,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,ナマトヌカ,Alusphere,1,2,59,ナマトヌカ,Alusphere,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,0,Must Not Lose,1,Must Not Escape,58
36,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,ナマトヌカ,Alusphere,2,2,59,ナマトヌカ,Alusphere,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,0,Must Not Lose,1,Must Not Escape,58
37,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,4,アーアペプ,Grouder,4,1,3,マロッカ,Marocca,3,4,3,マロッカ,Marocca,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,28,0,Must Not Lose,0,May Escape,58
38,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,モノノフ,Soldier,4,3,60,モノノフ,Soldier,6,3,60,モノノフ,Soldier,3,2,60,モノノフ,Soldier,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must Not Lose,0,May Escape,59
39,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,盗掘者シモン,Zivilyn Bane,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,90,1,May Try Again,1,Must Not Escape,58
40,2,0,Vyse,4,8,5,Gilder,6,8,-1,None,-1,-1,-1,None,-1,-1,112,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May Try Again,1,Must Not Escape,58
41,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,盗掘者シモン,Zivilyn Bane,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,110,1,May Try Again,1,Must Not Escape,58
42,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,122,1,May Try Again,1,Must Not Escape,59
43,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,盗掘者シモン,Zivilyn Bane,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,1,May Try Again,1,Must Not Escape,58
44,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,142,1,May Try Again,1,Must Not Escape,58
45,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May Try Again,1,Must Not Escape,58
46,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May Try Again,1,Must Not Escape,58
47,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May Try Again,1,Must Not Escape,58
48,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,0,0,Must Not Lose,0,May Escape,61
49,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May Try Again,1,Must Not Escape,61
50,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May Try Again,1,Must Not Escape,62
51,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,164,1,May Try Again,1,Must Not Escape,61
52,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May Try Again,1,Must Not Escape,61
53,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May Try Again,1,Must Not Escape,62
54,2,0,Vyse,4,7,5,Gilder,6,7,-1,None,-1,-1,-1,None,-1,-1,102,要塞将兵,Officer,4,2,102,要塞将兵,Officer,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,106,0,Must Not Lose,1,Must Not Escape,58
55,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,-1,None,-1,-1,102,要塞将兵,Officer,3,1,102,要塞将兵,Officer,6,1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,106,0,Must Not Lose,1,Must Not Escape,58
56,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must Not Lose,0,May Escape,58
57,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must Not Lose,0,May Escape,58
58,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must Not Lose,0,May Escape,58
59,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must Not Lose,0,May Escape,-1
60,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,3,2,75,デ式レーダー,Destroyer,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must Not Lose,0,May Escape,-1
61,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,4,2,75,デ式レーダー,Destroyer,3,3,75,デ式レーダー,Destroyer,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must Not Lose,0,May Escape,-1
62,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,3,2,75,デ式レーダー,Destroyer,5,2,75,デ式レーダー,Destroyer,2,3,75,デ式レーダー,Destroyer,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must Not Lose,0,May Escape,-1
63,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,Magma Tiki,3,2,24,デシェレト,Magma Tiki,5,3,24,デシェレト,Magma Tiki,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,0,Must Not Lose,0,May Escape,-1
64,2,0,Vyse,5,7,1,Aika,6,8,2,Fina,4,8,-1,None,-1,-1,24,デシェレト,Magma Tiki,3,3,24,デシェレト,Magma Tiki,5,2,24,デシェレト,Magma Tiki,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,0,Must Not Lose,0,May Escape,-1
65,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,ベレーザ兵,Red Guard,4,3,105,ベレーザ兵,Red Guard,7,3,105,ベレーザ兵,Red Guard,3,2,105,ベレーザ兵,Red Guard,8,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must Not Lose,0,May Escape,-1
66,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,ヒュドラ巨兵,Hydra Elite,4,1,108,ヒュドラ巨兵,Hydra Elite,2,4,108,ヒュドラ巨兵,Hydra Elite,6,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May Try Again,1,Must Not Escape,-1
67,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,3,3,106,工作兵,Elite Guard,4,3,106,工作兵,Elite Guard,5,3,106,工作兵,Elite Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,0,Must Not Lose,0,May Escape,-1
68,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,3,3,106,工作兵,Elite Guard,4,3,106,工作兵,Elite Guard,5,3,106,工作兵,Elite Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,0,Must Not Lose,0,May Escape,-1
69,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May Try Again,0,May Escape,-1
70,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May Try Again,0,May Escape,-1
71,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May Try Again,0,May Escape,-1
72,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,0,Must Not Lose,0,May Escape,-1
73,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,0,Must Not Lose,0,May Escape,-1
74,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,0,Must Not Lose,0,May Escape,-1
75,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,0,Must Not Lose,0,May Escape,-1
76,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,軍艦兵,Soldier,0,0,0,0,Must Not Lose,0,May Escape,-1
