Entry ID,JP Entry Name,Element ID,[Element Name],Ord by 123,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str,[JP Ship Descr Pos],[JP Ship Descr Size],JP Ship Descr Str
10,プワザ,0,Green,50,0x2,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332ce4,100,敵単体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝３,0x0,0,""
11,プワゾーク,0,Green,51,0x2,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332d48,100,敵全体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝６,0x0,0,""
12,スリーパ,3,Blue,110,0x2,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332dac,96,一定の確率で敵全体を「睡眠」の状態にするЖ術。\n大量のザコ敵は、眠らせておくのも手だ。消費Ｇ＝６,0x0,0,""
13,クイッカ,3,Blue,70,0x3,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,6,1,0,-1,0,0,0,0x332e0c,96,仲間全員を「機敏」の状態にするЖ術。スピードが\n２倍になり、逃走成功率も上がる。　　　消費Ｇ＝６,0x33d494,76,船のスピードを２倍にする。\n効果は１ターン持続する。　　　　　 　消費Ｇ＝６
14,キュア,5,Silver,80,0x2,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332e6c,100,仲間ひとりの「失神」を除くすべての不利な状態を、\n確実に治療するЖ術。長旅の必需品だ。　消費Ｇ＝２,0x0,0,""
15,ライザ,5,Silver,90,0x2,"",X,"",27,Revive w/ HP of 50%,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332ed0,96,仲間ひとりを「失神」の状態から、50％の確率で\n復活させるЖ術。ＨＰも最大値の50％だ。消費Ｇ＝４,0x0,0,""
16,ライゾン,5,Silver,91,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332f30,100,仲間ひとりを「失神」の状態から、確実に復活させる\nЖ術。ＨＰも最大値まで回復する。　　　消費Ｇ＝８,0x0,0,""
17,ジェダ,5,Silver,100,0x2,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332f94,96,一定の確率で敵単体を即死させるЖ術。亜空間から\n出現した無数の刃が、敵の体を貫く。　　消費Ｇ＝５,0x0,0,""
18,ジェデス,5,Silver,101,0x2,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332ff4,96,一定の確率で敵全体を即死させるЖ術。亜空間から\n出現した刃が、豪雨のごとく降り注ぐ。　消費Ｇ＝10,0x0,0,""
19,ジェドーサ,5,Silver,102,0x2,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x333054,96,敵単体を確実に即死させるЖ術。完全な即死耐性を\n持つ敵に対しては、大ダメージを与える。消費Ｇ＝15,0x0,0,""
20,ウェイバ,3,Blue,60,0x3,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,0x3330b4,100,敵単体をカマイタチで包み込み、ダメージを与える。\n近くにいる敵を巻き込むこともある。　　消費Ｇ＝２,0x33d4e0,80,Ж術発射装置によって使用可能。\n波動弾で、敵にダメージを与える。　　　消費Ｇ＝２
21,ウェイビィ,3,Blue,61,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,0x333118,88,敵単体を中心に巨大な竜巻を発生させて、\n広い範囲の敵に大ダメージを与える。　　消費Ｇ＝４,0x33d530,80,Ж術発射装置によって使用可能。\n大波動弾で、敵にダメージを与える。　　消費Ｇ＝４
22,ウェボーン,3,Blue,63,0x3,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,0x333170,100,絡み合う竜巻の群れが、敵単体を中心とした広範囲に\n超特大のダメージ。ほとんど全体攻撃だ。消費Ｇ＝８,0x33d580,80,Ж術発射装置によって使用可能。\n波動砲弾で、敵にダメージを与える。　　消費Ｇ＝８
23,バーナ,1,Red,0,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,0x3331d4,92,戦いの場の中心に爆発を起こし、火炎と爆風で\n敵全体にダメージを与える。　　　　　　消費Ｇ＝２,0x33d5d0,80,Ж術発射装置によって使用可能。\n炎の弾で、敵にダメージを与える。　　　消費Ｇ＝２
24,バーニィ,1,Red,1,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,1,0,0,0,0x333230,96,縦横無尽に裂けた大地から、爆炎の帯が吹き出し、\n敵全体に大きなダメージを与える。　　　消費Ｇ＝４,0x33d620,80,Ж術発射装置によって使用可能。\n大火炎の弾で、敵にダメージを与える。　消費Ｇ＝４
25,バーネス,1,Red,2,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,1,0,0,0,0x333290,96,Жく閃光とともに天空より降り注ぐ火炎の玉が、\n敵全体に特大のダメージを与える。　　　消費Ｇ＝６,0x33d670,80,Ж術発射装置によって使用可能。\n灼熱弾で、敵にダメージを与える。　　　消費Ｇ＝６
26,グラシャ,2,Purple,10,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,2,0,0,0,0x3332f0,92,敵単体を凍気で包み込み、ダメージを与える。\nガッツの消費量が少ないのも魅力だ。　　消費Ｇ＝１,0x33d6c0,80,Ж術発射装置によって使用可能。\n氷の弾で、敵にダメージを与える。　　　消費Ｇ＝１
27,グラシィ,2,Purple,11,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,50,2,0,0,0,0x33334c,92,敵単体の足元から、瞬間的に発生したツララが\n敵の体を貫き、大きなダメージを与える。消費Ｇ＝２,0x33d710,80,Ж術発射装置によって使用可能。\n氷柱の弾で、敵にダメージを与える。　　消費Ｇ＝２
28,グラシェス,2,Purple,12,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,70,2,0,0,0,0x3333a8,92,足元から伸び上がった巨大な氷柱が、敵単体を\n包み込んで、特大のダメージを与える。　消費Ｇ＝３,0x33d760,80,Ж術発射装置によって使用可能。\n吹雪の弾で、敵にダメージを与える。　　消費Ｇ＝３
29,グラゾーバ,2,Purple,13,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,2,0,0,0,0x333404,96,天空から降り注ぐ巨大な氷柱が、敵単体に次々と\n突き刺さり、超特大のダメージを与える。消費Ｇ＝４,0x33d7b0,80,Ж術発射装置によって使用可能。\nブリザード弾で、敵にダメージを与える。消費Ｇ＝４
30,バーノーン,1,Red,3,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,10,-1,150,1,0,0,0,0x333464,92,原子レベルで重なる誘爆が巨大な火球と化し、\n敵全体に超特大のダメージを与える。　　消費Ｇ＝10,0x33d800,80,Ж術発射装置によって使用可能。\n業火の弾で、敵にダメージを与える。　　消費Ｇ＝10
31,ウェイベス,3,Blue,62,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,4,0,0,0,0x3334c0,96,敵単体に超高気圧のかたまりをぶつけて、特大の\nダメージを与える。広い範囲を巻き込む。消費Ｇ＝６,0x33d850,80,Ж術発射装置によって使用可能。\n巨大波動弾で、敵にダメージを与える。消費Ｇ＝６
32,ボルタ,4,Yellow,30,0x3,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,3,0,0,0,0x333520,96,自分の目前で発生した放電が、敵単体に向かい、\nその直線上にいるすべての敵にダメージ。消費Ｇ＝２,0x33d8a0,80,Ж術発射装置によって使用可能。\n電磁弾で、敵にダメージを与える。　　　消費Ｇ＝２
33,ボルティ,4,Yellow,31,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,3,0,0,0,0x333580,100,地を切り裂く電撃が、敵単体に大ダメージを与える。\n運悪く流れ電撃に当たっても大ダメージ。消費Ｇ＝４,0x33d8f0,80,Ж術発射装置によって使用可能。\n強電磁弾で、敵にダメージを与える。　　消費Ｇ＝４
34,ボルテス,4,Yellow,32,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,3,0,0,0,0x3335e4,96,敵単体に向かって放たれた電撃が広範囲に広がり、\n多くの敵に特大ダメージを与える。　　　消費Ｇ＝６,0x33d940,80,Ж術発射装置によって使用可能。\n強烈な電磁弾で、敵にダメージを与える。消費Ｇ＝６
35,ボルドーラ,4,Yellow,33,0x3,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,3,0,0,0,0x333644,100,最強の攻撃Ж術。蓄積された電圧を一気に解き放ち、\n全体に近い範囲の敵に超特大ダメージ!!　消費Ｇ＝８,0x33d990,80,Ж術発射装置によって使用可能。\n強電磁砲弾で、敵にダメージを与える。　消費Ｇ＝８
