Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
62,0x32dd8c,15,Shift_JIS,FPS          -,"""FPS          -"""
63,0x32dd9c,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
64,0x32ddac,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
65,0x32ddbc,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
66,0x32ddcc,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
67,0x32dddc,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
68,0x32ddec,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
69,0x32ddfc,15,Shift_JIS,PERS         -,"""PERS         -"""
70,0x32de0c,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
71,0x32de1c,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
72,0x32de2c,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
73,0x32de3c,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
74,0x32de4c,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
75,0x32de5c,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
76,0x32de6c,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
77,0x32de80,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
78,0x32de94,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
79,0x32dea8,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
80,0x32debc,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
81,0x32ded8,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
82,0x32def4,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
83,0x32df10,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
84,0x32df30,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
85,0x32df4c,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
86,0x32df64,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
87,0x32df7c,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
88,0x32df98,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
89,0x32dfb4,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
90,0x32dfd0,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
91,0x32dfe4,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
92,0x32dff8,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
93,0x32e00c,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
94,0x32e020,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
95,0x32e034,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
96,0x32e048,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
97,0x32e060,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
98,0x32e078,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
99,0x32e084,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
100,0x32e090,13,Shift_JIS,START - EXIT,"""START - EXIT"""
101,0x32e0a0,12,Shift_JIS,UP    - Z +,"""UP    - Z +"""
102,0x32e0ac,12,Shift_JIS,DOWN  - Z -,"""DOWN  - Z -"""
103,0x32e0b8,12,Shift_JIS,LEFT  - X +,"""LEFT  - X +"""
104,0x32e0c4,12,Shift_JIS,RIGHT - X -,"""RIGHT - X -"""
105,0x32e0d0,17,Shift_JIS,L BTN - Y ROLL +,"""L BTN - Y ROLL +"""
106,0x32e0e4,17,Shift_JIS,R BTN - Y ROLL -,"""R BTN - Y ROLL -"""
107,0x32e0f8,17,Shift_JIS,X BTN - X ROLL +,"""X BTN - X ROLL +"""
108,0x32e10c,17,Shift_JIS,A BTN - X ROLL -,"""A BTN - X ROLL -"""
109,0x32e120,19,Shift_JIS,Z BTN - RESET VIEW,"""Z BTN - RESET VIEW"""
110,0x32e134,12,Shift_JIS,UP    - Z -,"""UP    - Z -"""
111,0x32e140,12,Shift_JIS,DOWN  - Z +,"""DOWN  - Z +"""
112,0x32e14c,12,Shift_JIS,LEFT  - X -,"""LEFT  - X -"""
113,0x32e158,12,Shift_JIS,RIGHT - X +,"""RIGHT - X +"""
114,0x32e164,18,Shift_JIS,UP    - LIGHT Z +,"""UP    - LIGHT Z +"""
115,0x32e178,18,Shift_JIS,DOWN  - LIGHT Z -,"""DOWN  - LIGHT Z -"""
116,0x32e18c,18,Shift_JIS,LEFT  - LIGHT X +,"""LEFT  - LIGHT X +"""
117,0x32e1a0,18,Shift_JIS,RIGHT - LIGHT X -,"""RIGHT - LIGHT X -"""
118,0x32e1b4,18,Shift_JIS,R BTN - LIGHT Y +,"""R BTN - LIGHT Y +"""
119,0x32e1c8,18,Shift_JIS,L BTN - LIGHT Y -,"""L BTN - LIGHT Y -"""
120,0x32e1dc,19,Shift_JIS,A BTN - AMBIENT UP,"""A BTN - AMBIENT UP"""
121,0x32e1f0,19,Shift_JIS,B BTN - DEFFUSE UP,"""B BTN - DEFFUSE UP"""
122,0x32e204,17,Shift_JIS,C BTN - SPECULAR,"""C BTN - SPECULAR"""
123,0x32e218,21,Shift_JIS,X BTN - LIGHT SWITCH,"""X BTN - LIGHT SWITCH"""
124,0x32e230,34,Shift_JIS,(L BTN)+(R BTN) - DELETE MURABITO,"""(L BTN)+(R BTN) - DELETE MURABITO"""
125,0x32e254,22,Shift_JIS,A BTN - SET MUARABITO,"""A BTN - SET MUARABITO"""
126,0x32e26c,4,Shift_JIS,%1d,"""%1d"""
127,0x32e270,6,Shift_JIS,%3.2f,"""%3.2f"""
128,0x32e278,4,Shift_JIS,%3d,"""%3d"""
129,0x32e27c,15,Shift_JIS,INFOMATION ON ,"""INFOMATION ON """
130,0x32e28c,13,Shift_JIS,STAGE SELECT,"""STAGE SELECT"""
131,0x32e29c,10,Shift_JIS,GAME MODE,"""GAME MODE"""
132,0x32e2a8,12,Shift_JIS,CAMERA MODE,"""CAMERA MODE"""
133,0x32e2b4,11,Shift_JIS,LIGHT MODE,"""LIGHT MODE"""
134,0x32e2c0,9,Shift_JIS,FOG MENU,"""FOG MENU"""
135,0x32e2cc,13,Shift_JIS,START = EXIT,"""START = EXIT"""
136,0x32e2dc,14,Shift_JIS,CAMERA MODE 0,"""CAMERA MODE 0"""
137,0x32e2ec,12,Shift_JIS,PURSUIT INF,"""PURSUIT INF"""
138,0x32e2f8,9,Shift_JIS,VIEW INF,"""VIEW INF"""
139,0x32e304,10,Shift_JIS,ALL RESET,"""ALL RESET"""
140,0x32e310,8,Shift_JIS,FOG OFF,"""FOG OFF"""
141,0x32e318,16,Shift_JIS,NEAR    -1.0000,"""NEAR    -1.0000"""
142,0x32e328,16,Shift_JIS,FAR   -100.0000,"""FAR   -100.0000"""
143,0x32e338,12,Shift_JIS,RED     255,"""RED     255"""
144,0x32e344,12,Shift_JIS,GREEN   255,"""GREEN   255"""
145,0x32e350,12,Shift_JIS,BULE    255,"""BULE    255"""
146,0x32e35c,16,Shift_JIS,\\sound\\m04s.p16,"""\\sound\\m04s.p16"""
147,0x32e3c4,15,Shift_JIS,\\ending\\sr.mll,"""\\ending\\sr.mll"""
148,0x32e3d4,17,Shift_JIS,\\ending\\srok.mll,"""\\ending\\srok.mll"""
149,0x32e3e8,18,Shift_JIS,\\ending\\staff.mld,"""\\ending\\staff.mld"""
150,0x32e8d4,25,Shift_JIS,Call Back Hooking Failed,"""Call Back Hooking Failed"""
151,0x32e8f0,24,Shift_JIS,Call Back Delete Failed,"""Call Back Delete Failed"""
152,0x32e908,32,Shift_JIS,FioInit Error (memory allocate),"""FioInit Error (memory allocate)"""
153,0x32e928,36,Shift_JIS,FioOpen Error (memory allocate): %s,"""FioOpen Error (memory allocate): %s"""
154,0x32e94c,18,Shift_JIS,FioOpen Error: %s,"""FioOpen Error: %s"""
155,0x32e960,33,Shift_JIS,FioOpen Error (File Size): %s %d,"""FioOpen Error (File Size): %s %d"""
156,0x32e984,35,Shift_JIS,FioReadReq Error (memory allocate),"""FioReadReq Error (memory allocate)"""
157,0x32e9a8,8,Shift_JIS,a299a01,"""a299a01"""
158,0x32e9b0,37,Shift_JIS,Fio Auto Error (memory allocate): %s,"""Fio Auto Error (memory allocate): %s"""
159,0x32e9d8,41,Shift_JIS,Fio Stream Error (memory allocate 1): %s,"""Fio Stream Error (memory allocate 1): %s"""
160,0x32ea04,30,Shift_JIS,Fio Stream Link Nothing Error,"""Fio Stream Link Nothing Error"""
161,0x32ea24,24,Shift_JIS,File Seek Origin Error:,"""File Seek Origin Error:"""
162,0x32ea3c,23,Shift_JIS,File Seek Error: %d %d,"""File Seek Error: %d %d"""
163,0x32ea54,3,Shift_JIS,..,""".."""
164,0x32ea60,31,Shift_JIS,Move Root Dir Error : %s %d %d,"""Move Root Dir Error : %s %d %d"""
165,0x32ea80,26,Shift_JIS,Move Dir Error : %s %d %d,"""Move Dir Error : %s %d %d"""
166,0x32ea9c,30,Shift_JIS,Move Cache Error : %s - %d %d,"""Move Cache Error : %s - %d %d"""
167,0x32eabc,17,Shift_JIS,LIGHT TRAP ERROR,"""LIGHT TRAP ERROR"""
168,0x32ead0,23,Shift_JIS,LIGHT STACK OVER ERROR,"""LIGHT STACK OVER ERROR"""
169,0x32eae8,24,Shift_JIS,LIGHT STACK UNDER ERROR,"""LIGHT STACK UNDER ERROR"""
170,0x32eb00,26,Shift_JIS,SCRIPT LIGHT NUMBER ERROR,"""SCRIPT LIGHT NUMBER ERROR"""
171,0x32eb1c,26,Shift_JIS,CHANGE VERTEX COLOR START,"""CHANGE VERTEX COLOR START"""
172,0x32eb38,3,Shift_JIS,rb,"""rb"""
173,0x32eb3c,25,Shift_JIS,MLD FAST HANDLE IS EMPTY,"""MLD FAST HANDLE IS EMPTY"""
174,0x32eb58,35,Shift_JIS,mldTaskLoadMldDataAll Malloc Error,"""mldTaskLoadMldDataAll Malloc Error"""
175,0x32eb7c,22,Shift_JIS,MLD FAST HANDLE ERROR,"""MLD FAST HANDLE ERROR"""
176,0x32eb94,12,Shift_JIS,Aug 21 2000,"""Aug 21 2000"""
177,0x32eba0,9,Shift_JIS,15:49:03,"""15:49:03"""
178,0x32ebac,14,Shift_JIS,01%02d45-7890,"""01%02d45-7890"""
179,0x32ebbc,22,Shift_JIS,memory allocate error,"""memory allocate error"""
180,0x32ebd4,18,Shift_JIS,Config Init Error,"""Config Init Error"""
181,0x32ebe8,18,Shift_JIS,Config Exit Error,"""Config Exit Error"""
182,0x32ebfc,12,Shift_JIS,\\bonito.drv,"""\\bonito.drv"""
183,0x32ec08,13,Shift_JIS,\\aresnew.mlt,"""\\aresnew.mlt"""
184,0x32ec18,25,Shift_JIS,MONO STEREO SET ERROR %d,"""MONO STEREO SET ERROR %d"""
185,0x32ec34,20,Shift_JIS,\\sound\\b7000000.mlt,"""\\sound\\b7000000.mlt"""
186,0x32ec48,12,Shift_JIS,\\player.mlz,"""\\player.mlz"""
187,0x32ec54,4,Shift_JIS,Jan,"""Jan"""
188,0x32ec58,4,Shift_JIS,Feb,"""Feb"""
189,0x32ec5c,4,Shift_JIS,Mar,"""Mar"""
190,0x32ec60,4,Shift_JIS,Apr,"""Apr"""
191,0x32ec64,4,Shift_JIS,May,"""May"""
192,0x32ec68,4,Shift_JIS,Jun,"""Jun"""
193,0x32ec6c,4,Shift_JIS,Jul,"""Jul"""
194,0x32ec70,4,Shift_JIS,Aug,"""Aug"""
195,0x32ec74,4,Shift_JIS,Sep,"""Sep"""
196,0x32ec78,4,Shift_JIS,Oct,"""Oct"""
197,0x32ec7c,4,Shift_JIS,Nov,"""Nov"""
198,0x32ec80,4,Shift_JIS,Dec,"""Dec"""
199,0x32ec84,22,Shift_JIS,MATRIX STACK OVER !!!,"""MATRIX STACK OVER !!!"""
200,0x32ec9c,27,Shift_JIS,IDmem change size:%d %c %d,"""IDmem change size:%d %c %d"""
201,0x32ecb8,22,Shift_JIS,memory allocate error,"""memory allocate error"""
202,0x32ecd0,7,Shift_JIS,M_AMEM,"""M_AMEM"""
203,0x32ecd8,30,Shift_JIS,IDmem Search error:0xffffffff,"""IDmem Search error:0xffffffff"""
204,0x32ecf8,28,Shift_JIS,Memory Segment Error 0x%08x,"""Memory Segment Error 0x%08x"""
205,0x32ed14,26,Shift_JIS,NoEqu free IDmem:%d %c %d,"""NoEqu free IDmem:%d %c %d"""
206,0x32ed30,26,Shift_JIS,no free IDmemory:%d %c %d,"""no free IDmemory:%d %c %d"""
207,0x32ed4c,6,Shift_JIS,_AMEM,"""_AMEM"""
208,0x32ed54,14,Shift_JIS,memFree Error,"""memFree Error"""
209,0x32ed64,18,Shift_JIS,memFree Dup Error,"""memFree Dup Error"""
210,0x32ed78,7,Shift_JIS,D_AMEM,"""D_AMEM"""
211,0x32ed80,27,Shift_JIS,memory reallocate error -1,"""memory reallocate error -1"""
212,0x32ed9c,24,Shift_JIS,memory reallocate error,"""memory reallocate error"""
213,0x32edb4,7,Shift_JIS,R_AMEM,"""R_AMEM"""
214,0x32edbb,5,Shift_JIS,MEMM,"""MEMM"""
215,0x32edc0,5,Shift_JIS,FREE,"""FREE"""
216,0x32edc5,5,Shift_JIS,MEMR,"""MEMR"""
217,0x32edcc,33,Shift_JIS,メニュー用メモリを確保出来ません,"""\x83\x81\x83j\x83\x85\x81[\x97p\x83\x81\x83\x82\x83\x8A\x82\xF0\x8Am\x95\xDB\x8Fo\x97\x88\x82\xDC\x82\xB9\x82\xF1"""
218,0x32edf0,17,Shift_JIS,get matrix error,"""get matrix error"""
219,0x32ee04,23,Shift_JIS,Ground(%d) Link Max 16,"""Ground(%d) Link Max 16"""
220,0x32ee1c,22,Shift_JIS,False GrdLink (%d:%d),"""False GrdLink (%d:%d)"""
221,0x32ee34,25,Shift_JIS,No Convert Ground:%d(%d),"""No Convert Ground:%d(%d)"""
222,0x32ee50,19,Shift_JIS,False Ground No:%d,"""False Ground No:%d"""
223,0x32ee9c,5,Shift_JIS,.mlt,""".mlt"""
224,0x32eea4,16,Shift_JIS,ＣＥＳＡ ＲＯＭ,"""\x82b\x82d\x82r\x82` \x82q\x82n\x82l"""
225,0x32eeb4,12,Shift_JIS,Aug 08 2000,"""Aug 08 2000"""
226,0x32eec0,9,Shift_JIS,10:30:12,"""10:30:12"""
227,0x32eecc,15,Shift_JIS,PRESS A BUTTON,"""PRESS A BUTTON"""
228,0x32eedc,17,Shift_JIS,BankNum    : %3d,"""BankNum    : %3d"""
229,0x32eef0,17,Shift_JIS,RequestNum : %3d,"""RequestNum : %3d"""
230,0x32ef04,28,Shift_JIS,PRESS A BUTTON   TEST SOUND,"""PRESS A BUTTON   TEST SOUND"""
231,0x32ef20,28,Shift_JIS,PRESS B BUTTON   STOP SOUND,"""PRESS B BUTTON   STOP SOUND"""
232,0x32ef3c,34,Shift_JIS,PRESS S BUTTON   RETURN MAIN MENU,"""PRESS S BUTTON   RETURN MAIN MENU"""
233,0x32ef60,7,Shift_JIS,マップ,"""\x83}\x83b\x83v"""
234,0x32ef68,5,Shift_JIS,戦闘,"""\x90\xED\x93\xAC"""
235,0x32ef70,7,Shift_JIS,船戦闘,"""\x91D\x90\xED\x93\xAC"""
236,0x32ef78,15,Shift_JIS,サウンドテスト,"""\x83T\x83E\x83\x93\x83h\x83e\x83X\x83g"""
237,0x32ef88,7,Shift_JIS,OPTION,"""OPTION"""
238,0x32ef90,11,Shift_JIS,つづきから,"""\x82\xC2\x82\xC3\x82\xAB\x82\xA9\x82\xE7"""
239,0x32ef9c,4,Shift_JIS,BGM,"""BGM"""
240,0x32efa0,5,Shift_JIS,LOOP,"""LOOP"""
241,0x32efa8,3,Shift_JIS,SE,"""SE"""
242,0x32efac,10,Shift_JIS,FILE NAME,"""FILE NAME"""
243,0x32efb8,12,Shift_JIS,BANK NUMBER,"""BANK NUMBER"""
244,0x32efc4,12,Shift_JIS,LIST NUMBER,"""LIST NUMBER"""
245,0x32efd0,22,Shift_JIS,FreeTex Error GI=%08X,"""FreeTex Error GI=%08X"""
246,0x32efe8,3,Shift_JIS,rb,"""rb"""
247,0x32efec,5,Shift_JIS,GBIX,"""GBIX"""
248,0x32eff4,5,Shift_JIS,PVRT,"""PVRT"""
249,0x32effc,5,Shift_JIS,.pvr,""".pvr"""
250,0x32f004,26,Shift_JIS,False ReLoadRenderTexture,"""False ReLoadRenderTexture"""
251,0x32f020,18,Shift_JIS,\\title\\title0.mld,"""\\title\\title0.mld"""
252,0x32f034,20,Shift_JIS,\\title\\ts900000.mld,"""\\title\\ts900000.mld"""
253,0x32f05c,16,Shift_JIS,\\sound\\m02s.p16,"""\\sound\\m02s.p16"""
254,0x32f06c,19,Shift_JIS,\\title\\warning.mld,"""\\title\\warning.mld"""
255,0x32f080,20,Shift_JIS,\\title\\ts900026.mld,"""\\title\\ts900026.mld"""
256,0x32f094,20,Shift_JIS,\\title\\ts900028.mld,"""\\title\\ts900028.mld"""
257,0x32f0a8,31,Shift_JIS,ディスクをチェックしています。,"""\x83f\x83B\x83X\x83N\x82\xF0\x83`\x83F\x83b\x83N\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
258,0x32f0c8,29,Shift_JIS,メモリーカードがありません。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x82\xA0\x82\xE8\x82\xDC\x82\xB9\x82\xF1\x81B"""
259,0x32f0e8,43,Shift_JIS,メモリーカードの空き容量が不足しています。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xCC\x8B\xF3\x82\xAB\x97e\x97\xCA\x82\xAA\x95s\x91\xAB\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
260,0x32f114,45,Shift_JIS,ゲームのファイルを保存するには２７ブロックの,"""\x83Q\x81[\x83\x80\x82\xCC\x83t\x83@\x83C\x83\x8B\x82\xF0\x95\xDB\x91\xB6\x82\xB7\x82\xE9\x82\xC9\x82\xCD\x82Q\x82V\x83u\x83\x8D\x83b\x83N\x82\xCC"""
261,0x32f144,45,Shift_JIS,空きのあるメモリーカードが必要です。このまま,"""\x8B\xF3\x82\xAB\x82\xCC\x82\xA0\x82\xE9\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x95K\x97v\x82\xC5\x82\xB7\x81B\x82\xB1\x82\xCC\x82\xDC\x82\xDC"""
262,0x32f174,45,Shift_JIS,でもゲームを開始することはできますが、途中で,"""\x82\xC5\x82\xE0\x83Q\x81[\x83\x80\x82\xF0\x8AJ\x8En\x82\xB7\x82\xE9\x82\xB1\x82\xC6\x82\xCD\x82\xC5\x82\xAB\x82\xDC\x82\xB7\x82\xAA\x81A\x93r\x92\x86\x82\xC5"""
263,0x32f1a4,45,Shift_JIS,ゲームのファイルを保存することができません。,"""\x83Q\x81[\x83\x80\x82\xCC\x83t\x83@\x83C\x83\x8B\x82\xF0\x95\xDB\x91\xB6\x82\xB7\x82\xE9\x82\xB1\x82\xC6\x82\xAA\x82\xC5\x82\xAB\x82\xDC\x82\xB9\x82\xF1\x81B"""
264,0x32f1d4,8,Shift_JIS,\\disk1.,"""\\disk1."""
265,0x32f1dc,20,Shift_JIS,\\title\\ts900180.mld,"""\\title\\ts900180.mld"""
266,0x32f1f0,20,Shift_JIS,\\sound\\m5000000.mlt,"""\\sound\\m5000000.mlt"""
267,0x32f204,11,Shift_JIS,ME201A.sct,"""ME201A.sct"""
268,0x32f210,11,Shift_JIS,ME400X.sct,"""ME400X.sct"""
269,0x32f21c,11,Shift_JIS,ME202Z.sct,"""ME202Z.sct"""
270,0x32f228,11,Shift_JIS,ME002Z.sct,"""ME002Z.sct"""
271,0x32f234,11,Shift_JIS,ME399A.sct,"""ME399A.sct"""
272,0x32f240,11,Shift_JIS,ME299A.sct,"""ME299A.sct"""
273,0x32f24c,5,Shift_JIS,NJCM,"""NJCM"""
274,0x32f254,5,Shift_JIS,NJBM,"""NJBM"""
275,0x32f25c,34,Shift_JIS,scptBootup: scptArrayAlloc failed,"""scptBootup: scptArrayAlloc failed"""
276,0x32f280,34,Shift_JIS,scptArrayAlloc: initial two times,"""scptArrayAlloc: initial two times"""
277,0x32f2a4,30,Shift_JIS,scptArrayAlloc: malloc failed,"""scptArrayAlloc: malloc failed"""
278,0x32f2c4,43,Shift_JIS,scptArrayAlloc(LazyJobList): malloc failed,"""scptArrayAlloc(LazyJobList): malloc failed"""
279,0x32f2f0,22,Shift_JIS,scptLoad: Len is zero,"""scptLoad: Len is zero"""
280,0x32f308,31,Shift_JIS,scptLoad: gScpt.PtrTop == NULL,"""scptLoad: gScpt.PtrTop == NULL"""
281,0x32f328,27,Shift_JIS,scptAnarize: StackOverFlow,"""scptAnarize: StackOverFlow"""
282,0x32f344,22,Shift_JIS,scptSTUB: code error!,"""scptSTUB: code error!"""
283,0x32f35c,23,Shift_JIS,GOSUB: Stack over flow,"""GOSUB: Stack over flow"""
284,0x32f374,29,Shift_JIS,scptWWW: No Empty LazyBuffer,"""scptWWW: No Empty LazyBuffer"""
