Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[JP EC1 Name],[US EC1 Name],EC1 X,EC1 Z,EC2 ID,[JP EC2 Name],[US EC2 Name],EC2 X,EC2 Z,EC3 ID,[JP EC3 Name],[US EC3 Name],EC3 X,EC3 Z,EC4 ID,[JP EC4 Name],[US EC4 Name],EC4 X,EC4 Z,EC5 ID,[JP EC5 Name],[US EC5 Name],EC5 X,EC5 Z,EC6 ID,[JP EC6 Name],[US EC6 Name],EC6 X,EC6 Z,EC7 ID,[JP EC7 Name],[US EC7 Name],EC7 X,EC7 Z,Initiative,Defeat Cond ID,[Defeat Cond Name],Escape Cond ID,[Escape Cond Name],BGM ID
18,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
19,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
20,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
21,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
22,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
23,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
24,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
25,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
26,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
27,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
28,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,60
29,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
30,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
31,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,62
32,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
33,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
34,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
35,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
36,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
37,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
38,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,59
39,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
40,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
41,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
42,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,59
43,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
44,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
45,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
46,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
47,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
48,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
49,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
50,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,62
51,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
52,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,61
53,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,62
54,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
55,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
56,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
57,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
58,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,58
59,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,-1
60,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,Vyse,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,軍艦兵,Battleship Soldier,0,0,0,0,Must Not Lose,0,Can Escape,-1
