Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
1,MB007.STD,7,煌術処刑士,Magic Executor,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB007.STD,7,煌術処刑士,Magic Executor,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.50
3,MB007.STD,7,煌術処刑士,Magic Executor,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB007.STD,7,煌術処刑士,Magic Executor,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB007.STD,7,煌術処刑士,Magic Executor,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB013.STD,13,アスフール,Azbeth,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,0.80,5.80
1,MB013.STD,13,アスフール,Azbeth,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB013.STD,13,アスフール,Azbeth,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB013.STD,13,アスフール,Azbeth,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB013.STD,13,アスフール,Azbeth,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB013.STD,13,アスフール,Azbeth,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB015.STD,15,ヌール,Nur,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.20,16.50
1,MB015.STD,15,ヌール,Nur,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB015.STD,15,ヌール,Nur,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB015.STD,15,ヌール,Nur,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB015.STD,15,ヌール,Nur,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB015.STD,15,ヌール,Nur,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB029.STD,29,エルモ,Elmo,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,0,0.90,8.90
1,MB029.STD,29,エルモ,Elmo,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB029.STD,29,エルモ,Elmo,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MB029.STD,29,エルモ,Elmo,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB029.STD,29,エルモ,Elmo,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB029.STD,29,エルモ,Elmo,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB072.STD,72,警備士,Guard,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,0,1.50,13.00
1,MB072.STD,72,警備士,Guard,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB072.STD,72,警備士,Guard,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.80
3,MB072.STD,72,警備士,Guard,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB072.STD,72,警備士,Guard,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB072.STD,72,警備士,Guard,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MB096.STD,96,ロッキ,Stonehawk,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,6,1.00,5.00
1,MB096.STD,96,ロッキ,Stonehawk,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MB096.STD,96,ロッキ,Stonehawk,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,2.00
3,MB096.STD,96,ロッキ,Stonehawk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MB096.STD,96,ロッキ,Stonehawk,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MB096.STD,96,ロッキ,Stonehawk,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG000.STD,128,アントニオ,Antonio,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,6,1.00,5.00
1,MG000.STD,128,アントニオ,Antonio,1,Set Withdraw Speed,1,9,12,Revive,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MG000.STD,128,アントニオ,Antonio,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MG000.STD,128,アントニオ,Antonio,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG000.STD,128,アントニオ,Antonio,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG000.STD,128,アントニオ,Antonio,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG001.STD,129,アガタウマス,Agathamaus,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,10,0.40,3.40
1,MG001.STD,129,アガタウマス,Agathamaus,1,Set Withdraw Speed,1,9,14,Widthdraw,0b10011100000000000000000000000000,-1,None,3,0.00,1.00
2,MG001.STD,129,アガタウマス,Agathamaus,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,3.00,0.50
3,MG001.STD,129,アガタウマス,Agathamaus,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG001.STD,129,アガタウマス,Agathamaus,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG001.STD,129,アガタウマス,Agathamaus,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG002.STD,130,イマゴタリア,Imagotalia,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,7,1.00,6.50
1,MG002.STD,130,イマゴタリア,Imagotalia,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MG002.STD,130,イマゴタリア,Imagotalia,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.80
3,MG002.STD,130,イマゴタリア,Imagotalia,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG002.STD,130,イマゴタリア,Imagotalia,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG002.STD,130,イマゴタリア,Imagotalia,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG003.STD,131,獄長,Warden,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,7,0.50,7.50
1,MG003.STD,131,獄長,Warden,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MG003.STD,131,獄長,Warden,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MG003.STD,131,獄長,Warden,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG003.STD,131,獄長,Warden,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG003.STD,131,獄長,Warden,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG005.STD,133,護送将兵,Escort Officer,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.60,10.20
1,MG005.STD,133,護送将兵,Escort Officer,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MG005.STD,133,護送将兵,Escort Officer,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MG005.STD,133,護送将兵,Escort Officer,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG005.STD,133,護送将兵,Escort Officer,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG005.STD,133,護送将兵,Escort Officer,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MG006.STD,134,ラァス,Laas,0,Set Approach Speed,0,7,0,Idle 1,0b10001000010000000000000000000000,-1,None,0,1.00,5.00
1,MG006.STD,134,ラァス,Laas,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.00,1.00
2,MG006.STD,134,ラァス,Laas,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MG006.STD,134,ラァス,Laas,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MG006.STD,134,ラァス,Laas,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MG006.STD,134,ラァス,Laas,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
