Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #6,Padding #7,Padding #8,[JP descr. pos.],[JP descr. size],JP descr. str.,[JP ship descr. pos.],[JP ship descr. size],JP ship descr. str.
10,プワザ,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3371756,100,敵単体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝３,0,0,""
11,プワゾーク,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3371856,100,敵全体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝６,0,0,""
12,スリーパ,3,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3371956,96,一定の確率で敵全体を「睡眠」の状態にするЖ術。\n大量のザコ敵は、眠らせておくのも手だ。消費Ｇ＝６,0,0,""
13,クイッカ,3,Blue,70,3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,3372052,96,仲間全員を「機敏」の状態にするЖ術。スピードが\n２倍になり、逃走成功率も上がる。　　　消費Ｇ＝６,3414684,76,船のスピードを２倍にする。\n効果は１ターン持続する。　　　　　 　消費Ｇ＝６
14,キュア,5,Silver,80,2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372148,100,仲間ひとりの「失神」を除くすべての不利な状態を、\n確実に治療するЖ術。長旅の必需品だ。　消費Ｇ＝２,0,0,""
15,ライザ,5,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372248,96,仲間ひとりを「失神」の状態から、50％の確率で\n復活させるЖ術。ＨＰも最大値の50％だ。消費Ｇ＝４,0,0,""
16,ライゾン,5,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372344,100,仲間ひとりを「失神」の状態から、確実に復活させる\nЖ術。ＨＰも最大値まで回復する。　　　消費Ｇ＝８,0,0,""
17,ジェダ,5,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372444,96,一定の確率で敵単体を即死させるЖ術。亜空間から\n出現した無数の刃が、敵の体を貫く。　　消費Ｇ＝５,0,0,""
18,ジェデス,5,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372540,96,一定の確率で敵全体を即死させるЖ術。亜空間から\n出現した刃が、豪雨のごとく降り注ぐ。　消費Ｇ＝10,0,0,""
19,ジェドーサ,5,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3372636,96,敵単体を確実に即死させるЖ術。完全な即死耐性を\n持つ敵に対しては、大ダメージを与える。消費Ｇ＝15,0,0,""
20,ウェイバ,3,Blue,60,3,"",X,X,0,Damage,32,Enemy area #1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,3372732,100,敵単体をカマイタチで包み込み、ダメージを与える。\n近くにいる敵を巻き込むこともある。　　消費Ｇ＝２,3414760,80,Ж術発射装置によって使用可能。\n波動弾で、敵にダメージを与える。　　　消費Ｇ＝２
21,ウェイビィ,3,Blue,61,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,3372832,88,敵単体を中心に巨大な竜巻を発生させて、\n広い範囲の敵に大ダメージを与える。　　消費Ｇ＝４,3414840,80,Ж術発射装置によって使用可能。\n大波動弾で、敵にダメージを与える。　　消費Ｇ＝４
22,ウェボーン,3,Blue,63,3,"",X,X,0,Damage,34,Enemy area #3,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,3372920,100,絡み合う竜巻の群れが、敵単体を中心とした広範囲に\n超特大のダメージ。ほとんど全体攻撃だ。消費Ｇ＝８,3414920,80,Ж術発射装置によって使用可能。\n波動砲弾で、敵にダメージを与える。　　消費Ｇ＝８
23,バーナ,1,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,3373020,92,戦いの場の中心に爆発を起こし、火炎と爆風で\n敵全体にダメージを与える。　　　　　　消費Ｇ＝２,3415000,80,Ж術発射装置によって使用可能。\n炎の弾で、敵にダメージを与える。　　　消費Ｇ＝２
24,バーニィ,1,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,3373112,96,縦横無尽に裂けた大地から、爆炎の帯が吹き出し、\n敵全体に大きなダメージを与える。　　　消費Ｇ＝４,3415080,80,Ж術発射装置によって使用可能。\n大火炎の弾で、敵にダメージを与える。　消費Ｇ＝４
25,バーネス,1,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,3373208,96,Жく閃光とともに天空より降り注ぐ火炎の玉が、\n敵全体に特大のダメージを与える。　　　消費Ｇ＝６,3415160,80,Ж術発射装置によって使用可能。\n灼熱弾で、敵にダメージを与える。　　　消費Ｇ＝６
26,グラシャ,2,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,3373304,92,敵単体を凍気で包み込み、ダメージを与える。\nガッツの消費量が少ないのも魅力だ。　　消費Ｇ＝１,3415240,80,Ж術発射装置によって使用可能。\n氷の弾で、敵にダメージを与える。　　　消費Ｇ＝１
27,グラシィ,2,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,3373396,92,敵単体の足元から、瞬間的に発生したツララが\n敵の体を貫き、大きなダメージを与える。消費Ｇ＝２,3415320,80,Ж術発射装置によって使用可能。\n氷柱の弾で、敵にダメージを与える。　　消費Ｇ＝２
28,グラシェス,2,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,3373488,92,足元から伸び上がった巨大な氷柱が、敵単体を\n包み込んで、特大のダメージを与える。　消費Ｇ＝３,3415400,80,Ж術発射装置によって使用可能。\n吹雪の弾で、敵にダメージを与える。　　消費Ｇ＝３
29,グラゾーバ,2,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,3373580,96,天空から降り注ぐ巨大な氷柱が、敵単体に次々と\n突き刺さり、超特大のダメージを与える。消費Ｇ＝４,3415480,80,Ж術発射装置によって使用可能。\nブリザード弾で、敵にダメージを与える。消費Ｇ＝４
30,バーノーン,1,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,3373676,92,原子レベルで重なる誘爆が巨大な火球と化し、\n敵全体に超特大のダメージを与える。　　消費Ｇ＝10,3415560,80,Ж術発射装置によって使用可能。\n業火の弾で、敵にダメージを与える。　　消費Ｇ＝10
31,ウェイベス,3,Blue,62,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,3373768,96,敵単体に超高気圧のかたまりをぶつけて、特大の\nダメージを与える。広い範囲を巻き込む。消費Ｇ＝６,3415640,80,Ж術発射装置によって使用可能。\n巨大波動弾で、敵にダメージを与える。消費Ｇ＝６
32,ボルタ,4,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,3373864,96,自分の目前で発生した放電が、敵単体に向かい、\nその直線上にいるすべての敵にダメージ。消費Ｇ＝２,3415720,80,Ж術発射装置によって使用可能。\n電磁弾で、敵にダメージを与える。　　　消費Ｇ＝２
33,ボルティ,4,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,3373960,100,地を切り裂く電撃が、敵単体に大ダメージを与える。\n運悪く流れ電撃に当たっても大ダメージ。消費Ｇ＝４,3415800,80,Ж術発射装置によって使用可能。\n強電磁弾で、敵にダメージを与える。　　消費Ｇ＝４
34,ボルテス,4,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,3374060,96,敵単体に向かって放たれた電撃が広範囲に広がり、\n多くの敵に特大ダメージを与える。　　　消費Ｇ＝６,3415880,80,Ж術発射装置によって使用可能。\n強烈な電磁弾で、敵にダメージを与える。消費Ｇ＝６
35,ボルドーラ,4,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #3,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,3374156,100,最強の攻撃Ж術。蓄積された電圧を一気に解き放ち、\n全体に近い範囲の敵に超特大ダメージ!!　消費Ｇ＝８,3415960,80,Ж術発射装置によって使用可能。\n強電磁砲弾で、敵にダメージを与える。　消費Ｇ＝８
