Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
153,0x359f3c,37,Shift_JIS,Fio Auto Error (memory allocate): %s,"""Fio Auto Error (memory allocate): %s"""
154,0x359f64,41,Shift_JIS,Fio Stream Error (memory allocate 1): %s,"""Fio Stream Error (memory allocate 1): %s"""
155,0x359f90,30,Shift_JIS,Fio Stream Link Nothing Error,"""Fio Stream Link Nothing Error"""
156,0x359fb0,24,Shift_JIS,File Seek Origin Error:,"""File Seek Origin Error:"""
157,0x359fc8,23,Shift_JIS,File Seek Error: %d %d,"""File Seek Error: %d %d"""
158,0x359fe0,3,Shift_JIS,..,""".."""
159,0x359fec,31,Shift_JIS,Move Root Dir Error : %s %d %d,"""Move Root Dir Error : %s %d %d"""
160,0x35a00c,26,Shift_JIS,Move Dir Error : %s %d %d,"""Move Dir Error : %s %d %d"""
161,0x35a028,30,Shift_JIS,Move Cache Error : %s - %d %d,"""Move Cache Error : %s - %d %d"""
162,0x35a048,17,Shift_JIS,LIGHT TRAP ERROR,"""LIGHT TRAP ERROR"""
163,0x35a05c,23,Shift_JIS,LIGHT STACK OVER ERROR,"""LIGHT STACK OVER ERROR"""
164,0x35a074,24,Shift_JIS,LIGHT STACK UNDER ERROR,"""LIGHT STACK UNDER ERROR"""
165,0x35a08c,26,Shift_JIS,SCRIPT LIGHT NUMBER ERROR,"""SCRIPT LIGHT NUMBER ERROR"""
166,0x35a0a8,26,Shift_JIS,CHANGE VERTEX COLOR START,"""CHANGE VERTEX COLOR START"""
167,0x35a0c4,3,Shift_JIS,rb,"""rb"""
168,0x35a0c8,25,Shift_JIS,MLD FAST HANDLE IS EMPTY,"""MLD FAST HANDLE IS EMPTY"""
169,0x35a0e4,35,Shift_JIS,mldTaskLoadMldDataAll Malloc Error,"""mldTaskLoadMldDataAll Malloc Error"""
170,0x35a108,22,Shift_JIS,MLD FAST HANDLE ERROR,"""MLD FAST HANDLE ERROR"""
171,0x35a120,12,Shift_JIS,Aug 24 2000,"""Aug 24 2000"""
172,0x35a12c,9,Shift_JIS,11:46:35,"""11:46:35"""
173,0x35a138,14,Shift_JIS,01%02d45-7890,"""01%02d45-7890"""
174,0x35a148,22,Shift_JIS,memory allocate error,"""memory allocate error"""
175,0x35a160,18,Shift_JIS,Config Init Error,"""Config Init Error"""
176,0x35a174,18,Shift_JIS,Config Exit Error,"""Config Exit Error"""
177,0x35a188,12,Shift_JIS,\\bonito.drv,"""\\bonito.drv"""
178,0x35a194,22,Shift_JIS,VertexEntryBufferOver,"""VertexEntryBufferOver"""
179,0x35a1ac,17,Shift_JIS,VertexBufferOver,"""VertexBufferOver"""
180,0x35a1c0,17,Shift_JIS,MatrixBufferOver,"""MatrixBufferOver"""
181,0x35a1d4,16,Shift_JIS,ShapeBufferOver,"""ShapeBufferOver"""
182,0x35a1e4,13,Shift_JIS,\\aresnew.mlt,"""\\aresnew.mlt"""
183,0x35a1f4,25,Shift_JIS,MONO STEREO SET ERROR %d,"""MONO STEREO SET ERROR %d"""
184,0x35a210,20,Shift_JIS,\\sound\\b7000000.mlt,"""\\sound\\b7000000.mlt"""
185,0x35a224,12,Shift_JIS,\\player.mlz,"""\\player.mlz"""
186,0x35a230,4,Shift_JIS,Jan,"""Jan"""
187,0x35a234,4,Shift_JIS,Feb,"""Feb"""
188,0x35a238,4,Shift_JIS,Mar,"""Mar"""
189,0x35a23c,4,Shift_JIS,Apr,"""Apr"""
190,0x35a240,4,Shift_JIS,May,"""May"""
191,0x35a244,4,Shift_JIS,Jun,"""Jun"""
192,0x35a248,4,Shift_JIS,Jul,"""Jul"""
193,0x35a24c,4,Shift_JIS,Aug,"""Aug"""
194,0x35a250,4,Shift_JIS,Sep,"""Sep"""
195,0x35a254,4,Shift_JIS,Oct,"""Oct"""
196,0x35a258,4,Shift_JIS,Nov,"""Nov"""
197,0x35a25c,4,Shift_JIS,Dec,"""Dec"""
198,0x35a260,22,Shift_JIS,MATRIX STACK OVER !!!,"""MATRIX STACK OVER !!!"""
199,0x35a278,27,Shift_JIS,IDmem change size:%d %c %d,"""IDmem change size:%d %c %d"""
200,0x35a294,22,Shift_JIS,memory allocate error,"""memory allocate error"""
201,0x35a2ac,7,Shift_JIS,M_AMEM,"""M_AMEM"""
202,0x35a2b4,30,Shift_JIS,IDmem Search error:0xffffffff,"""IDmem Search error:0xffffffff"""
203,0x35a2d4,28,Shift_JIS,Memory Segment Error 0x%08x,"""Memory Segment Error 0x%08x"""
204,0x35a2f0,26,Shift_JIS,NoEqu free IDmem:%d %c %d,"""NoEqu free IDmem:%d %c %d"""
205,0x35a30c,26,Shift_JIS,no free IDmemory:%d %c %d,"""no free IDmemory:%d %c %d"""
206,0x35a328,6,Shift_JIS,_AMEM,"""_AMEM"""
207,0x35a330,14,Shift_JIS,memFree Error,"""memFree Error"""
208,0x35a340,18,Shift_JIS,memFree Dup Error,"""memFree Dup Error"""
209,0x35a354,7,Shift_JIS,D_AMEM,"""D_AMEM"""
210,0x35a35c,27,Shift_JIS,memory reallocate error -1,"""memory reallocate error -1"""
211,0x35a378,24,Shift_JIS,memory reallocate error,"""memory reallocate error"""
212,0x35a390,7,Shift_JIS,R_AMEM,"""R_AMEM"""
213,0x35a397,5,Shift_JIS,MEMM,"""MEMM"""
214,0x35a39c,5,Shift_JIS,FREE,"""FREE"""
215,0x35a3a1,5,Shift_JIS,MEMR,"""MEMR"""
216,0x35a3a8,33,Shift_JIS,メニュー用メモリを確保出来ません,"""\x83\x81\x83j\x83\x85\x81[\x97p\x83\x81\x83\x82\x83\x8A\x82\xF0\x8Am\x95\xDB\x8Fo\x97\x88\x82\xDC\x82\xB9\x82\xF1"""
217,0x35a3cc,17,Shift_JIS,get matrix error,"""get matrix error"""
218,0x35a3e0,21,Shift_JIS,Search Grd Delete %d,"""Search Grd Delete %d"""
219,0x35a3f8,17,Shift_JIS,Ground Delete %d,"""Ground Delete %d"""
220,0x35a40c,23,Shift_JIS,Ground(%d) Link Max 16,"""Ground(%d) Link Max 16"""
221,0x35a424,22,Shift_JIS,False GrdLink (%d:%d),"""False GrdLink (%d:%d)"""
222,0x35a43c,25,Shift_JIS,No Convert Ground:%d(%d),"""No Convert Ground:%d(%d)"""
223,0x35a458,19,Shift_JIS,False Ground No:%d,"""False Ground No:%d"""
224,0x35a46c,7,Shift_JIS,(%d)%d,"""(%d)%d"""
225,0x35a474,6,Shift_JIS,Disp:,"""Disp:"""
226,0x35a47c,4,Shift_JIS, 3D,""" 3D"""
227,0x35a480,6,Shift_JIS, Cell,""" Cell"""
228,0x35a488,6,Shift_JIS, Link,""" Link"""
229,0x35a490,5,Shift_JIS, All,""" All"""
230,0x35a498,6,Shift_JIS, Attr,""" Attr"""
231,0x35a4a0,8,Shift_JIS, Link2D,""" Link2D"""
232,0x35a4a8,7,Shift_JIS, All2D,""" All2D"""
233,0x35a4b0,8,Shift_JIS, Attr2D,""" Attr2D"""
234,0x35a4b8,9,Shift_JIS, ALink2D,""" ALink2D"""
235,0x35a4c4,8,Shift_JIS, AAll2D,""" AAll2D"""
236,0x35a4cc,12,Shift_JIS,地\n面\n無\n視,"""\x92n\n\x96\xCA\n\x96\xB3\n\x8E\x8B"""
237,0x35a4d8,5,Shift_JIS,CELL,"""CELL"""
238,0x35a4e0,4,Shift_JIS,ALL,"""ALL"""
239,0x35a4e4,4,Shift_JIS,DEL,"""DEL"""
240,0x35a4e8,11,Shift_JIS,Task Error,"""Task Error"""
241,0x35a52c,5,Shift_JIS,.mlt,""".mlt"""
242,0x35a534,16,Shift_JIS,ＣＥＳＡ ＲＯＭ,"""\x82b\x82d\x82r\x82` \x82q\x82n\x82l"""
243,0x35a544,12,Shift_JIS,Aug 24 2000,"""Aug 24 2000"""
244,0x35a550,9,Shift_JIS,11:46:42,"""11:46:42"""
245,0x35a55c,15,Shift_JIS,PRESS A BUTTON,"""PRESS A BUTTON"""
246,0x35a56c,17,Shift_JIS,BankNum    : %3d,"""BankNum    : %3d"""
247,0x35a580,17,Shift_JIS,RequestNum : %3d,"""RequestNum : %3d"""
248,0x35a594,28,Shift_JIS,PRESS A BUTTON   TEST SOUND,"""PRESS A BUTTON   TEST SOUND"""
249,0x35a5b0,28,Shift_JIS,PRESS B BUTTON   STOP SOUND,"""PRESS B BUTTON   STOP SOUND"""
250,0x35a5cc,34,Shift_JIS,PRESS S BUTTON   RETURN MAIN MENU,"""PRESS S BUTTON   RETURN MAIN MENU"""
251,0x35a5f0,3,Shift_JIS,→,"""\x81\xA8"""
252,0x35a5f4,15,Shift_JIS,全Ж術を覚えた,"""\x91S\x84G\x8Fp\x82\xF0\x8Ao\x82\xA6\x82\xBD"""
253,0x35a604,15,Shift_JIS,全Ж術を忘れた,"""\x91S\x84G\x8Fp\x82\xF0\x96Y\x82\xEA\x82\xBD"""
254,0x35a614,31,Shift_JIS,ここは船戦闘のチェック用です。,"""\x82\xB1\x82\xB1\x82\xCD\x91D\x90\xED\x93\xAC\x82\xCC\x83`\x83F\x83b\x83N\x97p\x82\xC5\x82\xB7\x81B"""
255,0x35a634,3,Shift_JIS,ON,"""ON"""
256,0x35a638,4,Shift_JIS,OFF,"""OFF"""
257,0x35a63c,5,Shift_JIS,乗船,"""\x8F\xE6\x91D"""
258,0x35a644,13,Shift_JIS,パーティイン,"""\x83p\x81[\x83e\x83B\x83C\x83\x93"""
259,0x35a654,5,Shift_JIS,他人,"""\x91\xBC\x90l"""
260,0x35a65c,45,Shift_JIS,ここは戦闘やステータス画面のチェック用です。,"""\x82\xB1\x82\xB1\x82\xCD\x90\xED\x93\xAC\x82\xE2\x83X\x83e\x81[\x83^\x83X\x89\xE6\x96\xCA\x82\xCC\x83`\x83F\x83b\x83N\x97p\x82\xC5\x82\xB7\x81B"""
261,0x35a68c,46,Shift_JIS,"nim Error Item!\nItemNumber: %3d, ItemName: %s","""nim Error Item!\nItemNumber: %3d, ItemName: %s"""
262,0x35a6bc,22,Shift_JIS,たってます。番号：%4d,"""\x82\xBD\x82\xC1\x82\xC4\x82\xDC\x82\xB7\x81B\x94\xD4\x8D\x86\x81F%4d"""
263,0x35a6d4,7,Shift_JIS,マップ,"""\x83}\x83b\x83v"""
264,0x35a6dc,5,Shift_JIS,戦闘,"""\x90\xED\x93\xAC"""
265,0x35a6e4,7,Shift_JIS,船戦闘,"""\x91D\x90\xED\x93\xAC"""
266,0x35a6ec,15,Shift_JIS,サウンドテスト,"""\x83T\x83E\x83\x93\x83h\x83e\x83X\x83g"""
267,0x35a6fc,7,Shift_JIS,OPTION,"""OPTION"""
268,0x35a704,11,Shift_JIS,つづきから,"""\x82\xC2\x82\xC3\x82\xAB\x82\xA9\x82\xE7"""
269,0x35a710,4,Shift_JIS,BGM,"""BGM"""
270,0x35a714,5,Shift_JIS,LOOP,"""LOOP"""
271,0x35a71c,3,Shift_JIS,SE,"""SE"""
272,0x35a720,10,Shift_JIS,FILE NAME,"""FILE NAME"""
273,0x35a72c,12,Shift_JIS,BANK NUMBER,"""BANK NUMBER"""
274,0x35a738,12,Shift_JIS,LIST NUMBER,"""LIST NUMBER"""
275,0x35a744,22,Shift_JIS,FreeTex Error GI=%08X,"""FreeTex Error GI=%08X"""
276,0x35a75c,3,Shift_JIS,rb,"""rb"""
277,0x35a760,5,Shift_JIS,GBIX,"""GBIX"""
278,0x35a768,5,Shift_JIS,PVRT,"""PVRT"""
279,0x35a770,27,Shift_JIS,TexManageErr %d %d %s = %s,"""TexManageErr %d %d %s = %s"""
280,0x35a78c,29,Shift_JIS,CalcTexSize 0 W=%d H=%d T=%X,"""CalcTexSize 0 W=%d H=%d T=%X"""
281,0x35a7ac,5,Shift_JIS,.pvr,""".pvr"""
282,0x35a7b4,26,Shift_JIS,False ReLoadRenderTexture,"""False ReLoadRenderTexture"""
283,0x35a7d0,18,Shift_JIS,\\title\\title0.mld,"""\\title\\title0.mld"""
284,0x35a7e4,20,Shift_JIS,\\title\\ts900000.mld,"""\\title\\ts900000.mld"""
285,0x35a80c,16,Shift_JIS,\\sound\\m02s.p16,"""\\sound\\m02s.p16"""
286,0x35a81c,19,Shift_JIS,\\title\\warning.mld,"""\\title\\warning.mld"""
287,0x35a830,20,Shift_JIS,\\title\\ts900026.mld,"""\\title\\ts900026.mld"""
288,0x35a844,20,Shift_JIS,\\title\\ts900028.mld,"""\\title\\ts900028.mld"""
289,0x35a858,31,Shift_JIS,ディスクをチェックしています。,"""\x83f\x83B\x83X\x83N\x82\xF0\x83`\x83F\x83b\x83N\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
290,0x35a878,29,Shift_JIS,メモリーカードがありません。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x82\xA0\x82\xE8\x82\xDC\x82\xB9\x82\xF1\x81B"""
291,0x35a898,43,Shift_JIS,メモリーカードの空き容量が不足しています。,"""\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xCC\x8B\xF3\x82\xAB\x97e\x97\xCA\x82\xAA\x95s\x91\xAB\x82\xB5\x82\xC4\x82\xA2\x82\xDC\x82\xB7\x81B"""
292,0x35a8c4,45,Shift_JIS,ゲームのファイルを保存するには２７ブロックの,"""\x83Q\x81[\x83\x80\x82\xCC\x83t\x83@\x83C\x83\x8B\x82\xF0\x95\xDB\x91\xB6\x82\xB7\x82\xE9\x82\xC9\x82\xCD\x82Q\x82V\x83u\x83\x8D\x83b\x83N\x82\xCC"""
293,0x35a8f4,45,Shift_JIS,空きのあるメモリーカードが必要です。このまま,"""\x8B\xF3\x82\xAB\x82\xCC\x82\xA0\x82\xE9\x83\x81\x83\x82\x83\x8A\x81[\x83J\x81[\x83h\x82\xAA\x95K\x97v\x82\xC5\x82\xB7\x81B\x82\xB1\x82\xCC\x82\xDC\x82\xDC"""
