Entry ID,Pad 1,US SOT Pos,[US Descr Pos],[US Descr Size],US Descr Str,Item 1 ID,[Item 1 Name],Item 2 ID,[Item 2 Name],Item 3 ID,[Item 3 Name],Item 4 ID,[Item 4 Name],Item 5 ID,[Item 5 Name],Item 6 ID,[Item 6 Name],Item 7 ID,[Item 7 Name],Item 8 ID,[Item 8 Name],Item 9 ID,[Item 9 Name],Item 10 ID,[Item 10 Name],Item 11 ID,[Item 11 Name],Item 12 ID,[Item 12 Name],Item 13 ID,[Item 13 Name],Item 14 ID,[Item 14 Name],Item 15 ID,[Item 15 Name],Item 16 ID,[Item 16 Name],Item 17 ID,[Item 17 Name],Item 18 ID,[Item 18 Name],Item 19 ID,[Item 19 Name],Item 20 ID,[Item 20 Name],Item 21 ID,[Item 21 Name],Item 22 ID,[Item 22 Name],Item 23 ID,[Item 23 Name],Item 24 ID,[Item 24 Name],Item 25 ID,[Item 25 Name],Item 26 ID,[Item 26 Name],Item 27 ID,[Item 27 Name],Item 28 ID,[Item 28 Name],Item 29 ID,[Item 29 Name],Item 30 ID,[Item 30 Name],Item 31 ID,[Item 31 Name],Item 32 ID,[Item 32 Name],Item 33 ID,[Item 33 Name],Item 34 ID,[Item 34 Name],Item 35 ID,[Item 35 Name],Item 36 ID,[Item 36 Name],Item 37 ID,[Item 37 Name],Item 38 ID,[Item 38 Name],Item 39 ID,[Item 39 Name],Item 40 ID,[Item 40 Name],Item 41 ID,[Item 41 Name],Item 42 ID,[Item 42 Name],Item 43 ID,[Item 43 Name],Item 44 ID,[Item 44 Name],Item 45 ID,[Item 45 Name],Item 46 ID,[Item 46 Name],Item 47 ID,[Item 47 Name],Item 48 ID,[Item 48 Name]
10,0,0x8c38cbc4,0x37cbc4,20,バスコスの武器屋,99,サファリシャツ,100,ネイビーの服,161,砂の指輪,163,星の指輪,169,ケベスクのうろこ,171,ブブロッカの甲羅,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
11,0,0x8c38cbc4,0x37cbc4,20,バスコスの武器屋,31,乱れ斬りの投刃,51,デ式アーム,67,バルア式拳銃,113,空賊王のツナギ,114,月のキャミソール,196,青の空賊旗,99,サファリシャツ,100,ネイビーの服,161,砂の指輪,163,星の指輪,169,ケベスクのうろこ,171,ブブロッカの甲羅,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
12,0,0x8c38cbd8,0x37cbd8,20,謎のさすらい商人,220,防寒断熱帽,221,アンバランス,269,氷の小箱,278,沈黙の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
13,0,0x8c38cbec,0x37cbec,16,武器販売許可所,23,バルメラン,49,カギ爪,90,バルアの古鎧,164,二連リング,195,作業帽,207,ウッドパイプ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
14,0,0x8c38cbfc,0x37cbfc,16,道具販売許可所,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
15,0,0x8c38cc0c,0x37cc0c,16,ケマルの武器屋,7,ナスルカトラス,93,ナスル商人の服,94,素焼きの鎧,95,サラームの法衣,191,日よけのベール,193,麻のターバン,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,0,0x8c38cc1c,0x37cc1c,20,道具のバルバル屋,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,252,アパコンデ,253,クイコンデ,254,リゲコンデ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
17,0,0x8c38cc30,0x37cc30,20,船装備の店ダック,402,汎主砲改,410,３インチ副砲,420,スワロー魚雷,440,ドクロの船首像,451,ターボキット,461,鋼装甲板,481,大爆弾,484,炎の爆弾,490,修復材,491,硬修復材,497,アパワックス,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
18,0,0x8c38cbd8,0x37cbd8,20,謎のさすらい商人,220,防寒断熱帽,221,アンバランス,269,氷の小箱,278,沈黙の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
19,0,0x8c38cc44,0x37cc44,20,戦いの店カパック,9,狩猟のカトラス,22,狩猟のブーメラン,96,鉱夫のツナギ,97,グラスローブ,98,金メッキの鎧,175,ケチャの羽根飾り,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,0,0x8c38cc58,0x37cc58,16,道具屋キスキス,241,サプガンの葉,242,サプハネの葉,244,Ж樹の玉,249,キュアリン草,250,ライ雑草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,0,0x8c38cc68,0x37cc68,12,カシムの店,408,古の主砲,436,ウェブガン,428,ホエール魚雷,447,女神の船首像,454,エアインテーク,477,シャンデリア,483,巨大爆弾,493,完全修復材,502,舵のグリス,503,機関オイル,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
22,0,0x8c38cc74,0x37cc74,16,リュウカン堂,12,ソランチュの剣,110,船長のマント,111,水神の聖衣,112,モコモコセーター,192,耳あて帽,194,とんがり帽子,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
23,0,0x8c38cc74,0x37cc74,16,リュウカン堂,15,心斬剣,28,風神の翼,52,キャッチアーム,59,ソリッドソード,70,ギルダーＳＰ,115,ガイアのマント,116,真実の聖衣,117,アレスの鎧,118,奇跡のローブ,203,三日月のバレッタ,206,スコープゴーグル,208,チャンバーパイプ,12,ソランチュの剣,110,船長のマント,111,水神の聖衣,112,モコモコセーター,192,耳あて帽,194,とんがり帽子,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
24,0,0x8c38cc84,0x37cc84,16,オスマンの店,267,炎の小箱,269,氷の小箱,271,風の小箱,273,雷の小箱,275,回復の小箱,278,沈黙の小箱,279,混乱の小箱,281,睡眠の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,0,0x8c38cc84,0x37cc84,16,オスマンの店,267,炎の小箱,268,爆炎の小箱,269,氷の小箱,270,凍結の小箱,271,風の小箱,272,竜巻の小箱,273,雷の小箱,274,稲妻の小箱,275,回復の小箱,276,回復の玉手箱,278,沈黙の小箱,279,混乱の小箱,280,脱力の小箱,281,睡眠の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
26,0,0x8c38cc94,0x37cc94,20,アルキュミス薬局,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,251,ライゾリン草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
27,0,0x8c38cc94,0x37cc94,20,アルキュミス薬局,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,251,ライゾリン草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,260,パワワの種,261,ウィルの種,262,ストレの種,264,スピィの種,265,ヒトポの種,266,コジポの種,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
28,0,0x8c38cca8,0x37cca8,20,武器の店ムハマド,6,斬鉄のカトラス,65,ナスル式短銃,101,ナスル軍服,102,キャラバンの服,103,高貴なローブ,219,ウォーターパイプ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
29,0,0x8c38ccbc,0x37ccbc,20,カリハリの道具屋,241,サプガンの葉,242,サプハネの葉,244,Ж樹の玉,252,アパコンデ,253,クイコンデ,254,リゲコンデ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
30,0,0x8c38ccd0,0x37ccd0,20,船装備の店バック,406,新鋭主砲,416,１０インチ副砲改,424,イーグル魚雷,442,赤き船首像,463,複合装甲板,471,システムキッチン,491,硬修復材,494,ギアグリス,497,アパワックス,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
31,0,0x8c38cce4,0x37cce4,16,バザーの武器屋,197,アフロのかつら,198,シモンの覆面,199,クルルのバンダナ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
32,0,0x8c38ccf4,0x37ccf4,16,バザーの道具屋,240,サプの葉,245,Ж樹の大玉,249,キュアリン草,290,チョム,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
33,0,0x8c38cbd8,0x37cbd8,20,謎のさすらい商人,220,防寒断熱帽,221,アンバランス,269,氷の小箱,278,沈黙の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
34,0,0x8c38cd04,0x37cd04,16,砂漠の交易商人,3,提督のカトラス,26,希望の翼,104,プレミアシャツ,105,歴戦の鎧,106,伝説のローブ,176,ビゴロチョーカー,177,提督の肩章,205,暗視ゴーグル,242,サプハネの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,406,新鋭主砲,416,１０インチ副砲改,424,イーグル魚雷,442,赤き船首像,463,複合装甲板,491,硬修復材,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
35,0,0x8c38cd14,0x37cd14,20,カンザンの船の店,407,ヤマトダマシイ,418,３尺副砲,419,５尺副砲,426,大蛇の魚雷,446,青き神鳥の船首像,474,床の間,482,特大爆弾,491,硬修復材,494,ギアグリス,502,舵のグリス,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
36,0,0x8c38cd28,0x37cd28,20,武器のジットク軒,14,モノノフの剣,24,勾玉の投刃,63,青斬刀,107,鎖かたびら,108,ソランチュの服,109,高僧の袈裟,165,宝珠の指輪,202,花かんざし,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
37,0,0x8c38cd3c,0x37cd3c,16,道具のトメ屋,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,250,ライ雑草,251,ライゾリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
38,0,0x8c38cd4c,0x37cd4c,16,闇の船装備商船,403,重主砲Ｇ型,412,５インチ副砲,422,バッファロー魚雷,441,鳥の船首像,452,ボアアップキット,472,床暖房,482,特大爆弾,491,硬修復材,494,ギアグリス,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
