Entry ID,JP Entry Name,Occ. Flags,[M],[B],[S],Ship Effect ID,[Ship Effect Name],Ship Effect Turns,Consume%,Pad. 1,Pad. 2,Pad. 3,Purchase Price,Pad. 4,Pad. 5,Retail Price in %,Order by Prio.,JP Order by ABC,Pad. 6,Ship Effect Amount,Element ID,[Element Name],Unk. 1,Unk. 2,Hit%,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
490,修復材,0x5,X,"",X,100,Recover HP,-1,100,0,0,0,30,0,0,50,10,15,0,400,0,Green,0,0,0,0x33cb50,84,小破した船体のダメージを修復するための修理素材。\n船体のＨＰを4000ポイント修復する。
491,硬修復材,0x5,X,"",X,100,Recover HP,-1,100,0,0,0,75,0,0,50,11,12,0,800,0,Green,0,0,0,0x33cba4,84,中破した船体のダメージを修復するための修理素材。\n船体のＨＰを8000ポイント修復する。
492,強修復材,0x5,X,"",X,100,Recover HP,-1,100,0,0,0,0,0,0,50,12,9,0,0,0,Green,0,0,0,0x33cbf8,76,緑月晶の粉を溶かし込み回復効力を上げた修復材。\n船体のＨＰを完全に修復する。
493,完全修復材,0x5,X,"",X,101,Recover HP 100%,-1,100,0,0,0,300,0,0,50,13,5,0,0,0,Green,0,0,0,0x33cc44,68,高純度の月Ж石を使った最高の修復材。\n船体のＨＰを完全に回復する。
494,ギアグリス,0x1,"","",X,102,Recover SP,-1,100,0,0,0,500,0,0,50,14,6,0,10,0,Green,0,0,0,0x33cc88,68,ギアに塗る事で抵抗を減らし力の伝達を良くする。\nガッツが回復する。
495,耐熱ギアグリス,0x1,"","",X,103,Recover SP 100%,-1,100,0,0,0,1000,0,0,50,15,17,0,0,0,Green,0,0,0,0x33cccc,60,ギアを高速使用した際の熱ダレを防ぐ。\nガッツが完全回復する。
496,キャプテンマーク,0x4,X,"","",115,Captain's Stripe,-1,100,0,0,0,0,0,0,50,16,8,0,0,0,Green,0,0,0,0x33cd08,84,砲撃戦に勝利した証しの撃墜マーク。\n使用する事で船の能力が上がり、船体耐久度も増す。
497,アパワックス,0x1,"","",X,105,Strengthen,2,100,0,0,0,100,0,0,50,17,0,0,0,0,Green,0,0,0,0x33cd5c,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は２ターン持続する。
498,アポスワックス,0x1,"","",X,105,Strengthen,4,100,0,0,0,1000,0,0,50,18,1,0,0,0,Green,0,0,0,0x33cda8,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は４ターン持続する。
499,クイッカワックス,0x1,"","",X,104,Quickened,1,100,0,0,0,150,0,0,50,19,11,0,0,0,Green,0,0,0,0x33cdf4,72,機関部に塗り込む事でエンジンの出力を上げる。\n効果は１ターン持続する。
500,ハイブリワックス,0x1,"","",X,108,Impr. Parameters,4,100,0,0,0,1500,0,0,50,20,22,0,0,0,Green,0,0,0,0x33ce3c,88,バルア帝国のデ・ロッコ機関が開発したワックス。\n船体のあらゆる能力が１ターン上昇する。
501,熱源センサー,0x1,"","",X,112,Impr. Critical%,0,100,0,0,0,2000,0,0,50,21,21,0,0,0,Green,0,0,0,0x33ce94,84,センサーが船の機関部を的確にとらえ\n砲手の射撃を補助する。クリティカル率が上がる。
502,舵のグリス,0x1,"","",X,113,Decr. SP Consum. 50%,0,100,0,0,0,2000,0,0,50,22,3,0,0,0,Green,0,0,0,0x33cee8,76,舵の操作性が上がり、操舵手の負担を軽くする。\n使用ガッツが減りにくくなる。
503,機関オイル,0x1,"","",X,114,Incr. SP Restor. 200%,0,100,0,0,0,2000,0,0,50,23,7,0,0,0,Green,0,0,0,0x33cf34,96,機関部に使うと出力が安定し、エンジンが良く回る。\n機関士の負担が減り、ガッツ回復が２倍になる。
504,ライトウェイト,0x1,"","",X,111,Impr. First Strike%,0,100,0,0,0,2000,0,0,50,24,29,0,0,0,Green,0,0,0,0x33cf94,76,船体に浮力を与え、船体重量を軽くする。\n砲撃戦での先制攻撃の確率が上がる。
505,ヘクサバリア,0x1,"","",X,109,Block Artillery,0,100,0,0,0,5000,0,0,50,25,26,0,0,0,Green,0,0,0,0x33cfe0,88,名のある技術者が開発。対砲撃用防御壁を展開する。\n全ての物理的攻撃を１ターン無効にする。
506,ヘクサフォース,0x1,"","",X,110,Block Magic,0,100,0,0,0,2500,0,0,50,26,27,0,0,0,Green,0,0,0,0x33d038,84,名のあるЖ術師が開発。対Ж術用防御壁を展開する。\n全てのЖ術を１ターン無効にする。
507,おおきな金塊,0x0,"","","",-1,None,-1,-1,0,0,0,10000,0,0,100,27,2,0,0,0,Green,0,0,0,0x33d08c,80,抱えきれないほどの大きな金塊。\nコレクションしてもいいが、売ればそれなりに高い。
508,水晶玉,0x0,"","","",-1,None,-1,-1,0,0,0,1000,0,0,100,28,16,0,0,0,Green,0,0,0,0x33d0dc,96,とある名工によって磨き上げられた最高の一品。\nコレクションしてもいいが、売ればそれなりに高い。
509,Ж術発射装置,0x0,"","","",-1,None,-1,-1,0,0,0,0,0,0,0,29,13,0,0,0,Green,0,0,0,0x33d13c,100,攻撃Ж術弾を発射することができるようになる装置。\nナスル砂漠上空の決戦で、ベレーザから奪ったもの。
