Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
9,ecinit004.dat,4,アーアペプ,Grouder,1,Action,520,Wevli,2,Random PC
10,ecinit004.dat,4,アーアペプ,Grouder,1,Action,100,Magic?,-1,None
1,*,7,Ж術処刑士,Spell Warden,0,Branch,17,ECs Alive = 1,23,Go to 23
2,*,7,Ж術処刑士,Spell Warden,0,Branch,35,Used State Spells ≥ 1,8,Go to 8
3,*,7,Ж術処刑士,Spell Warden,0,Branch,24,Rating 40%,18,Go to 18
4,*,7,Ж術処刑士,Spell Warden,0,Branch,32,Used Sacri Spells ≥ 2,8,Go to 8
5,*,7,Ж術処刑士,Spell Warden,0,Branch,39,Any EC HP < 25%,19,Go to 19
6,*,7,Ж術処刑士,Spell Warden,0,Branch,11,Turn 1,8,Go to 8
7,*,7,Ж術処刑士,Spell Warden,0,Branch,22,Rating 20%,20,Go to 20
8,*,7,Ж術処刑士,Spell Warden,0,Branch,37,Turn ≥ 5,12,Go to 12
9,*,7,Ж術処刑士,Spell Warden,0,Branch,25,Rating 50%,21,Go to 21
10,*,7,Ж術処刑士,Spell Warden,0,Branch,26,Rating 60%,17,Go to 17
11,*,7,Ж術処刑士,Spell Warden,0,Branch,30,Always,23,Go to 23
12,*,7,Ж術処刑士,Spell Warden,0,Branch,24,Rating 40%,21,Go to 21
13,*,7,Ж術処刑士,Spell Warden,0,Branch,24,Rating 40%,17,Go to 17
14,*,7,Ж術処刑士,Spell Warden,0,Branch,24,Rating 40%,22,Go to 22
15,*,7,Ж術処刑士,Spell Warden,0,Branch,25,Rating 50%,20,Go to 20
16,*,7,Ж術処刑士,Spell Warden,0,Branch,30,Always,23,Go to 23
17,*,7,Ж術処刑士,Spell Warden,1,Action,550,Attack,1,Same PC
18,*,7,Ж術処刑士,Spell Warden,1,Action,500,Increm,8,EC w/ Largest ID
19,*,7,Ж術処刑士,Spell Warden,1,Action,506,Sacri,7,EC w/ Least HP
20,*,7,Ж術処刑士,Spell Warden,1,Action,506,Sacri,8,EC w/ Largest ID
21,*,7,Ж術処刑士,Spell Warden,1,Action,526,Crystali,2,Random PC
22,*,7,Ж術処刑士,Spell Warden,1,Action,37,Focus,-1,None
23,*,7,Ж術処刑士,Spell Warden,1,Action,551,Guard,-1,None
1,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,17,ECs Alive = 1,25,Go to 25
2,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,35,Used State Spells ≥ 1,9,Go to 9
3,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,40,Used Gather Strength?,20,Go to 20
4,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,32,Used Sacri Spells ≥ 2,9,Go to 9
5,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,39,Any EC HP < 25%,21,Go to 21
6,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,11,Turn 1,9,Go to 9
7,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,12,Turn 2,9,Go to 9
8,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,22,Rating 20%,22,Go to 22
9,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,37,Turn ≥ 5,14,Go to 14
10,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,25,Rating 50%,12,Go to 12
11,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,26,Rating 60%,19,Go to 19
12,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,25,Rating 50%,20,Go to 20
13,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,30,Always,25,Go to 25
14,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,24,Rating 40%,23,Go to 23
15,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,24,Rating 40%,19,Go to 19
16,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,24,Rating 40%,24,Go to 24
17,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,25,Rating 50%,22,Go to 22
18,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,0,Branch,30,Always,25,Go to 25
19,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,550,Attack,1,Same PC
20,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,500,Increm,8,EC w/ Largest ID
21,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,506,Sacri,7,EC w/ Least HP
22,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,506,Sacri,8,EC w/ Largest ID
23,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,526,Crystali,2,Random PC
24,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,37,Focus,-1,None
25,ecinit007.dat,7,煌術兵Ａ１,Spell Warden,1,Action,551,Guard,-1,None
1,*,8,レトモニケ,Flestik,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,8,レトモニケ,Flestik,0,Branch,30,Always,4,Go to 4
3,*,8,レトモニケ,Flestik,0,Branch,28,Rating 80%,16,Go to 16
4,*,8,レトモニケ,Flestik,0,Branch,2,HP < 25%,12,Go to 12
5,*,8,レトモニケ,Flestik,0,Branch,4,Got Hit?,7,Go to 7
6,*,8,レトモニケ,Flestik,0,Branch,30,Always,9,Go to 9
7,*,8,レトモニケ,Flestik,0,Branch,28,Rating 80%,14,Go to 14
8,*,8,レトモニケ,Flestik,0,Branch,30,Always,15,Go to 15
9,*,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,14,Go to 14
10,*,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,15,Go to 15
11,*,8,レトモニケ,Flestik,0,Branch,30,Always,16,Go to 16
12,*,8,レトモニケ,Flestik,0,Branch,24,Rating 40%,16,Go to 16
13,*,8,レトモニケ,Flestik,0,Branch,30,Always,9,Go to 9
14,*,8,レトモニケ,Flestik,1,Action,550,Attack,1,Same PC
15,*,8,レトモニケ,Flestik,1,Action,551,Guard,-1,None
16,*,8,レトモニケ,Flestik,1,Action,552,Run,-1,None
1,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,1,HP < 50%,9,Go to 9
2,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,4,Got Hit?,4,Go to 4
3,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,30,Always,6,Go to 6
4,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,28,Rating 80%,11,Go to 11
5,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,30,Always,12,Go to 12
6,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,11,Go to 11
7,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,26,Rating 60%,12,Go to 12
8,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,30,Always,13,Go to 13
9,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,25,Rating 50%,13,Go to 13
10,ecinit008.dat,8,レトモニケ,Flestik,0,Branch,30,Always,6,Go to 6
11,ecinit008.dat,8,レトモニケ,Flestik,1,Action,550,Attack,1,Same PC
12,ecinit008.dat,8,レトモニケ,Flestik,1,Action,551,Guard,-1,None
13,ecinit008.dat,8,レトモニケ,Flestik,1,Action,552,Run,-1,None
1,*,9,レイチア,Basallish,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,9,レイチア,Basallish,0,Branch,30,Always,4,Go to 4
3,*,9,レイチア,Basallish,0,Branch,29,Rating 90%,16,Go to 16
4,*,9,レイチア,Basallish,0,Branch,2,HP < 25%,12,Go to 12
5,*,9,レイチア,Basallish,0,Branch,4,Got Hit?,7,Go to 7
6,*,9,レイチア,Basallish,0,Branch,30,Always,9,Go to 9
7,*,9,レイチア,Basallish,0,Branch,29,Rating 90%,14,Go to 14
8,*,9,レイチア,Basallish,0,Branch,30,Always,16,Go to 16
9,*,9,レイチア,Basallish,0,Branch,27,Rating 70%,14,Go to 14
10,*,9,レイチア,Basallish,0,Branch,24,Rating 40%,15,Go to 15
11,*,9,レイチア,Basallish,0,Branch,30,Always,16,Go to 16
12,*,9,レイチア,Basallish,0,Branch,25,Rating 50%,16,Go to 16
13,*,9,レイチア,Basallish,0,Branch,30,Always,9,Go to 9
14,*,9,レイチア,Basallish,1,Action,550,Attack,1,Same PC
15,*,9,レイチア,Basallish,1,Action,551,Guard,-1,None
16,*,9,レイチア,Basallish,1,Action,552,Run,-1,None
1,*,10,カイライ,Mind Stealer,0,Branch,21,Rating 10%,3,Go to 3
2,*,10,カイライ,Mind Stealer,1,Action,550,Attack,1,Same PC
3,*,10,カイライ,Mind Stealer,1,Action,551,Guard,-1,None
1,*,11,フォカラルガ,Walrenk,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,11,フォカラルガ,Walrenk,0,Branch,22,Rating 20%,9,Go to 9
3,*,11,フォカラルガ,Walrenk,0,Branch,35,Used State Spells ≥ 1,5,Go to 5
4,*,11,フォカラルガ,Walrenk,0,Branch,22,Rating 20%,8,Go to 8
5,*,11,フォカラルガ,Walrenk,0,Branch,21,Rating 10%,7,Go to 7
6,*,11,フォカラルガ,Walrenk,1,Action,550,Attack,2,Random PC
7,*,11,フォカラルガ,Walrenk,1,Action,551,Guard,-1,None
8,*,11,フォカラルガ,Walrenk,1,Action,503,Panika,14,PC w/o Confusion
9,*,11,フォカラルガ,Walrenk,1,Action,527,Crystales,2,Random PC
1,*,12,ギジェリガー,Varkris,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,12,ギジェリガー,Varkris,0,Branch,30,Always,4,Go to 4
3,*,12,ギジェリガー,Varkris,0,Branch,27,Rating 70%,28,Go to 28
4,*,12,ギジェリガー,Varkris,0,Branch,17,ECs Alive = 1,20,Go to 20
5,*,12,ギジェリガー,Varkris,0,Branch,36,Used State Spells ≥ 2,16,Go to 16
6,*,12,ギジェリガー,Varkris,0,Branch,11,Turn 1,8,Go to 8
7,*,12,ギジェリガー,Varkris,0,Branch,30,Always,9,Go to 9
8,*,12,ギジェリガー,Varkris,0,Branch,23,Rating 30%,24,Go to 24
9,*,12,ギジェリガー,Varkris,0,Branch,12,Turn 2,11,Go to 11
10,*,12,ギジェリガー,Varkris,0,Branch,30,Always,12,Go to 12
11,*,12,ギジェリガー,Varkris,0,Branch,21,Rating 10%,24,Go to 24
12,*,12,ギジェリガー,Varkris,0,Branch,22,Rating 20%,25,Go to 25
13,*,12,ギジェリガー,Varkris,0,Branch,27,Rating 70%,23,Go to 23
14,*,12,ギジェリガー,Varkris,0,Branch,25,Rating 50%,26,Go to 26
15,*,12,ギジェリガー,Varkris,0,Branch,30,Always,27,Go to 27
16,*,12,ギジェリガー,Varkris,0,Branch,25,Rating 50%,23,Go to 23
17,*,12,ギジェリガー,Varkris,0,Branch,24,Rating 40%,26,Go to 26
18,*,12,ギジェリガー,Varkris,0,Branch,26,Rating 60%,27,Go to 27
19,*,12,ギジェリガー,Varkris,0,Branch,30,Always,28,Go to 28
20,*,12,ギジェリガー,Varkris,0,Branch,24,Rating 40%,26,Go to 26
21,*,12,ギジェリガー,Varkris,0,Branch,25,Rating 50%,27,Go to 27
22,*,12,ギジェリガー,Varkris,0,Branch,30,Always,28,Go to 28
23,*,12,ギジェリガー,Varkris,1,Action,550,Attack,2,Random PC
24,*,12,ギジェリガー,Varkris,1,Action,513,Quika,-1,None
25,*,12,ギジェリガー,Varkris,1,Action,512,Slipara,16,PC w/o Sleep
26,*,12,ギジェリガー,Varkris,1,Action,62,Call Allies,-1,None
27,*,12,ギジェリガー,Varkris,1,Action,107,Call Allies,-1,None
28,*,12,ギジェリガー,Varkris,1,Action,552,Run,-1,None
1,*,13,アスフール,Azbeth,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,13,アスフール,Azbeth,0,Branch,30,Always,4,Go to 4
3,*,13,アスフール,Azbeth,0,Branch,27,Rating 70%,15,Go to 15
4,*,13,アスフール,Azbeth,0,Branch,25,Rating 50%,13,Go to 13
5,*,13,アスフール,Azbeth,0,Branch,24,Rating 40%,8,Go to 8
6,*,13,アスフール,Azbeth,0,Branch,27,Rating 70%,11,Go to 11
7,*,13,アスフール,Azbeth,0,Branch,30,Always,14,Go to 14
8,*,13,アスフール,Azbeth,0,Branch,25,Rating 50%,16,Go to 16
9,*,13,アスフール,Azbeth,0,Branch,24,Rating 40%,17,Go to 17
10,*,13,アスフール,Azbeth,0,Branch,30,Always,18,Go to 18
11,*,13,アスフール,Azbeth,0,Branch,35,Used State Spells ≥ 1,20,Go to 20
12,*,13,アスフール,Azbeth,0,Branch,30,Always,19,Go to 19
13,*,13,アスフール,Azbeth,1,Action,550,Attack,2,Random PC
14,*,13,アスフール,Azbeth,1,Action,551,Guard,-1,None
15,*,13,アスフール,Azbeth,1,Action,552,Run,-1,None
16,*,13,アスフール,Azbeth,1,Action,200,Call Allies,-1,None
17,*,13,アスフール,Azbeth,1,Action,201,Call Allies,-1,None
18,*,13,アスフール,Azbeth,1,Action,108,Call Allies,-1,None
19,*,13,アスフール,Azbeth,1,Action,517,Eterni,2,Random PC
20,*,13,アスフール,Azbeth,1,Action,100,Magic?,-1,None
1,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,11,Turn 1,4,Go to 4
2,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,12,Turn 2,6,Go to 6
3,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,30,Always,8,Go to 8
4,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,27,Rating 70%,14,Go to 14
5,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,30,Always,15,Go to 15
6,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,50,Used S-Move Last Turn?,14,Go to 14
7,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,30,Always,15,Go to 15
8,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,50,Used S-Move Last Turn?,11,Go to 11
9,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,23,Rating 30%,14,Go to 14
10,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,30,Always,15,Go to 15
11,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,27,Rating 70%,14,Go to 14
12,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,26,Rating 60%,15,Go to 15
13,*,14,盗掘者シモン,Zivilyn Bane,0,Branch,30,Always,16,Go to 16
14,*,14,盗掘者シモン,Zivilyn Bane,1,Action,550,Attack,4,PC w/ Least HP
15,*,14,盗掘者シモン,Zivilyn Bane,1,Action,22,Burst,2,Random PC
16,*,14,盗掘者シモン,Zivilyn Bane,1,Action,551,Guard,-1,None
1,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,11,Turn 1,6,Go to 6
2,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,12,Turn 2,6,Go to 6
3,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,13,Turn 3,8,Go to 8
4,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,14,Turn 4,8,Go to 8
5,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,37,Turn ≥ 5,11,Go to 11
6,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,26,Rating 60%,14,Go to 14
7,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,15,Go to 15
8,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,25,Rating 50%,14,Go to 14
9,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,28,Rating 80%,15,Go to 15
10,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,16,Go to 16
11,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,23,Rating 30%,14,Go to 14
12,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,25,Rating 50%,15,Go to 15
13,ecinit014.dat,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,16,Go to 16
14,ecinit014.dat,14,盗掘者,Zivilyn Bane,1,Action,550,Attack,4,PC w/ Least HP
15,ecinit014.dat,14,盗掘者,Zivilyn Bane,1,Action,22,Burst,2,Random PC
16,ecinit014.dat,14,盗掘者,Zivilyn Bane,1,Action,552,Run,-1,None
1,*,15,ヌール,Ghastling,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,15,ヌール,Ghastling,0,Branch,30,Always,4,Go to 4
3,*,15,ヌール,Ghastling,0,Branch,28,Rating 80%,16,Go to 16
4,*,15,ヌール,Ghastling,0,Branch,0,HP = 100%,7,Go to 7
5,*,15,ヌール,Ghastling,0,Branch,46,Used HP Absorbs ≥ 1,7,Go to 7
6,*,15,ヌール,Ghastling,0,Branch,29,Rating 90%,15,Go to 15
7,*,15,ヌール,Ghastling,0,Branch,9,Any PC Distance >= 3,11,Go to 11
8,*,15,ヌール,Ghastling,0,Branch,27,Rating 70%,14,Go to 14
9,*,15,ヌール,Ghastling,0,Branch,28,Rating 80%,16,Go to 16
10,*,15,ヌール,Ghastling,0,Branch,30,Always,17,Go to 17
11,*,15,ヌール,Ghastling,0,Branch,27,Rating 70%,14,Go to 14
12,*,15,ヌール,Ghastling,0,Branch,28,Rating 80%,15,Go to 15
13,*,15,ヌール,Ghastling,0,Branch,30,Always,17,Go to 17
14,*,15,ヌール,Ghastling,1,Action,550,Attack,1,Same PC
15,*,15,ヌール,Ghastling,1,Action,210,HP Absorb,3,PC w/ Most HP
16,*,15,ヌール,Ghastling,1,Action,552,Run,-1,None
17,*,15,ヌール,Ghastling,1,Action,551,Guard,-1,None
1,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,2,HP < 25%,10,Go to 10
2,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,9,Any PC Distance >= 3,6,Go to 6
3,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,26,Rating 60%,9,Go to 9
4,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,26,Rating 60%,10,Go to 10
5,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,30,Always,11,Go to 11
6,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,25,Rating 50%,9,Go to 9
7,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,25,Rating 50%,10,Go to 10
8,ecinit015.dat,15,ヌルコンドウ,Ghastling,0,Branch,30,Always,11,Go to 11
9,ecinit015.dat,15,ヌルコンドウ,Ghastling,1,Action,550,Attack,1,Same PC
10,ecinit015.dat,15,ヌルコンドウ,Ghastling,1,Action,210,HP Absorb,1,Same PC
11,ecinit015.dat,15,ヌルコンドウ,Ghastling,1,Action,552,Run,-1,None
1,*,16,モクズ,Florast,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,16,モクズ,Florast,0,Branch,30,Always,4,Go to 4
3,*,16,モクズ,Florast,0,Branch,26,Rating 60%,16,Go to 16
4,*,16,モクズ,Florast,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,16,モクズ,Florast,0,Branch,30,Always,7,Go to 7
6,*,16,モクズ,Florast,0,Branch,23,Rating 30%,16,Go to 16
7,*,16,モクズ,Florast,0,Branch,11,Turn 1,10,Go to 10
8,*,16,モクズ,Florast,0,Branch,12,Turn 2,10,Go to 10
9,*,16,モクズ,Florast,0,Branch,30,Always,12,Go to 12
10,*,16,モクズ,Florast,0,Branch,22,Rating 20%,17,Go to 17
11,*,16,モクズ,Florast,0,Branch,22,Rating 20%,18,Go to 18
12,*,16,モクズ,Florast,0,Branch,27,Rating 70%,15,Go to 15
13,*,16,モクズ,Florast,0,Branch,25,Rating 50%,19,Go to 19
14,*,16,モクズ,Florast,0,Branch,30,Always,20,Go to 20
15,*,16,モクズ,Florast,1,Action,550,Attack,2,Random PC
16,*,16,モクズ,Florast,1,Action,552,Run,-1,None
17,*,16,モクズ,Florast,1,Action,504,Driln,17,PC w/o Weak
18,*,16,モクズ,Florast,1,Action,511,Noxus,-1,None
19,*,16,モクズ,Florast,1,Action,100,Magic?,-1,None
20,*,16,モクズ,Florast,1,Action,551,Guard,-1,None
1,*,17,ツィツィ,Tsirat,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,17,ツィツィ,Tsirat,0,Branch,30,Always,4,Go to 4
3,*,17,ツィツィ,Tsirat,0,Branch,24,Rating 40%,12,Go to 12
4,*,17,ツィツィ,Tsirat,0,Branch,0,HP = 100%,7,Go to 7
5,*,17,ツィツィ,Tsirat,0,Branch,46,Used HP Absorbs ≥ 1,7,Go to 7
6,*,17,ツィツィ,Tsirat,0,Branch,25,Rating 50%,13,Go to 13
7,*,17,ツィツィ,Tsirat,0,Branch,33,Used Attack Spells ≥ 1,9,Go to 9
8,*,17,ツィツィ,Tsirat,0,Branch,24,Rating 40%,14,Go to 14
9,*,17,ツィツィ,Tsirat,0,Branch,21,Rating 10%,12,Go to 12
10,*,17,ツィツィ,Tsirat,0,Branch,21,Rating 10%,15,Go to 15
11,*,17,ツィツィ,Tsirat,1,Action,550,Attack,2,Random PC
12,*,17,ツィツィ,Tsirat,1,Action,552,Run,-1,None
13,*,17,ツィツィ,Tsirat,1,Action,211,HP Absorb,3,PC w/ Most HP
14,*,17,ツィツィ,Tsirat,1,Action,532,Electri,2,Random PC
15,*,17,ツィツィ,Tsirat,1,Action,551,Guard,-1,None
1,*,18,セベスク,Thorkryn,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,18,セベスク,Thorkryn,0,Branch,30,Always,4,Go to 4
3,*,18,セベスク,Thorkryn,0,Branch,24,Rating 40%,13,Go to 13
4,*,18,セベスク,Thorkryn,0,Branch,40,Used Gather Strength?,15,Go to 15
5,*,18,セベスク,Thorkryn,0,Branch,11,Turn 1,7,Go to 7
6,*,18,セベスク,Thorkryn,0,Branch,30,Always,8,Go to 8
7,*,18,セベスク,Thorkryn,0,Branch,25,Rating 50%,14,Go to 14
8,*,18,セベスク,Thorkryn,0,Branch,27,Rating 70%,11,Go to 11
9,*,18,セベスク,Thorkryn,0,Branch,27,Rating 70%,12,Go to 12
10,*,18,セベスク,Thorkryn,0,Branch,30,Always,13,Go to 13
11,*,18,セベスク,Thorkryn,1,Action,550,Attack,2,Random PC
12,*,18,セベスク,Thorkryn,1,Action,551,Guard,-1,None
13,*,18,セベスク,Thorkryn,1,Action,552,Run,-1,None
14,*,18,セベスク,Thorkryn,1,Action,20,Gather Strength,-1,None
15,*,18,セベスク,Thorkryn,1,Action,170,Needle Storm,2,Random PC
1,ecinit018.dat,18,セベスク,Thorkryn,0,Branch,40,Used Gather Strength?,12,Go to 12
2,ecinit018.dat,18,セベスク,Thorkryn,0,Branch,5,Got Hit by Spell?,11,Go to 11
3,ecinit018.dat,18,セベスク,Thorkryn,0,Branch,1,HP < 50%,11,Go to 11
