Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,Buy,Pad 7,Pad 8,Sell%,JP Order 1,JP Order 2,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
452,ボアアップキット,0b00111110,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,12,12,0,0x340558,84,"エンジンの容量をあげ、パワーを得るキット。
排気量を増やすと同時にスピードも上げる。"
453,ツインスクリュー,0b00111110,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,0,0,3200,0,0,50,13,13,0,0x3405ac,80,"艦尾にとりつける増設用のスクリュー。
推進力が増すことにより、スピードが上がる。"
454,エアインテーク,0b00111110,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,14,14,0,0x3405fc,76,"クリーンな空気を送り込みエンジン内の燃料比を
一定に保ち、スピードを上げる。"
455,ツインターボ,0b00111110,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,15,15,0,0x340648,84,"ターボキットを２連装にしたもの。ターボキット以上
の能力を出してスピードを上げる。"
456,タイミングバルブ,0b00111110,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,0,0,10800,0,0,50,16,16,0,0x34069c,88,"バルブのタイミングを一定にし、エンジンの給排気を
安定させることによりスピードを上げる。"
457,トリプルターボ,0b00111110,X,X,X,X,X,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,0,0,12800,0,0,50,17,17,0,0x3406f4,76,"ターボキットを３連装にしたもの。
２連装以上の能力を出してスピードを上げる。"
458,ハイトルクキット,0b00111110,X,X,X,X,X,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,0,0,14800,0,0,50,18,18,0,0x340740,96,"耐久性を上げ、出力を飛躍的に上昇させるキット。
エンジン回転数を上げる事によりスピードを上げる。"
459,ツインエンジン,0b00111110,X,X,X,X,X,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,0,0,16640,0,0,50,19,19,0,0x3407a0,72,"エンジン内を２段階に独立させ、２倍の出力を
可能にしスピードを上げる。"
460,装甲板,0b00111110,X,X,X,X,X,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1000,0,0,50,20,20,0,0x3407e8,68,"ごく普通に手に入る装甲板。
船体に装備する事により防御力を上げる。"
461,鋼装甲板,0b00111110,X,X,X,X,X,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1900,0,0,50,21,21,0,0x34082c,72,"何枚も鋼板を重ねた装甲板。
多少の砲撃にはビクともせず、防御力も高い。"
462,偏向装甲板,0b00111110,X,X,X,X,X,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2200,0,0,50,22,22,0,0x340874,96,"通常の装甲板に偏向板を付けて敵弾を受け流す。
直撃を避ける事でダメージを回避。防御力が上がる。"
463,複合装甲板,0b00111110,X,X,X,X,X,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5500,0,0,50,23,23,0,0x3408d4,84,"２種類の鋼材を交互に重ねた装甲板。
たくみな組み合わせで効果を発揮。防御力も高い。"
464,重装甲板,0b00111110,X,X,X,X,X,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6700,0,0,50,24,24,0,0x340928,80,"通常の３倍の厚みをもった装甲板。
重いが剛性の高い素材を用い、防御力を上げる。"
465,特殊鋼装甲板,0b00111110,X,X,X,X,X,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7300,0,0,50,25,25,0,0x340978,92,"月Ж石を混合した金属で作り上げた装甲板。
見た目以上に性能はよく、効率的に防御力を上げる。"
466,龍の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7900,0,0,50,26,26,0,0x3409d4,84,"ヤフトマーの職人が魂を込めてつくった装甲板。
ていねいな作りで美しく、防御力も高い。"
467,古の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8500,0,0,50,27,27,0,0x340a28,92,"古くから伝わる謎の金属を装甲板にしたもの。
貴重なのでなかなか手に入らない。防御力を上げる。"
468,銀の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,0,0,11000,0,0,50,28,28,0,0x340a84,84,"純度の高い月Ж石を散りばめた装甲板。
豊富なエネルギーで力場を作り防御力を上げる。"
469,きらめく装甲板,0b00111110,X,X,X,X,X,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,0,0,13500,0,0,50,29,29,0,0x340ad8,88,"６色の月Ж石を散りばめた装甲板。美しい輝きを放ち
月Жエネルギーの力場で防御力を上げる。"
470,カラオケセット,0b00111110,X,X,X,X,X,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1000,0,0,50,30,30,0,0x340b30,76,"船内でお祭り騒ぎができる。
長旅も気にならないが、アイカはマイクを離さない。"
471,システムキッチン,0b00111110,X,X,X,X,X,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,5500,0,0,50,31,31,0,0x340b7c,96,"きれいに整っているので料理の失敗が少なくなる。
毎晩、おいしい食事が楽しめる。後片付けも簡単。"
472,床暖房,0b00111110,X,X,X,X,X,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,0,0,3000,0,0,50,32,32,0,0x340bdc,80,"エンジンの廃熱を利用し、室内の温度を上げる。
冷え性を予防する。女性に大人気。"
473,空気清浄器,0b00111110,X,X,X,X,X,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,0,0,5800,0,0,50,33,33,0,0x340c2c,88,"汚れがちな艦内の空気をきれいにする。
すがすがしい気持ちで航海ができ男くささも取れる。"
474,床の間,0b00111110,X,X,X,X,X,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,0,0,6700,0,0,50,34,34,0,0x340c84,92,"ヤフトマーの独特な雰囲気で気分が落ち着く。
精神集中を行う事ができ、意外なひらめきも浮かぶ。"
475,防音壁,0b00111110,X,X,X,X,X,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,11000,0,0,50,35,35,0,0x340ce0,84,"室内にうるさいエンジン音が響かなくなる。
安眠が約束され、旅の疲れもきれいに取れる。"
476,高価な蛇輪,0b00111110,X,X,X,X,X,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,0,0,8500,0,0,50,36,36,0,0x340d34,92,"バルアの人間工学に基づいた特別注文の舵。
舵輪は手にしっくりとなじみ、長旅でも疲れにくい。"
477,シャンデリア,0b00111110,X,X,X,X,X,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,9300,0,0,50,37,37,0,0x340d90,84,"バルア貴族に愛用されている豪華な照明。
殺風景な船内を照らしだし、気分も明るくなる。"
478,くまの置物,0b00111110,X,X,X,X,X,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7300,0,0,50,38,38,0,0x340de4,68,"くまの形をした木彫りの人形。
素朴でかわいい。ファイナのお気に入り。"
479,観葉植物,0b00111110,X,X,X,X,X,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,0,0,10100,0,0,50,39,39,0,0x340e28,76,"室内に置く鑑賞用の植物。
心が落ち着き、空気もおいしくおいしく感じされる。"
