Entry ID,US entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,US order by ABC,Effect ID,[Effect name],Purchase price,Attack,Hit%,Feat. ID,[Feat. name],Pad. #0,Feat. value,[US descr. pos.],[US descr. size],US descr. str.
30,Grendel Wing,1,Aika,50,25,33,-1,None,2820,96,150,32,Green,0,-2,2918472,88,A boomerang made from a bone of the Green Gigas.\nIts power rivals the Fist of Grendel.
31,Flutter Blade,1,Aika,50,30,29,3,Add Confusion #1,8910,153,110,-1,None,0,0,2918560,96,A double-bladed boomerang with an unpredictable\nflight path. It can induce Confuse in enemies.
32,Cupil,2,Fina,0,34,7,-1,None,0,58,120,-1,None,0,0,2918656,88,An artificial life form created by Silvites.\nCupil has been with Fina since she was 4.
33,Cupil Lance,2,Fina,0,41,14,-1,None,0,110,120,-1,None,0,0,2918744,80,Cupil morphs into a lance and lunges itself at\nwhatever enemy Fina commands.
34,Cupil Star,2,Fina,0,40,18,-1,None,0,103,120,-1,None,0,0,2918824,56,Cupil morphs into a star and spirals towards its\nenemy.
35,Cupicone,2,Fina,0,36,6,-1,None,0,73,120,-1,None,0,0,2918880,60,"Morphs into a sharp cone, and lunges itself\nat its enemies."
36,Cupil Spear,2,Fina,0,46,16,-1,None,0,147,120,-1,None,0,0,2918940,76,Morphs into a barbed spearhead. Each barb\nhelps Cupil inflict more damage.
37,Cupil Blade,2,Fina,0,35,8,4,Add Sleep #2,0,67,115,-1,None,0,0,2919016,68,Cupil learns the ability to morph into an\nextremely sharp knife.
38,Cupil Sword,2,Fina,0,38,19,4,Add Sleep #2,0,90,115,-1,None,0,0,2919084,68,"By morphing into a sword, Cupil can cleave\nalmost any enemy in two."
39,Cupil Cutlass,2,Fina,0,43,12,4,Add Sleep #2,0,127,115,-1,None,0,0,2919152,76,Cupil learned to morph into a cutlass by\nwatching Vyse fight. Cupil Fury!!!
40,Cupil Claymore,2,Fina,0,47,10,4,Add Sleep #2,0,157,115,-1,None,0,0,2919228,96,"Morphing into a giant 2-handed sword, Cupil can\ncause massive amounts of damage on any enemy."
41,Cupil Cannon,2,Fina,0,37,9,-1,None,0,86,105,20,Dodge%,0,5,2919324,84,"Morphs into a small, but heavy, cannonball,\nand drops on an enemy from high above."
42,Cupil Spike,2,Fina,0,44,17,-1,None,0,141,105,20,Dodge%,0,10,2919408,96,"Cupil morphs into a spike-laden board and drops\non an enemy's head. It misses a lot, though."
43,Cupil Weight,2,Fina,0,48,20,-1,None,0,172,105,20,Dodge%,0,15,2919504,96,"Cupil uses magic to increase its own weight many\ntimes over, and then drops on an enemy's head."
44,Cupil Pan,2,Fina,0,45,15,-1,None,0,145,110,-1,None,0,0,2919600,96,Cupil morphs into a frying pan and uses all of\nits strength to whack enemies over their heads.
45,Cupil Club,2,Fina,0,39,11,-1,None,0,99,110,-1,None,0,0,2919696,88,Morphs into a club and bludgeons enemies into\nsubmission. Even Cupil has a mean-streak.
46,Cupil Hammer,2,Fina,0,42,13,-1,None,0,122,110,-1,None,0,0,2919784,84,Cupil morphs into the shape of a giant hammer\nand hits enemies over their heads.
47,Final Cupil,2,Fina,0,49,28,-1,None,0,300,100,-1,None,0,0,2919868,84,"Cupil's final and ultimate form, it looks very\nimpressive, and packs quite a punch."
48,Artificial Arm,3,Drachma,50,50,1,-1,None,390,43,80,-1,None,0,0,2919952,88,"A mechanical arm that shows signs of rigorous\nuse over many years, yet it looks sturdy."
49,Hook Hand,3,Drachma,50,51,34,-1,None,580,51,80,-1,None,0,0,2920040,80,"An attachment for Drachma's arm, it is a\nhook-shaped blade that is razor sharp."
50,Mace Hand,3,Drachma,50,54,42,-1,None,2000,125,0,-1,None,0,0,2920120,80,"A heavy, spiked steel ball with awesome\ndestructive power, but low accuracy."
51,Mining Arm,3,Drachma,50,57,44,-1,None,9980,172,80,-1,None,0,0,2920200,96,Equipment designed to mine Moon Stones. Created\nby De Loco when he was assigned to Ixa'taka.
52,Dragon Arm,3,Drachma,50,58,25,-1,None,11850,181,80,-1,None,0,0,2920296,76,"An arm specially designed for Drachma by the\nmaster swordsmith, Ryu-kan."
53,Beak Hand,3,Drachma,50,52,3,5,Add Confusion #2,880,60,80,-1,None,0,0,2920372,96,An attachment for Drachma's arm that is shaped\nlike a bird's beak. It can also Confuse enemies.
54,De Loco Drill,3,Drachma,50,55,24,6,Add Death #1,2600,95,80,-1,None,0,0,2920468,96,"A drill taken from mining equipment designed by\nDe Loco, its spinning blade can kill instantly."
55,Excavation Arm,3,Drachma,50,53,27,-1,None,1340,73,80,-1,None,0,0,2920564,92,"An instrument designed for archeological digs,\nit can even be used for delicate movements."
56,Ruin Arm,3,Drachma,50,56,50,-1,None,3860,112,80,-1,None,0,0,2920656,92,"A strange arm, based on unknown technology,\nleft behind in the ruins of an ancient city."
57,Silver Arm,3,Drachma,50,59,53,-1,None,13710,190,80,37,Silver,0,-2,2920748,92,Part of an android soldier created by the Silver\nCivilization. Boasts high attack power.
58,Rapier,4,Enrique,50,60,49,12,Add Silence #2,4200,122,95,-1,None,0,0,2920840,88,"A thin but sharp blade, a symbol of the noble\nwarrior. Can impose Silence on enemies."
59,Stoneblade,4,Enrique,50,64,57,13,Add Stone #2,9850,171,95,-1,None,0,0,2920928,88,"A work of genius by the master swordsmith,\nRyu-kan. It can also turn enemies to stone."
60,Imperial Blade,4,Enrique,50,63,39,7,Add Silence #1,8660,163,95,-1,None,0,0,2921016,80,The sword of the legitimate heir to the throne.\nCan impose Silence on enemies.
61,Serpent Strike,4,Enrique,50,65,52,8,Add Stone #1,11150,179,95,-1,None,0,0,2921096,92,A powerful sword worn by warriors of the Silver\nCivilization. Can turn enemies to Stone.
62,Frostblade,4,Enrique,50,62,30,14,Add Confusion #4,7020,150,95,-1,None,0,0,2921188,88,"A blade so sharp and cold, it is almost numbing\nto the touch. It can Confuse enemies."
63,Blade of Slumber,4,Enrique,50,61,4,15,Add Sleep #4,5690,138,95,-1,None,0,0,2921276,92,"A large sword used in Yafutoman ceremonies, its\nmysterious powers can put enemies to Sleep."
64,Gilder's Own,5,Gilder,50,66,32,-1,None,2910,104,100,-1,None,0,0,2921368,84,"A gun that has gotten Gilder through many a\ntight spot. Small, but easy to handle."
65,Nasr Pistol,5,Gilder,50,67,47,-1,None,3520,112,100,33,Red,0,-2,2921452,96,"A replica of the weapon used by the Royal Guard,\nwithout the unnecessary decorative elements."
66,Warrior's Pistol,5,Gilder,50,72,69,-1,None,10920,176,100,-1,None,0,0,2921548,88,A small gun used by ancient warriors. Its\nappearance hides its destructive power well.
67,Valuan Pistol,5,Gilder,50,69,66,-1,None,8140,160,100,-1,None,0,0,2921636,96,"A stolen Valuan pistol, modified by sailors to\nincrease power, without sacrificing accuracy."
68,Marksman Gun,5,Gilder,50,71,43,10,Add Death #2,3000,100,200,-1,None,0,0,2921732,84,A small pistol used by Valuan assassins. Can\ncause instant death with a good shot.
69,Daccat Custom,5,Gilder,50,68,22,9,Add Sleep #3,4290,120,100,-1,None,0,0,2921816,92,"A long pistol used by the legendary Air Pirate,\nDaccat. Can sometimes put enemies to Sleep."
70,Gilder Special,5,Gilder,50,70,31,-1,None,9460,168,100,-1,None,0,0,2921908,84,A gun made specifically to fit Gilder's touch.\nIt has unequaled accuracy and power.
71,Tuna Cutlass,0,Vyse,100,16,65,-1,None,22222,150,0,-1,None,0,0,2921992,80,"Received from the imposter, Vize.\nBoasts high attack power, but low accuracy."
72,Swirlmerang,1,Aika,100,33,61,11,Add Confusion #3,11111,100,200,-1,None,0,0,2922072,88,"Received from the imposter, Anita. Will always\nConfuse any enemy not immune to Confuse."
73,Sky Fang,0,Vyse,50,17,23,-1,None,50000,255,224,-1,None,0,0,2922160,84,"A sword so powerful, it is said that it can\nsplit the heavens. The ultimate sword."
74,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,2922244,16,ダミーです。
75,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
76,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
77,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
78,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
79,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
