Entry ID,US entry name,Ship flags,[L0],[L1],[D0],[D1],[D2],Type ID,[Type name],Element ID,[Element name],Attack,Hit%,Limit,Spirit,Feat. ID,[Feat. name],Pad. #0,Feat. value,Purchase price,Retail price in %,Order by prio.,US order by ABC,Pad.,[US descr. pos.],[US descr. size],US descr. str.
429,Dragon Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,450,60,2,7,-1,None,0,0,8800,50,29,15,0,0x2ceb58,96,A torpedo that emphasizes firepower more than\nrange. Does a great deal of damage when it hits.
430,Harpoon Cannon,0x20,X,"","","","",3,Special,6,Neutral,350,65535,0,15,-1,None,0,0,0,0,30,20,0,0x2cebb8,72,The Little Jack's ultimate weapon. It was\nacquired to destroy Rhaknam.
431,MoonStone Cannon,0xe,"","",X,X,X,3,Special,6,Neutral,800,65535,0,20,-1,None,0,0,0,0,31,30,0,0x2cec00,96,The ultimate weapon of the Delphinus. Builds up\nMoon energy and releases it in a massive blast.
432,Moon Cannon,0x3e,X,X,X,X,X,0,Main cannon,6,Neutral,500,99,0,9,-1,None,0,0,1000,100,32,27,0,0x2cec60,72,A main cannon that uses both Moonstone energy\nand gunpowder to fire.
433,Moon Gun,0x3e,X,X,X,X,X,1,Secondary cannon,6,Neutral,400,99,3,5,-1,None,0,0,1000,100,33,28,0,0x2ceca8,80,A secondary cannon that relies on Moonstone\nenergy instead of draining Spirit.
434,Moon Torpedo,0x3e,X,X,X,X,X,2,Torpedo,6,Neutral,600,75,3,3,-1,None,0,0,1000,100,34,29,0,0x2cecf8,72,A torpedo that uses Moonstone energy to keep\nSpirit consumption low.
435,Pyril Cannon,0xe,"","",X,X,X,0,Main cannon,1,Red,200,120,0,6,-1,None,0,0,13200,50,35,32,0,0x2ced40,84,"A rotating cannon designed for battleships.\nHas Red properties, and high accuracy."
436,Wevl Cannon,0xe,"","",X,X,X,1,Secondary cannon,3,Blue,180,120,3,4,-1,None,0,0,10200,50,36,37,0,0x2ced94,88,"A secondary cannon designed for battleships.\nHas Blue properties, and high accuracy."
437,Electril Torpedo,0xe,"","",X,X,X,2,Torpedo,4,Yellow,500,50,3,2,-1,None,0,0,1000,50,37,16,0,0x2cedec,84,"A torpedo designed for large warships. Has\nYellow properties, and great firepower."
438,Crystil Cannon,0xe,"","",X,X,X,0,Main cannon,2,Purple,550,60,0,4,-1,None,0,0,1000,50,38,14,0,0x2cee40,92,"Made of a special alloy for added durability.\nHas Purple properties, and great firepower."
439,Kazai Gun,0x30,X,X,"","","",1,Secondary cannon,3,Blue,50,99,2,5,-1,None,0,0,1000,50,39,24,0,0x2cee9c,92,"Contains a tower bar to absorb the shock of\nfiring. Has Blue properties, and high accuracy."
