Entry ID,US entry name,Ship flags,[LJ0],[LJ1],[D0],[D1],[D2],Feat. #0 ID,[Feat. #0 name],Pad. #0,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #1,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #2,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #3,Feat. #3 value,Purchase price,Retail price in %,Order by prio.,US order by ABC,Pad. #4,[US descr. pos.],[US descr. size],US descr. str.
452,Bore-up Kit,62,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,2400,50,12,7,0,2945696,92,"A kit that increases engine size for greater\npower and exhaust, increasing ship's Quick."
453,Twin Propellers,62,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,3200,50,13,35,0,2945788,60,An additional propeller that increases the\nship's Quick.
454,Air Intake,62,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,6800,50,14,0,0,2945848,92,"Sends clean air into the engine, stabilizing\nfuel consumption and increasing ship speed."
455,Twin Turbo,62,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,8800,50,15,36,0,2945940,80,A compound turbo kit that modifies the engine\nand increases the ship's Quick.
456,Timing Valve,62,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,10800,50,16,32,0,2946020,80,"Standardizes valve timing to stabilize engine\nexhaust, increasing ship's Quick."
457,Triple Turbo,62,X,X,X,X,X,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,12800,50,17,33,0,2946100,100,"A triple turbo kit for maximum engine power, for\na speed boost even greater than the Twin Turbo."
458,High Torque Kit,62,X,X,X,X,X,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,14800,50,18,19,0,2946200,84,"Raises durability for greater power through\nhigher RPM's, increasing ship speed."
459,Double Shaft,62,X,X,X,X,X,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,16640,50,19,10,0,2946284,96,"Splits the engine into two independent stages,\ndoubling power output and increasing ship speed."
460,Armored Deck,62,X,X,X,X,X,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,20,5,0,2946380,68,"A standard armored deck, commonly available.\nImproves ship Defense."
461,Steel Deck,62,X,X,X,X,X,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,1900,50,21,31,0,2946448,72,A deck armored with multiple layers of steel.\nHas high defensive power.
462,Slanted Deck,62,X,X,X,X,X,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2200,50,22,27,0,2946520,96,Deflects projectiles with slanted plates atop\na standard armored deck. Improves ship Defense.
463,Compound Deck,62,X,X,X,X,X,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,5500,50,23,9,0,2946616,76,A deck armored with layers of different steels.\nHas high defensive power.
464,Heavy Armor Deck,62,X,X,X,X,X,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,6700,50,24,18,0,2946692,88,A deck with armor three times as thick as the\nstandard weight. Improves ship Defense.
465,Alloy Deck,62,X,X,X,X,X,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,25,2,0,2946780,80,A deck armored with an alloy including Moon\nStone dust. Improves ship Defense.
466,Dragon Deck,62,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,7900,50,26,11,0,2946860,96,An armored deck created by Yafutoman craftsmen.\nBeautiful and greatly improves ship Defenses.
467,Ancient Deck,62,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,8500,50,27,3,0,2946956,88,"A deck armored with a rare, mysterious metal\nfrom ancient times. Improves ship Defense."
468,Silver Deck,62,X,X,X,X,X,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,11000,50,28,26,0,2947044,92,An armored deck supplemented with high grade\nMoonstones. Their power improves ship Defense.
469,Sparkling Deck,62,X,X,X,X,X,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,13500,50,29,29,0,2947136,88,An armored deck studded with Moonstones of 6\ndifferent colors. Improves ship Defense.
470,Intercom,62,X,X,X,X,X,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,30,21,0,2947224,84,A system for communicating between decks. \nGood luck keeping Aika from abusing it.
471,Enhanced Kitchen,62,X,X,X,X,X,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,5500,50,31,13,0,2947308,76,State-of-the-art cooking facilities for great-\ntasting dinners every night.
472,Floor Heater,62,X,X,X,X,X,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,3000,50,32,15,0,2947384,80,Takes advantage of engine heat to keep\nliving quarters nice and comfortable.
473,Air Purifier,62,X,X,X,X,X,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,5800,50,33,1,0,2947464,88,"Purifies the air below decks to keep everything\nsmelling clean and fresh, not sweaty."
474,Yafutoman Alcove,62,X,X,X,X,X,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,6700,50,34,39,0,2947552,72,A bit of Yafutoman culture to help calm the mind\nand soothe the soul.
475,Soundproofing,62,X,X,X,X,X,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,11000,50,35,28,0,2947624,92,"Blocks annoying engine noise for a better\nnight's sleep, reducing fatigue on long trips."
476,Expensive Wheel,62,X,X,X,X,X,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,8500,50,36,14,0,2947716,88,"A custom-made wheel, ergonomically designed in\nValua. Reduces fatigue for the helmsman."
477,Chandelier,62,X,X,X,X,X,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,9300,50,37,8,0,2947804,92,Luxurious lighting favored by Valuan nobility.\nBrings a touch of opulence to airborne life.
478,Wooden Doll,62,X,X,X,X,X,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,38,38,0,2947896,88,"A carved wooden doll, shaped like a cuddly\nanimal. Simple, cute, and adored by Fina."
479,Indoor Plant,62,X,X,X,X,X,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,10100,50,39,20,0,2947984,96,"Some greenery to provide color aboard the ship.\nHas a soothing effect, and helps clean the air."
