Entry ID,Entry US Name,PC ID,[PC Name],Sell%,US Order 1,US Order 2,Effect ID,[Effect Name],Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 1,Trait Value,[US Descr Pos],[US Descr Size],US Descr Str
11,Dream Cutlass,0,Vyse,50,10,67,-1,None,6690,137,90,35,Blue,0,-2,0x3620f0,92,"A legendary sword that can supposedly rip the
fabric of reality and make dreams come true."
12,Windslicer,0,Vyse,50,12,39,-1,None,8760,153,90,-1,None,0,0,0x36214c,80,"A blade so slender that it is fabled to be able
to cut the very air in half."
13,Vorlik Blade,0,Vyse,50,15,69,-1,None,16500,200,200,-1,None,0,0,0x36219c,52,"A masterpiece of the legendary swordsmith
Ryu-kan"
14,Suiran Blade,0,Vyse,50,11,66,-1,None,7500,141,90,-1,None,0,0,0x3621d0,48,"A short sword used by Yaftoman soldiers
thick"
15,Soul Sword,0,Vyse,50,14,35,16,Unconscious by 5%,12340,174,90,-1,None,0,0,0x362200,32,"The ultimate sword
swordsmith"
16,Boomerang,1,Aika,50,17,56,-1,None,70,19,110,-1,None,0,0,0x362220,76,"Aika's favorite boomerang. It's large but light
and relatively easy to aim."
17,Skywing,1,Aika,50,26,5,-1,None,3670,107,110,-1,None,0,0,0x36226c,56,"A boomerang shaped like a flying bird. It
always return"
18,Scout Wing,1,Aika,50,21,59,-1,None,680,53,110,-1,None,0,0,0x3622a4,84,"A weapon carried by crews of scouting parties
it is meant to be fast and deadly."
19,Ice Splitter,1,Aika,50,29,60,-1,None,7390,142,110,34,Purple,0,-2,0x3622f8,76,"A boomerang with an icy clear
seemingly freezes the air it flies through."
20,Leather Crescent,1,Aika,50,18,6,-1,None,180,30,110,-1,None,0,0,0x362344,60,"A leather-reinforced boomerang that is very
sturdy in build"
21,Throwing Blade,1,Aika,50,19,28,-1,None,310,38,110,-1,None,0,0,0x362380,96,"An ancient weapon found near Sailor's Island.
Thought to have been used for wood & stone work."
22,Hunting Arc,1,Aika,50,24,32,-1,None,1820,80,110,-1,None,0,0,0x3623e0,88,"A traditional Ixa'takan hunting weapon
are taught to use them from a very young age."
23,Valuarang,1,Aika,50,20,52,-1,None,480,46,110,-1,None,0,0,0x362438,92,"A light boomerang used to practice for the
annual boomerang contest in the Valuan Coliseum."
24,Yin Wing,1,Aika,50,28,62,17,Sleep by 5%,5930,130,110,-1,None,0,0,0x362494,88,"A tear shaped blade crafted by a master
weaponsmith from a single piece of Moon Stone."
25,Dancing Arc,1,Aika,50,22,58,-1,None,1100,65,110,-1,None,0,0,0x3624ec,96,"A decorative throwing blade used by Nasrean
dancers. It is used as a hunting weapon as well."
26,Wing of Hope,1,Aika,50,27,8,-1,None,4760,119,110,-1,None,0,0,0x36254c,92,"Crafted in memory of those lost in the Dark Rift
and in hopes that others will fair better."
27,Storm Wing,1,Aika,50,23,49,2,Weak by 10%,1280,69,150,-1,None,0,0,0x3625a8,92,"Used by guards in an ancient imperial palace
this blade has the power to weaken enemies."
28,Moon Wing,1,Aika,50,31,55,-1,None,10170,161,110,-1,None,0,0,0x362604,88,"A superb weapon created by the master
A perfect balance of design and functionality."
29,Hydra Wing,1,Aika,50,32,54,-1,None,11390,168,110,-1,None,0,0,0x36265c,88,"A boomerang modified by the Valuan army with
reinforcement for close-quarters combat."
30,Grendel Wing,1,Aika,50,25,26,-1,None,2820,96,150,32,Green,0,-2,0x3626b4,88,"A boomerang made from a bone of the Green Gigas.
Its power rivals the Fist of Grendel."
31,Flutter Blade,1,Aika,50,30,64,3,Confusion by 20%,8910,153,110,-1,None,0,0,0x36270c,100,"A double-bladed boomerang with an unpredictable
flight path. It can induce confusion in enemies."
32,Cupil,2,Fina,0,34,19,-1,None,0,58,120,-1,None,0,0,0x362770,88,"An artificial life form created by Silvites.
Cupil has been with Fina since she was 4."
33,Cupil Lance,2,Fina,0,41,18,-1,None,0,110,120,-1,None,0,0,0x3627c8,80,"Cupil morphs into a lance and lunges itself at
whatever enemy Fina commands."
34,Cupil Star,2,Fina,0,40,22,-1,None,0,103,120,-1,None,0,0,0x362818,56,"Cupil morphs into a star and spirals towards its
enemy."
35,Cupicone,2,Fina,0,36,13,-1,None,0,73,120,-1,None,0,0,0x362850,44,"Morphs into a sharp cone
at its enemies."
36,Cupil Spear,2,Fina,0,46,10,-1,None,0,147,120,-1,None,0,0,0x36287c,76,"Morphs into a barbed spearhead. Each barb
helps Cupil inflict more damage."
37,Cupil Blade,2,Fina,0,35,11,4,Silence by 20%,0,67,115,-1,None,0,0,0x3628c8,68,"Cupil learns the ability to morph into an
extremely sharp knife."
38,Cupil Sword,2,Fina,0,38,20,4,Silence by 20%,0,90,115,-1,None,0,0,0x36290c,52,"By morphing into a sword
almost any enemy in two."
39,Cupil Cutlass,2,Fina,0,43,17,4,Silence by 20%,0,127,115,-1,None,0,0,0x362940,76,"Cupil learned to morph into a cutlass by
watching Vyse fight. Cupil Fury!!!"
40,Cupil Claymore,2,Fina,0,47,15,4,Silence by 20%,0,157,115,-1,None,0,0,0x36298c,84,"Morphing into a giant 2-handed sword
cause massive amounts of damage on any enemy."
41,Cupil Cannon,2,Fina,0,37,57,-1,None,0,86,105,20,Dodge%,0,5,0x3629e0,60,"Morphs into a small
and drops on an enemy from high above."
42,Cupil Spike,2,Fina,0,44,14,-1,None,0,141,105,20,Dodge%,0,10,0x362a1c,84,"Cupil morphs into a spike-laden board and drops
on an enemy's head. It misses a lot"
43,Cupil Weight,2,Fina,0,48,61,-1,None,0,172,105,20,Dodge%,0,15,0x362a70,60,"Cupil uses magic to increase its own weight many
times over"
44,Cupil Pan,2,Fina,0,45,21,-1,None,0,145,110,-1,None,0,0,0x362aac,96,"Cupil morphs into a frying pan and uses all of
its strength to whack enemies over their heads."
45,Cupil Club,2,Fina,0,39,25,-1,None,0,99,110,-1,None,0,0,0x362b0c,88,"Morphs into a club and bludgeons enemies into
submission. Even Cupil has a mean-streak."
46,Cupil Hammer,2,Fina,0,42,12,-1,None,0,122,110,-1,None,0,0,0x362b64,84,"Cupil morphs into the shape of a giant hammer
and hits enemies over their heads."
47,Final Cupil,2,Fina,0,49,16,-1,None,0,500,100,-1,None,0,0,0x362bb8,44,"Cupil's final and ultimate form
impressive"
48,Artificial Arm,3,Drachma,50,50,7,-1,None,390,43,80,-1,None,0,0,0x362be4,68,"A mechanical arm that shows signs of rigorous
use over many years"
49,Hook Hand,3,Drachma,50,51,3,-1,None,580,51,80,-1,None,0,0,0x362c28,72,"An attachment for Drachma's arm
hook-shaped blade that is razor sharp."
50,Mace Hand,3,Drachma,50,54,65,-1,None,2000,125,0,-1,None,0,0,0x362c70,28,"A heavy
destructive power"
51,Mining Arm,3,Drachma,50,57,45,-1,None,9980,172,80,-1,None,0,0,0x362c8c,96,"Equipment designed to mine Moon Stones. Created
by De Loco when he was assigned to Ixa'taka."
52,Dragon Arm,3,Drachma,50,58,9,-1,None,11850,181,80,-1,None,0,0,0x362cec,64,"An arm specially designed for Drachma by the
master swordsmith"
53,Beak Hand,3,Drachma,50,52,53,5,Confusion by 20%,880,60,80,-1,None,0,0,0x362d2c,96,"An attachment for Drachma's arm that is shaped
like a bird's beak. It can also confuse enemies."
54,De Loco Drill,3,Drachma,50,55,46,6,Unconscious by 10%,2600,95,80,-1,None,0,0,0x362d8c,56,"A drill taken from mining equipment designed by
De Loco"
55,Excavation Arm,3,Drachma,50,53,50,-1,None,1340,73,80,-1,None,0,0,0x362dc4,56,"A piece of instrument designed for archeological
digs"
56,Ruin Arm,3,Drachma,50,56,70,-1,None,3860,112,80,-1,None,0,0,0x362dfc,60,"A strange arm
left behind in the ruins of an ancient city."
57,Silver Arm,3,Drachma,50,59,34,-1,None,13710,190,80,37,Silver,0,-2,0x362e38,92,"Part of an android soldier created by the Silver
Civilization. Boasts high attack power."
58,Rapiers,4,Enrique,50,60,71,12,Silence by 20%,4200,122,95,-1,None,0,0,0x362e94,64,"A thin but sharp blade
warrior. Can impose Silence on enemies."
59,Stoneblade,4,Enrique,50,64,40,13,Stone by 10%,9850,171,95,-1,None,0,0,0x362ed4,88,"A work of genius by the master swordsmith
Ryu-kan. It can also turn enemies to stone."
60,Imperial Blade,4,Enrique,50,63,72,7,Silence by 20%,8660,163,95,-1,None,0,0,0x362f2c,80,"The sword of the legitimate heir to the throne.
Can impose Silence on enemies."
61,Serpent Strike,4,Enrique,50,65,1,8,Stone by 10%,11150,179,95,-1,None,0,0,0x362f7c,92,"A powerful sword worn by warriors of the Silver
Civilization. Can turn enemies to Stone."
62,Frostblade,4,Enrique,50,62,0,14,Confusion by 20%,7020,150,95,-1,None,0,0,0x362fd8,64,"A blade so sharp and cold
to the touch. It can Confuse enemies."
63,Blade of Slumber,4,Enrique,50,61,37,15,Sleep by 10%,5690,138,95,-1,None,0,0,0x363018,88,"A large sword used in Yafutoman ceremonies
mysterious powers can put enemies to Sleep."
64,Gilder's Own,5,Gilder,50,66,2,-1,None,2910,104,100,-1,None,0,0,0x363070,64,"A gun that has gotten Gilder through many a
tight spot. Small"
65,Nasr Pistol,5,Gilder,50,67,48,-1,None,3520,112,100,33,Red,0,-2,0x3630b0,96,"A replica of the weapon used by the Royal Guard
without the unnecessary decorative elements."
66,Warrior's Pistol,5,Gilder,50,72,38,-1,None,10920,176,100,-1,None,0,0,0x363110,88,"A small gun used by ancient warriors. Its
appearance hides its destructive power well."
67,Valuan Pistol,5,Gilder,50,69,51,-1,None,8140,160,100,-1,None,0,0,0x363168,40,"A stolen Valuan pistol
increase power"
68,Marksman Gun,5,Gilder,50,71,29,10,Unconscious by 20%,3000,100,200,-1,None,0,0,0x363190,84,"A small pistol used by Valuan assassins. Can
cause instant death with a good shot."
69,Daccat Custom,5,Gilder,50,68,42,9,Sleep by 50%,4290,120,100,-1,None,0,0,0x3631e4,92,"A long pistol used by the legendary Air Pirate
Daccat. Can sometimes put enemies to Sleep."
70,Gilder Special,5,Gilder,50,70,23,-1,None,9460,168,100,-1,None,0,0,0x363240,84,"A gun made specifically to fit Gilder's touch.
It has unequaled accuracy and power."
71,Tuna Cutlass,0,Vyse,100,16,63,-1,None,22222,150,0,-1,None,0,0,0x363294,64,"A special item for people on the Net.
Boasts high attack power"
72,Swirlmerang,1,Aika,100,33,27,11,Confusion by 100%,11111,100,200,-1,None,0,0,0x3632d4,80,"A special item for people on the Net.
Will always Confuse enemies without fail."
73,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x363324,16,"ダミーです。
"
74,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
75,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
76,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
77,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
78,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
79,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
