Entry ID,Entry US Name,Sell%,Ord by 123,US Ord by ABC,Buy,[US Descr Pos],[US Descr Size],US Descr Str
356,Magic Cannon,0,14,12,0,0x367254,84,A device attached to cannons that allows them\nto fire shots empowered with magic.
357,Wages,0,20,7,0,0x3672a8,64,Contains the 5\nearned while working at the tavern in Nasrad.
358,Grapor Meat,0,18,29,0,0x3672e8,72,Meat from the rare fish\nis only found in the forests of Crescent Isle.
359,Domingo's Title,0,31,36,0,0x367330,88,"A certificate from Domingo proclaiming Vyse to\nbe a ""Treasure Hunter Extraordinaire."""
360,ダミークリア,0,-1,-1,0,0x0,0,""
361,ダミークリア,0,-1,-1,0,0x0,0,""
362,ダミークリア,0,-1,-1,0,0x0,0,""
363,ダミークリア,0,-1,-1,0,0x0,0,""
364,ダミークリア,0,-1,-1,0,0x0,0,""
365,ダミークリア,0,-1,-1,0,0x0,0,""
366,ダミークリア,0,-1,-1,0,0x0,0,""
367,ダミークリア,0,-1,-1,0,0x0,0,""
368,ダミークリア,0,-1,-1,0,0x0,0,""
369,ダミークリア,0,-1,-1,0,0x0,0,""
370,ダミークリア,0,-1,-1,0,0x0,0,""
371,ダミークリア,0,-1,-1,0,0x0,0,""
372,ダミークリア,0,-1,-1,0,0x0,0,""
373,ダミークリア,0,-1,-1,0,0x0,0,""
374,ダミークリア,0,-1,-1,0,0x0,0,""
375,ダミークリア,0,-1,-1,0,0x0,0,""
376,ダミークリア,0,-1,-1,0,0x0,0,""
377,ダミークリア,0,-1,-1,0,0x0,0,""
378,ダミークリア,0,-1,-1,0,0x0,0,""
379,ダミークリア,0,-1,-1,0,0x0,0,""
380,ダミークリア,0,-1,-1,0,0x0,0,""
381,ダミークリア,0,-1,-1,0,0x0,0,""
382,ダミークリア,0,-1,-1,0,0x0,0,""
383,ダミークリア,0,-1,-1,0,0x0,0,""
384,ダミークリア,0,-1,-1,0,0x0,0,""
385,ダミークリア,0,-1,-1,0,0x0,0,""
386,ダミークリア,0,-1,-1,0,0x0,0,""
387,ダミークリア,0,-1,-1,0,0x0,0,""
388,ダミークリア,0,-1,-1,0,0x0,0,""
389,ダミークリア,0,-1,-1,0,0x0,0,""
390,ダミークリア,0,-1,-1,0,0x0,0,""
391,ダミークリア,0,-1,-1,0,0x0,0,""
392,ダミークリア,0,-1,-1,0,0x0,0,""
393,ダミークリア,0,-1,-1,0,0x0,0,""
394,ダミークリア,0,-1,-1,0,0x0,0,""
395,ダミークリア,0,-1,-1,0,0x0,0,""
396,ダミークリア,0,-1,-1,0,0x0,0,""
397,ダミークリア,0,-1,-1,0,0x0,0,""
398,ダミークリア,0,-1,-1,0,0x0,0,""
399,ダミークリア,0,-1,-1,0,0x0,0,""
