Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
46,ミル・エスパーダ,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #1,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357304,100,敵単体を一瞬で４回斬り付ける技。あまりの速さに、\n残像で動きがスローモーションに見える。消費Ｇ＝８
47,ラ・コロナシオン,6,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357404,96,バルア帝国の紋章である龍の化身が上空に現われ、\n敵単体に突っ込んで叩き潰す。　　　　　消費Ｇ＝16
48,ハデにやろうぜ,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #4,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357500,96,敵単体に向かって、ハデに二丁拳銃を撃ち続ける。\nあまりの連射に周辺の敵も巻き込まれる。消費Ｇ＝９
49,俺がギルダーだ！,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357596,96,クラウディアの全砲門を開き、敵全体に向かって\n弾数を気にせずに一斉射撃をする。　　　消費Ｇ＝18
50,リヴェンジ,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357692,96,１ターンの間、敵からの攻撃に全神経を集中し、\n防御をしつつも確実に反撃を返す。　　　消費Ｇ＝１
51,スカルシールド,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357788,100,１ターンの間、スカル船長が敵の通常攻撃を無効化。\nかつ確実に反撃を返す。仲間全員に効果。消費Ｇ＝５
52,デルタシールド,6,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357888,100,１ターンの間、仲間全員にЖ術無効化バリアを展開。\nただし味方のЖ術も受けつけなくなる。　消費Ｇ＝２
53,ユプシロンミラー,6,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357988,100,１ターンの間、鏡のようなオーラで自分を包み込み、\n精神統一でＫＰを10ポイント回復する。　消費Ｇ＝10
54,月の恵み,6,Neutral,320,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358088,96,銀の月の恵みで仲間全員が「滋養」の状態になり、\nＨＰが毎ターン一定量だけ回復する。　　消費Ｇ＝12
55,月の浄化,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358184,96,仲間全員の体に月の光を浸透させ、「失神」を除く\nすべての不利な状態を確実に治癒する。　消費Ｇ＝６
56,月の大いなるЖき,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358280,96,仲間全員の「失神」を含むすべての不利な状態を\n確実に治癒し、ＨＰも完全回復する。　　消費Ｇ＝18
57,怒！,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358376,96,ケタ外れの気合でガッツを通常の２倍ため、さらに\nすべての攻撃のダメージが半減する。　　消費Ｇ＝０
58,エスクード,6,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358472,100,１ターンの間、仲間全員に防御効果のバリアを展開。\nすべての攻撃のダメージが半減する。　　消費Ｇ＝４
59,効かねえなあ,6,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358572,100,１ターンの間、仲間全員に不利な状態を受けつけない\nバリアを展開。有利な状態は受けつける。消費Ｇ＝３
60,クルークルー,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358672,96,デルフィナスのクルー全員を呼び出すという大技。\nクルーの人数、個性で技の効果も変わる。消費Ｇ＝全
61,バッカニアーズ,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3358768,100,仲間４人がすべてのガッツを合わせた時に発動する。\n月をも落とす、究極の全体攻撃技だ。　　消費Ｇ＝全
