Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
13,クイッカ,3,Blue,70,0b0011,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,108,Incr All Attr,5,8,100,-1,0,0,0,0x2ae294,56,すばやさアップЖ術です。\nＰＣ１人の素早さを上げます。
14,キュア,5,Silver,80,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae2cc,60,治療Ж術です。\nＰＣ１人の毒、眠り、混乱を確実に解除します。
15,ライザ,5,Silver,90,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,6,Magic,0,5,0,0,0,0,Physical,-1,None,40,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae308,68,復活Ж術の第１段階です。\nＰＣ１人の戦闘不能を一定確率で解除します。
16,ライゾン,5,Silver,91,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,6,Magic,0,10,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae34c,64,復活Ж術の第２段階です。\nＰＣ１人の戦闘不能を確実に解除します。
17,ジェダ,5,Silver,100,0b0010,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,4,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae38c,64,即死Ж術の第１段階です。\nＥＣ単体を一定確率で戦闘不能にします。
18,ジェデス,5,Silver,101,0b0010,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae3cc,64,即死Ж術の第２段階です。\nＥＣ全体を一定確率で戦闘不能にします。
19,ジェドーサ,5,Silver,102,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,25,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae40c,60,即死Ж術の第３段階です。\nＥＣ単体を確実に戦闘不能にします。
20,ウェイバ,3,Blue,60,0b0011,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,100,4,0,0,0,0x2ae448,68,波動攻撃Ж術の第１段階です。\n円範囲の敵に青属性ダメージを与えます。
21,ウェイビィ,3,Blue,61,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,95,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,200,4,0,0,0,0x2ae48c,68,波動攻撃Ж術の第２段階です。\n円範囲の敵に青属性ダメージを与えます。
22,ウェボーン,3,Blue,63,0b0011,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,175,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,300,4,0,0,0,0x2ae4d0,68,波動攻撃Ж術の第４段階です。\n円範囲の敵に青属性ダメージを与えます。
23,バーナ,1,Red,0,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,20,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,100,1,0,0,0,0x2ae514,76,敵全体にダメージを与える炎のЖ術だ。\n数ばっかりのザコなんか、一網打尽だぞ!!
24,バーニィ,1,Red,1,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,200,1,0,0,0,0x2ae560,64,火炎攻撃Ж術の第２段階です。\n敵全体に赤属性ダメージを与えます。
25,バーネス,1,Red,2,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,350,1,0,0,0,0x2ae5a0,64,火炎攻撃Ж術の第３段階です。\n敵全体に赤属性ダメージを与えます。
26,グラシャ,2,Purple,10,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,120,2,0,0,0,0x2ae5e0,64,敵１体に大ダメージを与える氷のЖ術だ。\n巨大なボスにも有効だぞ!!
27,グラシィ,2,Purple,11,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,110,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,210,2,0,0,0,0x2ae620,64,凍気攻撃Ж術の第２段階です。\n敵単体に紫属性ダメージを与えます。
28,グラシェス,2,Purple,12,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,6,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,300,2,0,0,0,0x2ae660,64,凍気攻撃Ж術の第３段階です。\n敵単体に紫属性ダメージを与えます。
29,グラゾーバ,2,Purple,13,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,5,0,0,80,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,400,2,0,0,0,0x2ae6a0,88,敵１体に巨大ダメージを与える氷のЖ術だ。\nこの呪文さえあれば、あのボスだって倒せるぜ!!
30,バーノーン,1,Red,3,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,5,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,500,1,0,0,0,0x2ae6f8,84,敵全体に大ダメージを与える爆炎のЖ術だ。\nほとんどのザコを、一撃で全滅させられるぞ!!
31,ウェイベス,3,Blue,62,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,135,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,400,4,0,0,0,0x2ae74c,68,波動攻撃Ж術の第３段階です。\n円範囲の敵に青属性ダメージを与えます。
32,ボルタ,4,Yellow,30,0b0011,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,15,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,200,3,0,0,0,0x2ae790,76,電撃攻撃Ж術の第１段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
33,ボルティ,4,Yellow,31,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,25,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,260,3,0,0,0,0x2ae7dc,76,電撃攻撃Ж術の第２段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
34,ボルテス,4,Yellow,32,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,140,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,320,3,0,0,0,0x2ae828,76,電撃攻撃Ж術の第３段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
35,ボルドーラ,4,Yellow,33,0b0011,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,180,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,380,3,0,0,0,0x2ae874,76,電撃攻撃Ж術の第４段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
