Entry ID,[Filter],Entry JP Name,Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,[May Dodge],[Unk Damage],[Unk Ranged],[Unk Melee],[Ranged Atk],[Melee Atk],[Ranged Only],[Take Cover],[In Air],[On Ground],[Reserved],[May Move],Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
15,*,ヌール,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,1,2,-1,-1,17,18.0,10,11,9,5,20,10,10,10,10,5,9,0,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,24,10,21,38,36,36,90,15,-1,-1,5,1,241,サプガンの葉,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
17,*,ヴァンピレッサ,1,1,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,5,40,-1,-1,91,18.0,11,20,5,9,10,10,22,20,20,18,10,20,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,7,12,109,15,55,80,61,70,85,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
18,*,セベスク,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,7,50,-1,-1,90,18.0,20,9,11,10,5,10,20,10,10,10,11,0,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,6,33,56,10,37,94,84,84,80,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
19,*,ユールマラー,1,1,2,Purple,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,20,10,60,-1,-1,112,18.0,11,20,5,9,10,10,11,10,10,9,5,0,0,10,10,10,10,10,10,10,10,10,71,Silence + Damage,5,Silence,80,-1,12,52,105,20,65,132,171,145,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
20,*,レトモニケ２,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,13,90,-1,-1,144,18.0,20,9,11,10,5,10,20,10,10,5,11,0,0,10,5,10,10,10,10,10,10,10,69,Sleep + Damage,3,Sleep,90,-1,23,86,122,10,97,206,194,172,80,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
23,*,メア・ヘスア,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,13,110,-1,-1,179,18.0,10,11,9,5,20,10,20,20,20,10,18,20,0,20,40,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,19,85,85,15,124,175,128,128,95,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
24,*,デシェレト,1,1,1,Red,-1,-1,0b011111000000,"",X,X,X,X,X,"","","","","","",5,18,220,-1,-1,338,18.0,9,5,20,11,10,10,0,10,0,11,20,0,0,5,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,15,60,111,10,41,160,182,152,80,0,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
25,*,イアールト２,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,24,160,-1,-1,217,18.0,9,5,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,31,133,186,10,88,295,280,280,85,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
26,*,ザダムレステル,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,10,80,-1,-1,128,18.0,9,5,20,11,10,10,9,10,10,11,20,0,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,13,54,76,15,79,124,122,108,90,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
27,*,ヘベレル,1,1,3,Blue,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,10,10,100,-1,-1,116,18.0,10,10,10,9,11,10,9,9,10,11,11,10,0,10,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,14,14,14,10,57,132,144,158,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
28,*,屍鬼,1,1,0,Green,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,20,130,-1,-1,369,18.0,10,11,9,5,20,10,10,0,0,5,9,0,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,14,57,81,15,51,152,158,86,70,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
29,*,エルモ,1,1,5,Silver,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,50,2,38,-1,-1,21,18.0,10,10,10,10,11,9,10,9,10,10,10,10,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,13,32,10,27,36,32,64,110,100,-1,-1,5,1,244,Ж樹の玉,5,1,240,サプの葉,-1,-1,-1,None,-1,-1,-1,None
30,*,エルモ２,1,1,1,Red,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,15,30,150,-1,-1,45,18.0,10,9,11,10,10,10,0,0,20,0,0,0,0,10,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,15,15,15,10,121,152,121,364,120,120,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
31,*,ヘムヘム,1,1,3,Blue,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,10,7,40,-1,-1,57,18.0,20,9,11,10,5,10,40,20,20,5,22,0,0,10,10,10,10,10,10,10,10,10,69,Sleep + Damage,3,Sleep,80,-1,12,51,50,5,57,113,76,76,75,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
32,*,汎用兵Ｂ１,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,20,240,-1,-1,341,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,19,75,125,10,84,211,188,188,85,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
37,*,ヤック,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,15,120,-1,-1,194,18.0,10,11,9,5,20,10,20,20,20,10,18,20,0,20,40,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,21,93,93,15,135,190,140,140,95,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
50,*,マロッカ２,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,12,100,-1,-1,63,18.0,20,9,11,10,5,10,40,20,20,20,22,0,0,20,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,23,86,51,5,68,206,280,237,70,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
51,*,アイガムハ,1,1,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,5,66,440,-1,-1,1162,18.0,11,20,5,9,10,10,11,5,5,4,2,4,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,27,146,221,10,102,306,277,277,75,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
57,*,イアールト,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,13,80,-1,-1,125,18.0,9,5,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,14,66,98,10,46,156,148,148,85,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
63,*,メタルクリオネ,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,330,2700,-1,-1,86,18.0,10,11,9,5,20,10,5,10,10,5,9,10,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,30,102,344,10,244,287,516,516,95,40,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
64,*,ぶちクリオネ,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,15,120,-1,-1,93,18.0,10,11,9,5,20,10,5,10,10,5,9,10,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,17,68,154,10,92,164,154,154,95,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
66,*,ギャルブ,1,1,2,Purple,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,29,240,-1,-1,429,18.0,11,20,5,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,33,140,180,15,94,300,270,270,75,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
72,*,警備士,1,1,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,0,6,-1,-1,113,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,15,21,20,19,36,32,32,100,20,-1,-1,45,1,242,サプハネの葉,45,1,241,サプガンの葉,45,1,240,サプの葉,-1,-1,-1,None
86,*,はぐれクリオネ,3,3,4,Yellow,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,50,451,3690,-1,-1,60,18.0,5,10,10,20,9,11,2,0,5,10,5,10,0,10,4,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,20,88,248,15,176,206,372,372,95,80,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
88,*,ユールマラー２,3,3,2,Purple,-1,-1,0b111111001101,X,X,X,X,X,X,"","",X,X,"",X,20,14,90,-1,-1,150,18.0,11,20,5,9,10,10,11,10,10,9,5,0,0,10,10,10,10,10,10,10,10,10,71,Silence + Damage,5,Silence,80,-1,18,70,140,20,87,176,228,193,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
90,*,ヴァンピレッサ２,1,1,3,Blue,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,13,110,-1,-1,171,18.0,20,9,11,10,5,10,40,20,20,20,22,18,0,10,10,10,10,10,10,10,10,10,70,Confusion + Damage,4,Confusion,90,-1,18,40,225,15,113,165,126,144,85,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
92,*,ヘムヘム２,3,3,3,Blue,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,10,16,100,-1,-1,109,18.0,20,9,11,10,5,10,40,20,20,5,22,0,0,10,10,10,10,10,10,10,10,10,69,Sleep + Damage,3,Sleep,80,-1,20,76,76,5,86,169,115,115,75,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
95,*,セベスク２,1,1,2,Purple,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,19,150,-1,-1,188,18.0,11,20,5,9,10,10,11,10,10,9,5,0,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,22,83,138,10,93,234,208,208,80,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
96,*,ロッキ,1,1,1,Red,-1,-1,0b111111001101,X,X,X,X,X,X,"","",X,X,"",X,20,3,7,-1,-1,94,18.0,9,9,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,31,25,19,54,52,43,90,15,-1,-1,3,1,192,ロッキの腕輪,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
104,*,汎用兵Ｃ１,3,3,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,23,280,-1,-1,385,18.0,5,10,10,20,9,11,0,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,22,84,141,10,95,238,212,212,85,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
105,*,汎用兵Ｃ２,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,37,450,-1,-1,584,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,36,128,213,10,144,360,320,320,85,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
106,*,汎用兵Ｂ２,3,3,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,39,480,-1,-1,621,18.0,5,10,10,20,9,11,0,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,38,136,226,10,153,382,340,340,85,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
128,*,アントニオ,3,3,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,18,33,-1,-1,187,18.0,5,10,10,20,9,11,5,0,0,0,5,0,0,0,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,31,5,19,56,52,43,105,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
129,*,アガタウマス,3,3,5,Silver,-1,-1,0b011111000111,"",X,X,X,X,X,"","","",X,X,X,20,33,185,-1,-1,921,18.0,10,10,10,10,11,9,0,0,0,0,5,0,0,0,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,22,40,10,22,63,61,61,120,0,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
130,*,イマゴタリア,3,3,0,Green,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,10,140,141,-1,-1,1511,18.0,10,11,9,5,20,10,0,0,0,0,5,0,0,0,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,22,29,15,17,59,44,44,75,5,-1,-1,90,1,20,革のブーメラン,90,1,182,マロッカの腕輪,100,1,113,勝負の下着,-1,-1,-1,None
131,*,獄長,3,3,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,200,248,-1,-1,432,18.0,5,10,10,20,9,11,5,0,5,5,5,20,0,0,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,5,21,45,20,32,81,79,57,95,10,-1,-1,30,1,242,サプハネの葉,30,1,241,サプガンの葉,30,1,240,サプの葉,-1,-1,-1,None
133,*,護送将兵,1,1,4,Yellow,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,25,60,61,-1,-1,255,18.0,5,10,10,20,9,11,5,0,5,5,5,20,0,0,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,0,28,5,18,40,40,44,110,10,-1,-1,90,1,2,シーカトラス,90,1,192,ロッキの腕輪,100,1,5,天空のカトラス,-1,-1,-1,None
134,*,ラァス,3,3,1,Red,-1,-1,0b011111001001,"",X,X,X,X,X,"","",X,"","",X,20,1000,823,-1,-1,3457,18.0,9,5,20,11,10,10,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,7,35,52,5,43,124,88,70,100,0,-1,-1,30,1,344,イリマジョリン,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
