Entry ID,[Filter],[EC ID],[EC JP Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
15,MB000.STD,0,軍艦兵,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,72,薬草３,0,5.00,1.00
0,MB001.STD,1,航行士,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB001.STD,1,航行士,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB001.STD,1,航行士,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB001.STD,1,航行士,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB001.STD,1,航行士,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB001.STD,1,航行士,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB001.STD,1,航行士,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB001.STD,1,航行士,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB001.STD,1,航行士,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB001.STD,1,航行士,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB001.STD,1,航行士,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.20
11,MB001.STD,1,航行士,16,Use Item 1,1,8,11,Defeat,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
12,MB001.STD,1,航行士,21,Cast Magic,1,8,12,Revive,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
13,MB001.STD,1,航行士,32,Knockdown,1,10,13,Focus,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
14,MB001.STD,1,航行士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,13,クイッカ,0,5.00,1.00
15,MB001.STD,1,航行士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,1,アポス,0,5.00,1.00
16,MB001.STD,1,航行士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,32,ボルタ,0,5.00,1.00
17,MB001.STD,1,航行士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,27,グラシィ,0,5.00,1.00
18,MB001.STD,1,航行士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,79,薬草,0,5.00,1.00
19,MB001.STD,1,航行士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,80,薬草,0,5.00,1.00
20,MB001.STD,1,航行士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,81,薬草,0,5.00,1.00
0,MB002.STD,2,ミクラステル,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB002.STD,2,ミクラステル,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB002.STD,2,ミクラステル,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.10
3,MB002.STD,2,ミクラステル,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
4,MB002.STD,2,ミクラステル,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,MB002.STD,2,ミクラステル,9,Take Damage 1,1,11,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
6,MB002.STD,2,ミクラステル,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB002.STD,2,ミクラステル,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB002.STD,2,ミクラステル,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MB002.STD,2,ミクラステル,13,Dodge,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB002.STD,2,ミクラステル,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
11,MB002.STD,2,ミクラステル,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB002.STD,2,ミクラステル,32,Knockdown,1,10,12,Revive,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
13,MB002.STD,2,ミクラステル,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,4,レーザー,0,5.00,1.00
0,MB003.STD,3,マロッカ,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB003.STD,3,マロッカ,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,8.50,1.00
2,MB003.STD,3,マロッカ,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB003.STD,3,マロッカ,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB003.STD,3,マロッカ,8,Critical Attack,1,8,4,Critical Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
5,MB003.STD,3,マロッカ,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB003.STD,3,マロッカ,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
7,MB003.STD,3,マロッカ,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB003.STD,3,マロッカ,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB003.STD,3,マロッカ,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB003.STD,3,マロッカ,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB003.STD,3,マロッカ,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB003.STD,3,マロッカ,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB003.STD,3,マロッカ,32,Knockdown,1,10,13,Focus,0b10001000001000000000000000000000,-1,None,0,0.00,1.00
0,MB004.STD,4,アーアペプ,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB004.STD,4,アーアペプ,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB004.STD,4,アーアペプ,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB004.STD,4,アーアペプ,4,Close Attack,1,8,3,Close Attack,0b10001010000000000000000000000000,-1,None,0,5.00,0.80
4,MB004.STD,4,アーアペプ,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB004.STD,4,アーアペプ,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB004.STD,4,アーアペプ,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB004.STD,4,アーアペプ,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB004.STD,4,アーアペプ,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010001000000000000000000000,-1,None,0,0.00,1.00
9,MB004.STD,4,アーアペプ,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB004.STD,4,アーアペプ,13,Dodge,1,8,10,Dodge,0b10001010001000000000000000000000,-1,None,0,0.00,0.60
11,MB004.STD,4,アーアペプ,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB004.STD,4,アーアペプ,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB004.STD,4,アーアペプ,21,Cast Magic,1,8,0,Idle 1,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
14,MB004.STD,4,アーアペプ,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
15,MB004.STD,4,アーアペプ,29,Exec S-Move,1,8,15,Run,0b10001010000000000000000000000000,57,怪音波,0,5.00,1.00
16,MB004.STD,4,アーアペプ,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,3,パニカ,0,5.00,1.00
17,MB004.STD,4,アーアペプ,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,20,ウェイバ,0,5.00,1.00
18,MB004.STD,4,アーアペプ,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,21,ウェイビィ,0,5.00,1.00
19,MB004.STD,4,アーアペプ,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,22,ウェボーン,0,5.00,1.00
20,MB004.STD,4,アーアペプ,29,Exec S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,100,Ж術詠唱？,0,5.00,1.00
0,MB007.STD,7,煌術処刑士,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,0.60
1,MB007.STD,7,煌術処刑士,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB007.STD,7,煌術処刑士,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.50
3,MB007.STD,7,煌術処刑士,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB007.STD,7,煌術処刑士,8,Critical Attack,1,8,4,Critical Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
5,MB007.STD,7,煌術処刑士,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB007.STD,7,煌術処刑士,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB007.STD,7,煌術処刑士,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB007.STD,7,煌術処刑士,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB007.STD,7,煌術処刑士,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB007.STD,7,煌術処刑士,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,0.80
11,MB007.STD,7,煌術処刑士,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB007.STD,7,煌術処刑士,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB007.STD,7,煌術処刑士,21,Cast Magic,1,8,13,Focus,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
14,MB007.STD,7,煌術処刑士,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,0.60
15,MB007.STD,7,煌術処刑士,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,37,ためる,0,5.00,1.00
16,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,0,アパ,0,5.00,1.00
17,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,2,サイレシャ,0,5.00,1.00
18,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,4,ダウナ,0,5.00,1.00
19,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,6,サプラ,0,5.00,1.00
20,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,7,サプリィ,0,5.00,1.00
21,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,18,ジェデス,0,5.00,1.00
22,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,22,ウェボーン,0,5.00,1.00
23,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,26,グラシャ,0,5.00,1.00
24,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,28,グラシェス,0,5.00,1.00
25,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,29,グラゾーバ,0,5.00,1.00
26,MB007.STD,7,煌術処刑士,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,35,ボルドーラ,0,5.00,1.00
0,MB013.STD,13,アスフール,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.20
1,MB013.STD,13,アスフール,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB013.STD,13,アスフール,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.10,1.10
3,MB013.STD,13,アスフール,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB013.STD,13,アスフール,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB013.STD,13,アスフール,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.10,1.00
6,MB013.STD,13,アスフール,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB013.STD,13,アスフール,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB013.STD,13,アスフール,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB013.STD,13,アスフール,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB013.STD,13,アスフール,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB013.STD,13,アスフール,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB013.STD,13,アスフール,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB013.STD,13,アスフール,21,Cast Magic,1,8,13,Focus,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
14,MB013.STD,13,アスフール,32,Knockdown,1,10,14,Widthdraw,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
15,MB013.STD,13,アスフール,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,201,仲間を呼ぶ,0,5.00,1.00
16,MB013.STD,13,アスフール,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,100,Ж術詠唱？,0,5.00,1.00
17,MB013.STD,13,アスフール,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,17,ジェダ,0,5.00,1.00
18,MB013.STD,13,アスフール,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,108,仲間を呼ぶ,0,5.00,1.00
19,MB013.STD,13,アスフール,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,200,仲間を呼ぶ,0,5.00,1.00
0,MB015.STD,15,ヌール,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB015.STD,15,ヌール,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB015.STD,15,ヌール,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,2.60
3,MB015.STD,15,ヌール,4,Close Attack,1,8,3,Close Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
4,MB015.STD,15,ヌール,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB015.STD,15,ヌール,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB015.STD,15,ヌール,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
7,MB015.STD,15,ヌール,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB015.STD,15,ヌール,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MB015.STD,15,ヌール,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB015.STD,15,ヌール,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
11,MB015.STD,15,ヌール,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB015.STD,15,ヌール,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB015.STD,15,ヌール,21,Cast Magic,1,8,0,Idle 1,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
14,MB015.STD,15,ヌール,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
15,MB015.STD,15,ヌール,29,Exec S-Move,1,8,15,Run,0b10001010001000000000000000000000,210,ＨＰ吸収,0,5.00,1.00
16,MB015.STD,15,ヌール,29,Exec S-Move,1,8,16,Magic,0b10001000001000000000000000000000,56,電撃,0,5.00,1.00
17,MB015.STD,15,ヌール,29,Exec S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,100,Ж術詠唱？,0,5.00,1.00
18,MB015.STD,15,ヌール,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,10,プワザ,0,5.00,1.00
19,MB015.STD,15,ヌール,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,11,プワゾーク,0,5.00,1.00
20,MB015.STD,15,ヌール,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,19,ジェドーサ,0,5.00,1.00
0,MB029.STD,29,エルモ,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB029.STD,29,エルモ,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB029.STD,29,エルモ,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB029.STD,29,エルモ,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.00,2.00
4,MB029.STD,29,エルモ,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,2.00
5,MB029.STD,29,エルモ,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB029.STD,29,エルモ,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB029.STD,29,エルモ,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB029.STD,29,エルモ,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
9,MB029.STD,29,エルモ,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
10,MB029.STD,29,エルモ,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
11,MB029.STD,29,エルモ,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB029.STD,29,エルモ,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB029.STD,29,エルモ,21,Cast Magic,1,8,13,Focus,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
14,MB029.STD,29,エルモ,32,Knockdown,1,10,14,Widthdraw,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
15,MB029.STD,29,エルモ,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,23,バーナ,0,5.00,1.00
16,MB029.STD,29,エルモ,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,7,サプリィ,0,5.00,1.00
17,MB029.STD,29,エルモ,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,0,アパ,0,5.00,1.00
18,MB029.STD,29,エルモ,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,12,スリーパ,0,5.00,1.00
19,MB029.STD,29,エルモ,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,2,サイレシャ,0,5.00,1.00
20,MB029.STD,29,エルモ,29,Exec S-Move,1,8,13,Focus,0b10001010001000000000000000000000,100,Ж術詠唱？,0,5.00,1.00
0,MB072.STD,72,警備士,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB072.STD,72,警備士,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB072.STD,72,警備士,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB072.STD,72,警備士,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB072.STD,72,警備士,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB072.STD,72,警備士,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB072.STD,72,警備士,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB072.STD,72,警備士,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB072.STD,72,警備士,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB072.STD,72,警備士,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB072.STD,72,警備士,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.20
11,MB072.STD,72,警備士,16,Use Item 1,1,8,11,Defeat,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
12,MB072.STD,72,警備士,21,Cast Magic,1,8,12,Revive,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
13,MB072.STD,72,警備士,32,Knockdown,1,10,13,Focus,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
14,MB072.STD,72,警備士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,13,クイッカ,0,5.00,1.00
15,MB072.STD,72,警備士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,1,アポス,0,5.00,1.00
16,MB072.STD,72,警備士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,32,ボルタ,0,5.00,1.00
17,MB072.STD,72,警備士,24,Exec Magic/S-Move,1,8,12,Revive,0b10001000000000000000000000000000,27,グラシィ,0,5.00,1.00
18,MB072.STD,72,警備士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,79,薬草,0,5.00,1.00
19,MB072.STD,72,警備士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,80,薬草,0,5.00,1.00
20,MB072.STD,72,警備士,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,81,薬草,0,5.00,1.00
0,MB096.STD,96,ロッキ,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB096.STD,96,ロッキ,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB096.STD,96,ロッキ,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB096.STD,96,ロッキ,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB096.STD,96,ロッキ,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,MB096.STD,96,ロッキ,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
