Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Buy,Pad 1,Pad 2,Sell%,Pad 3,Attack,Hit%,Limit,SP,Trait 1 ID,[Trait 1 Name],Pad 4,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 5,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 6,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 7,Trait 4 Value,JP Order 1,JP Order 2,Pad 8,Pad 9
412,副砲2,0x3e,X,X,X,X,X,1,Sec Cannon,4,Yellow,600,0,0,50,0,120,120,1,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,12,12,0,0
413,副砲3,0x3e,X,X,X,X,X,1,Sec Cannon,6,Neutral,800,0,0,50,0,150,150,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,13,13,0,0
414,副砲4,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,1000,0,0,50,0,180,200,2,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,14,14,0,0
415,副砲5,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,1200,0,0,50,0,180,300,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,15,15,0,0
416,副砲6,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,1400,0,0,50,0,200,350,3,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,16,16,0,0
417,副砲7,0xe,"","",X,X,X,1,Sec Cannon,1,Red,1600,0,0,50,0,220,380,2,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,17,17,0,0
418,副砲8,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,1800,0,0,50,0,270,400,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,18,18,0,0
419,副砲9,0xa,"","",X,"",X,1,Sec Cannon,6,Neutral,0,0,0,0,0,200,380,2,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,19,19,0,0
420,長距離砲0,0x30,X,X,"","","",2,Torpedo,6,Neutral,300,0,0,50,0,60,50,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,20,20,0,0
421,長距離砲1,0x3e,X,X,X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,140,80,2,10,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,21,21,0,0
422,長距離砲2,0x3e,X,X,X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,150,100,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,22,22,0,0
423,長距離砲3,0x3e,X,X,X,X,X,2,Torpedo,0,Green,400,0,0,50,0,180,120,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,23,23,0,0
424,長距離砲4,0xe,"","",X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,220,140,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,24,24,0,0
425,長距離砲5,0xe,"","",X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,240,180,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,25,25,0,0
426,長距離砲6,0xe,"","",X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,280,190,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,26,26,0,0
427,長距離砲7,0xe,"","",X,X,X,2,Torpedo,2,Purple,400,0,0,50,0,330,190,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,27,27,0,0
428,長距離砲8,0xe,"","",X,X,X,2,Torpedo,6,Neutral,400,0,0,50,0,400,200,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,28,28,0,0
429,長距離砲9,0xa,"","",X,"",X,2,Torpedo,6,Neutral,400,0,0,50,0,240,190,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,29,29,0,0
430,ラムキャノン,0x20,X,"","","","",3,Special,6,Neutral,0,0,0,0,0,300,75,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,30,30,0,0
431,デルフィナス砲,0xe,"","",X,X,X,3,Special,6,Neutral,0,0,0,0,0,700,200,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,31,31,0,0
432,最強主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,50000,0,0,100,0,999,999,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,32,32,0,0
433,最強副砲,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,50000,0,0,100,0,500,999,3,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,33,33,0,0
434,最強長距離砲,0xe,"","",X,X,X,2,Torpedo,5,Silver,50000,0,0,100,0,750,999,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,34,34,0,0
435,ボーナス主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,1000,0,0,50,0,550,350,0,18,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,35,35,0,0
436,ボーナス副砲,0xe,"","",X,X,X,1,Sec Cannon,6,Neutral,1000,0,0,50,0,230,380,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,36,36,0,0
437,ボーナス長距離砲,0xe,"","",X,X,X,2,Torpedo,6,Neutral,1000,0,0,50,0,320,280,3,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,37,37,0,0
438,変わった主砲,0x3e,X,X,X,X,X,0,Main Cannon,3,Blue,1000,0,0,50,0,300,300,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,38,38,0,0
439,変わった副砲,0x3e,X,X,X,X,X,1,Sec Cannon,4,Yellow,1000,0,0,50,0,180,100,2,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,39,39,0,0
