Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect Spirit,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect Spirit,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.,[DE Ship Descr. Pos.],[DE Ship Descr. Size],DE Ship Descr. Str.,[ES Ship Descr. Pos.],[ES Ship Descr. Size],ES Ship Descr. Str.,[FR Ship Descr. Pos.],[FR Ship Descr. Size],FR Ship Descr. Str.,[GB Ship Descr. Pos.],[GB Ship Descr. Size],GB Ship Descr. Str.
10,0x8c344524,0x19a65,5,Noxi,0x1986f,5,Noxi,0x19b98,5,Noxi,0x1952d,5,Noxi,0,Green,0,50,0x2,"",X,"",4,Add Poison + Damage,3,One Enemy,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe3a7,95,Schädigt und vergiftet einen Feind. Am besten\\nzu Beginn langer Kämpfe verwenden.         SP 3,0xe2ea,98,Debilita y envenena a uno de los enemigos.Mejor\\nusarlo al principio de una batalla larga.   SEP3,0xe332,93,Blesse et empoisonne un ennemi. Mieux vaut\\nl'utiliser au début de longues batailles.   ES 3,0xe0f4,97,Damages and Poisons any one enemy. Best if used\\nat the beginning of long battles.          SP 3,0x186fa,30,Kann nicht benutzt werden.\\n ,0x1852d,20,No puede usarse.\\n ,0x1876f,25,Ne peut être utilisé.\\n ,0x1824b,24,Cannot be used.\\n------
11,0x8c34452c,0x19a6a,6,Noxus,0x19874,6,Noxus,0x19b9d,6,Noxus,0x19532,6,Noxus,0,Green,0,51,0x2,"",X,"",4,Add Poison + Damage,4,All Enemies,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe406,95,Schädigt und vergiftet alle Feinde. Am besten\\nzu Beginn langer Kämpfe verwenden.         SP 6,0xe34c,97,Debilita y envenena a todos los enemigos.Mejor\\nusarlo al principio de una batalla larga.   SEP6,0xe38f,99,Blesse & empoisonne tous les ennemis. Mieux vaut\\nl'utiliser au début de longues batailles.   ES 6,0xe155,95,Damages and Poisons all enemies. Best if used\\nat the beginning of long battles.          SP 6,0x18718,30,Kann nicht benutzt werden.\\n ,0x18541,21,No puede usarse. \\n ,0x18788,25,Ne peut être utilisé.\\n ,0x18263,24,Cannot be used.\\n------
12,0x8c344534,0x19a70,8,Slipara,0x1987a,8,Slipara,0x19ba3,8,Slipara,0x19538,8,Slipara,3,Blue,0,110,0x2,"",X,"",9,Add Sleep,4,All Enemies,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe465,91,Lässt mit etwas Glück alle Feinde auf dem\\nBildschirm in tiefsten Schlaf sinken.      SP 6,0xe3ad,93,Hace que todos los enemigos en pantalla se\\nduerman.                                    SEP6,0xe3f2,99,Offre la possibilité d'endormir tous les ennemis\\nà l'écran.                                  ES 6,0xe1b4,94,Has a chance to put all enemies on screen to\\nSleep.                                     SP 6,0x18736,30,Kann nicht benutzt werden.\\n ,0x18556,21,No puede usarse. \\n ,0x187a1,25,Ne peut être utilisé.\\n ,0x1827b,24,Cannot be used.\\n------
13,0x8c34453c,0x19a78,6,Quika,0x19882,6,Quika,0x19bab,6,Quika,0x19540,6,Quika,3,Blue,0,70,0x3,"",X,X,20,Add Quickened,2,All Characters,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,0xe4c0,87,Verdoppelt die Geschwindigkeit aller \\nVerbündeten. Erleichtert die Flucht.       SP 6,0xe40a,91,Dobla la velocidad de todos los aliados.\\nTambién hace más fácil huir de las batallas.SEP6,0xe455,95,"Double la vitesse de tous les alliés, ce qui\\npermet aussi de fuir plus vite les combats. ES 6",0xe212,97,"Doubles the speed of all allies. Also, it makes\\nit easier to run from battles.             SP 6",0x18754,91,Verdoppelt Geschwindigkeit des Schiffes.\\nEffekt hält für 2 Runden an.                6 SP,0x1856b,79,Dobla la velocidad del barco.\\nEl efecto dura 2 turnos.                    6SP,0x187ba,79,Double la vitesse du navire.\\nLes effets durent 2 tours.                  6 ES,0x18293,70,Doubles ship speed.\\nEffect lasts for 2 rounds.                  6 SP
14,0x8c344544,0x19a7e,6,Curia,0x19888,6,Curia,0x19bb1,6,Curia,0x19546,6,Curia,5,Silver,0,80,0x2,"",X,"",30,Remove Negative States,1,One Character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe517,95,Kuriert einen Verbündeten von allen negativen\\nEffekten (außer Bewusstlosigkeit).         SP 2,0xe465,88,Cura a un aliado de todos los efectos\\nadversos (excepto Inconsciente).            SEP2,0xe4b4,94,Guérit un allié de tous les effets néfastes\\n(à part l'Inconscience).                    ES 2,0xe273,96,Cures one ally of all adverse effects (except\\nfor Unconscious).                           SP 2,0x187af,30,Kann nicht benutzt werden.\\n ,0x185ba,20,No puede usarse.\\n ,0x18809,25,Ne peut être utilisé.\\n ,0x182d9,24,Cannot be used.\\n------
15,0x8c34454c,0x19a84,6,Risan,0x1988e,6,Risan,0x19bb7,6,Risan,0x1954c,6,Risan,5,Silver,0,90,0x2,"",X,"",27,Revive w/ 50% of HP,1,One Character,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe576,97,"50% Wahrscheinlichkeit, einen bewusstlosen Ver-\\nbündeten mit 50% seiner HP aufzuwecken.    SP 4",0xe4bd,99,Puede revivir en un 50% a un aliado inconsciente\\ny reponer el 50% de su Salud.               SEP4,0xe512,99,"A 50% de chance de ranimer un allié Inconscient,\\net de lui redonner 50% de ses PV.           ES 4",0xe2d3,99,"Has a 50% chance of reviving an Unconscious ally,\\nalong with 50% of their HP.                SP 4",0x187cd,30,Kann nicht benutzt werden.\\n ,0x185ce,20,No puede usarse.\\n ,0x18822,25,Ne peut être utilisé.\\n ,0x182f1,24,Cannot be used.\\n------
16,0x8c344554,0x19a8a,8,Riselem,0x19894,8,Riselem,0x19bbd,8,Riselem,0x19552,8,Riselem,5,Silver,0,91,0x2,"",X,"",28,Revive w/ 100% of HP,1,One Character,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe5d7,94,Weckt einen bewusstlosen Verbündeten auf und\\nerneuert seine gesamten HP.                SP 8,0xe520,82,Revive a un aliado inconsciente\\ny repone su Salud totalmente.               SEP8,0xe575,98,Ranime un allié Inconscient et lui redonne tous\\nses PV.                                     ES 8,0xe336,96,Revives an Unconscious ally and restores their\\nHP to full.                                SP 8,0x187eb,30,Kann nicht benutzt werden.\\n ,0x185e2,20,No puede usarse.\\n ,0x1883b,25,Ne peut être utilisé.\\n ,0x18309,24,Cannot be used.\\n------
17,0x8c34455c,0x19a92,7,Eterni,0x1989c,7,Eterni,0x19bc5,7,Eterni,0x1955a,7,Eterni,5,Silver,0,100,0x2,"",X,"",5,Add Unconscious,3,One Enemy,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe635,94,Kann einen Feind auf der Stelle töten. Wirkt\\nbei mächtigen Feinden evtl. nicht.         SP 5,0xe572,98,"Mata instantáneamente a cualquier enemigo, pero\\npuede fallar con monstruos o grandes jefes. SEP5",0xe5d7,100,Peut tuer instantanément un des ennemis. Mais pas\\nforcément un chef ou un monstre puissant.   ES 5,0xe396,96,Can instantly kill any one enemy. May not work\\non some powerful monsters or bosses.       SP 5,0x18809,30,Kann nicht benutzt werden.\\n ,0x185f6,20,No puede usarse.\\n ,0x18854,25,Ne peut être utilisé.\\n ,0x18321,24,Cannot be used.\\n------
18,0x8c344564,0x19a99,8,Eternes,0x198a3,8,Eternes,0x19bcc,8,Eternes,0x19561,8,Eternes,5,Silver,0,101,0x2,"",X,"",5,Add Unconscious,4,All Enemies,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe693,94,Kann alle Feinde auf dem Bildschirm auf der\\nStelle töten.                              SP 10,0xe5d4,99,Causa la muerte instantánea a todos los enemigos\\nen pantalla.                               SEP10,0xe63b,94,Peut causer la mort instantanée de tous les\\nennemis à l'écran.                         ES 10,0xe3f6,96,Can cause instant death to all enemies on the\\nscreen.                                    SP 10,0x18827,30,Kann nicht benutzt werden.\\n ,0x1860a,20,No puede usarse.\\n ,0x1886d,25,Ne peut être utilisé.\\n ,0x18339,24,Cannot be used.\\n------
19,0x8c34456c,0x19aa1,8,Eternum,0x198ab,8,Eternum,0x19bd4,8,Eternum,0x19569,8,Eternum,5,Silver,0,102,0x2,"",X,"",6,Add Unconscious + Damage 1,3,One Enemy,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe6f1,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\\nZiel immun, richtet es Schaden an.         SP 15",0xe637,98,"Causa la muerte instantánea de un enemigo.Si el\\nobjetivo es inmune, le provocará daños.    SEP15",0xe699,99,"Cause la mort immédiate d'un ennemi. Si la cible\\nest immunisée, elle subira des dégâts.     ES 15",0xe456,98,"Causes instant death to one enemy. If target is\\nimmune, then it will cause damage.         SP 15",0x18845,30,Kann nicht benutzt werden.\\n ,0x1861e,20,No puede usarse.\\n ,0x18886,25,Ne peut être utilisé.\\n ,0x18351,24,Cannot be used.\\n------
20,0x8c344574,0x19aa9,6,Wevli,0x198b3,6,Wevli,0x19bdc,6,Wevli,0x19571,6,Wevli,3,Blue,0,60,0x3,"",X,X,0,Damage,32,Enemy Area 1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,0xe751,95,Schädigt einen Feind mit einem Wirbelwind aus\\nLuft und Wasser. Schädigt auch nahe Feinde.SP 2,0xe699,96,Hiere a un enemigo con un torbellino de aire\\ny agua. También hiere a enemigos próximos.  SEP2 ,0xe6fc,85,Blesse un ennemi avec une tornade.\\nAtteint aussi les ennemis proches.          ES 2,0xe4b8,95,Damages one enemy with a whirlwind of air and\\nwater. Also harms nearby enemies.          SP 2,0x18863,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            2 SP,0x18632,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 2SP,0x1889f,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  2 ES,0x18369,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        2 SP
21,0x8c34457c,0x19aaf,7,Wevles,0x198b9,7,Wevles,0x19be2,7,Wevles,0x19577,7,Wevles,3,Blue,0,61,0x3,"",X,X,0,Damage,33,Enemy Area 2,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,0xe7b0,96,Löst eine gewaltige Explosion aus und schädigt\\nalle Feinde auf dem Bildschirm.            SP 4,0xe6f9,98,Crea un tornado largo alrededor de un enemigo y\\nhiere a todos los enemigos a su alrededor.  SEP4,0xe751,96,Crée une grande tornade autour d'un ennemi et\\nblesse tous les ennemis proches.            ES 4,0xe517,94,Creates a large tornado around one enemy and\\ndamages all enemies nearby.                SP 4,0x188c6,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            4 SP,0x1868e,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 4SP,0x18901,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  4 ES,0x183c7,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        4 SP
22,0x8c344584,0x19ab6,7,Wevlen,0x198c0,7,Wevlen,0x19be9,7,Wevlen,0x1957e,7,Wevlen,3,Blue,0,63,0x3,"",X,X,0,Damage,34,Enemy Area 3,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,0xe810,98,"Erzeugt ein Bündel von Tornados um einen Feind,\\nschädigt fast alle Feinde auf dem Bildschirm.SP8",0xe75b,98,Crea un tornado alrededor de un enemigo y hiere\\na casi todos los enemigos en pantalla.      SEP8,0xe7b1,96,Crée plusieurs tornades autour d'un ennemi et\\nblesse de nombreux ennemis à l'écran.       ES 8,0xe575,96,Creates a cluster of tornados around one enemy\\nand damages nearly all enemies on screen.  SP 8,0x18929,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            8 SP,0x186ea,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 8SP,0x18963,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  8 ES,0x18425,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        8 SP
23,0x8c34458c,0x19abd,5,Pyri,0x198c7,5,Pyri,0x19bf0,5,Pyri,0x19585,5,Pyri,1,Red,0,0,0x3,"",X,X,0,Damage,4,All Enemies,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,0xe872,95,"Entfacht eine Feuerexplosion, die alle Feinde\\nauf dem Bildschirm schädigt.               SP 2",0xe7bd,94,"Produce una explosión de llamas, hiriendo a\\ntodos los enemigos en pantalla.             SEP2",0xe811,94,"Provoque une explosion de flammes, blessant\\ntous les ennemis à l'écran.                 ES 2",0xe5d5,97,"Summons a burst of flames, damaging all enemies\\non screen.                                 SP 2",0x1898c,100,Feuert eine mit Red Magic geladenene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            2 SP,0x18746,92,Dispara una bala de cañón con Magia Roja.\\nLanzar hechizos requiere un equipo especial. 2SP,0x189c5,98,Lance un boulet de canon chargé de Magie Rouge.\\nÉquipement spécial requis.                  2 ES,0x18483,93,Fires a cannonball charged with Red Magic.\\nSpecial equipment is needed to cast.        2 SP
