Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Padding #1,Effect value #1,Effect value #2,Element ID,[Element name],Type ID,[Type name],Unknown #1,Unknown #2,Unknown #3,Hit%,Padding #2,Padding #3
29,2150305212,5286,10,Crystalen,5273,10,Crystalen,5275,10,Crystalen,5270,10,Crystalen,1,Magic,0,Damage,1,One ally,0,1,220,2,Purple,1,Magical,0,0,0,0,0,0
30,2150940808,5296,8,Pyrulen,5283,8,Pyrulen,5285,8,Pyrulen,5280,8,Pyrulen,1,Magic,0,Damage,2,All allies,0,1,155,1,Red,1,Magical,0,0,0,0,0,0
31,2150940816,5304,7,Wevlum,5291,7,Wevlum,5293,7,Wevlum,5288,7,Wevlum,1,Magic,0,Damage,97,Ally area #2,0,1,150,3,Blue,1,Magical,0,0,0,0,0,0
32,2150940824,5311,8,Electri,5298,8,Electri,5300,8,Electri,5295,8,Electri,1,Magic,0,Damage,100,Ally line #1,0,1,60,4,Yellow,1,Magical,0,0,0,0,0,0
33,2150305224,5319,9,Electres,5306,9,Electres,5308,9,Electres,5303,9,Electres,1,Magic,0,Damage,101,Ally line #2,0,1,105,4,Yellow,1,Magical,0,0,0,0,0,0
34,2150305236,5328,9,Electrum,5315,9,Electrum,5317,9,Electrum,5312,9,Electrum,1,Magic,0,Damage,101,Ally line #2,0,1,150,4,Yellow,1,Magical,0,0,0,0,0,0
35,2150305248,5337,11,Electrulen,5324,11,Electrulen,5326,11,Electrulen,5321,11,Electrulen,1,Magic,0,Damage,102,Ally line #3,0,1,195,4,Yellow,1,Magical,0,0,0,0,0,0
36,2150305260,5348,11,Vulkanstoß,5335,17,Ráfaga Volcánica,5337,13,Volcan Blast,5332,15,Volcanic Blast,0,Super Move,0,Damage,2,All allies,0,16,20,1,Red,0,Physical,0,0,0,0,0,0
37,2150305276,5359,12,Aschensturm,5352,17,Ráfaga de ceniza,5350,16,Orage de Cendre,5347,13,Cinder Storm,0,Super Move,8,Add Stone + Damage,1,One ally,0,16,5,1,Red,0,Physical,16,17,2,50,0,0
38,2150305292,5371,13,Federschnitt,5369,12,Rasgaplumas,5366,17,Plume Tranchante,5360,14,Feather Slash,0,Super Move,0,Damage,102,Ally line #3,0,16,30,0,Green,0,Physical,0,0,0,0,0,0
39,2150940832,5384,9,KETSUBAN,5381,9,KETSUBAN,5383,9,KETSUBAN,5374,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
40,2150940840,5393,6,Laser,5390,6,Láser,5392,6,Laser,5383,6,Laser,0,Super Move,0,Damage,1,One ally,0,16,20,5,Silver,0,Physical,0,0,0,0,0,0
41,2150305308,5399,13,Donnerwetter,5396,16,Trueno de Furia,5398,15,Tonnerre Furie,5389,16,Thunder of Fury,0,Super Move,0,Damage,101,Ally line #2,0,16,30,4,Yellow,0,Physical,0,0,0,0,0,0
42,2150940832,5412,9,KETSUBAN,5412,9,KETSUBAN,5413,9,KETSUBAN,5405,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
43,2150305324,5421,11,Panikkreis,5421,17,Círculo de Miedo,5422,15,Cercle de Peur,5414,16,Circle of Panic,0,Super Move,11,Add Confusion,1,One ally,0,0,0,0,Green,0,Physical,16,17,4,0,0,0
44,2150305340,5432,11,Schlafring,5438,17,Anillo del Sueño,5437,17,Bague de Sommeil,5430,14,Ring of Sleep,0,Super Move,9,Add Sleep,1,One ally,0,0,0,0,Green,0,Physical,16,17,3,0,0,0
45,2150305356,5443,10,Zielsuche,5455,16,Buscar Objetivo,5454,16,Recherche Cible,5444,14,Target Search,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
46,2150940832,5453,9,KETSUBAN,5471,9,KETSUBAN,5470,9,KETSUBAN,5458,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
47,2150940848,5462,8,Attacke,5480,7,Ataque,5479,14,Ruée Mortelle,5467,7,Tackle,0,Super Move,0,Damage,102,Ally line #3,0,16,40,4,Yellow,0,Physical,0,0,0,0,0,0
48,2150305372,5470,12,Todesschlag,5487,13,Golpe Mortal,5493,12,Coup Mortel,5474,13,Death Strike,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,0,16,5,5,Silver,0,Physical,16,17,1,70,0,0
49,2150940856,5482,6,Laden,5500,7,Ataque,5505,7,Charge,5487,7,Charge,0,Super Move,-1,None,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
50,2150305388,5488,8,Giftgas,5507,13,Gas Venenoso,5512,15,Gaz Empoisonné,5494,11,Poison Gas,0,Super Move,4,Add Poison + Damage,96,Ally area #1,0,16,20,0,Green,0,Physical,16,17,0,50,0,0
51,2150305400,5496,10,Steinatem,5520,16,Brisa de Piedra,5527,15,Souffle Pierre,5505,13,Stone Breath,0,Super Move,8,Add Stone + Damage,1,One ally,0,16,15,0,Green,0,Physical,16,17,2,60,0,0
52,2150940832,5506,9,KETSUBAN,5536,9,KETSUBAN,5542,9,KETSUBAN,5518,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
53,2150305416,5515,16,Zufallsbeschuss,5545,14,Fuego al Azar,5551,14,Tir aléatoire,5527,12,Random Fire,0,Super Move,0,Damage,98,Ally area #3,0,16,25,1,Red,0,Physical,0,0,0,0,0,0
54,2150940832,5531,9,KETSUBAN,5559,9,KETSUBAN,5565,9,KETSUBAN,5539,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
55,2150305428,5540,15,Abwehrstellung,5568,15,Contraposición,5574,8,Défense,5548,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
56,2150305444,5555,14,Kraft sammeln,5583,17,Recuperar Fuerza,5582,17,Rassembler Force,5563,16,Gather Strength,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
57,2150305428,5569,14,Gegenposition,5600,15,Contraposición,5599,16,Contre position,5579,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
58,2150940864,5583,10,Explosion,5615,10,Explosión,5615,10,Explosion,5594,6,Burst,0,Super Move,0,Damage,97,Ally area #2,0,16,40,1,Red,0,Physical,0,0,0,0,0,0
59,2150305460,5593,9,Terminal,5625,9,Terminal,5625,9,Terminal,5600,9,Terminal,0,Super Move,0,Damage,1,One ally,0,16,55,4,Yellow,0,Physical,0,0,0,0,0,0
60,2150305472,5602,9,Devolver,5634,8,Delegar,5634,9,Devolver,5609,9,Devolver,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
61,2150305484,5611,14,Giftige Galle,5642,15,Furia Venenosa,5643,15,Bile Venimeuse,5618,15,Poisonous Bile,0,Super Move,4,Add Poison + Damage,2,All allies,0,16,20,0,Green,0,Physical,16,17,0,50,0,0
62,2150305500,5625,11,Todesblüte,5657,15,Flor de Muerte,5658,16,Éclosion Tueuse,5633,14,Death Blossom,0,Super Move,0,Damage,201,Allies nearby #2,0,16,20,3,Blue,0,Physical,0,0,0,0,0,0
63,2150305516,5636,13,Kanonenfeuer,5672,15,Fuego de Cañón,5674,13,Tir de Canon,5647,12,Cannon Fire,0,Super Move,0,Damage,1,One ally,0,16,50,1,Red,0,Physical,0,0,0,0,0,0
64,2150305528,5649,17,Verbündete rufen,5687,17,Convocar aliados,5687,15,Appel d'alliés,5659,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,27,0,0,Green,0,Physical,0,0,0,0,0,0
65,2150305528,5666,17,Verbündete rufen,5704,17,Convocar aliados,5702,15,Appel d'alliés,5671,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,31,0,0,Green,0,Physical,0,0,0,0,0,0
66,2150305540,5683,8,Radstoß,5721,15,Onda expansiva,5717,14,Obus explosif,5683,12,Wheel Blast,0,Super Move,0,Damage,97,Ally area #2,0,16,35,4,Yellow,0,Physical,0,0,0,0,0,0
67,2150305552,5691,10,Laserstoß,5736,13,Ráfaga láser,5731,16,Explosion Laser,5695,12,Laser Blast,0,Super Move,8,Add Stone + Damage,1,One ally,0,16,5,6,Neutral,0,Physical,16,17,2,20,0,0
68,2150305564,5701,12,Crypt-Laser,5749,16,Láser de Cripta,5747,13,Laser Crypte,5707,12,Crypt Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,0,16,5,5,Silver,0,Physical,16,17,1,60,0,0
69,2150305576,5713,11,Todeslaser,5765,16,Láser Mortífero,5760,13,Laser Mortel,5719,12,Death Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,0,16,5,5,Silver,0,Physical,16,17,1,60,0,0
70,2150305588,5724,16,Schadenaufnahme,5781,13,Evaluar Daño,5773,15,Estimer Dégâts,5731,14,Assess Damage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
71,2150940832,5740,9,KETSUBAN,5794,9,KETSUBAN,5788,9,KETSUBAN,5745,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
72,2150305604,5749,10,Stahlhaut,5803,12,Pieldeacero,5797,13,Peau d'acier,5754,10,Steelskin,0,Super Move,67,Invulnerable,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
73,2150940872,5759,6,Fokus,5815,8,Enfoque,5810,6,Focus,5764,6,Focus,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
74,2150305616,5765,13,Ewiger Frost,5823,13,Hielo Eterno,5816,12,Gel Éternel,5770,15,Eternal Freeze,0,Super Move,0,Damage,2,All allies,0,16,12,2,Purple,0,Physical,0,0,0,0,0,0
75,2150305632,5778,12,Blitzschlag,5836,15,Golpe del Rayo,5828,15,Coup de Foudre,5785,17,Lightning Strike,0,Super Move,0,Damage,1,One ally,0,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
76,2150305652,5790,17,Furchtbarer Biss,5851,17,Mordisco Temible,5843,17,Terrible Morsure,5802,14,Terrible Bite,0,Super Move,72,Add Fatigue + Damage,1,One ally,0,16,15,0,Green,0,Physical,16,17,6,20,0,0
77,2150305668,5807,11,Tiefschlaf,5868,15,Sueño Profundo,5860,16,Profond Sommeil,5816,11,Deep Sleep,0,Super Move,63,Add Regenerate + Add Sleep,5,User,0,400,-256,0,Green,0,Physical,0,0,0,0,0,0
78,2150305680,5818,12,Avalauncher,5883,12,Avalauncher,5876,11,Avalanceur,5827,12,Avalauncher,0,Super Move,0,Damage,102,Ally line #3,0,16,35,2,Purple,0,Physical,0,0,0,0,0,0
79,2150305692,5830,15,Silber-Eklipse,5895,17,Eclipse de Plata,5887,17,Éclipse d'argent,5839,15,Silver Eclipse,0,Super Move,0,Damage,2,All allies,0,16,25,5,Silver,0,Physical,0,0,0,0,0,0
80,2150940880,5845,11,Entwässern,5912,8,Desecar,5904,11,Épuisement,5854,6,Drain,0,Super Move,26,Add Weak,1,One ally,0,0,0,0,Green,0,Physical,16,17,8,0,0,0
81,2150305708,5856,15,Erholungspause,5920,17,Turno de Reposar,5915,13,Récupération,5860,14,Turn Recovery,0,Super Move,33,Add Regenerate,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
82,2150305724,5871,11,Zerstörung,5937,12,Destrucción,5928,12,Destruction,5874,12,Destruction,0,Super Move,17,Remove positive states,2,All allies,0,16,10,5,Silver,0,Physical,0,0,0,0,0,0
83,2150940888,5882,8,Zittern,5949,7,Seísmo,5940,12,Tremblement,5886,8,Tremble,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
84,2150305736,5890,14,Silber-Tundra,5956,16,Tundra de Plata,5952,17,Toundra d'argent,5894,14,Silver Tundra,0,Super Move,0,Damage,1,One ally,0,16,50,5,Silver,0,Physical,0,0,0,0,0,0
85,2150305528,5904,17,Verbündete rufen,5972,17,Convocar aliados,5969,15,Appel d'alliés,5908,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,54,0,0,Green,0,Physical,0,0,0,0,0,0
86,2150305528,5921,17,Verbündete rufen,5989,17,Convocar aliados,5984,15,Appel d'alliés,5920,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,85,0,0,Green,0,Physical,0,0,0,0,0,0
87,2150940896,5938,11,Erforschen,6006,9,Explorar,5999,12,Exploration,5932,8,Explore,0,Super Move,0,Damage,2,All allies,0,16,20,1,Red,0,Physical,0,0,0,0,0,0
88,2150305752,5949,13,Steinschlamm,6015,16,Fango de Piedra,6011,17,Pierre Suintante,5940,11,Stone Ooze,0,Super Move,7,Add Stone,1,One ally,0,0,0,0,Green,0,Physical,16,17,2,40,0,0
89,2150305764,5962,11,Tundrastoß,6031,17,Ráfaga de Tundra,6028,17,Tundra Explosive,5951,13,Tundra Blast,0,Super Move,0,Damage,2,All allies,0,16,20,2,Purple,0,Physical,0,0,0,0,0,0
90,2150305780,5973,12,Todeswalzer,6048,12,Vals Mortal,6045,17,Valse de la Mort,5964,12,Death Waltz,0,Super Move,0,Damage,2,All allies,0,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
91,2150940904,5985,11,Einspannen,6060,11,Involucrar,6062,11,Engagement,5976,7,Engage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
92,2150305792,5996,9,Gewitter,6071,17,Ráfaga de Trueno,6073,6,Orage,5983,14,Thunder Storm,0,Super Move,0,Damage,2,All allies,0,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
93,2150305808,6005,10,Wehklagen,6088,17,Sollozo Pavoroso,6079,12,Cri Lugubre,5997,11,Eerie Wail,0,Super Move,0,Damage,107,Ally line #5,0,16,15,2,Purple,0,Physical,0,0,0,0,0,0
94,2150305588,6015,16,Schadenaufnahme,6105,13,Evaluar Daño,6091,15,Estimer Dégâts,6008,14,Assess Damage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
95,2150305780,6031,12,Todeswalzer,6118,12,Vals Mortal,6106,17,Valse de la Mort,6022,12,Death Waltz,0,Super Move,0,Damage,2,All allies,0,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
96,2150305820,6043,15,Vigoros Zauber,6130,17,Magia de Vigoro,6123,17,Charme de Vigoro,6034,15,Vigoro's Charm,0,Super Move,70,Add Confusion + Damage,1,One ally,0,16,5,1,Red,0,Physical,16,17,4,0,0,0
97,2150305552,6058,10,Laserstoß,6147,13,Ráfaga láser,6140,16,Explosion Laser,6049,12,Laser Blast,0,Super Move,8,Add Stone + Damage,1,One ally,0,16,20,5,Silver,0,Physical,16,17,2,50,0,0
98,2150305528,6068,17,Verbündete rufen,6160,17,Convocar aliados,6156,15,Appel d'alliés,6061,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,12,0,0,Green,0,Physical,0,0,0,0,0,0
99,2150940912,6085,9,Verdauen,6177,8,Digerir,6171,8,Digérer,6073,7,Digest,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
100,2150305652,6094,17,Furchtbarer Biss,6185,17,Mordisco Temible,6179,17,Terrible Morsure,6080,14,Terrible Bite,0,Super Move,72,Add Fatigue + Damage,1,One ally,0,16,15,2,Purple,0,Physical,16,17,6,20,0,0
101,2150940920,6111,8,Neglora,6202,8,Neglora,6196,8,Neglora,6094,8,Neglora,0,Super Move,17,Remove positive states,2,All allies,0,16,5,-1,None,-1,None,-1,-1,-1,-1,0,0
102,2150305836,6119,9,Eissturm,6210,16,Ráfaga de Hielo,6204,15,Orage de Glace,6102,10,Ice Storm,0,Super Move,0,Damage,2,All allies,0,16,20,2,Purple,0,Physical,0,0,0,0,0,0
103,2150305528,6128,17,Verbündete rufen,6226,17,Convocar aliados,6219,15,Appel d'alliés,6112,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,60,0,0,Green,0,Physical,0,0,0,0,0,0
104,2150305528,6145,17,Verbündete rufen,6243,17,Convocar aliados,6234,15,Appel d'alliés,6124,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,84,0,0,Green,0,Physical,0,0,0,0,0,0
105,2150305528,6162,17,Verbündete rufen,6260,17,Convocar aliados,6249,15,Appel d'alliés,6136,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,107,0,0,Green,0,Physical,0,0,0,0,0,0
106,2150940928,6179,8,Granate,6277,8,Granada,6264,8,Grenade,6148,8,Grenade,0,Super Move,0,Damage,96,Ally area #1,0,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
107,2150305388,6187,8,Giftgas,6285,13,Gas Venenoso,6272,15,Gas Empoisonné,6156,11,Poison Gas,0,Super Move,4,Add Poison + Damage,96,Ally area #1,0,16,20,0,Green,0,Physical,16,17,0,50,0,0
108,2150305848,6195,15,Sacrum Crystal,6298,15,Cristal Sacrum,6287,15,Cristal Sacrum,6167,15,Sacrum Crystal,0,Super Move,31,Recover HP,4,All enemies,0,1000,0,0,Green,0,Physical,0,0,0,0,0,0
109,2150305528,6210,17,Verbündete rufen,6313,17,Convocar aliados,6302,15,Appel d'alliés,6182,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,97,0,0,Green,0,Physical,0,0,0,0,0,0
110,2150305528,6227,17,Verbündete rufen,6330,17,Convocar aliados,6317,15,Appel d'alliés,6194,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,75,0,0,Green,0,Physical,0,0,0,0,0,0
111,2150305864,6244,9,Entladen,6347,8,Evacuar,6332,7,Renvoi,6206,10,Discharge,0,Super Move,0,Damage,2,All allies,0,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
112,2150305876,6253,14,Tatatimorutto,6355,14,Tatatimorutto,6339,14,Tatatimorutto,6216,14,Tatatimorutto,0,Super Move,0,Damage,1,One ally,0,16,40,3,Blue,0,Physical,0,0,0,0,0,0
113,2150305892,6267,12,Runde Klaue,6369,15,Tenaza Redonda,6353,16,Griffe Arrondie,6230,11,Round Claw,0,Super Move,0,Damage,1,One ally,0,16,40,5,Silver,0,Physical,0,0,0,0,0,0
114,2150305528,6279,17,Verbündete rufen,6384,17,Convocar aliados,6369,15,Appel d'alliés,6241,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,93,0,0,Green,0,Physical,0,0,0,0,0,0
115,2150305904,6296,14,Sacri Crystal,6401,14,Cristal Sacri,6384,14,Cristal Sacri,6253,14,Sacri Crystal,0,Super Move,31,Recover HP,3,One enemy,0,500,0,0,Green,0,Physical,0,0,0,0,0,0
116,2150305920,6310,15,Sacres Crystal,6415,15,Cristal Sacres,6398,15,Cristal Sacres,6267,15,Sacres Crystal,0,Super Move,31,Recover HP,3,One enemy,0,1000,0,0,Green,0,Physical,0,0,0,0,0,0
117,2150305936,6325,17,Sacrulen Crystal,6430,17,Cristal Sacrulen,6413,17,Cristal Sacrulen,6282,17,Sacrulen Crystal,0,Super Move,31,Recover HP,4,All enemies,0,1000,0,0,Green,0,Physical,0,0,0,0,0,0
118,2150305528,6342,17,Verbündete rufen,6447,17,Convocar aliados,6430,15,Appel d'alliés,6299,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,92,0,0,Green,0,Physical,0,0,0,0,0,0
119,2150305956,6359,16,Silber-Albtraum,6464,10,Pesadilla,6445,17,Cauchemar Argent,6311,17,Silver Nightmare,0,Super Move,74,Control ally,1,One ally,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
120,2150305976,6375,13,Silberbänder,6474,15,Lazos de Plata,6462,15,Liens d'argent,6328,13,Silver Binds,0,Super Move,0,Damage,1,One ally,0,16,50,5,Silver,0,Physical,0,0,0,0,0,0
121,2150305708,6388,15,Erholungspause,6489,17,Turno de Reposar,6477,13,Récupération,6341,14,Turn Recovery,0,Super Move,33,Add Regenerate,5,User,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
122,2150305724,6403,11,Zerstörung,6506,12,Destrucción,6490,12,Destruction,6355,12,Destruction,0,Super Move,17,Remove positive states,2,All allies,0,16,25,-1,None,-1,None,-1,-1,-1,-1,0,0
123,2150305528,6414,17,Verbündete rufen,6518,17,Convocar aliados,6502,15,Appel d'alliés,6367,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,44,0,0,Green,0,Physical,0,0,0,0,0,0
124,2150305528,6431,17,Verbündete rufen,6535,17,Convocar aliados,6517,15,Appel d'alliés,6379,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,21,0,0,Green,0,Physical,0,0,0,0,0,0
125,2150305528,6448,17,Verbündete rufen,6552,17,Convocar aliados,6532,15,Appel d'alliés,6391,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,22,0,0,Green,0,Physical,0,0,0,0,0,0
126,2150305692,6465,15,Silber-Eklipse,6569,17,Eclipse de Plata,6547,17,Éclipse d'argent,6403,15,Silver Eclipse,0,Super Move,0,Damage,2,All allies,0,16,25,6,Neutral,0,Physical,0,0,0,0,0,0
127,2150305992,6480,14,Nicht benutzt,6586,10,No se usa,6564,15,Non Utilisé(e),6418,9,Not Used,0,Super Move,8,Add Stone + Damage,1,One ally,0,16,15,0,Green,0,Physical,16,17,2,70,0,0
