Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Consume%,Retail price in %,Order by importance,Order by alphabet,Padding #1,Purchase price,Padding #2,Padding #3,Effect value,Unknown #1,Unknown #2,Padding #4,Unknown #3,Padding #5,Hit%,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
250,2150396652,121768,14,Risan Crystal,121036,14,Cristal Risan,121656,14,Cristal Risan,119328,14,Risan Crystal,2,"",X,"",27,Revive with 50% of HP,1,One ally,100,50,8,48,0,150,0,0,0,0,0,0,7,0,50,93378,98,"Verzauberter Crystal mit 50%-iger Chance, einen\nVerbündeten mit 50% seiner HP wieder zu beleben.",92279,93,"Un cristal encantado que puede revivir al aliado\nen un 50%, con un 50% del máximo de Salud.",92533,91,"Cristal ensorcelé qui a 50% de chances de\nréanimer un allié, avec 50% de ses PV maximaux.",91244,98,"An ensorcelled crystal that has a 50% chance of\nreviving one ally, with 50% of their maximum HP."
251,2150396668,121782,16,Riselem Crystal,121050,16,Cristal Riselem,121670,16,Cristal Riselem,119342,16,Riselem Crystal,2,"",X,"",28,Revive with 100% of HP,1,One ally,100,50,9,50,0,450,0,0,0,0,0,0,7,0,0,93476,77,"Verzauberter Crystal, der einen Verbündeten\nmit maximalen HP wieder belebt.",92372,70,Un cristal encantado que revivirá a un aliado\nhasta su Salud máxima.,92624,66,Un cristal ensorcelé qui réanimera un allié\navec ses PV maximum.,91342,60,An ensorcelled crystal that will revive an ally\nto Max HP.
252,2150396684,121798,15,Glyph of Might,121066,16,Glifo de Fuerza,121686,16,Glyphe de Force,119358,15,Glyph of Might,2,"",X,"",21,Add Strengthen,1,One ally,100,50,10,17,0,100,0,0,0,0,0,0,7,0,0,93553,72,Von De Locos Forschern entwickelt.\nErhöht die Kraft eines Verbündeten.,92442,76,Desarrollado por los laboratorios De Loco.\nAumenta la Fuerza de un aliado.,92690,72,Développé par les Chercheurs de De Loco.\nAugmente la Force d'un allié.,91402,70,Developed by De Loco's Researchers.\nIncreases the Power of one ally.
253,2150396700,121813,15,Glyph of Speed,121082,14,Símbolo Veloz,121702,15,Glyphe Vitesse,119373,15,Glyph of Speed,2,"",X,"",20,Add Quickened,2,All allies,100,50,11,18,0,100,0,0,0,0,0,0,7,0,0,93625,82,Entwickelt von De Locos Forschern.\nErhöht die Geschwindigkeit eines Verbündeten.,92518,79,Desarrollado por los laboratorios De Loco.\nAumenta la Velocidad de un aliado.,92762,74,Développé par les Chercheurs de De Loco.\nAugmente la Vitesse d'un allié.,91472,78,Developed by De Loco's Researchers.\nIncreases the Quick of the entire party.
254,2150396716,121828,14,Healing Salve,121096,17,Bálsamo Curativo,121717,17,Baume Guérisseur,119388,14,Healing Salve,2,"",X,"",33,Add Regenerate,1,One ally,100,50,12,25,0,50,0,0,250,0,0,0,0,0,0,93707,72,Von De Locos Forschern entwickelt.\nHeilt die Wunden eines Verbündeten.,92597,84,Desarrollado por los laboratorios De Loco.\nPermite curar las heridas de un aliado.,92836,88,Développé par les Chercheurs de De Loco.\nPermet de régénérer les blessures d'un allié.,91550,75,Developed by De Loco's Researchers.\nAllows one ally to regenerate health.
255,2150396732,121842,17,Chalice of Blood,121113,16,Cáliz de Sangre,121734,15,Calice de Sang,119402,17,Chalice of Blood,0,"","","",-1,None,0,None,0,100,51,2,0,5000,0,0,0,0,0,0,0,0,0,93779,66,"Wertvoller Schatz, nach dem Zivilyn Bane in der\nDark Rift sucht.",92681,64,Un valioso tesoro buscado por Zivilyn Bane\nen la Gruta Oscura.,92924,67,Un précieux trésor recherché par Zivilyn Bane\ndans le Récif Noir.,91625,62,A valuable treasure sought by Zivilyn Bane in\nthe Dark Rift.
256,2150396752,121859,13,Windsong Orb,121129,13,Esfera Áurea,121749,17,Orbe Chantduvent,119419,13,Windsong Orb,0,"","","",-1,None,0,None,0,100,52,74,0,6000,0,0,0,0,0,0,0,0,0,93845,64,"Wertvoller Schatz, nach dem Zivilyn Bane in\nMount Kazai sucht.",92745,63,Un valioso tesoro buscado por Zivilyn Bane\nen el Monte Kazai.,92991,66,Un précieux trésor recherché par Zivilyn Bane\nsur le Mont Kazai.,91687,60,A valuable treasure sought by Zivilyn Bane in\nMount Kazai.
257,2150396768,121872,11,Winter Orb,121142,16,Esfera Invernal,121766,14,Orbe Hivernal,119432,11,Winter Orb,0,"","","",-1,None,0,None,0,100,53,75,0,7000,0,0,0,0,0,0,0,0,0,93909,59,"Wertvoller Schatz, nach dem Zivilyn Bane in\nGlacia sucht.",92808,55,Un valioso tesoro buscado por Zivilyn Bane\nen Glacia.,93057,60,Un précieux trésor recherché par Zivilyn Bane\ndans Glacia.,91747,55,A valuable treasure sought by Zivilyn Bane in\nGlacia.
258,2150396780,121883,10,Moonberry,121158,10,Moonberry,121780,11,Baiedelune,119443,10,Moonberry,0,"","","",52,Moonberry,1,One ally,100,0,13,35,0,50000,0,0,-1,0,0,0,0,0,0,93968,86,"Essbare Frucht, mit Moon Stones gedüngt.\nWenn du davon isst, lernst du eine Technik.",92863,77,"Fruta fertilizada por Piedras Lunares.\nSi la comes, aprenderás una técnica.",93117,88,Fruit fertilisé par les Pierres de Lune.\nEn le mangeant vous apprendrez une technique.,91802,92,An edible fruit fertilized by Moon Stones.\nEating it will enable you to learn a technique.
259,2150955944,121893,5,Cham,121168,5,Chum,121791,5,Cham,119453,5,Cham,4,X,"","",53,Evolve Cupil with Cham,0,None,100,0,14,3,0,10000,0,0,-1,0,0,0,0,0,0,94054,81,"Cupil freut sich, wenn Chams um ihn sind. Er\nentwickelt sich, wenn er sie isst.",92940,94,"Cupil se alegra cuando hay chums por la zona.\nSi se los das de comer, Cupil se transformará.",93205,97,Cupil est ravi lorsqu'il y a des Chams pas loin.\nDonnez les à manger à Cupil pour qu'il évolue.,91894,97,Cupil gets excited when Chams are in the area.\nFeeding them to Cupil will enable him to evolve.
260,2150396792,121898,13,Paranta Seed,121173,16,Semilla Paranta,121796,15,Graine Paranta,119458,13,Paranta Seed,4,X,"","",54,Increase Power,1,One ally,100,1,17,40,0,5000,0,0,3,-1,-1,0,0,0,0,94135,82,"Samen eines Paranta-Baums, der bei vollem\nRed Moon blüht. Erhöht die Kraft um 3.",93034,95,La semilla del árbol Paranta florece cuando la\nLuna Roja está llena. Añade 3 puntos de Poder.,93302,93,"Graine d'un Arbre Paranta, qui fleurit sous\nla pleine Lune Rouge. Augmente le Pouvoir de 3.",91991,87,"The seed of a Paranta Tree, which blooms under\na full Red Moon. Increases Power by 3."
261,2150396808,121911,10,Icyl Seed,121189,16,Semilla de Icyl,121811,12,Graine Icyl,119471,10,Icyl Seed,4,X,"","",55,Increase Will,1,One ally,100,1,18,26,0,5000,0,0,3,-1,-1,0,0,0,0,94217,89,"Samen eines Icyl-Baums, der bei vollem\nPurple Moon blüht. Erhöht die Willenskraft um 3.",93129,94,La semilla del árbol Icyl florece cuando hay\nLuna Púrpura llena. Añade 3 puntos de Voluntad.,93395,90,"Graine d'un Arbre Icyl, qui fleurit sous la\npleine Lune Mauve. Augmente la Volonté de 3.",92078,87,"The seed of an Icyl Tree, which blooms under a\nfull Purple Moon. Increases Will by 3."
262,2150396820,121921,10,Zaal Seed,121205,16,Semilla de Zeal,121823,12,Graine Zaal,119481,10,Zaal Seed,4,X,"","",56,Increase Vigor,1,One ally,100,1,19,76,0,5000,0,0,3,-1,-1,0,0,0,0,94306,86,"Samen eines Zaal-Baums, der bei vollem\nYellow Moon blüht. Erhöht die Vitalität um 3.",93223,96,La semilla del árbol Zeal florece cuando la Luna\nAmarilla está llena. Añade 3 puntos de Vigor.,93485,90,"Graine d'un Arbre Zaal, qui fleurit sous la\npleine Lune Jaune. Augmente la Vigueur de 3.",92165,87,"The seed of a Zaal Tree, which blooms under a\nfull Yellow Moon. Increases Vigor by 3."
263,2150396832,121931,11,Dexus Seed,121221,17,Semilla de Dexus,121835,13,Graine Dexus,119491,11,Dexus Seed,4,X,"","",57,Increase Agile,1,One ally,100,1,20,8,0,15000,0,0,1,-1,-1,0,0,0,0,94392,94,"Samen des Dexus-Baums, der beim Schein von 6\nVollmonden blüht. Erhöht Geschicklichkeit um 1.",93319,92,La semilla de árbol Dexus florece con la luz\nde 6 lunas llenas. Añade 1 punto de Agilidad.,93575,95,"Graine d'un Arbre Dexus, qui fleurit à la lueur\ndes 6 pleines lunes. Augmente l'Agilité de 1.",92252,95,"The seed of a Dexus Tree, which blooms under\nthe light of 6 full Moons. Increases Agile by 1."
264,2150396844,121942,11,Sylph Seed,121238,17,Semilla de Sylph,121848,13,Graine Sylph,119502,11,Sylph Seed,4,X,"","",58,Increase Quick,1,One ally,100,1,21,67,0,5000,0,0,3,-1,-1,0,0,0,0,94486,89,"Samen eines Sylph-Baums, der bei vollem\nBlue Moon blüht. Erhöht die Schnelligkeit um 3.",93411,95,La semilla del árbol Sylph florece cuando la\nLuna Azul está llena. Añade 3 puntos de Rapidez.,93670,92,"Graine d'un Arbre Sylph, qui fleurit sous\nla pleine Lune Bleue. Augmente la Rapidité de 3.",92347,86,"The seed of a Sylph Tree, which blooms under a\nfull Blue Moon. Increases Quick by 3."
265,2150396856,121953,11,Vidal Seed,121255,17,Semilla de Vidal,121861,13,Graine Vidal,119513,11,Vidal Seed,4,X,"","",59,Increase MAXHP,1,One ally,100,1,22,71,0,5000,0,0,30,-1,-1,0,0,0,0,94575,79,"Samen des Vidal-Baums, der bei vollem\nGreen Moon blüht. Erhöht max. HP um 30.",93506,90,La semilla Vidal florece cuando hay Luna Verde\nllena. Añade 30 puntos a la Salud máxima.,93762,92,"Graine d'un Arbre Vidal, qui fleurit sous la\npleine Lune Verte. Augmente les PV Max de 30.",92433,89,"The seed of a Vidal Tree, which blooms under a\nfull Green Moon. Increases Max HP by 30."
266,2150396868,121964,11,Magus Seed,121272,17,Semilla de Magus,121874,13,Graine Magus,119524,11,Magus Seed,4,X,"","",60,Increase MAXMP,1,One ally,100,1,23,33,0,5000,0,0,1,-1,-1,0,0,0,0,94654,82,"Samen des Magus-Baums, der bei vollem\nSilver Moon blüht. Verstärkt max. MP um 1.",93596,95,La semilla Magus florece cuando la Luna de Plata\nestá llena. Añade 1 punto a la Magia máxima.,93854,94,"Graine d'un Arbre Magus, qui fleurit sous la\npleine Lune d'Argent. Augmente les PM Max de 1.",92522,89,"The seed of a Magus Tree, which blooms under a\nfull Silver Moon. Increases Max MP by 1."
267,2150396880,121975,9,Pyri Box,121289,10,Caja Pyri,121887,11,Boîte Pyri,119535,9,Pyri Box,2,"",X,"",0,Damage,4,All enemies,8,1,24,43,0,400,0,0,150,0,1,0,0,0,0,94736,92,Ein Red Moon-Magier hat eine Box mit Pyri\nverzaubert. Sie kann mehrfach eingesetzt werden.,93691,96,Un mago de la Luna Roja ha encantado la caja con\nel hechizo Pyri. Puede usarse más de una vez.,93948,87,Un Mage de la Lune Rouge a enchanté une boîte\navec le sort Pyri. Peut être réutilisé.,92611,97,"A mage of the Red Moon has enchanted a box with\nthe spell, Pyri. It can be used more than once."
268,2150396892,121984,10,Pyrum Box,121299,11,Caja Pyrum,121898,12,Boîte Pyrum,119544,10,Pyrum Box,2,"",X,"",0,Damage,4,All enemies,16,1,25,44,0,1200,0,0,360,0,1,0,0,0,0,94828,75,Ein Red Moon-Magier hat eine Box mit Pyrum\nverzaubert. 5 oder 6 Ladungen.,93787,83,Un mago de la Luna Roja ha encantado la caja con\nel hechizo Pyrum. 5 ó 6 ataques.,94035,84,"Un Mage de la Lune Rouge a enchanté une boîte\navec le sort, Pyrum. 5 ou 6 charges.",92708,83,"A mage of the Red Moon has enchanted a box with\nthe spell, Pyrum. 5 or 6 charges."
269,2150396904,121994,14,Crystales Box,121310,15,Caja Crystales,121910,16,Boîte Crystales,119554,14,Crystales Box,2,"",X,"",0,Damage,3,One enemy,12,1,26,6,0,800,0,0,330,0,1,0,0,0,0,94903,82,Ein Purple Moon-Magier hat eine Box mit\nCrystales verzaubert. 7 oder 8 Ladungen.,93870,90,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Crystales. 7 u 8 ataques.,94119,87,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Crystales. 7 ou 8 charges.,92791,89,A mage of the Purple Moon has enchanted a box\nwith the spell Crystales. 7 or 8 charges.
270,2150396920,122008,14,Crystalen Box,121325,15,Caja Crystalen,121926,16,Boîte Crystalen,119568,14,Crystalen Box,2,"",X,"",0,Damage,3,One enemy,24,1,27,5,0,1600,0,0,600,0,1,0,0,0,0,94985,82,Ein Purple Moon-Magier hat eine Box mit\nCrystalen verzaubert. 3 oder 4 Ladungen.,93960,90,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Crystalen. 3 ó 4 ataques.,94206,87,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Crystalen. 3 ou 4 charges.,92880,89,A mage of the Purple Moon has enchanted a box\nwith the spell Crystalen. 3 or 4 charges.
271,2150396936,122022,11,Wevles Box,121340,12,Caja Wevles,121942,13,Boîte Wevles,119582,11,Wevles Box,2,"",X,"",0,Damage,33,Enemy area #2,12,1,28,73,0,800,0,0,285,0,1,0,0,0,0,95067,77,Ein Blue Moon-Magier hat eine Box mit\nWevles verzaubert. 7 oder 8 Ladungen.,94050,84,Un mago de la Luna Azul ha encantado la caja\ncon el hechizo Wevles. 7 u 8 ataques.,94293,84,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Wevles. 7 ou 8 charges.,92969,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevles. 7 or 8 charges.
272,2150396948,122033,11,Wevlen Box,121352,12,Caja Wevlen,121955,13,Boîte Wevlen,119593,11,Wevlen Box,2,"",X,"",0,Damage,34,Enemy area #3,24,1,29,72,0,1600,0,0,525,0,1,0,0,0,0,95144,77,Ein Blue Moon-Magier hat eine Box mit\nWevlen verzaubert. 3 oder 4 Ladungen.,94134,85,Un mago de la Luna Azul ha encantado una caja\ncon el hechizo Wevlen. 3 ó 4 ataques.,94377,84,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Wevlen. 3 ou 4 charges.,93053,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevlen. 3 or 4 charges.
273,2150396960,122044,12,Electri Box,121364,13,Caja Electri,121968,14,Boîte Electri,119604,12,Electri Box,2,"",X,"",0,Damage,36,Enemy line #1,8,1,30,12,0,400,0,0,180,0,1,0,0,0,0,95221,87,Ein Yellow Moon-Magier hat eine Box mit\nElectri verzaubert. Sie hat mehrere Ladungen.,94219,93,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Electri. Múltiples ataques.,94461,88,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Electri. Plusieurs charges.,93137,95,A mage of the Yellow Moon has enchanted a box\nwith the spell Electri. It has several charges.
274,2150396972,122056,13,Electrum Box,121377,14,Caja Electrum,121982,15,Boîte Electrum,119616,13,Electrum Box,2,"",X,"",0,Damage,37,Enemy line #2,16,1,31,13,0,1200,0,0,420,0,1,0,0,0,0,95308,81,Ein Yellow Moon-Magier hat eine Box mit\nElectrum verzaubert. 5 oder 6 Ladungen.,94312,90,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Electrum. 5 ó 6 ataques.,94549,86,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Electrum. 5 ou 6 charges.,93232,88,A mage of the Yellow Moon has enchanted a box\nwith the spell Electrum. 5 or 6 charges.
275,2150396988,122069,10,Sacri Box,121391,11,Caja Sacri,121997,12,Boîte Sacri,119629,10,Sacri Box,2,"",X,"",31,Recover HP,1,One ally,8,1,32,54,0,800,0,0,500,-1,-1,0,0,0,0,95389,84,Ein Green Moon-Magier hat eine Box mit\nSacri verzaubert. Sie hat mehrere Ladungen.,94402,88,Un mago de la Luna Verde ha encantado la caja\ncon el hechizo Sacri. Múltiples ataques.,94635,86,Un Mage de la Lune Verte a enchanté une boîte\navec le sort Sacri. Plusieurs charges.,93320,92,A mage of the Green Moon has enchanted a box\nwith the spell Sacri. It has several charges.
276,2150397000,122079,11,Sacrum Box,121402,12,Caja Sacrum,122009,13,Boîte Sacrum,119639,11,Sacrum Box,2,"",X,"",31,Recover HP,2,All allies,16,1,33,56,0,1200,0,0,1000,-1,-1,0,0,0,0,95473,78,Ein Green Moon-Magier hat eine Box mit\nSacrum verzaubert. 5 oder 6 Ladungen.,94490,85,Un mago de la Luna Verde ha encantado la caja\ncon el hechizo Sacrum. 5 ó 6 ataques.,94721,84,Un Mage de la Lune Verte a enchanté une boîte\navec le sort Sacrum. 5 ou 6 charges.,93412,85,A mage of the Green Moon has enchanted a box\nwith the spell Sacrum. 5 or 6 charges.
277,2150397012,122090,12,Riselem Box,121414,13,Caja Riselen,122022,14,Boîte Riselem,119650,12,Riselem Box,2,"",X,"",28,Revive with 100% of HP,1,One ally,32,1,34,49,0,2400,0,0,0,0,0,0,7,0,0,95551,89,Ein Silver Moon-Magier hat eine Box mit\nRiselem verzaubert. Diese Box ist zerbrechlich!,94575,99,Un mago de la Luna de Plata ha encantado la caja\ncon el hechizo Riselem. ¡Es una caja muy frágil!,94805,97,Un Mage de la Lune d'Argent a enchanté une boîte\navec le sort Riselem. Cette boîte est fragile!,93497,92,A mage of the Silver Moon has enchanted a box\nwith the spell Riselem. This box is fragile!
278,2150397024,122102,12,Sylenis Box,121427,13,Caja Sylenis,122036,14,Boîte Sylenis,119662,12,Sylenis Box,2,"",X,"",12,Add Silence,3,One enemy,12,1,35,66,0,600,0,0,0,0,0,0,5,0,30,95640,80,Ein Purple Moon-Magier hat eine Box mit\nSylenis verzaubert. 7 oder 8 Ladungen.,94674,88,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Sylenis. 7 u 8 ataques.,94902,85,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Sylenis. 7 ou 8 charges.,93589,87,A mage of the Purple Moon has enchanted a box\nwith the spell Sylenis. 7 or 8 charges.
279,2150397036,122114,11,Panika Box,121440,12,Caja Panika,122050,13,Boîte Panika,119674,11,Panika Box,2,"",X,"",11,Add Confusion,3,One enemy,24,1,36,39,0,1200,0,0,0,0,0,0,4,0,30,95720,79,Ein Purple Moon-Magier hat eine Box mit\nPanika verzaubert. 3 oder 4 Ladungen.,94762,87,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Panika. 3 ó 4 ataques.,94987,84,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Panika. 3 ou 4 charges.,93676,86,A mage of the Purple Moon has enchanted a box\nwith the spell Panika. 3 or 4 charges.
280,2150397048,122125,10,Driln Box,121452,11,Caja Driln,122063,12,Boîte Driln,119685,10,Driln Box,2,"",X,"",26,Add Weak,3,One enemy,12,1,37,11,0,600,0,0,0,0,0,0,8,0,50,95799,78,Ein Yellow Moon-Magier hat eine Box mit\nDriln verzaubert. 7 oder 8 Ladungen.,94849,87,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Driln. 7 u 8 ataques.,95071,83,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Driln. 7 ou 8 charges.,93762,85,A mage of the Yellow Moon has enchanted a box\nwith the spell Driln. 7 or 8 charges.
281,2150397060,122135,12,Slipara Box,121463,13,Caja Slipara,122075,14,Boîte Slipara,119695,12,Slipara Box,2,"",X,"",9,Add Sleep,4,All enemies,24,1,38,61,0,1200,0,0,0,0,0,0,3,0,50,95877,76,Ein Blue Moon-Magier hat eine Box mit\nSlipara verzaubert. 3 or 4 Ladungen.,94936,85,Un mago de la Luna Azul ha encantado la caja\ncon el hechizo Slipara. 3 ó 4 ataques.,95154,86,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Slipara. 3 ou 4 attaques.,93847,85,A mage of the Blue Moon has enchanted a box\nwith the spell Slipara. 3 or 4 charges.
282,2150397072,122147,12,Eternum Box,121476,13,Caja Eternum,122089,14,Boîte Eternum,119707,12,Eternum Box,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,32,1,39,14,0,3600,0,0,250,5,1,0,49,0,0,95953,89,Ein Silver Moon-Magier hat eine Box mit\nEternum verzaubert. Diese Box ist zerbrechlich!,95021,99,Un mago de la Luna de Plata ha encantado la caja\ncon el hechizo Eternum. !Es una caja muy fragil!,95240,97,Un Mage de la Lune d'Argent a enchanté une boîte\navec le sort Eternum. Cette boîte est fragile!,93932,92,A mage of the Silver Moon has enchanted a box\nwith the spell Eternum. This box is fragile!
283,2150397084,122159,17,Rune of Ill Omen,121489,17,Profecía Maldita,122103,14,Rune d'Augure,119719,17,Rune of Ill Omen,0,"","","",-1,None,0,None,0,100,47,52,0,1000,0,0,0,0,0,0,0,0,0,96042,59,"Wertvoller Schatz, nach dem Zivilyn Bane in\nPyrynn sucht.",95120,55,Un valioso tesoro buscado por Zivilyn Bane en\nPyrynn.,95337,60,Un précieux trésor recherché par Zivilyn Bane\ndans Pyrynn.,94024,55,A valuable treasure sought by Zivilyn Bane in\nPyrynn.
