Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Character ID,[Character name],Retail price in %,Order by importance,Order by alphabet,Inflict state ID,[Inflict state name],Padding #1,Purchase price,Attack,Hit%,Feature ID,[Feature name],Padding #2,Feature value,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
27,2150393536,118769,14,Sturmschwinge,117874,16,Ala de Tormenta,118504,13,Aile d'Orage,116395,11,Storm Wing,1,Aika,50,23,59,2,Weak,0,1280,69,150,-1,None,0,0,77855,85,"Von Wächtern eines alten Kaiserpalasts benutzt,\nkann diese Klinge Feinde schwächen.",77119,92,Usada por los guardias de un antiguo palacio\nimperial. Su función es debilitar al enemigo.,77194,97,"Épée utilisée par les gardes d'un ancien palais\nimpérial, a le pouvoir d'affaiblir les ennemis.",76253,91,"Used by guards in an ancient imperial palace,\nthis blade has the power to weaken enemies."
28,2150393548,118783,13,Mondschwinge,117890,10,Ala Lunar,118517,13,Aile de Lune,116406,10,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,77940,86,Ausgezeichnete Waffe vom Meister Ryu-kan.\nPerfekte Harmonie von Design und Funktion.,77211,96,Insuperable arma creada por el maestro Ryu-kan.\nPerfecto equilibrio de diseño y funcionalidad.,77291,91,Arme superbe créée par maître Ryu-kan. Parfait\néquilibre entre fonctionnel et esthétique.,76344,96,"A superb weapon created by the master, Ryu-kan.\nA perfect balance of design and functionality."
29,2150393560,118796,15,Hydra-Schwinge,117900,10,Ala Hydra,118530,13,Aile d'Hydra,116416,11,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,78026,76,"Ein Bumerang, der von der Valua-Armee für\nden Nahkampf umgearbeitet wurde.",77307,86,Un Bumerán reforzado por el ejército de Valua\npara usar en combates cuerpo a cuerpo.,77382,88,Un boomerang modifié par l'armée Valuan avec\nrenforcement pour les combats rapprochés.,76440,87,A boomerang modified by the Valuan army with\nreinforcement for close-quarters combat.
30,2150393572,118811,17,Grendel-Schwinge,117910,12,Ala Grendel,118543,16,Aile de Grendel,116427,13,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,78102,90,Bumerang aus dem Knochen des Green Gigas.\nSeine Macht reicht an die des Fist of Grendel.,77393,88,Bumerán hecho con un hueso del Gigas Verde.\nSu poder es comparable al Puño de Grendel.,77470,95,Un boomerang fabriqué avec un os de Giga Vert.\nSon pouvoir rivalise avec le Poing de Grendel.,76527,88,A boomerang made from a bone of the Green Gigas.\nIts power rivals the Fist of Grendel.
31,2150393588,118828,14,Flatterklinge,117922,15,Hoja Oscilante,118559,13,Lame Volante,116440,14,Flutter Blade,1,Aika,50,30,29,3,Confusion #1),0,8910,153,110,-1,None,0,0,78192,94,Doppelklingiger Bumerang mit unvorhersehbarer\nFlugbahn. Kann beim Feind Verwirrung auslösen.,77481,87,Bumerán de doble hoja cuya trayectoria de\nvuelo es impredecible. Confunde al enemigo.,77565,93,Boomerang à double tranchant. Sa trajectoire\nest imprévisible ce qui peut tromper l'ennemi.,76615,96,A double-bladed boomerang with an unpredictable\nflight path. It can induce Confuse in enemies.
32,2150955928,118842,6,Cupil,117937,6,Cupil,118572,6,Cupil,116454,6,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,78286,94,Von Silvitern kreierte künstliche Lebensform.\nCupil begleitet Fina seit ihrem 4. Lebensjahr.,77568,94,Forma de vida artificial creada por Silvites.\nFina recogió a Cupil cuando ella tenía 4 años.,77658,91,Espèce artificielle créée par les Silvites.\nCupil accompagne Fina depuis qu'elle a 4 ans.,76711,88,An artificial life form created by Silvites.\nCupil has been with Fina since she was 4.
33,2150393604,118848,12,Cupil-Lanze,117943,12,Lanza Cupil,118578,12,Lance Cupil,116460,12,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,78380,88,"Cupil verwandelt sich in eine Lanze und wirft\nsich auf jeden Feind, den Fina bestimmt.",77662,87,Cupil se transforma en lanza y se arroja contra\ncualquier enemigo que Fina le ordene.,77749,76,Cupil se change en lance et se jette sur\nl'ennemi au commandement de Fina.,76799,78,Cupil morphs into a lance and lunges itself at\nwhatever enemy Fina commands.
34,2150393616,118860,12,Cupil-Stern,117955,15,Estrella Cupil,118590,13,Étoile Cupil,116472,11,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,78468,85,Cupil verwandelt sich in einen Stern und bewegt\nsich spiralförmig auf den Feind zu.,77749,74,Cupil se transforma en estrella y se lanza en\nespiral contra el enemigo.,77825,63,Cupil se change en étoile et fonce en spirale\nsur son ennemi.,76877,57,Cupil morphs into a star and spirals towards its\nenemy.
35,2150393628,118872,9,Cupicone,117970,9,Cupicono,118603,9,Cupicône,116483,9,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,78553,77,Verwandelt sich in einen spitzen Kegel und wirft\nsich den Feinden entgegen.,77823,70,Cupil se transforma en un cono afilado y\narremete contra el enemigo.,77888,56,"Se change en cône pointu, et se jette sur ses\nennemis.",76934,61,"Morphs into a sharp cone, and lunges itself\nat its enemies."
36,2150393640,118881,12,Cupil-Speer,117979,12,Arpón Cupil,118612,12,Pique Cupil,116492,12,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,78630,81,Verwandelt sich in eine gezackte Speerspitze.\nSo richtet Cupil mehr Schaden an.,77893,91,Se transforma en una punta de lanza con púas y\ncada púa ayuda a Cupil a causar más daños.,77944,76,Cupil se change en lance barbelée qui lui\npermet de causer plus de dégâts.,76995,76,Morphs into a barbed spearhead. Each barb\nhelps Cupil inflict more damage.
37,2150393652,118893,13,Cupil-Messer,117991,15,Cuchillo Cupil,118624,11,Lame Cupil,116504,12,Cupil Blade,2,Fina,0,35,8,4,Sleep #2,0,0,67,115,-1,None,0,0,78711,80,"Cupil erlernt die Fähigkeit, sich in ein extrem\nscharfes Messer zu verwandeln.",77984,74,Cupil adquiere la habilidad de transformarse\nen un cuchillo afiladísimo.,78020,62,Cupil apprend à se changer en couteau\nextrêmement tranchant.,77071,66,Cupil learns the ability to morph into an\nextremely sharp knife.
38,2150393664,118906,14,Cupil-Schwert,118006,13,Espada Cupil,118635,11,Épée Cupil,116516,12,Cupil Sword,2,Fina,0,38,19,4,Sleep #2,0,0,90,115,-1,None,0,0,78791,97,"Indem er sich in ein Schwert verwandelt, kann\nCupil fast jeden Feind in zwei Hälften schneiden.",78058,87,"Transformándose en espada, Cupil puede partir\na casi todos sus enemigos por la mitad.",78082,78,"En se changeant en épée, Cupil peut fendre en\ndeux presque tous les ennemis.",77137,69,"By morphing into a sword, Cupil can cleave\nalmost any enemy in two."
39,2150393676,118920,14,Cupil-Machete,118019,12,Sable Cupil,118646,12,Sabre Cupil,116528,14,Cupil Cutlass,2,Fina,0,43,12,4,Sleep #2,0,0,127,115,-1,None,0,0,78888,90,"Cupil hat gelernt, sich in eine Machete zu\nverwandeln, als er Vyse beim Kampf zuschaute.",78145,91,Cupil aprende a transformarse en sable viendo\npelear a Vyse. Confunde al enemigo. ¡Furia!,78160,86,Cupil a appris à se changer en sabre en\nregardant Vyse se battre. Furie de Cupil !!!,77206,77,Cupil learned to morph into a cutlass by\nwatching Vyse fight. Cupil Fury!!!
40,2150393692,118934,17,Cupil-Zweihänder,118031,15,Cupil Claymore,118658,15,Claymore Cupil,116542,15,Cupil Claymore,2,Fina,0,47,10,4,Sleep #2,0,0,157,115,-1,None,0,0,78978,87,Cupil verwandelt sich in ein riesiges\nzweihändiges Schwert und schädigt Feind massiv.,78236,89,Cupil se convierte en una espada gigante de\ndoble hoja y causa muchos danos al enemigo.,78246,82,"En se changeant en épée géante à 2 lames,\nCupil peut gravement blesser l'ennemi.",77283,95,"Morphing into a giant 2-handed sword, Cupil can\ncause massive amounts of damage on any enemy."
41,2150393708,118951,13,Cupil-Kanone,118046,12,Cañón Cupil,118673,12,Canon Cupil,116557,13,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,79065,97,"Verwandelt sich in eine kleine, schwere Kanonen-\nkugel und fällt von hoch oben auf einen Feind.",78325,96,"Se transforma en una pequeña, pero pesada, bala\nde cañón y cae sobre el enemigo desde lo alto.",78328,82,"Se change en boule de canon, petite mais lourde\net tombe de haut sur un ennemi.",77378,84,"Morphs into a small, but heavy, cannonball,\nand drops on an enemy from high above."
42,2150393724,118964,14,Cupil-Stachel,118058,15,Cupil con púas,118685,13,Pointe Cupil,116570,12,Cupil Spike,2,Fina,0,44,17,-1,None,0,0,141,105,20,Dodge%,0,10,79162,94,Cupil verwandelt sich in ein Nagelbrett und\nfällt auf den Kopf eines Feindes. Trifft selten!,78421,94,Cupil se convierte en una tabla llena de púas y\ncae sobre sus enemigos. También falla mucho.,78410,97,Cupil se change en planche couverte de pointes\n& tombe sur la tête d'un ennemi. Échoue souvent.,77462,94,"Cupil morphs into a spike-laden board and drops\non an enemy's head. It misses a lot, though."
43,2150393736,118978,14,Cupil-Gewicht,118073,13,Cupil Pesado,118698,15,Poids de Cupil,116582,13,Cupil Weight,2,Fina,0,48,20,-1,None,0,0,172,105,20,Dodge%,0,15,79256,97,Cupil erhöht durch Magie sein Körpergewicht um\nein Vielfaches und fällt dem Feind auf den Kopf.,78515,93,"Haciendo magia, Cupil multiplica su propio peso\ny se deja caer sobre la cabeza del enemigo.",78507,89,"Cupil fait un tour de magie pour augmenter son\npoids, et tombe sur la tête d'un ennemi.",77556,97,"Cupil uses magic to increase its own weight many\ntimes over, and then drops on an enemy's head."
44,2150393752,118992,13,Cupil-Pfanne,118086,13,Sartén Cupil,118713,12,Poêle Cupil,116595,10,Cupil Pan,2,Fina,0,45,15,-1,None,0,0,145,110,-1,None,0,0,79353,94,"Cupil verwandelt sich in eine Pfanne und legt\nalles daran, Feinden auf den Kopf zu schlagen.",78608,91,Cupil se transforma en sartén y golpea a sus\nenemigos en la cabeza con todas sus fuerzas.,78596,90,Cupil se change en poêle à frire et frappe de\ntoutes ses forces sur la tête des ennemis.,77653,96,Cupil morphs into a frying pan and uses all of\nits strength to whack enemies over their heads.
45,2150393764,119005,12,Cupil-Keule,118099,11,Club Cupil,118725,11,Club Cupil,116605,11,Cupil Club,2,Fina,0,39,11,-1,None,0,0,99,110,-1,None,0,0,79447,99,"Verwandelt sich in eine Keule und prügelt Feinde,\nbis sie aufgeben. Sogar Cupil kann gemein sein.",78699,97,Se convierte en porra y golpea al enemigo hasta\nque éste se rinde. Es el lado malvado de Cupil.,78686,88,Se change en massue et force les ennemis à se\nsoumettre. Même Cupil peut être méchant.,77749,89,Morphs into a club and bludgeons enemies into\nsubmission. Even Cupil has a mean-streak.
46,2150393776,119017,13,Cupil-Hammer,118110,15,Martillo Cupil,118736,14,Marteau Cupil,116616,13,Cupil Hammer,2,Fina,0,42,13,-1,None,0,0,122,110,-1,None,0,0,79546,80,Cupil nimmt die Form eines großen Hammers\nan und schlägt Feinden auf den Kopf.,78796,77,Adopta la forma de un martillo gigante y\natiza a los enemigos en la cabeza.,78774,69,Cupil se change en marteau géant et frappe\nsur la tête des ennemis.,77838,82,Cupil morphs into the shape of a giant hammer\nand hits enemies over their heads.
47,2150393792,119030,10,End-Cupil,118125,18,Cupil Definitivo,118750,13,Ultime Cupil,116629,12,Final Cupil,2,Fina,0,49,28,-1,None,0,0,300,100,-1,None,0,0,79626,83,"Cupils letzte und endgültige Form, sehr\neindrucksvoll und ziemlich schlagkräftig.",78873,96,La última y definitiva forma que Cupil adopta es\nimpresionante. Tiene gran impacto y potencia.,78843,68,"Forme finale et ultime de Cupil, très\nimpressionante et puissante.",77920,85,"Cupil's final and ultimate form, it looks very\nimpressive, and packs quite a punch."
