Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],Type ID,[Type name],Element ID,[Element name],Padding #1,Attack,Hit%,Limit,Spirit,Unknown #1,Unknown #2,Unknown #3,Unknown #4,Purchase price,Retail price in %,Order by importance,Order by alphabet,Padding #2,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
410,2150454796,125077,9,3”Cannon,124424,9,Cañón 3”,125013,10,"Canon 3""",122591,10,"3"" Cannon",48,X,X,"","","",1,Secondary cannon,6,Neutral,0,70,80,1,2,-1,0,0,0,700,50,10,6,0,103614,51,Kleinkalibrige Zusatzkanone für kleinere\nSchiffe.,102730,73,Cañón secundario de pequeño calibre\npara uso en navíos de menor tamaño.,102980,70,Un canon secondaire de petit calibre adapté\naux plus petits navires.,101670,54,A small caliber secondary cannon for smaller \nships.
411,2150454808,125086,10,3”Blaster,124433,13,Explosivo 3”,125023,12,"Blaster 3""",122601,11,"3"" Blaster",48,X,X,"","","",1,Secondary cannon,6,Neutral,0,80,83,1,2,-1,0,0,0,1015,50,11,5,0,103665,77,"Zusatzkanone für die ""Little Jack"". Aufgerüstete\nVersion der 3-Zoll-Kanone.",102803,84,Cañón secundario del Little Jack. Es una\nversión avanzada del cañón de 3 pulgadas.,103050,82,Un canon secondaire pour le Little Jack. Version\naméliorée du Canon de 3 pouces.,101724,83,A secondary cannon for the Little Jack. An\nupgraded version of the 3 Inch Cannon.
412,2150454820,125096,9,5”Cannon,124446,9,Cañón 5”,125035,10,"Canon 5""",122612,10,"5"" Cannon",48,X,X,"","","",1,Secondary cannon,6,Neutral,0,90,80,1,3,-1,0,0,0,1330,50,12,8,0,103742,79,"Zusatzkanone für die ""Little Jack"". Leistungs-\nfähiger als die 3-Zoll-Kanone.",102887,76,Cañón secundario del Little Jack. Más\npoderoso que el cañón de 3 pulgadas.,103132,82,Un canon secondaire pour le Little Jack. Plus\npuissant que le Canon de 3 pouces.,101807,79,A secondary cannon for the Little Jack. More\npowerful than the 3 Inch Cannon.
413,2150454832,125105,9,8”Cannon,124455,9,Cañón 8”,125045,10,"Canon 8""",122622,10,"8"" Cannon",48,X,X,"","","",1,Secondary cannon,6,Neutral,0,100,82,2,3,-1,0,0,0,2100,50,13,9,0,103821,75,Zusatzkanone für die “Little Jack”.\nModifizierte Version der Hauptkanone.,102963,91,Cañón secundario del Little Jack. Viene a ser\nuna versión modificada del Cañón Principal.,103214,83,Un canon secondaire pour le Little Jack.\nUne version modifiée du Canon Principal.,101886,80,A secondary cannon for the Little Jack.\nA modified version of the Main Cannon.
414,2150454844,125114,10,12”Cannon,124464,10,Cañón 12”,125055,11,"Canon 12""",122632,11,"12"" Cannon",14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,170,77,2,4,-1,0,0,0,3500,50,14,3,0,103896,71,"Großkalibrige Zusatzkanone, die für Kriegs-\nschiffe entwickelt wurde.",103054,66,Cañón secundario de alto calibre\ndiseñado para buques de guerra.,103297,80,Un canon secondaire de très gros calibre\ndéveloppé pour les navires de guerre.,101966,57,A high-caliber secondary cannon developed for\nwarships.
415,2150454856,125124,10,10”Cannon,124474,10,Cañón 10”,125066,11,"Canon 10""",122643,11,"10"" Cannon",14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,200,82,3,4,-1,0,0,0,3640,50,15,0,0,103967,62,"Erste 10-Zoll-Zusatzkanone, von der\nNasrean Navy entwickelt.",103120,78,El primer cañón secundario de 10 pulgadas.\nFue creado por la Armada de Nasr.,103377,76,"Le premier canon secondaire de 10 pouces,\ndéveloppé par la Marine Nasrean.",102023,68,"The first 10 Inch secondary cannon, developed\nby the Nasrean Navy."
416,2150454868,125134,15,10”Cannon Coil,124484,16,Cañón Rosca 10”,125077,14,Canon torsadé,122654,16,"10"" Cannon Coil",14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,220,89,3,4,-1,0,0,0,3710,50,16,1,0,104029,78,"10-Zoll-Zusatzkanone mit verstärktem Lauf,\nder den Rückstoß auffangen hilft.",103198,82,Cañón secundario de 10 pulgadas con un\ntambor que permite amortiguar el impacto.,103453,74,Un canon secondaire de 10 pouces\nrenforcé pour mieux absorber les chocs.,102091,81,A 10 inch secondary cannon with a reinforced\nbarrel that helps to absorb shock.
417,2150454884,125149,11,12”Blaster,124500,14,Explosivo 12”,125091,13,"Blaster 12""",122670,12,"12"" Blaster",14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,250,85,2,5,-1,0,0,0,3850,50,17,2,0,104107,67,"Großkalibrige Zusatzkanone, nur auf größeren\nSchiffen eingesetzt.",103280,85,Cañón secundario de alto calibre utilizado\nexclusivamente en navíos de gran tamaño.,103527,84,"Un canon secondaire de très gros calibre,\nutilisé uniquement sur les gros navires.",102172,61,"A high-caliber secondary cannon, only used\non larger ships."
418,2150454896,125160,9,3'Cannon,124514,9,Cañón 3',125104,9,Canon 3',122682,9,3'Cannon,14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,280,87,3,6,-1,0,0,0,4690,50,18,4,0,104174,96,In Yafutoma entwickelte Zusatzkanone. Das De-\nsign ist von röhrenförmigen Pflanzen inspiriert.,103365,80,Cañón secundario desarrollado en Yafutoma\ne inspirado por plantas cilíndricas.,103611,81,"Un canon secondaire développé à Yafutoma,\ninspiré par des plantes cylindriques.",102233,75,"A secondary cannon developed in Yafutoma,\ninspired by cylindrical plants."
419,2150454908,125169,9,5'Cannon,124523,9,Cañón 5',125113,9,Canon 5',122691,9,5'Cannon,14,"","",X,X,X,1,Secondary cannon,6,Neutral,0,330,90,2,6,-1,0,0,0,5110,50,19,7,0,104270,73,Zusatzkanone der Yafutoma-Navy.\nHochleistungskanone für den Nahbereich.,103445,87,"Cañón secundario usado por la Armada de\nYafutoma. Muy potente, pero de corto alcance.",103692,88,Un canon secondaire utilisé par la Marine\nYafutoma. Très puissant et de courte portée.,102308,90,"A secondary cannon used by the Yafutoman Navy.\nIt is a short-range, high-powered cannon."
420,2150454920,125178,14,Light Torpedo,124532,15,Torpedo Ligero,125122,16,Torpille Légère,122700,14,Light Torpedo,48,X,X,"","","",2,Torpedo,6,Neutral,0,120,60,2,3,-1,0,0,0,1520,50,20,25,0,104343,90,Leichter Torpedo für kleinere Schiffe. Nach dem\nAbschuss greift er das Ziel von oben an.,103532,77,Torpedo ligero especial para navíos pequeños.\nAtaca al objetivo por arriba.,103780,93,"Une torpille légère adaptée aux petits navires.\nAprès lancement, elle frappe par le dessus.",102398,97,"A light torpedo, well-suited for smaller ships.\nAfter launch, it attacks its target from above."
421,2150454936,125192,15,Guided Torpedo,124547,15,Torpedo Guiado,125138,16,Torpille Guidée,122714,15,Guided Torpedo,48,X,X,"","","",2,Torpedo,6,Neutral,0,120,70,2,2,-1,0,0,0,1760,50,21,19,0,104433,97,Ein auf der “Little Jack” eingesetzter Torpedo.\nHat von allen Torpedos die größte Trefferquote.,103609,80,Torpedo especialmente diseñado para el\nLittle Jack. Es el torpedo más preciso.,103873,96,Une torpille conçue pour le Little Jack. A plus\nde chance d'atteindre sa cible que les autres.,102495,97,A torpedo equippable by the Little Jack. Has the\nhighest chance to hit out of all the torpedos.
422,2150454952,125207,14,Shock Torpedo,124562,15,Torpedo Asalto,125154,14,Torpille Choc,122729,14,Shock Torpedo,48,X,X,"","","",2,Torpedo,6,Neutral,0,160,55,2,3,-1,0,0,0,2000,50,22,34,0,104530,95,Ein auf der “Little Jack” eingesetzter Torpedo.\nNach Abschuss greift er das Ziel von oben an.,103689,69,Torpedo diseñado para el Little Jack.\nAtaca al objetivo por arriba.,103969,86,"Une torpille conçue pour le Little Jack. Après\nlancement, elle frappe par le dessus.",102592,90,"A torpedo equippable by the Little Jack.\nAfter launch, it charges its target from above."
423,2150454968,125221,15,Hunter Torpedo,124577,16,Torpedo Cazador,125168,15,Torpille tigre,122743,15,Hunter Torpedo,48,X,X,"","","",2,Torpedo,0,Green,0,160,60,3,3,-1,0,0,0,2240,50,23,23,0,104625,90,Ein auf der “Little Jack” eingesetzter Torpedo.\nGrößere Reichweite als Standardtorpedos.,103758,83,Torpedo diseñado para el Little Jack.\nDe mayor alcance que los torpedos estándar.,104055,98,Torpille conçue pour le Little Jack. Elle a une\nplus grande portée que les torpilles classiques.,102682,84,A torpedo equippable by the Little Jack. Has\ngreater range than standard torpedos.
424,2150454984,125236,15,Valuan Torpedo,124593,15,Torpedo Valuan,125183,16,Torpille Valuan,122758,15,Valuan Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,220,60,2,3,-1,0,0,0,2400,50,24,36,0,104715,80,Ein von Valua im Valua-Nasr-Krieg gegen die\nNasrean Navy eingesetzter Torpedo.,103841,86,Torpedo que Valua usó contra la Armada\nde Nasr durante la guerra entre Valua y Nasr.,104153,88,Une torpille utilisée par Valua contre la\nMarine Nasrean pendant la guerre Valua-Nasr.,102766,77,A torpedo used by Valua against the Nasrean Navy\nduring the Valua-Nasr War.
425,2150455000,125251,14,Heavy Torpedo,124608,15,Torpedo Pesado,125199,16,Torpille Lourde,122773,14,Heavy Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,250,50,3,4,-1,0,0,0,4400,50,25,22,0,104795,94,"Großer Torpedo, gleiche Schusskraft wie eine\nHauptkanone, jedoch mit geringerer Genauigkeit.",103927,91,"Torpedo grande con el mismo poder de fogueo\nque un Cañón Principal, pero menos precisión.",104241,96,Grande torpille ayant la même puisssance de feu\nqu'un canon principal avec moins de précision.,102843,83,"A large torpedo with the same firepower as a\nmain cannon, but has lower accuracy."
426,2150455016,125265,16,Serpent Torpedo,124623,16,Torpedo Culebra,125215,17,Torpille Serpent,122787,16,Serpent Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,300,65,2,4,-1,0,0,0,5360,50,26,33,0,104889,94,"Mittlerer Torpedo, verfolgt sein Ziel wie eine\nSchlange. Nahbereich, aber sehr wirkungsvoll.",104018,97,"Torpedo mediano que persigue a su objetivo como\nuna culebra. De poco alcance, pero muy potente.",104337,96,Une torpille moyenne qui suit sa cible comme un\nserpent. De courte portée mais très puissante.,102926,95,"A medium-sized torpedo that goes after a target\nlike a snake. Short range, but very powerful."
427,2150455032,125281,14,Flash Torpedo,124639,13,Torpedo Rayo,125232,15,Torpille Flash,122803,14,Flash Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,350,70,3,5,-1,0,0,0,6320,50,27,17,0,104983,76,"Kleiner Torpedo mit großer Wirkung. Große\nReichweite, sehr durchschlagend.",104115,90,"Torpedo pequeño, pero devastador. Tiene gran\nalcance y una estupenda potencia de fogueo.",104433,90,Une petite torpille très puissante. De longue\nportée et avec une bonne puissance de feu.,103021,76,A small torpedo that packs a big punch. Has long\nrange and good firepower.
428,2150455048,125295,17,Arcwhale Torpedo,124652,16,Torpedo Ballena,125247,17,Torpille Rhaknam,122817,17,Arcwhale Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,400,70,3,6,-1,0,0,0,6800,50,28,12,0,105059,82,Torpedo mit guter Reichweite und\nDurchschlagskraft. Verbraucht jedoch viel Guts.,104205,83,Torpedo de gran alcance y buen poder\ndestructivo. Utiliza gran cantidad de Valor.,104523,71,De longue portée et destructice\nmais nécessitant beaucoup de courage.,103097,89,"A torpedo with both good range and destructive\npower. But, uses a high level of Spirit."
429,2150455068,125312,15,Dragon Torpedo,124668,15,Torpedo Dragón,125264,7,Dragon,122834,15,Dragon Torpedo,14,"","",X,X,X,2,Torpedo,6,Neutral,0,450,60,2,7,-1,0,0,0,8800,50,29,15,0,105141,80,Torpedo mit größerer Feuerkraft als\nReichweite. Kann großen Schaden anrichten.,104288,93,"Torpedo de gran fogueo, pero corto alcance.\nSi acierta en el objetivo, crea gran deterioro.",104594,83,Torpille dont la puissance de feu est meilleure\nque la portée. Très destructrice.,103186,96,A torpedo that emphasizes firepower more than\nrange. Does a great deal of damage when it hits.
430,2150455084,125327,15,Harpoon Cannon,124683,12,Cañón Arpón,125271,13,Canon Harpon,122849,15,Harpoon Cannon,32,X,"","","","",3,Special,6,Neutral,0,350,65535,0,15,-1,0,0,0,0,0,30,20,0,105221,85,"Ultimative Waffe der “Little Jack”. Sie wurde\nangeschafft, um Rhaknam zu zerstören.",104381,71,La mejor arma del Little Jack.\nFue adquirida para destruir a Rhaknam.,104677,68,L'ultime arme de Little Jack. A été acquise pour\ndétruire Rhaknam.,103282,72,The Little Jack's ultimate weapon. It was\nacquired to destroy Rhaknam.
431,2150455100,125342,17,MoonStone Cannon,124695,12,Cañón Lunar,125284,12,Canon Gigas,122864,17,MoonStone Cannon,14,"","",X,X,X,3,Special,6,Neutral,0,800,65535,0,20,-1,0,0,0,0,0,31,30,0,105306,96,Ultimative Waffe der “Delphinus”. Sammelt Mond-\nenergie und wandelt sie in Explosionskraft um.,104452,94,La mejor arma del Delphinus. Acumula energía\nlunar y la libera creando una explosión enorme.,104745,98,Ultime arme du Delphinus. Accumule de l'énergie\nLunaire et la relâche dans une grande explosion.,103354,97,The ultimate weapon of the Delphinus. Builds up\nMoon energy and releases it in a massive blast.
432,2150455120,125359,12,Moon Cannon,124707,13,Cañón Piedra,125296,14,Canon de Lune,122881,12,Moon Cannon,62,X,X,X,X,X,0,Main cannon,6,Neutral,0,500,99,0,9,-1,0,0,0,1000,100,32,27,0,105402,76,"Hauptkanone, die sowohl mit Moon Stone-Energie\nals auch mit Pulver feuert.",104546,74,Cañón principal que usa energía de\nPiedra Lunar y pólvora para disparar.,104843,98,Un canon principal utilisant de l'énergie Pierre\nde Lune et de la poudre à canon pour faire feu.,103451,70,A main cannon that uses both Moonstone energy\nand gunpowder to fire.
433,2150455132,125371,9,Moon Gun,124720,11,Arma Lunar,125310,11,Canon Lune,122893,9,Moon Gun,62,X,X,X,X,X,1,Secondary cannon,6,Neutral,0,400,99,3,5,-1,0,0,0,1000,100,33,28,0,105478,85,"Zusatzkanone, die sich auf Moon Stone-Energie \nstützt und keinen Spirit verbraucht.",104620,82,Cañón secundario que usa energía de\nPiedra Lunar en lugar de agotar el Espíritu.,104941,92,Canon secondaire dépensant de l'énergie de\nPierre de Lune au lieu d'épuiser l'Esprit (ES).,103521,75,A secondary cannon relies on Moonstone energy\ninstead of draining Spirit.
434,2150455144,125380,13,Moon Torpedo,124731,14,Torpedo Lunar,125321,14,Torpille Lune,122902,13,Moon Torpedo,62,X,X,X,X,X,2,Torpedo,6,Neutral,0,600,75,3,3,-1,0,0,0,1000,100,34,29,0,105563,85,"Torpedo, der Moon Stone-Energie benutzt, um den\nSpirit-Verbrauch niedrig zu halten.",104702,84,Torpedo que usa energía de Piedra Lunar para\nmantener un bajo consumo de Espíritu.,105033,99,Une torpille utilisant de l'énergie de Pierre de\nLune pour limiter sa consommation d'Esprit (ES).,103596,70,A torpedo that uses Moonstone energy to keep\nSpirit consumption low.
435,2150455160,125393,13,Pyril Cannon,124745,12,Cañón Pyril,125335,12,Canon Pyril,122915,13,Pyril Cannon,14,"","",X,X,X,0,Main cannon,1,Red,0,200,120,0,6,-1,0,0,0,13200,50,35,32,0,105648,95,"Drehbare Kanone, für Kriegsschiffe entworfen.\nBesitzt Red-Eigenschaften und hohe Genauigkeit.",104786,83,Cañón rotante diseñado para acorazados.\nTiene propiedades Rojas y gran precisión.,105132,89,Un canon rotatif conçu pour les cuirassiers.\nUtilise la magie Rouge et est très précis.,103666,84,"A rotating cannon designed for battleships.\nHas Red properties, and high accuracy."
436,2150455176,125406,12,Wevl Cannon,124757,11,Cañón Wevl,125347,11,Canon Wevl,122928,12,Wevl Cannon,14,"","",X,X,X,1,Secondary cannon,3,Blue,0,180,120,3,4,-1,0,0,0,10200,50,36,37,0,105743,82,Zusatzkanone für Kriegsschiffe. Besitzt\nBlue-Eigenschaften und hohe Genauigkeit.,104869,85,Cañón secundario creado para acorazados.\nTiene propiedades Azules y gran precisión.,105221,92,Un canon secondaire conçu pour les cuirassiers.\nUtilise la magie Bleue et est très précis.,103750,86,"A secondary cannon designed for battleships.\nHas Blue properties, and high accuracy."
437,2150455188,125418,17,Electril Torpedo,124768,16,Torpedo Electri,125358,9,Electril,122940,17,Electril Torpedo,14,"","",X,X,X,2,Torpedo,4,Yellow,0,500,50,3,2,-1,0,0,0,1000,50,37,16,0,105825,93,Für große Kriegsschiffe entworfenes Torpedo.\nHat Yellow-Eigenschaften und große Feuerkraft.,104954,92,Diseñado para buques de guerra de gran tamaño.\nCon propiedades Amarillas y fogueo potente.,105313,96,Torpille conçue pour les gros navires de guerre.\nUtilise la magie Jaune et est très puissante.,103836,84,"A torpedo designed for large warships. Has\nYellow properties, and great firepower."
438,2150455208,125435,15,Crystil Cannon,124784,14,Cañón Crystil,125367,14,Canon Crystil,122957,15,Crystil Cannon,14,"","",X,X,X,0,Main cannon,2,Purple,0,550,60,0,4,-1,0,0,0,1000,50,38,14,0,105918,87,Beständig dank einer Speziallegierung.\nHat Purple-Eigenschaften und große Feuerkraft.,105046,93,Creado con una aleación especial muy resistente.\nCon propiedades Púrpuras y fogueo potente.,105409,73,Fait en alliage résistant.\nUtilise la magie Mauve et est très puissant.,103920,91,"Made of a special alloy for added durability.\nHas Purple properties, and great firepower."
439,2150455224,125450,10,Kazai Gun,124798,11,Arma Kazai,125381,12,Canon Kazai,122972,10,Kazai Gun,48,X,X,"","","",1,Secondary cannon,3,Blue,0,50,99,2,5,-1,0,0,0,1000,50,39,24,0,106005,92,Mit Zugstange zum Dämpfen des Rückstoßes.\nBesitzt Blue-Eigenschaften und hohe Genauigkeit.,105139,92,Sus barras absorben el impacto de los disparos.\nTiene propiedades Azules y gran precisión.,105482,83,Equipé pour absorber les chocs du tir.\nUtilise la magie Bleue et est très précis.,104011,93,"Contains a tower bar to absorb the shock of\nfiring. Has Blue properties, and high accuracy."
