Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Element ID,Padding #1,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #2,Padding #3,Effect value,Type ID,[Type name],Unknown #1,Hit%,Padding #4,Padding #5,Padding #6,Ship occasion ID,[Ship occasion name],Padding #7,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #8,Padding #9,Padding #10,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string,[DE ship description position],[DE ship description size],DE ship description string,[ES ship description position],[ES ship description size],ES ship description string,[FR ship description position],[FR ship description size],FR ship description string,[GB ship description position],[GB ship description size],GB ship description string
10,2150955752,117892,5,Noxi,116951,5,Noxi,117575,5,Noxi,115518,5,Noxi,0,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,70585,95,Schädigt und vergiftet einen Feind. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 3,69825,99,Debilita y envenena a uno de los enemigos. Mejor\nusarlo al principio de una batalla larga.   3 PE,68065,16,Bazar de Bonita,68848,97,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.          SP 3,112932,30,Kann nicht benutzt werden.\n,111957,20,No puede usarse.\n,112414,25,Ne peut être utilisé.\n,110684,24,Cannot be used.\n------
11,2150955760,117897,6,Noxus,116956,6,Noxus,117580,6,Noxus,115523,6,Noxus,0,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,70680,95,Schädigt und vergiftet alle Feinde. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 6,69924,98,Debilita y envenena a todos los enemigos. Mejor\nusarlo al principio de una batalla larga.   6 PE,68081,16,"Lor, l'armateur",68945,95,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.          SP 6,112962,30,Kann nicht benutzt werden.\n,111977,21,No puede usarse. \n,112439,25,Ne peut être utilisé.\n,110708,24,Cannot be used.\n------
12,2150955768,117903,8,Slipara,116962,8,Slipara,117586,8,Slipara,115529,8,Slipara,3,0,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,70775,91,Lässt mit etwas Glück alle Feinde auf dem\nBildschirm in tiefsten Schlaf sinken.      SP 6,70022,93,Hace que todos los enemigos en pantalla se\nduerman.                                    6 PE,68097,16,"Lor, l'armateur",69040,94,Has a chance to put all enemies on screen to\nSleep.                                     SP 6,112992,30,Kann nicht benutzt werden.\n,111998,21,No puede usarse. \n,112464,25,Ne peut être utilisé.\n,110732,24,Cannot be used.\n------
13,2150955776,117911,6,Quika,116970,6,Quika,117594,6,Quika,115537,6,Quika,3,0,Blue,70,3,"",X,X,20,Add Quickened,2,All allies,6,Magic,0,6,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,70866,87,Verdoppelt die Geschwindigkeit aller \nVerbündeten. Erleichtert die Flucht.       SP 6,70115,99,Dobla la velocidad de todos los aliados. También\nhace más fácil huir de las batallas.        6 PE,68113,16,Armes de Roscoe,69134,97,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.             SP 6",113022,91,Verdoppelt Geschwindigkeit des Schiffes.\nEffekt hält für 2 Runden an.                6 SP,112019,80,Dobla la velocidad del barco.\nEl efecto dura 2 turnos.                     6PE,112489,79,Double la vitesse du navire.\nLes effets durent 2 tours.                  6 ES,110756,70,Doubles ship speed.\nEffect lasts for 2 rounds.                  6 SP
14,2150955784,117917,6,Curia,116976,6,Curia,117600,6,Curia,115543,6,Curia,5,0,Silver,80,2,"",X,"",30,Remove negative states,1,One ally,6,Magic,0,2,0,0,-1,-1,None,-1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,70953,95,Kuriert einen Verbündeten von allen negativen\nEffekten (außer Bewusstlosigkeit).         SP 2,70214,88,Cura a un aliado de todos los efectos\nadversos (excepto Inconsciencia).           2 PE,68129,16,Armes de Roscoe,69231,96,Cures one ally of all adverse effects (except\nfor Unconscious).                           SP 2,113113,30,Kann nicht benutzt werden.\n,112099,20,No puede usarse.\n,112568,25,Ne peut être utilisé.\n,110826,24,Cannot be used.\n------
15,2150955792,117923,6,Risan,116982,6,Risan,117606,6,Risan,115549,6,Risan,5,0,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One ally,6,Magic,0,4,0,0,0,0,Physical,7,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,71048,97,"50% Wahrscheinlichkeit, einen bewusstlosen Ver-\nbündeten mit 50% seiner HP aufzuwecken.    SP 4",70302,99,Puede revivir en un 50% a un aliado inconsciente\ny reponer el 50% de su Salud.               4 PE,68145,16,Armes de Roscoe,69327,99,"Has a 50% chance of reviving an Unconscious ally,\nalong with 50% of their HP.                SP 4",113143,30,Kann nicht benutzt werden.\n,112119,20,No puede usarse.\n,112593,25,Ne peut être utilisé.\n,110850,24,Cannot be used.\n------
16,2150955800,117929,8,Riselem,116988,8,Riselem,117612,8,Riselem,115555,8,Riselem,5,0,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One ally,6,Magic,0,8,0,0,0,0,Physical,7,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,71145,94,Weckt einen bewusstlosen Verbündeten auf und\nerneuert seine gesamten HP.                SP 8,70401,82,Revive a un aliado inconsciente\ny repone su Salud totalmente.               8 PE,68161,16,Armes de Roscoe,69426,96,Revives an Unconscious ally and restores their\nHP to full.                                SP 8,113173,30,Kann nicht benutzt werden.\n,112139,20,No puede usarse.\n,112618,25,Ne peut être utilisé.\n,110874,24,Cannot be used.\n------
17,2150955808,117937,7,Eterni,116996,7,Eterni,117620,7,Eterni,115563,7,Eterni,5,0,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,71239,94,Kann einen Feind auf der Stelle töten. Wirkt\nbei mächtigen Feinden evtl. nicht.         SP 5,70483,98,"Mata instantáneamente a cualquier enemigo, pero\npuede fallar con monstruos o grandes jefes. 5 PE",68177,17,Marchand Étrange,69522,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.       SP 5,113203,30,Kann nicht benutzt werden.\n,112159,20,No puede usarse.\n,112643,25,Ne peut être utilisé.\n,110898,24,Cannot be used.\n------
18,2150955816,117944,8,Eternes,117003,8,Eternes,117627,8,Eternes,115570,8,Eternes,5,0,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,71333,94,Kann alle Feinde auf dem Bildschirm auf der\nStelle töten.                              SP 10,70581,99,Causa la muerte instantánea a todos los enemigos\nen pantalla.                               10 PE,68194,9,Armurier,69618,96,Can cause instant death to all enemies on the\nscreen.                                    SP 10,113233,30,Kann nicht benutzt werden.\n,112179,20,No puede usarse.\n,112668,25,Ne peut être utilisé.\n,110922,24,Cannot be used.\n------
19,2150955824,117952,8,Eternum,117011,8,Eternum,117635,8,Eternum,115578,8,Eternum,5,0,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,71427,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\nZiel immun, richtet es Schaden an.         SP 15",70680,99,"Causa la muerte instantánea de un enemigo. Si el\nobjetivo es inmune, le provocará daños.    15 PE",68203,16,Vendeuse objets,69714,98,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.         SP 15",113263,30,Kann nicht benutzt werden.\n,112199,20,No puede usarse.\n,112693,25,Ne peut être utilisé.\n,110946,24,Cannot be used.\n------
20,2150955832,117960,6,Wevli,117019,6,Wevli,117643,6,Wevli,115586,6,Wevli,3,0,Blue,60,3,"",X,X,0,Damage,32,Enemy area #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,71523,95,Schädigt einen Feind mit einem Wirbelwind aus\nLuft und Wasser. Schädigt auch nahe Feinde.SP 2,70779,95,Hiere a un enemigo con un torbellino de aire\ny agua. También hiere a enemigos próximos.  2 PE,68219,16,Armes de Quemal,69812,95,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.          SP 2,113293,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,112219,99,Dispara una bala de cañón con Magia Azul. Lanzar\nhechizos requiere un equipo especial.        2PE,112718,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  2 ES,110970,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        2 SP
21,2150955840,117966,7,Wevles,117025,7,Wevles,117649,7,Wevles,115592,7,Wevles,3,0,Blue,61,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,71618,96,Löst eine gewaltige Explosion aus und schädigt\nalle Feinde auf dem Bildschirm.            SP 4,70874,98,Crea un tornado largo alrededor de un enemigo y\nhiere a todos los enemigos a su alrededor.  4 PE,68235,16,Magasin de Vala,69907,94,Creates a large tornado around one enemy and\ndamages all enemies nearby.                SP 4,113392,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,112318,99,Dispara una bala de cañón con Magia Azul. Lanzar\nhechizos requiere un equipo especial.        4PE,112816,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  4 ES,111064,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        4 SP
22,2150955848,117973,7,Wevlen,117032,7,Wevlen,117656,7,Wevlen,115599,7,Wevlen,3,0,Blue,63,3,"",X,X,0,Damage,34,Enemy area #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,71714,98,"Erzeugt ein Bündel von Tornados um einen Feind,\nschädigt fast alle Feinde auf dem Bildschirm.SP8",70972,98,Crea un tornado alrededor de un enemigo y hiere\na casi todos los enemigos en pantalla.      8 PE,68251,16,"Dak, l'armateur",70001,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.  SP 8,113491,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            8 SP,112417,99,Dispara una bala de cañón con Magia Azul. Lanzar\nhechizos requiere un equipo especial.        8PE,112914,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  8 ES,111158,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        8 SP
23,2150955856,117980,5,Pyri,117039,5,Pyri,117663,5,Pyri,115606,5,Pyri,1,0,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,71812,95,"Entfacht eine Feuerexplosion, die alle Feinde\nauf dem Bildschirm schädigt.               SP 2",71070,94,"Produce una explosión de llamas, hiriendo a\ntodos los enemigos en pantalla.             2 PE",68267,17,Marchand Étrange,70097,97,"Summons a burst of flames, damaging all enemies\non screen.                                 SP 2",113590,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,112516,99,Dispara una bala de cañón con Magia Roja. Lanzar\nhechizos requiere un equipo especial.        2PE,113012,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  2 ES,111252,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        2 SP
24,2150955864,117985,6,Pyres,117044,6,Pyres,117668,6,Pyres,115611,6,Pyres,1,0,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,71907,97,Erzeugt einen gewaltigen Tornado um einen Feind\nund schädigt alle nahen Feinde.            SP 4,71164,85,Produce una gran explosión y hiere\na todos los enemigos en pantalla.           4 PE,68284,15,Puck Artilleur,70194,91,Summons a great explosion and damages all\nenemies on screen.                         SP 4,113688,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,112615,99,Dispara una bala de cañón con Magia Roja. Lanzar\nhechizos requiere un equipo especial.        4PE,113110,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  4 ES,111345,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        4 SP
25,2150955872,117991,6,Pyrum,117050,6,Pyrum,117674,6,Pyrum,115617,6,Pyrum,1,0,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,72004,97,Lässt Feuerbälle vom Himmel kommen und schädigt\nalle Feinde auf dem Bildschirm.            SP 6,71249,89,Hace surgir bolas de fuego del cielo y\nhiere a todos los enemigos en pantalla.     6 PE,68299,15,Bazar de Kiski,70285,92,Summons fireballs from the sky and damages\nall enemies on the screen.                 SP 6,113786,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            6 SP,112714,99,Dispara una bala de cañón con Magia Roja. Lanzar\nhechizos requiere un equipo especial.        6PE,113208,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  6 ES,111438,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        6 SP
26,2150392728,117997,9,Crystali,117056,9,Crystali,117680,9,Crystali,115623,9,Crystali,2,0,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,72101,97,Überzieht einen Feind mit einer Eisschicht.Sehr\nwirkungsvoll und verbraucht wenig Spirit.  SP 1,71338,99,Cubre de hielo a un solo enemigo. Tiene bastante\npotencia y usa muy poco Espíritu.           1 PE,68314,16,Boutique Khazim,70377,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.      SP 1,113884,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.1SP,112813,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 1PE,113306,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  1 ES,111531,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        1 SP
27,2150392740,118006,10,Crystales,117065,10,Crystales,117689,10,Crystales,115632,10,Crystales,2,0,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,72198,95,Erzeugt einen Eiszapfen am Fuß eines Feindes.\nRichtet erheblichen Schaden an.            SP 2,71437,99,"Crea un punzón de hielo a los pies de un enemigo\ny lo atraviesa, produciendo gran daño.      2 PE",68330,17,Forge de Ryu-kan,70469,97,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.      SP 2",113972,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.2SP,112908,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 2PE,113404,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  2 ES,111627,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        2 SP
28,2150392752,118016,10,Crystalum,117075,10,Crystalum,117699,10,Crystalum,115642,10,Crystalum,2,0,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,72293,95,Lässt einen Feind zu einer Eissäule erstarren\nund richtet so erheblichen Schaden an.     SP 3,71536,88,Atrapa a un enemigo en una columna de\nhielo y le produce grandes daños.           3 PE,68347,17,Forge de Ryu-kan,70566,98,"Traps a single enemy in a column of ice, causing\nan extensive amount of damage.             SP 3",114060,88,Feuert eine mit Purple Magic geladene\nKanonenkugel ab. Erfordert Spezialausrüstung.3SP,113003,95,Dispara una bala de cañón con Magia Púrpura.\nLanzar hechizos requiere un equipo especial. 3PE,113502,98,Lance un boulet de canon chargé de Magie Mauve.\nÉquipement spécial requis.                  3 ES,111723,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        3 SP
