Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
20,MB001.STD,1,航行士,Sailor,29,Exec S-Move,1,8,11,Defeat,0b10001000000000000000000000000000,81,薬草,0,5.00,1.00
0,MB002.STD,2,ミクラステル,Micrastel,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB002.STD,2,ミクラステル,Micrastel,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB002.STD,2,ミクラステル,Micrastel,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.10
3,MB002.STD,2,ミクラステル,Micrastel,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
4,MB002.STD,2,ミクラステル,Micrastel,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,MB002.STD,2,ミクラステル,Micrastel,9,Take Damage 1,1,11,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
6,MB002.STD,2,ミクラステル,Micrastel,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB002.STD,2,ミクラステル,Micrastel,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB002.STD,2,ミクラステル,Micrastel,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MB002.STD,2,ミクラステル,Micrastel,13,Dodge,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB002.STD,2,ミクラステル,Micrastel,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
11,MB002.STD,2,ミクラステル,Micrastel,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB002.STD,2,ミクラステル,Micrastel,32,Knockdown,1,10,12,Revive,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
13,MB002.STD,2,ミクラステル,Micrastel,29,Exec S-Move,1,8,13,Focus,0b10001010000000000000000000000000,4,Laser,0,5.00,1.00
0,MB003.STD,3,マロッカ,Marocca,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB003.STD,3,マロッカ,Marocca,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,8.50,1.00
2,MB003.STD,3,マロッカ,Marocca,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB003.STD,3,マロッカ,Marocca,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB003.STD,3,マロッカ,Marocca,8,Critical Attack,1,8,4,Critical Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
5,MB003.STD,3,マロッカ,Marocca,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB003.STD,3,マロッカ,Marocca,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000001000000000000000000000,-1,None,0,5.00,1.00
7,MB003.STD,3,マロッカ,Marocca,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB003.STD,3,マロッカ,Marocca,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB003.STD,3,マロッカ,Marocca,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB003.STD,3,マロッカ,Marocca,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB003.STD,3,マロッカ,Marocca,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB003.STD,3,マロッカ,Marocca,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB003.STD,3,マロッカ,Marocca,32,Knockdown,1,10,13,Focus,0b10001000001000000000000000000000,-1,None,0,0.00,1.00
0,MB004.STD,4,アーアペプ,Grouder,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB004.STD,4,アーアペプ,Grouder,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB004.STD,4,アーアペプ,Grouder,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB004.STD,4,アーアペプ,Grouder,4,Close Attack,1,8,3,Close Attack,0b10001010000000000000000000000000,-1,None,0,5.00,0.80
4,MB004.STD,4,アーアペプ,Grouder,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB004.STD,4,アーアペプ,Grouder,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB004.STD,4,アーアペプ,Grouder,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB004.STD,4,アーアペプ,Grouder,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB004.STD,4,アーアペプ,Grouder,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010001000000000000000000000,-1,None,0,0.00,1.00
9,MB004.STD,4,アーアペプ,Grouder,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB004.STD,4,アーアペプ,Grouder,13,Dodge,1,8,10,Dodge,0b10001010001000000000000000000000,-1,None,0,0.00,0.60
11,MB004.STD,4,アーアペプ,Grouder,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB004.STD,4,アーアペプ,Grouder,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB004.STD,4,アーアペプ,Grouder,21,Cast Magic,1,8,0,Idle 1,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
14,MB004.STD,4,アーアペプ,Grouder,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
15,MB004.STD,4,アーアペプ,Grouder,29,Exec S-Move,1,8,15,Run,0b10001010000000000000000000000000,57,Eerie Wail,0,5.00,1.00
16,MB004.STD,4,アーアペプ,Grouder,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,3,Panika,0,5.00,1.00
17,MB004.STD,4,アーアペプ,Grouder,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,20,Wevli,0,5.00,1.00
18,MB004.STD,4,アーアペプ,Grouder,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,21,ウェイビィ,0,5.00,1.00
19,MB004.STD,4,アーアペプ,Grouder,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,22,ウェボーン,0,5.00,1.00
20,MB004.STD,4,アーアペプ,Grouder,29,Exec S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,100,Magical Chant？,0,5.00,1.00
0,MB007.STD,7,煌術処刑士,Magic Executor,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,0.60
1,MB007.STD,7,煌術処刑士,Magic Executor,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB007.STD,7,煌術処刑士,Magic Executor,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.50
3,MB007.STD,7,煌術処刑士,Magic Executor,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB007.STD,7,煌術処刑士,Magic Executor,8,Critical Attack,1,8,4,Critical Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
5,MB007.STD,7,煌術処刑士,Magic Executor,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB007.STD,7,煌術処刑士,Magic Executor,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB007.STD,7,煌術処刑士,Magic Executor,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB007.STD,7,煌術処刑士,Magic Executor,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB007.STD,7,煌術処刑士,Magic Executor,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB007.STD,7,煌術処刑士,Magic Executor,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,0.80
11,MB007.STD,7,煌術処刑士,Magic Executor,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB007.STD,7,煌術処刑士,Magic Executor,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB007.STD,7,煌術処刑士,Magic Executor,21,Cast Magic,1,8,13,Focus,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
14,MB007.STD,7,煌術処刑士,Magic Executor,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,0.60
15,MB007.STD,7,煌術処刑士,Magic Executor,29,Exec S-Move,1,8,15,Run,0b10001000000000000000000000000000,37,Reform,0,5.00,1.00
16,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,0,Increm,0,5.00,1.00
17,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,2,サイレシャ,0,5.00,1.00
18,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,4,ダウナ,0,5.00,1.00
19,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,6,Sacri,0,5.00,1.00
20,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,7,サプリィ,0,5.00,1.00
21,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,18,ジェデス,0,5.00,1.00
22,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,22,ウェボーン,0,5.00,1.00
23,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,26,Crystali,0,5.00,1.00
24,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,28,グラシェス,0,5.00,1.00
25,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,29,Crystalen,0,5.00,1.00
26,MB007.STD,7,煌術処刑士,Magic Executor,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,35,ボルドーラ,0,5.00,1.00
0,MB013.STD,13,アスフール,Azbeth,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.20
1,MB013.STD,13,アスフール,Azbeth,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB013.STD,13,アスフール,Azbeth,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.10,1.10
3,MB013.STD,13,アスフール,Azbeth,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB013.STD,13,アスフール,Azbeth,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB013.STD,13,アスフール,Azbeth,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.10,1.00
6,MB013.STD,13,アスフール,Azbeth,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB013.STD,13,アスフール,Azbeth,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB013.STD,13,アスフール,Azbeth,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB013.STD,13,アスフール,Azbeth,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB013.STD,13,アスフール,Azbeth,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MB013.STD,13,アスフール,Azbeth,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB013.STD,13,アスフール,Azbeth,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB013.STD,13,アスフール,Azbeth,21,Cast Magic,1,8,13,Focus,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
14,MB013.STD,13,アスフール,Azbeth,32,Knockdown,1,10,14,Widthdraw,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
15,MB013.STD,13,アスフール,Azbeth,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,201,Call Allies,0,5.00,1.00
16,MB013.STD,13,アスフール,Azbeth,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,100,Magical Chant？,0,5.00,1.00
17,MB013.STD,13,アスフール,Azbeth,24,Exec Magic/S-Move,1,8,13,Focus,0b10001000000000000000000000000000,17,Eterni,0,5.00,1.00
18,MB013.STD,13,アスフール,Azbeth,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,108,Call Allies,0,5.00,1.00
19,MB013.STD,13,アスフール,Azbeth,29,Exec S-Move,1,8,13,Focus,0b10001000000000000000000000000000,200,Call Allies,0,5.00,1.00
0,MB015.STD,15,ヌール,Nur,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB015.STD,15,ヌール,Nur,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB015.STD,15,ヌール,Nur,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,2.60
3,MB015.STD,15,ヌール,Nur,4,Close Attack,1,8,3,Close Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
4,MB015.STD,15,ヌール,Nur,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB015.STD,15,ヌール,Nur,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB015.STD,15,ヌール,Nur,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
7,MB015.STD,15,ヌール,Nur,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB015.STD,15,ヌール,Nur,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MB015.STD,15,ヌール,Nur,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
10,MB015.STD,15,ヌール,Nur,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
11,MB015.STD,15,ヌール,Nur,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB015.STD,15,ヌール,Nur,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB015.STD,15,ヌール,Nur,21,Cast Magic,1,8,0,Idle 1,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
14,MB015.STD,15,ヌール,Nur,32,Knockdown,1,10,14,Widthdraw,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
15,MB015.STD,15,ヌール,Nur,29,Exec S-Move,1,8,15,Run,0b10001010001000000000000000000000,210,ＨＰ吸収,0,5.00,1.00
16,MB015.STD,15,ヌール,Nur,29,Exec S-Move,1,8,16,Magic,0b10001000001000000000000000000000,56,電撃,0,5.00,1.00
17,MB015.STD,15,ヌール,Nur,29,Exec S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,100,Magical Chant？,0,5.00,1.00
18,MB015.STD,15,ヌール,Nur,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,10,Noxi,0,5.00,1.00
19,MB015.STD,15,ヌール,Nur,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,11,プワゾーク,0,5.00,1.00
20,MB015.STD,15,ヌール,Nur,24,Exec Magic/S-Move,1,8,0,Idle 1,0b10001000000000000000000000000000,19,ジェドーサ,0,5.00,1.00
0,MB029.STD,29,エルモ,Elmo,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB029.STD,29,エルモ,Elmo,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB029.STD,29,エルモ,Elmo,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
3,MB029.STD,29,エルモ,Elmo,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.00,2.00
4,MB029.STD,29,エルモ,Elmo,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,2.00
5,MB029.STD,29,エルモ,Elmo,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB029.STD,29,エルモ,Elmo,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
7,MB029.STD,29,エルモ,Elmo,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB029.STD,29,エルモ,Elmo,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
9,MB029.STD,29,エルモ,Elmo,12,Guard,1,8,9,Guard,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
10,MB029.STD,29,エルモ,Elmo,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,0.90
11,MB029.STD,29,エルモ,Elmo,19,Withdraw,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
12,MB029.STD,29,エルモ,Elmo,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
13,MB029.STD,29,エルモ,Elmo,21,Cast Magic,1,8,13,Focus,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
14,MB029.STD,29,エルモ,Elmo,32,Knockdown,1,10,14,Widthdraw,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
15,MB029.STD,29,エルモ,Elmo,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,23,Pyri,0,5.00,1.00
16,MB029.STD,29,エルモ,Elmo,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,7,サプリィ,0,5.00,1.00
17,MB029.STD,29,エルモ,Elmo,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,0,Increm,0,5.00,1.00
18,MB029.STD,29,エルモ,Elmo,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,12,スリーパ,0,5.00,1.00
19,MB029.STD,29,エルモ,Elmo,24,Exec Magic/S-Move,1,8,13,Focus,0b10001010001000000000000000000000,2,サイレシャ,0,5.00,1.00
20,MB029.STD,29,エルモ,Elmo,29,Exec S-Move,1,8,13,Focus,0b10001010001000000000000000000000,100,Magical Chant？,0,5.00,1.00
0,MB072.STD,72,警備士,Guard,2,Idle 1,1,8,0,Idle 1,0b10010000100000000000000000000000,-1,None,0,5.00,1.00
1,MB072.STD,72,警備士,Guard,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,-1,None,0,5.00,1.00
2,MB072.STD,72,警備士,Guard,6,Approach,1,8,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.80
3,MB072.STD,72,警備士,Guard,4,Close Attack,1,8,3,Close Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
4,MB072.STD,72,警備士,Guard,8,Critical Attack,1,8,4,Critical Attack,0b10001010000000000000000000000000,-1,None,0,5.00,1.00
5,MB072.STD,72,警備士,Guard,9,Take Damage 1,1,11,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
6,MB072.STD,72,警備士,Guard,5,Ranged Attack,1,8,6,Ranged Attack,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
7,MB072.STD,72,警備士,Guard,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MB072.STD,72,警備士,Guard,11,Take Damage 3,1,10,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
9,MB072.STD,72,警備士,Guard,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
10,MB072.STD,72,警備士,Guard,13,Dodge,1,8,10,Dodge,0b10001010000000000000000000000000,-1,None,0,0.00,1.20
11,MB072.STD,72,警備士,Guard,16,Use Item 1,1,8,11,Defeat,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
