Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[Ship US Descr Pos],[Ship US Descr Size],Ship US Descr Str
18,ジェデス,5,Silver,101,0b0010,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9d28,64,"即死Ж術の第２段階です。
ＥＣ全体を一定確率で戦闘不能にします。",0x0,0,""
19,ジェドーサ,5,Silver,102,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,25,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9d68,60,"即死Ж術の第３段階です。
ＥＣ単体を確実に戦闘不能にします。",0x0,0,""
20,ウェイバ,3,Blue,60,0b0011,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,200,4,0,0,0,0x2e9da4,68,"波動攻撃Ж術の第１段階です。
円範囲の敵に青属性ダメージを与えます。",0x2ed78c,84,"波動弾を発射し、敵にダメージを与える。
振動に弱い敵に大きなダメージを与えられるぞ！"
21,ウェイビィ,3,Blue,61,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,95,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,300,4,0,0,0,0x2e9de8,68,"波動攻撃Ж術の第２段階です。
円範囲の敵に青属性ダメージを与えます。",0x2ed7e0,92,"大きな波動弾を発射し、敵にダメージを与える。
振動に弱い敵に大きなダメージを与えられるぞ！"
22,ウェボーン,3,Blue,63,0b0011,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,175,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,400,4,0,0,0,0x2e9e2c,68,"波動攻撃Ж術の第４段階です。
円範囲の敵に青属性ダメージを与えます。",0x2ed83c,84,"巨大な波動弾を発射し、敵に大ダメージを与える。
振動に弱い敵には必殺の威力があるぞ！"
23,Pyri,1,Red,0,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,20,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,200,1,0,0,0,0x2e9e70,92,"A spell that damages all enemies in a great
explosion.Clean up all the weaklings at once!",0x2ed890,80,"Launches a ball of fire at the enemies.
Useful on enemies weak against fire."
24,バーニィ,1,Red,1,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,300,1,0,0,0,0x2e9ecc,64,"火炎攻撃Ж術の第２段階です。
敵全体に赤属性ダメージを与えます。",0x2ed8e0,88,"Launches a great fireball to consume the
enemies. Great on enemies weak against fire."
25,バーネス,1,Red,2,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,400,1,0,0,0,0x2e9f0c,64,"火炎攻撃Ж術の第３段階です。
敵全体に赤属性ダメージを与えます。",0x2ed938,80,"灼熱の弾を発射し、敵にダメージを与える。
火に弱い敵なら一気にＨＰを奪えるぞ！"
26,Crystali,2,Purple,10,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,200,2,0,0,0,0x2e9f4c,96,"An ice spell that seriously damages one enemy.
Useful when fighting monsters with a lot of HP.",0x2ed988,72,"Launches a ball of ice at the enemies.
Use on enemies weak against ice."
27,グラシィ,2,Purple,11,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,110,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,300,2,0,0,0,0x2e9fac,64,"凍気攻撃Ж術の第２段階です。
敵単体に紫属性ダメージを与えます。",0x2ed9d0,84,"Launches a pillar of ice at the enemies.
Great damage on enemies weak against ice."
28,グラシェス,2,Purple,12,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,6,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,400,2,0,0,0,0x2e9fec,64,"凍気攻撃Ж術の第３段階です。
敵単体に紫属性ダメージを与えます。",0x2eda24,68,"吹雪の弾を発射し、敵にダメージを与える
氷に弱い敵なら一撃必殺だ！"
29,Crystalen,2,Purple,13,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,5,0,0,80,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,500,2,0,0,0,0x2ea02c,96,"An ice spell that inflicts massive damage on one
opponent. Very useful against large monsters.",0x2eda68,80,"ブリザード弾を発射し、敵にダメージを与える。
敵を完全に凍りつかしてしまうぞ！"
30,Pyrolen,1,Red,3,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,5,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,500,1,0,0,0,0x2ea08c,92,"An explosive spell that damages all enemies. 
Wipe all of the small monsters in one blow!!",0x2edab8,76,"業火の弾を発射し、敵にダメージを与える。
敵を完全に燃やし尽くしてしまうぞ！"
31,ウェイベス,3,Blue,62,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,135,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,500,4,0,0,0,0x2ea0e8,68,"波動攻撃Ж術の第３段階です。
円範囲の敵に青属性ダメージを与えます。",0x2edb04,80,"波動砲弾を発射し、敵にダメージを与える。
どんな装甲も内部から破壊してしまうぞ！"
32,ボルタ,4,Yellow,30,0b0011,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,15,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,200,3,0,0,0,0x2ea12c,76,"電撃攻撃Ж術の第１段階です。
直線上の敵すべてに黄属性ダメージを与えます。",0x2edb54,72,"電磁弾を発射し、敵にダメージを与える。
電気系統にダメージを与えるぞ！"
33,ボルティ,4,Yellow,31,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,25,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,300,3,0,0,0,0x2ea178,76,"電撃攻撃Ж術の第２段階です。
直線上の敵すべてに黄属性ダメージを与えます。",0x2edb9c,84,"強い電磁弾を発射し、敵にダメージを与える。
電磁波の力で内部からダメージを与えるぞ！"
34,ボルテス,4,Yellow,32,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,140,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,400,3,0,0,0,0x2ea1c4,76,"電撃攻撃Ж術の第３段階です。
直線上の敵すべてに黄属性ダメージを与えます。",0x2edbf0,92,"強烈な電磁弾を発射し、敵にダメージを与える。
強烈な電磁波がものすごいダメージを与えるぞ！"
35,ボルドーラ,4,Yellow,33,0b0011,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,180,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,500,3,0,0,0,0x2ea210,76,"電撃攻撃Ж術の第４段階です。
直線上の敵すべてに黄属性ダメージを与えます。",0x2edc4c,84,"強電磁砲弾を発射し、敵にダメージを与える。
装甲に関係なく敵に大ダメージを与えるぞ！"
