Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
1,MA010.STD,10,キュピル１,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA010.STD,10,キュピル１,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA011.STD,11,Cupil Knight,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA011.STD,11,Cupil Knight,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA011.STD,11,Cupil Knight,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA012.STD,12,キュピル３,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA012.STD,12,キュピル３,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA012.STD,12,キュピル３,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA013.STD,13,キュピル４,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA013.STD,13,キュピル４,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA013.STD,13,キュピル４,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA014.STD,14,キュピル５,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA014.STD,14,キュピル５,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA014.STD,14,キュピル５,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA015.STD,15,キュピル６,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA015.STD,15,キュピル６,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA015.STD,15,キュピル６,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA016.STD,16,キュピル７,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA016.STD,16,キュピル７,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA016.STD,16,キュピル７,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA017.STD,17,キュピル８,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA017.STD,17,キュピル８,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA017.STD,17,キュピル８,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA018.STD,18,キュピル９,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA018.STD,18,キュピル９,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA018.STD,18,キュピル９,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA019.STD,19,キュピル１０,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA019.STD,19,キュピル１０,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA019.STD,19,キュピル１０,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA020.STD,20,キュピル１１,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA020.STD,20,キュピル１１,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA020.STD,20,キュピル１１,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA021.STD,21,キュピル１２,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA021.STD,21,キュピル１２,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA021.STD,21,キュピル１２,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA022.STD,22,キュピル１３,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA022.STD,22,キュピル１３,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA022.STD,22,キュピル１３,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA023.STD,23,キュピル１４,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA023.STD,23,キュピル１４,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA023.STD,23,キュピル１４,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA024.STD,24,キュピル１５,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,MA024.STD,24,キュピル１５,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA024.STD,24,キュピル１５,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,MA025.STD,25,キュピル１６,0,Set Approach Speed,0,7,0,Idle 1,0b01000000000000000000000000000000,0,???,0,1.00,5.00
1,MA025.STD,25,キュピル１６,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,MA025.STD,25,キュピル１６,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
