Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,Buy,Pad 7,Pad 8,Sell%,US Order 1,US Order 2,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
450,エンジンカバー,0b00111110,X,X,X,X,X,4,Quick,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,3000,0,0,50,10,10,0,0x2ec7f0,64,"スピードを上げる追加パーツ
エンジンをゴミやチリから守るカバー。"
451,ターボキット,0b00111110,X,X,X,X,X,4,Quick,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4000,0,0,50,11,11,0,0x2ec830,64,"スピードを上げる追加パーツ
燃料の混合比を上げて出力を上げる。"
452,ボアアップキット,0b00111110,X,X,X,X,X,4,Quick,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4500,0,0,50,12,12,0,0x2ec870,64,"スピードを上げる追加パーツ
エンジンの容量をあげ、パワーを得る。"
453,ツインスクリュー,0b00111110,X,X,X,X,X,4,Quick,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,600,0,0,50,13,13,0,0x2ec8b0,72,"スピードを上げる追加パーツ
スクリュー連結部分を増やし、スピードを得る。"
454,エアインテーク,0b00111110,X,X,X,X,X,4,Quick,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7000,0,0,50,14,14,0,0x2ec8f8,76,"スピードを上げる追加パーツ
エンジン内の燃料比を一定に保ち、出力を上げる。"
455,ツインターボ,0b00111110,X,X,X,X,X,4,Quick,0,180,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8000,0,0,50,15,15,0,0x2ec944,60,"スピードを上げる追加パーツ
ターボキットを２連装にしたもの。"
456,タイミングバルブ,0b00111110,X,X,X,X,X,4,Quick,0,250,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,9000,0,0,50,16,16,0,0x2ec980,76,"スピードを上げる追加パーツ
エンジンの給排気を安定させ、スピードを上げる。"
457,トリプルターボ,0b00111110,X,X,X,X,X,4,Quick,0,240,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,10000,0,0,50,17,17,0,0x2ec9cc,60,"スピードを上げる追加パーツ
ターボキットを３連装にしたもの。"
458,ハイトルクキット,0b00111110,X,X,X,X,X,4,Quick,0,260,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,10,0,0,50,18,18,0,0x2eca08,68,"スピードを上げる追加パーツ
耐久性を上げ、出力を飛躍的に上昇させる"
459,ツインエンジン,0b00111110,X,X,X,X,X,4,Quick,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,20000,0,0,50,19,19,0,0x2eca4c,76,"スピードを上げる追加パーツ
エンジン内を２段階に独立させ、２倍の出力を出す。"
460,装甲板,0b00111110,X,X,X,X,X,2,Defense,0,25,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1500,0,0,50,20,20,0,0x2eca98,36,"防御力が上昇する。
普通の装甲板。"
461,鋼装甲板,0b00111110,X,X,X,X,X,2,Defense,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2000,0,0,50,21,21,0,0x2ecabc,40,"防御力が上昇する。
鋼板を重ねた装甲板。"
462,偏向装甲板,0b00111110,X,X,X,X,X,2,Defense,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4000,0,0,50,22,22,0,0x2ecae4,44,"防御力が上昇する。
敵弾を受け流す装甲板。"
463,複合装甲板,0b00111110,X,X,X,X,X,2,Defense,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4000,0,0,50,23,23,0,0x2ecb10,56,"防御力が上昇する。
２種類の鋼材を交互に重ねた装甲板。"
464,重装甲板,0b00111110,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8000,0,0,50,24,24,0,0x2ecb48,60,"防御力が上昇する。
通常の３倍の厚みをもった装甲板。重い。"
465,特殊鋼装甲板,0b00111110,X,X,X,X,X,2,Defense,0,120,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6000,0,0,50,25,25,0,0x2ecb84,56,"防御力が上昇する。
月Ж石を混合した金属でつくった装甲板"
466,龍の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,140,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6500,0,0,50,26,26,0,0x2ecbbc,64,"防御力が上昇する。
ヤフトマーの職人が魂を込めてつくった装甲板。"
467,古の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7000,0,0,50,27,27,0,0x2ecbfc,64,"防御力が上昇する。
古くから伝わる謎の金属を装甲板にしたもの。"
468,銀の装甲板,0b00111110,X,X,X,X,X,2,Defense,0,200,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,10000,0,0,50,28,28,0,0x2ecc3c,60,"防御力が上昇する。
月Ж石のエネルギーで力場を作る装甲板。"
469,きらめく装甲板,0b00111110,X,X,X,X,X,2,Defense,0,280,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,10000,0,0,50,29,29,0,0x2ecc78,48,"防御力が上昇する。
６色に輝く月Ж石の装甲板。"
470,カラオケセット,0b00111110,X,X,X,X,X,2,Defense,0,50,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,0,0,2000,0,0,50,30,30,0,0x2ecca8,48,"船内でお祭り騒ぎができる。
長旅も気にならない。"
471,システムキッチン,0b00111110,X,X,X,X,X,2,Defense,0,60,3,MagDef,0,15,4,Quick,0,20,-1,None,0,0,0,0,3000,0,0,50,31,31,0,0x2eccd8,52,"料理の失敗が少なくなる。
おいしい食事が出てくる。"
472,床暖房,0b00111110,X,X,X,X,X,7,Value,0,100,3,MagDef,0,40,-1,None,0,0,-1,None,0,0,0,0,4000,0,0,50,32,32,0,0x2ecd0c,64,"エンジンの廃熱を利用し、室内の温度を上げる。
冷え性を予防する。"
473,ウォシュレット,0b00111110,X,X,X,X,X,7,Value,0,130,3,MagDef,0,50,-1,None,0,0,-1,None,0,0,0,0,8000,0,0,50,33,33,0,0x2ecd4c,48,"用を足すのが早くなる。
女の子のうけが良くなる。"
474,床の間,0b00111110,X,X,X,X,X,7,Value,0,200,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,0,0,20000,0,0,50,34,34,0,0x2ecd7c,44,"気分が落ち着く。
精神集中を行う事ができる。"
475,防音壁,0b00111110,X,X,X,X,X,7,Value,0,200,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,0,0,25000,0,0,50,35,35,0,0x2ecda8,52,"室内にエンジン音が響かなくなる。
安眠が約束される。"
476,高価な舵,0b00111110,X,X,X,X,X,7,Value,0,210,3,MagDef,0,110,-1,None,0,0,-1,None,0,0,0,0,30000,0,0,50,36,36,0,0x2ecddc,52,"人間工学に基づいた特別注文の舵。
手にフィットする。"
477,シャンデリア,0b00111110,X,X,X,X,X,7,Value,0,250,3,MagDef,0,80,4,Quick,0,100,-1,None,0,0,0,0,40000,0,0,50,37,37,0,0x2ece10,36,"豪華な照明。
室内を明るく照らす。"
478,くまの置物,0b00111110,X,X,X,X,X,7,Value,0,300,3,MagDef,0,250,-1,None,0,0,-1,None,0,0,0,0,50000,0,0,50,38,38,0,0x2ece34,40,"くまの形をした木彫りの人形。
かわいい。"
479,観葉植物,0b00111110,X,X,X,X,X,7,Value,0,350,3,MagDef,0,150,4,Quick,0,150,-1,None,0,0,0,0,60000,0,0,50,39,39,0,0x2ece5c,40,"室内に置く鑑賞用の植物。
心が落ち着く。"
