Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
20,*,13,アスフール,Azbeth,1,Action,100,Magical Chant？,-1,None
1,*,14,盗掘者,Zivilyn Bane,0,Branch,11,Turn 1,6,Go to 6
2,*,14,盗掘者,Zivilyn Bane,0,Branch,12,Turn 2,6,Go to 6
3,*,14,盗掘者,Zivilyn Bane,0,Branch,13,Turn 3,8,Go to 8
4,*,14,盗掘者,Zivilyn Bane,0,Branch,14,Turn 4,8,Go to 8
5,*,14,盗掘者,Zivilyn Bane,0,Branch,37,Turn ≥ 5,11,Go to 11
6,*,14,盗掘者,Zivilyn Bane,0,Branch,26,Rating 60%,14,Go to 14
7,*,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,15,Go to 15
8,*,14,盗掘者,Zivilyn Bane,0,Branch,25,Rating 50%,14,Go to 14
9,*,14,盗掘者,Zivilyn Bane,0,Branch,28,Rating 80%,15,Go to 15
10,*,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,16,Go to 16
11,*,14,盗掘者,Zivilyn Bane,0,Branch,23,Rating 30%,14,Go to 14
12,*,14,盗掘者,Zivilyn Bane,0,Branch,25,Rating 50%,15,Go to 15
13,*,14,盗掘者,Zivilyn Bane,0,Branch,30,Always,16,Go to 16
14,*,14,盗掘者,Zivilyn Bane,1,Action,550,Attack,4,PC With Lowest HP
15,*,14,盗掘者,Zivilyn Bane,1,Action,22,発破,2,Random PC
16,*,14,盗掘者,Zivilyn Bane,1,Action,552,Run,-1,None
1,*,15,ヌール,Nur,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,15,ヌール,Nur,0,Branch,30,Always,4,Go to 4
3,*,15,ヌール,Nur,0,Branch,28,Rating 80%,16,Go to 16
4,*,15,ヌール,Nur,0,Branch,0,HP = 100%,7,Go to 7
5,*,15,ヌール,Nur,0,Branch,46,Used HP Absorbs ≥ 1,7,Go to 7
6,*,15,ヌール,Nur,0,Branch,28,Rating 80%,14,Go to 14
7,*,15,ヌール,Nur,0,Branch,9,Any PC Distance ≥ 3,11,Go to 11
8,*,15,ヌール,Nur,0,Branch,26,Rating 60%,14,Go to 14
9,*,15,ヌール,Nur,0,Branch,26,Rating 60%,14,Go to 14
10,*,15,ヌール,Nur,0,Branch,30,Always,16,Go to 16
11,*,15,ヌール,Nur,0,Branch,25,Rating 50%,14,Go to 14
12,*,15,ヌール,Nur,0,Branch,25,Rating 50%,14,Go to 14
13,*,15,ヌール,Nur,0,Branch,30,Always,16,Go to 16
14,*,15,ヌール,Nur,1,Action,550,Attack,1,Nearest PC
15,*,15,ヌール,Nur,1,Action,210,ＨＰ吸収,3,PC With Highest HP
16,*,15,ヌール,Nur,1,Action,552,Run,-1,None
1,*,17,ヴァンピレッサ,Tsirat,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,17,ヴァンピレッサ,Tsirat,0,Branch,30,Always,4,Go to 4
3,*,17,ヴァンピレッサ,Tsirat,0,Branch,24,Rating 40%,11,Go to 11
4,*,17,ヴァンピレッサ,Tsirat,0,Branch,0,HP = 100%,7,Go to 7
5,*,17,ヴァンピレッサ,Tsirat,0,Branch,46,Used HP Absorbs ≥ 1,7,Go to 7
6,*,17,ヴァンピレッサ,Tsirat,0,Branch,25,Rating 50%,12,Go to 12
7,*,17,ヴァンピレッサ,Tsirat,0,Branch,33,Used Attack Spells ≥ 1,9,Go to 9
8,*,17,ヴァンピレッサ,Tsirat,0,Branch,24,Rating 40%,13,Go to 13
9,*,17,ヴァンピレッサ,Tsirat,0,Branch,21,Rating 10%,11,Go to 11
10,*,17,ヴァンピレッサ,Tsirat,1,Action,550,Attack,2,Random PC
11,*,17,ヴァンピレッサ,Tsirat,1,Action,552,Run,-1,None
12,*,17,ヴァンピレッサ,Tsirat,1,Action,211,ＨＰ吸収,3,PC With Highest HP
13,*,17,ヴァンピレッサ,Tsirat,1,Action,532,ボルタ,2,Random PC
1,*,18,セベスク,Thorkryn,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,18,セベスク,Thorkryn,0,Branch,30,Always,4,Go to 4
3,*,18,セベスク,Thorkryn,0,Branch,24,Rating 40%,13,Go to 13
4,*,18,セベスク,Thorkryn,0,Branch,40,Used Gather Strength?,15,Go to 15
5,*,18,セベスク,Thorkryn,0,Branch,5,Got Hit by Spell?,14,Go to 14
6,*,18,セベスク,Thorkryn,0,Branch,1,HP < 50%,14,Go to 14
7,*,18,セベスク,Thorkryn,0,Branch,24,Rating 40%,14,Go to 14
8,*,18,セベスク,Thorkryn,0,Branch,28,Rating 80%,11,Go to 11
9,*,18,セベスク,Thorkryn,0,Branch,27,Rating 70%,12,Go to 12
10,*,18,セベスク,Thorkryn,0,Branch,30,Always,13,Go to 13
11,*,18,セベスク,Thorkryn,1,Action,550,Attack,2,Random PC
12,*,18,セベスク,Thorkryn,1,Action,551,Guard,-1,None
13,*,18,セベスク,Thorkryn,1,Action,552,Run,-1,None
14,*,18,セベスク,Thorkryn,1,Action,20,ためる,-1,None
15,*,18,セベスク,Thorkryn,1,Action,170,針乱射,2,Random PC
1,*,19,ユールマラー,Scorfly,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,19,ユールマラー,Scorfly,0,Branch,30,Always,4,Go to 4
3,*,19,ユールマラー,Scorfly,0,Branch,24,Rating 40%,6,Go to 6
4,*,19,ユールマラー,Scorfly,0,Branch,21,Rating 10%,6,Go to 6
5,*,19,ユールマラー,Scorfly,1,Action,550,Attack,1,Nearest PC
6,*,19,ユールマラー,Scorfly,1,Action,552,Run,-1,None
1,*,20,レトモニケ２,Centralk,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,20,レトモニケ２,Centralk,0,Branch,30,Always,4,Go to 4
3,*,20,レトモニケ２,Centralk,0,Branch,28,Rating 80%,16,Go to 16
4,*,20,レトモニケ２,Centralk,0,Branch,2,HP < 25%,12,Go to 12
5,*,20,レトモニケ２,Centralk,0,Branch,4,Got Hit?,7,Go to 7
6,*,20,レトモニケ２,Centralk,0,Branch,30,Always,9,Go to 9
7,*,20,レトモニケ２,Centralk,0,Branch,28,Rating 80%,14,Go to 14
8,*,20,レトモニケ２,Centralk,0,Branch,30,Always,15,Go to 15
9,*,20,レトモニケ２,Centralk,0,Branch,26,Rating 60%,14,Go to 14
10,*,20,レトモニケ２,Centralk,0,Branch,26,Rating 60%,15,Go to 15
11,*,20,レトモニケ２,Centralk,0,Branch,30,Always,16,Go to 16
12,*,20,レトモニケ２,Centralk,0,Branch,24,Rating 40%,16,Go to 16
13,*,20,レトモニケ２,Centralk,0,Branch,30,Always,9,Go to 9
14,*,20,レトモニケ２,Centralk,1,Action,550,Attack,1,Nearest PC
15,*,20,レトモニケ２,Centralk,1,Action,551,Guard,-1,None
16,*,20,レトモニケ２,Centralk,1,Action,552,Run,-1,None
1,*,23,メア・ヘスア,Crylhound,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,23,メア・ヘスア,Crylhound,0,Branch,30,Always,4,Go to 4
3,*,23,メア・ヘスア,Crylhound,0,Branch,26,Rating 60%,12,Go to 12
4,*,23,メア・ヘスア,Crylhound,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,23,メア・ヘスア,Crylhound,0,Branch,30,Always,7,Go to 7
6,*,23,メア・ヘスア,Crylhound,0,Branch,23,Rating 30%,12,Go to 12
7,*,23,メア・ヘスア,Crylhound,0,Branch,11,Turn 1,10,Go to 10
8,*,23,メア・ヘスア,Crylhound,0,Branch,29,Rating 90%,11,Go to 11
9,*,23,メア・ヘスア,Crylhound,0,Branch,30,Always,12,Go to 12
10,*,23,メア・ヘスア,Crylhound,0,Branch,22,Rating 20%,13,Go to 13
11,*,23,メア・ヘスア,Crylhound,1,Action,550,Attack,2,Random PC
12,*,23,メア・ヘスア,Crylhound,1,Action,552,Run,-1,None
13,*,23,メア・ヘスア,Crylhound,1,Action,513,Quika,-1,None
1,*,24,デシェレト,Magma Tiki,0,Branch,41,Used Tremble?,7,Go to 7
2,*,24,デシェレト,Magma Tiki,0,Branch,5,Got Hit by Spell?,6,Go to 6
3,*,24,デシェレト,Magma Tiki,0,Branch,1,HP < 50%,6,Go to 6
4,*,24,デシェレト,Magma Tiki,0,Branch,24,Rating 40%,6,Go to 6
5,*,24,デシェレト,Magma Tiki,1,Action,550,Attack,1,Nearest PC
6,*,24,デシェレト,Magma Tiki,1,Action,47,ためる,-1,None
7,*,24,デシェレト,Magma Tiki,1,Action,180,火炎ブレス,1,Nearest PC
1,*,25,イアールト２,Salamander,0,Branch,33,Used Attack Spells ≥ 1,4,Go to 4
2,*,25,イアールト２,Salamander,0,Branch,27,Rating 70%,7,Go to 7
3,*,25,イアールト２,Salamander,0,Branch,30,Always,8,Go to 8
4,*,25,イアールト２,Salamander,0,Branch,25,Rating 50%,7,Go to 7
5,*,25,イアールト２,Salamander,0,Branch,27,Rating 70%,9,Go to 9
6,*,25,イアールト２,Salamander,0,Branch,30,Always,10,Go to 10
7,*,25,イアールト２,Salamander,1,Action,550,Attack,2,Random PC
8,*,25,イアールト２,Salamander,1,Action,525,バーネス,-1,None
9,*,25,イアールト２,Salamander,1,Action,100,Magical Chant？,-1,None
10,*,25,イアールト２,Salamander,1,Action,552,Run,-1,None
1,*,26,ザダムレステル,Baroo,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,26,ザダムレステル,Baroo,0,Branch,30,Always,4,Go to 4
3,*,26,ザダムレステル,Baroo,0,Branch,29,Rating 90%,16,Go to 16
4,*,26,ザダムレステル,Baroo,0,Branch,2,HP < 25%,12,Go to 12
5,*,26,ザダムレステル,Baroo,0,Branch,4,Got Hit?,7,Go to 7
6,*,26,ザダムレステル,Baroo,0,Branch,30,Always,9,Go to 9
7,*,26,ザダムレステル,Baroo,0,Branch,29,Rating 90%,14,Go to 14
8,*,26,ザダムレステル,Baroo,0,Branch,30,Always,16,Go to 16
9,*,26,ザダムレステル,Baroo,0,Branch,27,Rating 70%,14,Go to 14
10,*,26,ザダムレステル,Baroo,0,Branch,24,Rating 40%,15,Go to 15
11,*,26,ザダムレステル,Baroo,0,Branch,30,Always,16,Go to 16
12,*,26,ザダムレステル,Baroo,0,Branch,25,Rating 50%,16,Go to 16
13,*,26,ザダムレステル,Baroo,0,Branch,30,Always,9,Go to 9
14,*,26,ザダムレステル,Baroo,1,Action,550,Attack,1,Nearest PC
15,*,26,ザダムレステル,Baroo,1,Action,551,Guard,-1,None
16,*,26,ザダムレステル,Baroo,1,Action,552,Run,-1,None
1,*,27,ヘベレル,Dung Fly,0,Branch,17,ECs Alive = 1,12,Go to 12
2,*,27,ヘベレル,Dung Fly,0,Branch,35,Used State Spells ≥ 1,8,Go to 8
3,*,27,ヘベレル,Dung Fly,0,Branch,24,Rating 40%,16,Go to 16
4,*,27,ヘベレル,Dung Fly,0,Branch,24,Rating 40%,15,Go to 15
5,*,27,ヘベレル,Dung Fly,0,Branch,24,Rating 40%,17,Go to 17
6,*,27,ヘベレル,Dung Fly,0,Branch,26,Rating 60%,18,Go to 18
7,*,27,ヘベレル,Dung Fly,0,Branch,30,Always,19,Go to 19
8,*,27,ヘベレル,Dung Fly,0,Branch,25,Rating 50%,15,Go to 15
9,*,27,ヘベレル,Dung Fly,0,Branch,24,Rating 40%,17,Go to 17
10,*,27,ヘベレル,Dung Fly,0,Branch,26,Rating 60%,18,Go to 18
11,*,27,ヘベレル,Dung Fly,0,Branch,30,Always,19,Go to 19
12,*,27,ヘベレル,Dung Fly,0,Branch,24,Rating 40%,17,Go to 17
13,*,27,ヘベレル,Dung Fly,0,Branch,25,Rating 50%,18,Go to 18
14,*,27,ヘベレル,Dung Fly,0,Branch,30,Always,19,Go to 19
15,*,27,ヘベレル,Dung Fly,1,Action,550,Attack,2,Random PC
16,*,27,ヘベレル,Dung Fly,1,Action,504,ダウナ,2,Random PC
17,*,27,ヘベレル,Dung Fly,1,Action,28,仲間を呼ぶ,-1,None
18,*,27,ヘベレル,Dung Fly,1,Action,110,仲間を呼ぶ,-1,None
19,*,27,ヘベレル,Dung Fly,1,Action,552,Run,-1,None
1,*,28,屍鬼,Death's Head,0,Branch,26,Rating 60%,4,Go to 4
2,*,28,屍鬼,Death's Head,0,Branch,28,Rating 80%,5,Go to 5
3,*,28,屍鬼,Death's Head,0,Branch,30,Always,6,Go to 6
4,*,28,屍鬼,Death's Head,1,Action,550,Attack,1,Nearest PC
5,*,28,屍鬼,Death's Head,1,Action,15,石化液,13,PC W/O Stone
6,*,28,屍鬼,Death's Head,1,Action,551,Guard,-1,None
1,*,29,エルモ,Elmo,0,Branch,1,HP < 50%,7,Go to 7
2,*,29,エルモ,Elmo,0,Branch,25,Rating 50%,7,Go to 7
3,*,29,エルモ,Elmo,0,Branch,28,Rating 80%,5,Go to 5
4,*,29,エルモ,Elmo,0,Branch,30,Always,6,Go to 6
5,*,29,エルモ,Elmo,1,Action,550,Attack,2,Random PC
6,*,29,エルモ,Elmo,1,Action,551,Guard,-1,None
7,*,29,エルモ,Elmo,1,Action,552,Run,-1,None
1,*,30,エルモ２,Loopalon,0,Branch,1,HP < 50%,9,Go to 9
2,*,30,エルモ２,Loopalon,0,Branch,23,Rating 30%,9,Go to 9
3,*,30,エルモ２,Loopalon,0,Branch,25,Rating 50%,7,Go to 7
4,*,30,エルモ２,Loopalon,0,Branch,28,Rating 80%,6,Go to 6
5,*,30,エルモ２,Loopalon,0,Branch,30,Always,8,Go to 8
6,*,30,エルモ２,Loopalon,1,Action,550,Attack,2,Random PC
7,*,30,エルモ２,Loopalon,1,Action,500,Increm,8,EC With Highest Attack
8,*,30,エルモ２,Loopalon,1,Action,551,Guard,-1,None
9,*,30,エルモ２,Loopalon,1,Action,552,Run,-1,None
1,*,31,ヘムヘム,Tsurak,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,31,ヘムヘム,Tsurak,0,Branch,30,Always,4,Go to 4
3,*,31,ヘムヘム,Tsurak,0,Branch,28,Rating 80%,15,Go to 15
4,*,31,ヘムヘム,Tsurak,0,Branch,17,ECs Alive = 1,9,Go to 9
5,*,31,ヘムヘム,Tsurak,0,Branch,25,Rating 50%,12,Go to 12
6,*,31,ヘムヘム,Tsurak,0,Branch,25,Rating 50%,13,Go to 13
7,*,31,ヘムヘム,Tsurak,0,Branch,26,Rating 60%,14,Go to 14
8,*,31,ヘムヘム,Tsurak,0,Branch,30,Always,15,Go to 15
9,*,31,ヘムヘム,Tsurak,0,Branch,25,Rating 50%,13,Go to 13
10,*,31,ヘムヘム,Tsurak,0,Branch,25,Rating 50%,14,Go to 14
11,*,31,ヘムヘム,Tsurak,0,Branch,30,Always,15,Go to 15
12,*,31,ヘムヘム,Tsurak,1,Action,550,Attack,2,Random PC
13,*,31,ヘムヘム,Tsurak,1,Action,29,仲間を呼ぶ,-1,None
14,*,31,ヘムヘム,Tsurak,1,Action,98,仲間を呼ぶ,-1,None
15,*,31,ヘムヘム,Tsurak,1,Action,552,Run,-1,None
1,*,32,汎用兵Ｂ１,Enforcer,0,Branch,21,Rating 10%,5,Go to 5
2,*,32,汎用兵Ｂ１,Enforcer,0,Branch,23,Rating 30%,4,Go to 4
3,*,32,汎用兵Ｂ１,Enforcer,1,Action,550,Attack,2,Random PC
4,*,32,汎用兵Ｂ１,Enforcer,1,Action,70,手榴弾,2,Random PC
5,*,32,汎用兵Ｂ１,Enforcer,1,Action,551,Guard,-1,None
1,*,37,ヤック,Crylbeast,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,37,ヤック,Crylbeast,0,Branch,30,Always,4,Go to 4
3,*,37,ヤック,Crylbeast,0,Branch,26,Rating 60%,12,Go to 12
4,*,37,ヤック,Crylbeast,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,37,ヤック,Crylbeast,0,Branch,30,Always,7,Go to 7
6,*,37,ヤック,Crylbeast,0,Branch,23,Rating 30%,12,Go to 12
7,*,37,ヤック,Crylbeast,0,Branch,11,Turn 1,10,Go to 10
8,*,37,ヤック,Crylbeast,0,Branch,29,Rating 90%,11,Go to 11
9,*,37,ヤック,Crylbeast,0,Branch,30,Always,12,Go to 12
10,*,37,ヤック,Crylbeast,0,Branch,22,Rating 20%,13,Go to 13
11,*,37,ヤック,Crylbeast,1,Action,550,Attack,2,Random PC
12,*,37,ヤック,Crylbeast,1,Action,552,Run,-1,None
13,*,37,ヤック,Crylbeast,1,Action,513,Quika,-1,None
32,*,50,マロッカ２,Burocca,-1,None,-1,None,-1,None
1,*,51,アイガムハ,Drogerp,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,51,アイガムハ,Drogerp,0,Branch,22,Rating 20%,10,Go to 10
3,*,51,アイガムハ,Drogerp,0,Branch,36,Used State Spells ≥ 2,5,Go to 5
4,*,51,アイガムハ,Drogerp,0,Branch,22,Rating 20%,9,Go to 9
5,*,51,アイガムハ,Drogerp,0,Branch,23,Rating 30%,11,Go to 11
6,*,51,アイガムハ,Drogerp,0,Branch,22,Rating 20%,8,Go to 8
7,*,51,アイガムハ,Drogerp,1,Action,550,Attack,2,Random PC
8,*,51,アイガムハ,Drogerp,1,Action,551,Guard,-1,None
9,*,51,アイガムハ,Drogerp,1,Action,503,Panika,14,PC W/O Confusion
