Entry ID,Entry US Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop ID,[Item Drop Name],Item ID,[Item Name]
10,グレゴリオ戦艦,4500,120,150,120,150,5,20,10,10,10,10,10,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,260,3,200,6,Neutral,2,Torpedo,480,3,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,400,2,10%,480,爆弾
11,リンクス,6500,60,100,120,50,7,50,10,5,9,9,5,10,0,Main Cannon,450,0,250,6,Neutral,1,Sec Cannon,350,2,150,6,Neutral,2,Torpedo,450,2,80,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,800,-1,None,-1,None
12,カミュレオン,9000,130,200,200,150,11,35,10,10,10,20,10,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,400,1,300,6,Neutral,2,Torpedo,500,2,260,6,Neutral,3,Special,600,0,180,6,Neutral,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
13,カミュレオン,9000,330,200,200,150,11,35,10,10,10,20,10,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,400,1,300,6,Neutral,2,Torpedo,500,2,260,6,Neutral,3,Special,650,0,300,6,Neutral,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
14,カミュレオン,6000,400,470,400,400,11,50,10,10,10,20,10,10,0,Main Cannon,600,0,500,6,Neutral,1,Sec Cannon,550,2,300,6,Neutral,2,Torpedo,550,3,300,6,Neutral,3,Special,600,0,500,6,Neutral,0,0,0,0,0,0,0,4000,2,10%,480,爆弾
15,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None
16,アウリーガ,9000,260,250,250,200,15,30,9,5,9,9,5,9,0,Main Cannon,550,0,400,6,Neutral,1,Sec Cannon,350,2,350,6,Neutral,2,Torpedo,500,2,180,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,5000,2,10%,480,爆弾
17,ドラコ,15000,240,300,300,200,15,20,10,10,9,11,11,10,1,Sec Cannon,300,0,400,6,Neutral,2,Torpedo,500,2,180,6,Neutral,-1,None,-1,-1,-1,-1,None,3,Special,600,0,120,6,Neutral,0,0,0,0,0,0,0,5000,2,10%,480,爆弾
18,ヒュドラ,20000,280,310,320,250,15,20,10,10,10,10,10,10,0,Main Cannon,600,0,350,6,Neutral,1,Sec Cannon,450,1,450,6,Neutral,1,Sec Cannon,400,2,600,6,Neutral,3,Special,700,0,220,6,Neutral,0,0,0,0,0,0,0,6000,2,10%,480,爆弾
19,ジャンク船,6000,120,150,120,150,20,20,10,20,10,5,10,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,260,3,200,6,Neutral,2,Torpedo,480,3,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,1500,2,10%,480,爆弾
20,ヤフトマー軍船,5500,200,200,200,160,20,20,10,11,11,10,20,10,0,Main Cannon,250,0,300,6,Neutral,1,Sec Cannon,180,3,300,6,Neutral,2,Torpedo,240,3,150,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
21,黒空賊船,3000,40,50,40,40,8,20,10,10,10,10,20,10,0,Main Cannon,80,0,60,6,Neutral,2,Torpedo,70,1,30,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,300,2,10%,480,爆弾
22,Ж黒空賊船,4500,60,50,60,40,8,20,10,10,9,10,10,10,0,Main Cannon,80,0,60,6,Neutral,2,Torpedo,70,1,30,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,450,2,10%,480,爆弾
23,Blackbeard,2000,40,100,100,50,10,50,10,10,10,10,10,10,0,Main Cannon,270,0,100,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,45,1200,-1,None,-1,None
24,レドキュラム,30000,150,400,400,100,0,20,10,0,10,10,10,10,3,Special,400,0,300,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
25,グリデ・ガルデ,30000,300,300,250,120,4,20,0,10,10,10,10,10,3,Special,450,0,450,6,Neutral,3,Special,480,1,260,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
26,ブリュウホウ,30000,350,350,350,350,4,50,10,20,10,0,10,10,3,Special,600,0,400,6,Neutral,3,Special,550,3,480,6,Neutral,3,Special,340,2,360,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,10000,2,10%,480,爆弾
27,イェラーガ,35000,400,400,400,400,4,50,10,10,10,10,0,10,3,Special,610,0,300,6,Neutral,3,Special,600,0,300,6,Neutral,3,Special,700,2,100,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,10000,2,10%,480,爆弾
28,ジェロス,40000,400,400,400,400,4,20,10,10,10,10,10,0,3,Special,400,0,600,6,Neutral,3,Special,500,0,650,6,Neutral,3,Special,850,1,600,6,Neutral,3,Special,999,1,500,6,Neutral,0,0,0,0,0,0,0,0,2,10%,480,爆弾
29,アンギーラ,5000,150,200,150,110,10,20,255,10,10,10,10,10,0,Main Cannon,220,0,160,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,1600,2,10%,480,爆弾
30,ラージャ,3000,270,300,270,200,10,20,10,10,5,10,20,10,0,Main Cannon,250,0,200,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,2000,2,10%,480,爆弾
31,ラージャエンブラ,3500,300,300,300,230,10,20,10,10,5,10,10,10,0,Main Cannon,260,0,220,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,6000,2,10%,480,爆弾
32,オビスポー,3000,220,250,220,160,10,20,10,10,10,10,10,10,0,Main Cannon,200,0,180,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,20000,2,10%,480,爆弾
33,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None
34,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None
35,Roc,5000,50,160,160,50,6,50,10,10,10,10,10,10,0,Main Cannon,520,0,150,6,Neutral,-1,None,-1,-1,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,3,Special,700,0,999,6,Neutral,0,0,0,0,0,0,0,600,-1,None,-1,None
36,ヒュージエルモ,5000,999,240,999,210,4,20,10,10,10,10,10,10,0,Main Cannon,200,0,150,6,Neutral,2,Torpedo,100,1,50,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,2,10%,480,爆弾
37,アラーニャ,5000,250,280,250,260,4,20,10,10,10,10,10,10,0,Main Cannon,330,0,240,6,Neutral,2,Torpedo,100,1,50,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,200,2,10%,480,爆弾
38,要塞ゲート,1000,350,350,350,0,0,20,10,10,10,10,10,10,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,200,2,10%,480,爆弾
39,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None
40,ガディアノス,3000,999,350,999,250,14,20,10,10,10,10,10,10,0,Main Cannon,350,0,350,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,2,10%,480,爆弾
41,ガディタウス,3000,999,350,999,250,14,20,10,10,10,10,10,10,0,Main Cannon,360,0,360,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,2,10%,480,爆弾
42,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None
43,ブラックベアード,3000,90,180,90,160,6,20,10,10,10,10,10,10,0,Main Cannon,150,0,120,6,Neutral,1,Sec Cannon,140,1,120,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,800,2,10%,480,爆弾
44,Жジャンク船,5500,210,200,210,160,20,20,10,10,10,10,10,10,0,Main Cannon,210,0,180,6,Neutral,1,Sec Cannon,190,2,100,6,Neutral,2,Torpedo,180,3,150,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,1000,2,10%,480,爆弾
