Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],[EC1 US Name],EC2 ID,[EC2 JP Name],[EC2 US Name],EC3 ID,[EC3 JP Name],[EC3 US Name],EC4 ID,[EC4 JP Name],[EC4 US Name],EC5 ID,[EC5 JP Name],[EC5 US Name],EC6 ID,[EC6 JP Name],[EC6 US Name],EC7 ID,[EC7 JP Name],[EC7 US Name],EC8 ID,[EC8 JP Name],[EC8 US Name]
10,A099_EP.BIN,14,1,15,ヌール,Nur,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None
11,A099_EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,A099_EP.BIN,19,1,4,アーアペプ,Grouder,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
13,A099_EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,15,ヌール,Nur,255,None,None,255,None,None,255,None,None,255,None,None
14,A099_EP.BIN,19,1,4,アーアペプ,Grouder,29,エルモ,Elmo,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None
15,A099_EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,A099_EP.BIN,19,1,4,アーアペプ,Grouder,15,ヌール,Nur,15,ヌール,Nur,29,エルモ,Elmo,29,エルモ,Elmo,255,None,None,255,None,None,255,None,None
17,A099_EP.BIN,19,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,A099_EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
19,A099_EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,A099_EP.BIN,9,1,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None,255,None,None,255,None,None,255,None,None
21,A099_EP.BIN,24,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None,255,None,None,255,None,None
22,A099_EP.BIN,24,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None,255,None,None
23,A099_EP.BIN,29,1,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
24,A099_EP.BIN,29,1,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,255,None,None,255,None,None,255,None,None,255,None,None
25,A099_EP.BIN,19,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonehawk,255,None,None,255,None,None,255,None,None,255,None,None
26,A099_EP.BIN,19,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonehawk,255,None,None,255,None,None,255,None,None,255,None,None
27,A099_EP.BIN,14,1,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonehawk,96,ロッキ,Stonehawk,255,None,None,255,None,None
28,A099_EP.BIN,4,2,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,2,ミクラステル,Micrastel,255,None,None
29,A099_EP.BIN,9,2,4,アーアペプ,Grouder,4,アーアペプ,Grouder,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
30,A099_EP.BIN,14,1,0,軍艦兵,Battleship Soldier,0,軍艦兵,Battleship Soldier,0,軍艦兵,Battleship Soldier,0,軍艦兵,Battleship Soldier,255,None,None,255,None,None,255,None,None,255,None,None
31,A099_EP.BIN,14,4,128,アントニオ,Antonio,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
