Entry ID,[Filter],Entry JP Name,[Entry EU Name],Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
12,*,ギジェリガー,Varkris,1,1,0,Green,-1,-1,0b111111001111,10,142,62,-1,-1,231,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,16,80,45,5,93,146,136,136,100,25,-1,-1,3,1,173,Hunter's Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,Azbeth,1,1,3,Blue,-1,-1,0b111111111111,10,65,35,-1,-1,149,18.0,11,9,11,10,9,10,16,15,15,15,16,14,0,10,14,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,12,64,36,15,69,135,108,108,100,20,-1,-1,2,1,183,Silvite Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
14,*,盗掘者シモン,Zivilyn Bane,1,1,1,Red,-1,-1,0b111111000111,20,596,1898,-1,-1,1362,18.0,9,9,11,11,10,10,4,4,4,4,4,0,0,5,4,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,14,57,51,20,71,162,144,115,115,20,-1,-1,10,1,263,Dexus Seed,33,1,260,Paranta Seed,50,1,261,Icyl Seed,100,1,262,Zaal Seed
15,*,ヌール,Ghastling,1,1,0,Green,-1,-1,0b111111111111,5,4,15,-1,-1,22,18.0,10,11,9,9,11,10,9,10,10,9,9,0,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,25,64,5,28,57,64,64,90,15,-1,-1,3,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
16,*,モクズ,Florast,1,1,2,Purple,-1,-1,0b111111111111,10,301,72,-1,-1,99,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,400,70,Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,256,204,256,75,10,-1,-1,1,1,190,Constitution Gem,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
17,*,ツィツィ,Tsirat,1,1,2,Purple,-1,-1,0b111111001111,15,21,21,-1,-1,53,18.0,11,14,7,9,10,10,16,15,15,14,14,15,0,10,15,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,40,126,15,60,88,76,76,90,20,-1,-1,1,1,269,Crystales Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
18,*,セベスク,Thorkryn,1,1,3,Blue,-1,-1,0b111111111111,10,26,30,-1,-1,133,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,7,35,29,10,39,99,88,88,85,25,-1,-1,3,1,168,Throkryn's Scale,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
19,*,ユールマラー,Scorfly,1,1,2,Purple,-1,-1,0b111111000101,25,49,44,-1,-1,182,18.0,14,14,7,7,10,10,22,20,20,18,18,0,0,10,22,10,10,10,10,10,10,500,71,Silence + Damage,5,Silence,40,-1,7,36,30,25,45,97,115,69,95,15,-1,-1,5,1,187,Revered Voice,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
20,*,イルドゥス,Centralk,1,1,3,Blue,-1,-1,0b111111000111,15,259,645,-1,-1,187,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,10,18,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,40,-1,23,86,57,10,97,206,194,151,85,160,-1,-1,5,1,8,Sword of Daccat,5,1,69,Daccat Custom,1,1,258,Moonberry,-1,-1,-1,None
21,*,ベルクロード,Feralisk,1,1,0,Green,-1,-1,0b111111000111,20,228,155,-1,-1,217,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,115,72,10,116,221,216,216,105,20,-1,-1,4,1,136,Light Coat,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
22,*,ベルハウンド,Ferlith,1,1,0,Green,-1,-1,0b111111000111,20,291,109,-1,-1,321,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,20,97,64,10,103,197,192,192,105,20,-1,-1,3,1,134,Female Armor,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
23,*,ガトー,Crylhound,1,1,0,Green,-1,-1,0b111111000111,15,34,33,-1,-1,112,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,50,23,15,63,95,70,70,110,30,-1,-1,3,1,172,Crylhound's Claw,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
24,*,デシェレト,Magma Tiki,1,1,1,Red,-1,-1,0b011111000000,5,120,118,-1,-1,291,18.0,9,7,14,11,10,10,0,10,10,11,11,0,0,5,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,14,57,57,5,38,168,172,172,85,0,-1,-1,8,1,267,Pyri Box,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
25,*,イアールト,Salamander,1,1,1,Red,-1,-1,0b111111000111,10,90,47,-1,-1,136,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,14,74,48,5,45,152,144,144,90,5,-1,-1,2,1,133,Flame Mantle,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
26,*,パラミス,Baroo,1,1,1,Red,-1,-1,0b111111000111,20,143,96,-1,-1,120,18.0,9,7,14,11,10,10,9,10,10,11,11,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,64,15,126,191,194,194,100,20,-1,-1,1,1,268,Pyrum Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
27,*,コロガス,Oestrus,1,1,3,Blue,-1,-1,0b111111110101,10,102,68,-1,-1,111,18.0,11,9,11,10,9,10,22,20,20,20,22,0,0,10,18,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,13,70,44,10,63,130,133,133,90,15,-1,-1,3,1,189,Behemoth's Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
28,*,マータ,Deatth,1,1,0,Green,-1,-1,0b111111000101,15,167,90,-1,-1,503,18.0,10,11,9,9,11,10,18,20,0,18,18,0,0,10,22,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,13,56,38,15,50,163,147,84,75,5,-1,-1,5,1,27,Storm Wing,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
29,*,エルモ,Looper,1,1,5,Silver,-1,-1,0b111111111111,15,11,105,-1,-1,15,18.0,10,10,10,10,11,9,10,9,10,10,10,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,32,44,10,40,62,64,204,110,150,-1,-1,2,1,174,Thief's Aura,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
30,*,エルモック,Loopalon,1,1,1,Red,-1,-1,0b111111111111,5,343,434,-1,-1,62,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,13,68,95,10,85,132,136,435,110,150,-1,-1,4,1,210,Black Map,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
31,*,ヘムヘム,Tsurak,1,1,3,Blue,-1,-1,0b111111111101,10,291,71,-1,-1,177,18.0,11,9,11,10,9,10,20,20,20,0,20,0,0,10,20,10,10,10,10,10,10,500,69,Sleep + Damage,3,Sleep,50,-1,27,100,50,5,113,216,151,151,80,20,-1,-1,2,1,185,Wind Gem Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
32,*,調査兵,Enforca,1,1,4,Yellow,-1,-1,0b111111000111,10,368,192,-1,-1,688,18.0,9,10,10,11,9,11,9,11,10,11,10,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,22,83,71,10,93,226,218,208,95,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
33,*,ガランガラン,Serpantis,3,3,0,Green,-1,-1,0b111111000111,20,357,144,-1,-1,1117,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,1000,72,Fatigue + Damage,6,Fatigue,40,-1,18,84,59,15,71,205,149,149,85,10,-1,-1,4,1,244,Magic Droplet,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
34,*,マブルール,Dralnog,1,1,0,Green,-1,-1,0b111111001111,10,29,24,-1,-1,73,18.0,10,11,9,9,11,10,0,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,4,Poison + Damage,0,Poison,80,-1,8,48,32,15,34,96,96,96,75,30,-1,-1,2,1,182,Ivy Band,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
35,*,クチュ,Que'lak,1,1,1,Red,-1,-1,0b111111110111,5,219,81,-1,-1,337,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,550,-1,None,0,Poison,0,-1,20,77,64,5,86,179,192,192,85,10,-1,-1,1,1,275,Sacri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
36,*,ソピローテ,Pinalisk,1,1,0,Green,-1,-1,0b111111001111,15,201,86,-1,-1,297,18.0,10,11,9,9,11,10,14,15,15,14,14,0,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,16,65,60,20,81,164,180,180,95,15,-1,-1,2,1,132,Victory Mail,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
37,*,シーサー,Crylbeast,1,1,0,Green,-1,-1,0b111111000111,15,470,133,-1,-1,355,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,63,15,171,259,190,190,110,30,-1,-1,1,1,264,Sylph Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
38,*,レジボン,Slothstra,3,3,2,Purple,-1,-1,0b111111110111,25,953,291,-1,-1,2433,18.0,11,14,7,9,10,10,0,5,5,20,3,0,0,10,5,10,10,10,10,10,10,2500,70,Confusion + Damage,4,Confusion,40,-1,20,76,96,15,60,243,192,192,85,5,-1,-1,10,1,186,Eye of Truth,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
39,*,ミラドール,Polraxis,1,1,0,Green,-1,-1,0b111111001111,30,191,109,-1,-1,185,18.0,10,11,9,9,11,10,0,10,0,9,9,0,0,10,11,10,10,10,10,10,10,500,8,Stone + Damage,2,Stone,80,-1,20,76,76,30,95,216,230,230,120,10,-1,-1,2,1,184,Gem of Fluidity,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
40,*,ラフレシア,Roseln,3,3,3,Blue,-1,-1,0b111111001111,10,594,231,-1,-1,1117,18.0,11,9,11,10,9,10,11,10,10,0,11,0,0,10,9,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,19,73,55,10,74,223,165,165,80,5,-1,-1,2,1,262,Zaal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
41,*,エルモンテ,Elooper,1,1,0,Green,-1,-1,0b111111111111,5,581,599,-1,-1,76,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,17,84,117,10,105,164,168,537,110,150,-1,-1,4,1,210,Black Map,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
42,*,フードン,Grapor,1,1,0,Green,-1,-1,0b111111111111,5,9,129,-1,-1,40,18.0,10,20,5,5,20,10,100,100,100,100,100,0,0,10,100,10,10,10,10,10,10,520,-1,None,0,Poison,0,-1,23,86,64,10,106,180,194,194,85,20,-1,-1,100,1,358,Grapor Meat,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
43,*,フィモソマ,Sphyrus,1,1,3,Blue,-1,-1,0b011111000000,5,627,177,-1,-1,501,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,108,81,5,146,244,244,244,80,0,-1,-1,1,1,272,Wevlen Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
44,*,プジョット,Iridzu,1,1,0,Green,-1,-1,0b111111001111,10,386,117,-1,-1,358,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,27,124,70,5,145,227,210,210,100,25,-1,-1,1,1,281,Slipara Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
45,*,モペール,Flyst,1,1,2,Purple,-1,-1,0b111111111111,10,301,72,-1,-1,345,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,400,70,Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,288,204,256,75,10,-1,-1,1,1,222,Chance Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
46,*,メスカリナ,Medulizk,1,1,3,Blue,-1,-1,0b111111111111,15,613,132,-1,-1,519,18.0,11,9,11,10,9,10,0,10,10,10,11,10,0,10,9,10,10,10,10,10,10,500,4,Poison + Damage,0,Poison,80,-1,33,159,59,10,146,282,177,177,80,25,-1,-1,2,1,182,Ivy Band,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
47,*,プラニナ,Lucich,1,1,0,Green,-1,-1,0b111111000111,10,130,42,-1,-1,118,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,18,88,58,15,63,176,176,176,75,30,-1,-1,2,1,250,Risan Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
48,*,デ式ディガー,Digger,1,1,4,Yellow,-1,-1,0b111111000101,15,149,110,-1,-1,353,18.0,9,10,10,11,9,11,0,11,10,11,10,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,18,70,61,10,71,164,211,158,95,15,-1,-1,1,1,50,Mace Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
49,*,レナウト,Fiendo,1,1,2,Purple,-1,-1,0b111111111101,5,331,98,-1,-1,247,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,72,Fatigue + Damage,6,Fatigue,70,-1,28,128,68,15,149,234,204,204,85,40,-1,-1,2,1,135,Ghost Mail,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
50,*,ブブロッカ,Burocca,1,1,3,Blue,-1,-1,0b111111111111,5,285,193,-1,-1,244,18.0,20,5,20,10,5,10,20,20,20,20,20,0,0,20,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,19,20,68,188,280,108,80,5,-1,-1,5,1,171,Burocca's Shell,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
51,*,アイガムハ,Drogerp,3,3,2,Purple,-1,-1,0b111111001111,25,1122,278,-1,-1,1381,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,27,155,104,10,100,314,272,248,80,5,-1,-1,2,1,266,Magus Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
52,*,ニウニウ,Nadnarb,1,1,3,Blue,-1,-1,0b111111111101,5,471,100,-1,-1,217,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,296,212,212,80,5,-1,-1,1,1,261,Icyl Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
53,*,ニャカラガ,Nairad,1,1,3,Blue,-1,-1,0b111111111101,5,471,100,-1,-1,433,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,312,212,212,80,5,-1,-1,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
54,*,カネヅル,Kanezl,1,1,0,Green,-1,-1,0b111111111111,5,173,1000,-1,-1,325,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,108,51,5,136,216,259,518,120,120,-1,-1,2,1,291,Gold Pollen,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
55,*,メメゾーレ,Mantoid,3,3,0,Green,-1,-1,0b111111000111,20,940,266,-1,-1,1722,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,1000,72,Fatigue + Damage,6,Fatigue,40,-1,30,137,92,15,110,317,231,231,85,10,-1,-1,2,1,262,Zaal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
56,*,ヒュドラ煌兵,Sorcerer,1,1,4,Yellow,-1,-1,0b111111110101,5,682,247,-1,-1,809,18.0,9,10,10,11,9,11,9,11,10,11,10,11,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,38,352,123,5,166,302,268,470,70,25,-1,-1,1,1,280,Driln Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
57,*,イラブ,Slithar,1,1,1,Red,-1,-1,0b111111000111,10,342,78,-1,-1,227,18.0,9,7,14,11,10,10,9,10,10,11,11,11,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,137,90,5,85,287,272,272,90,5,-1,-1,2,1,138,Moon Robe,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
58,*,ゴーヤエルモ,Golooper,1,1,3,Blue,-1,-1,0b111111111111,5,1139,789,-1,-1,82,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,190,10,171,265,272,870,110,150,-1,-1,4,1,210,Black Map,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
59,*,ナマトヌカ,Alusphere,3,3,3,Blue,-1,-1,0b011111000000,25,1025,444,-1,-1,1162,18.0,11,9,11,10,9,10,0,10,0,10,11,0,0,10,0,10,10,10,10,10,10,1500,8,Stone + Damage,2,Stone,20,-1,30,108,104,20,73,296,353,272,120,0,-1,-1,5,1,184,Gem of Fluidity,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
60,*,モノノフ,Mereo,1,1,3,Blue,-1,-1,0b111111000101,20,545,225,-1,-1,883,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,10,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,31,112,84,25,138,295,280,224,110,10,-1,-1,1,1,246,Aura of Valor,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
61,*,ヴィヒム,Delzool,1,1,0,Green,-1,-1,0b111111000111,10,451,109,-1,-1,257,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,28,128,85,15,92,256,256,256,75,30,-1,-1,1,1,282,Eternum Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
62,*,ヒュドラ将兵,Defensor,1,1,4,Yellow,-1,-1,0b111111110111,25,955,346,-1,-1,1037,18.0,9,10,10,11,9,11,6,0,6,6,6,18,0,0,6,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,38,166,114,5,151,344,352,336,110,10,-1,-1,1,1,246,Aura of Valor,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
63,*,シュリヌール,Ghrost,1,1,0,Green,-1,-1,0b111111111111,5,353,102,-1,-1,106,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,29,139,176,5,118,237,264,264,90,15,-1,-1,1,1,261,Icyl Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
64,*,デモンヌール,Graver,1,1,0,Green,-1,-1,0b111111111111,25,137,116,-1,-1,162,18.0,10,11,9,9,11,10,18,0,20,18,18,20,0,10,22,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,15,76,212,10,82,136,212,212,120,30,-1,-1,1,1,180,Counter Bracer,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
65,*,マウルティア,Shrilp,3,3,1,Red,-1,-1,0b111111001101,5,2588,550,-1,-1,1827,18.0,9,7,14,11,10,10,3,5,5,7,7,7,0,10,5,10,10,10,10,10,10,1000,73,Weak + Damage,8,Weak,70,-1,34,152,444,5,123,354,334,334,85,5,-1,-1,4,1,179,Ancient Bracer,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
66,*,ギャルブ,Cerosik,3,3,2,Purple,-1,-1,0b111111000111,15,749,199,-1,-1,761,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,33,158,88,15,93,303,266,266,80,5,-1,-1,2,1,242,Sacrum Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
67,*,ガジュマ,Carnilak,3,3,3,Blue,-1,-1,0b111111001111,10,2373,619,-1,-1,2457,18.0,11,9,11,10,9,10,11,10,10,0,11,0,0,10,9,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,34,121,91,10,123,369,273,273,80,5,-1,-1,2,1,277,Riselem Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
68,*,ヴァルガンド,Valgand,1,1,2,Purple,-1,-1,0b111111000111,10,273,132,-1,-1,188,18.0,11,14,7,9,10,10,0,10,10,9,9,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,33,118,98,25,199,282,325,266,95,25,-1,-1,2,1,290,Chom,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
69,*,デ式特機兵,Berserker,1,1,4,Yellow,-1,-1,0b111111000111,30,729,342,-1,-1,1015,18.0,9,10,10,11,9,11,0,11,10,11,10,0,0,10,9,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,35,124,117,30,112,351,390,312,85,10,-1,-1,4,1,252,Glyph of Might,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
