Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[Arm 1 DE Name Pos],[Arm 1 DE Name Size],Arm 1 DE Name Str,[Arm 1 ES Name Pos],[Arm 1 ES Name Size],Arm 1 ES Name Str,[Arm 1 FR Name Pos],[Arm 1 FR Name Size],Arm 1 FR Name Str,[Arm 1 GB Name Pos],[Arm 1 GB Name Size],Arm 1 GB Name Str,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[Arm 2 DE Name Pos],[Arm 2 DE Name Size],Arm 2 DE Name Str,[Arm 2 ES Name Pos],[Arm 2 ES Name Size],Arm 2 ES Name Str,[Arm 2 FR Name Pos],[Arm 2 FR Name Size],Arm 2 FR Name Str,[Arm 2 GB Name Pos],[Arm 2 GB Name Size],Arm 2 GB Name Str,Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[Arm 3 DE Name Pos],[Arm 3 DE Name Size],Arm 3 DE Name Str,[Arm 3 ES Name Pos],[Arm 3 ES Name Size],Arm 3 ES Name Str,[Arm 3 FR Name Pos],[Arm 3 FR Name Size],Arm 3 FR Name Str,[Arm 3 GB Name Pos],[Arm 3 GB Name Size],Arm 3 GB Name Str,Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[Arm 4 DE Name Pos],[Arm 4 DE Name Size],Arm 4 DE Name Str,[Arm 4 ES Name Pos],[Arm 4 ES Name Size],Arm 4 ES Name Str,[Arm 4 FR Name Pos],[Arm 4 FR Name Size],Arm 4 FR Name Str,[Arm 4 GB Name Pos],[Arm 4 GB Name Size],Arm 4 GB Name Str,Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
10,0x8c373d84,0x1af09,17,Gregorio Gunboat,0x1b412,17,Gregorio Gunboat,0x1b88c,17,Gregorio Gunboat,0x1aed9,17,Gregorio Gunboat,30000,120,270,300,70,5,10,10,8,8,10,7,10,0x1b7cc,12,Main Cannon,0x1bcd8,12,Main Cannon,0x1c183,16,Canon Principal,0x1b79c,12,Main Cannon,0,Main Cannon,270,0,90,6,Neutral,0x1b7d8,15,Fragmenter Gun,0x1bce4,15,Fragmenter Gun,0x1c193,12,Fragmenteur,0x1b7a8,15,Fragmenter Gun,1,Sec Cannon,220,3,85,6,Neutral,0x1b7e7,13,Blast Charge,0x1bcf3,13,Blast Charge,0x1c19f,17,Charge Explosive,0x1b7b7,13,Blast Charge,2,Torpedo,250,3,70,6,Neutral,0x1b7f4,2,-,0x1bd00,2,-,0x1c1b0,2,-,0x1b7c4,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,483,Shredder Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
11,0x8c373d98,0x1af1a,5,Lynx,0x1b423,5,Lynx,0x1b89d,5,Lynx,0x1aeea,5,Lynx,25000,130,40,150,65,30,10,10,5,5,9,3,10,0x1b7f6,12,Lynx Cannon,0x1bd02,12,Lynx Cannon,0x1c1b2,11,Canon Lynx,0x1b7c6,12,Lynx Cannon,0,Main Cannon,130,0,90,6,Neutral,0x1b802,15,Lynx Subcannon,0x1bd0e,15,Lynx Subcannon,0x1c1bd,14,Subcanon Lynx,0x1b7d2,15,Lynx Subcannon,1,Sec Cannon,110,2,88,6,Neutral,0x1b811,13,Lynx Torpedo,0x1bd1d,13,Lynx Torpedo,0x1c1cb,14,Torpille Lynx,0x1b7e1,13,Lynx Torpedo,2,Torpedo,100,2,60,6,Neutral,0x1b81e,2,-,0x1bd2a,2,-,0x1c1d9,2,-,0x1b7ee,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3520,2400,0,100%,496,Captain's Stripe,0,100%,509,Magic Cannon,0,100%,411,"3\\""Cannon"
12,0x8c373da0,0x1af1f,10,Chameleon,0x1b428,10,Chameleon,0x1b8a2,10,Chameleon,0x1aeef,10,Chameleon,30000,130,100,200,60,20,15,10,10,10,20,5,10,0x1b820,16,Revolver Cannon,0x1bd2c,16,Revolver Cannon,0x1c1db,15,Canon Révolver,0x1b7f0,16,Revolver Cannon,0,Main Cannon,155,0,90,6,Neutral,0x1b830,17,Type D Subcannon,0x1bd3c,17,Type D Subcannon,0x1c1ea,16,Subcanon Type D,0x1b800,17,Type D Subcannon,1,Sec Cannon,120,1,70,6,Neutral,0x1b841,15,Type D Torpedo,0x1bd4d,15,Type D Torpedo,0x1c1fa,16,Torpille Type D,0x1b811,15,Type D Torpedo,2,Torpedo,160,2,70,6,Neutral,0x1b850,13,Flamethrower,0x1bd5c,13,Flamethrower,0x1c20a,14,Lance-flammes,0x1b820,13,Flamethrower,3,Special,300,0,-1,6,Neutral,0,0,0,0,0,0,2900,1900,0,100%,496,Captain's Stripe,4,50%,404,B-Type Cannon,-1,None,-1,None
13,0x8c373da0,0x1af29,10,Chameleon,0x1b432,10,Chameleon,0x1b8ac,10,Chameleon,0x1aef9,10,Chameleon,30000,130,150,230,60,20,15,10,10,10,20,5,10,0x1b85d,8,Handgun,0x1bd69,8,Handgun,0x1c218,9,Pistolet,0x1b82d,8,Handgun,0,Main Cannon,170,0,100,6,Neutral,0x1b865,17,Type D Subcannon,0x1bd71,17,Type D Subcannon,0x1c221,16,Subcanon Type D,0x1b835,17,Type D Subcannon,1,Sec Cannon,180,1,70,6,Neutral,0x1b876,15,Type D Torpedo,0x1bd82,15,Type D Torpedo,0x1c231,16,Torpille Type D,0x1b846,15,Type D Torpedo,2,Torpedo,200,2,70,6,Neutral,0x1b885,12,Test Cannon,0x1bd91,12,Test Cannon,0x1c241,11,Canon Test,0x1b855,12,Test Cannon,3,Special,350,0,-1,6,Neutral,0,0,0,0,0,0,4170,2400,4,50%,423,Hunter Torpedo,-1,None,-1,None,-1,None,-1,None
14,0x8c373da0,0x1af33,10,Chameleon,0x1b43c,10,Chameleon,0x1b8b6,10,Chameleon,0x1af03,10,Chameleon,30000,200,150,380,120,20,30,3,3,3,3,0,3,0x1b891,17,Chameleon Cannon,0x1bd9d,17,Chameleon Cannon,0x1c24c,15,Canon Caméléon,0x1b861,17,Chameleon Cannon,0,Main Cannon,300,0,60,6,Neutral,0x1b8a2,15,De Loco Cannon,0x1bdae,15,De Loco Cannon,0x1c25b,14,Canon De Loco,0x1b872,15,De Loco Cannon,1,Sec Cannon,250,2,70,6,Neutral,0x1b8b1,16,De Loco Torpedo,0x1bdbd,16,De Loco Torpedo,0x1c269,16,Torpille DeLoco,0x1b881,16,De Loco Torpedo,2,Torpedo,550,3,70,6,Neutral,0x1b8c1,16,De Loco Harpoon,0x1bdcd,16,De Loco Harpoon,0x1c279,15,Harpon De Loco,0x1b891,16,De Loco Harpoon,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7000,0,100%,496,Captain's Stripe,0,100%,455,Twin Turbo,0,100%,506,Magic Shell
15,0x8c373dac,0x1af3d,6,CUT15,0x1b446,6,CUT15,0x1b8c0,6,CUT15,0x1af0d,6,CUT15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x1b8d1,2,-,0x1bddd,2,-,0x1c288,2,-,0x1b8a1,2,-,-1,None,-1,-1,-1,-1,None,0x1b8d3,2,-,0x1bddf,2,-,0x1c28a,2,-,0x1b8a3,2,-,-1,None,-1,-1,-1,-1,None,0x1b8d5,2,-,0x1bde1,2,-,0x1c28c,2,-,0x1b8a5,2,-,-1,None,-1,-1,-1,-1,None,0x1b8d7,2,-,0x1bde3,2,-,0x1c28e,2,-,0x1b8a7,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,0x8c373db8,0x1af43,7,Auriga,0x1b44c,7,Auriga,0x1b8c6,7,Auriga,0x1af13,7,Auriga,50000,250,300,300,80,15,5,9,5,5,9,3,9,0x1b8d9,10,AP Cannon,0x1bde5,10,AP Cannon,0x1c290,9,Canon AP,0x1b8a9,10,AP Cannon,0,Main Cannon,300,0,87,6,Neutral,0x1b8e3,13,Fragment Gun,0x1bdef,13,Fragment Gun,0x1c299,12,Fragmenteur,0x1b8b3,13,Fragment Gun,1,Sec Cannon,250,2,87,6,Neutral,0x1b8f0,13,Blast Charge,0x1bdfc,13,Blast Charge,0x1c2a5,17,Charge Explosive,0x1b8c0,13,Blast Charge,2,Torpedo,300,2,80,6,Neutral,0x1b8fd,9,Hull Ram,0x1be09,9,Hull Ram,0x1c2b6,7,Eperon,0x1b8cd,9,Hull Ram,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5200,0,100%,496,Captain's Stripe,0,100%,464,Heavy Armor Deck,0,100%,414,"12\\""Cannon"
17,0x8c373dc0,0x1af4a,6,Draco,0x1b453,6,Draco,0x1b8cd,6,Draco,0x1af1a,6,Draco,45000,240,125,300,100,15,10,10,10,8,11,11,10,0x1b906,2,-,0x1be12,2,-,0x1c2bd,2,-,0x1b8d6,2,-,-1,None,-1,-1,-1,-1,None,0x1b908,17,Secondary Cannon,0x1be14,17,Secondary Cannon,0x1c2bf,13,Second Canon,0x1b8d8,17,Secondary Cannon,1,Sec Cannon,300,0,80,6,Neutral,0x1b919,17,Piercing Torpedo,0x1be25,17,Piercing Torpedo,0x1c2cc,14,Tête perceuse,0x1b8e9,17,Piercing Torpedo,2,Torpedo,500,2,80,6,Neutral,0x1b92a,13,Draco Cannon,0x1be36,13,Draco Cannon,0x1c2da,12,Canon Draco,0x1b8fa,13,Draco Cannon,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,6100,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
18,0x8c373dc8,0x1af50,6,Hydra,0x1b459,6,Hydra,0x1b8d3,6,Hydra,0x1af20,6,Hydra,200000,280,300,370,200,15,5,10,10,10,10,0,10,0x1b937,15,Hydra Launcher,0x1be43,15,Hydra Launcher,0x1c2e6,14,Lanceur Hydra,0x1b907,15,Hydra Launcher,0,Main Cannon,350,0,70,6,Neutral,0x1b946,16,Hydra Subcannon,0x1be52,16,Hydra Subcannon,0x1c2f4,15,Subcanon Hydra,0x1b916,16,Hydra Subcannon,1,Sec Cannon,360,1,80,6,Neutral,0x1b956,10,Hydra Ray,0x1be62,10,Hydra Ray,0x1c303,12,Rayon Hydra,0x1b926,10,Hydra Ray,1,Sec Cannon,370,2,80,6,Neutral,0x1b960,13,Hydra Cannon,0x1be6c,13,Hydra Cannon,0x1c30f,12,Canon Hydra,0x1b930,13,Hydra Cannon,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,11900,0,100%,496,Captain's Stripe,0,100%,432,Moon Cannon,6,Kalifa,434,Moon Torpedo
19,0x8c373dd0,0x1af56,6,CUT19,0x1b45f,6,CUT19,0x1b8d9,6,CUT19,0x1af26,6,CUT19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x1b96d,8,Cannon ,0x1be79,8,Cannon ,0x1c31b,6,Canon,0x1b93d,8,Cannon ,-1,None,-1,-1,-1,-1,None,0x1b975,11,Fire Arrow,0x1be81,11,Fire Arrow,0x1c321,14,Flêche de Feu,0x1b945,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,0x1b980,16,Houroku Torpedo,0x1be8c,16,Houroku Torpedo,0x1c32f,8,Grenade,0x1b950,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,0x1b990,2,-,0x1be9c,2,-,0x1c337,2,-,0x1b960,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,0x8c373ddc,0x1af5c,6,CUT20,0x1b465,6,CUT20,0x1b8df,6,CUT20,0x1af2c,6,CUT20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x1b992,8,Cannon ,0x1be9e,8,Cannon ,0x1c339,6,Canon,0x1b962,8,Cannon ,-1,None,-1,-1,-1,-1,None,0x1b99a,11,Fire Arrow,0x1bea6,11,Fire Arrow,0x1c33f,14,Flêche de Feu,0x1b96a,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,0x1b9a5,16,Houroku Torpedo,0x1beb1,16,Houroku Torpedo,0x1c34d,8,Grenade,0x1b975,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,0x1b9b5,2,-,0x1bec1,2,-,0x1c355,2,-,0x1b985,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,0x8c373de8,0x1af62,14,Black Pirates,0x1b46b,14,Black Pirates,0x1b8e5,14,Black Pirates,0x1af32,14,Black Pirates,9000,40,25,10,50,8,25,10,10,10,10,20,10,0x1b9b7,13,Black Cannon,0x1bec3,13,Black Cannon,0x1c357,11,Canon Noir,0x1b987,13,Black Cannon,0,Main Cannon,120,0,70,6,Neutral,0x1b9c4,14,Black Torpedo,0x1bed0,14,Black Torpedo,0x1c362,15,Torpille Noire,0x1b994,14,Black Torpedo,2,Torpedo,120,1,60,6,Neutral,0x1b9d2,2,-,0x1bede,2,-,0x1c371,2,-,0x1b9a2,2,-,-1,None,-1,-1,-1,-1,None,0x1b9d4,2,-,0x1bee0,2,-,0x1c373,2,-,0x1b9a4,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,450,300,3,20%,402,Heavy Cannon,3,20%,440,Rogue Figure,-1,None,-1,None
22,0x8c373df8,0x1af70,14,Spell Pirates,0x1b479,14,Spell Pirates,0x1b8f3,14,Spell Pirates,0x1af40,14,Spell Pirates,12000,100,70,220,50,8,15,9,9,9,9,9,10,0x1b9d6,13,Black Cannon,0x1bee2,13,Black Cannon,0x1c375,11,Canon Noir,0x1b9a6,13,Black Cannon,0,Main Cannon,140,0,80,6,Neutral,0x1b9e3,14,Black Torpedo,0x1beef,14,Black Torpedo,0x1c380,15,Torpille Noire,0x1b9b3,14,Black Torpedo,2,Torpedo,200,1,40,6,Neutral,0x1b9f1,2,-,0x1befd,2,-,0x1c38f,2,-,0x1b9c1,2,-,-1,None,-1,-1,-1,-1,None,0x1b9f3,2,-,0x1beff,2,-,0x1c391,2,-,0x1b9c3,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1030,600,0,100%,484,Pyro Bomb,-1,None,-1,None,-1,None,-1,None
