Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Pad 1,Pad 2,Sell%,EU Order 1,EU Order 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
490,0x8c374430,0x1b4d5,11,Repair Kit,0x1b9e1,11,Repair Kit,0x1be70,15,Kit réparation,0x1b4a5,11,Repair Kit,0b0101,X,"",X,100,Recover HP,-1,100,30,0,0,50,10,22,0,400,0,Green,0,0,0,0x1791e,67,"Repair materials for minor damage to the ship.\\nRestores 4,000 HP.",0x17c60,79,Materiales que reparan el deterioro del\\nnavio. Restaura 8000 puntos de Salud.,0x17f86,80,Matériel de réparation pour des dégâts mineurs\\nsur le navire. Redonne 4000 PV.,0x178ee,67,"Repair materials for minor damage to the ship.\\nRestores 4,000 HP."
491,0x8c37443c,0x1b4e0,11,Deluxe Kit,0x1b9ec,11,Deluxe Kit,0x1be7f,12,Kit de luxe,0x1b4b0,11,Deluxe Kit,0b0101,X,"",X,100,Recover HP,-1,100,75,0,0,50,11,8,0,800,0,Green,0,0,0,0x17961,70,"Repair materials for moderate damage to the\\nship. Restores 8,000 HP.",0x17caf,92,"Materiales de reparacion con Polvo de Luna\\nVerde, muy efectivos y restauran toda la Salud.",0x17fd6,80,Matériel de réparation pour des dégâts mineurs\\nsur le navire. Redonne 8000 PV.,0x17931,70,"Repair materials for moderate damage to the\\nship. Restores 8,000 HP."
492,0x8c374448,0x1b4eb,10,Magic Kit,0x1b9f7,10,Magic Kit,0x1be8b,12,Kit Magique,0x1b4bb,10,Magic Kit,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,50,12,19,0,0,0,Green,0,0,0,0x179a7,93,Repair materials mixed with Green Moon Dust\\nfor greater restorative power. Restores all HP.,0x17d0b,95,"Materiales de reparacion de gran calidad, con\\nPiedras Lunares puras. Restauran toda la Salud.",0x18026,96,Kit de réparation avec de la poussière de Lune\\nVerte pour plus de puissance. Rend tous les PV.,0x17977,93,Repair materials mixed with Green Moon Dust\\nfor greater restorative power. Restores all HP.
493,0x8c374454,0x1b4f5,13,Complete Kit,0x1ba01,13,Complete Kit,0x1be97,12,Kit Complet,0x1b4c5,13,Complete Kit,0b0101,X,"",X,101,Recover HP by 100%,-1,100,300,0,0,50,13,5,0,0,0,Green,0,0,0,0x17a04,72,High-quality repair materials using pure\\nMoon Stones. Restores all HP.,0x17d6a,78,"Reduce la friccion de las marchas, y\\nmejora la movilidad. Restaura Espiritu.",0x18086,95,Matériel de réparation de qualité qui utilise\\ndes Pierres de Lune pures. Redonne tous les PV.,0x179d4,72,High-quality repair materials using pure\\nMoon Stones. Restores all HP.
494,0x8c374464,0x1b502,12,Gear Grease,0x1ba0e,12,Gear Grease,0x1bea3,19,Graisse de Vitesse,0x1b4d2,12,Gear Grease,0b0001,"","",X,102,Recover SP,-1,100,500,0,0,50,14,11,0,10,0,Green,0,0,0,0x17a4c,75,"Reduces friction in the gears, improving power\\ntransfer. Restores Spirit.",0x17db8,94,Previene las averias producidas por la friccion\\na gran velocidad. Restaura todo el Espiritu.,0x180e5,95,"Réduit la friction des vitesses, améliorant le\\ntransfert de puissance. Rend de l'Esprit (ES).",0x17a1c,75,"Reduces friction in the gears, improving power\\ntransfer. Restores Spirit."
495,0x8c374470,0x1b50e,15,Thermal Grease,0x1ba1a,15,Thermal Grease,0x1beb6,15,Thermo-graisse,0x1b4de,15,Thermal Grease,0b0001,"","",X,103,Recover SP by 100%,-1,100,1000,0,0,50,15,27,0,0,0,Green,0,0,0,0x17a97,78,Prevents heat-related breakdowns at high speeds.\\nRestores Spirit completely.,0x17e16,91,"Ganado al abatir a un enemigo. Si se usa,\\naumenta los parametros y resistencia del navio.",0x18144,76,Evite les pannes de chaleur dûes à la\\nvitesse. Redonne tout l'Esprit (ES).,0x17a67,78,Prevents heat-related breakdowns at high speeds.\\nRestores Spirit completely.
496,0x8c374480,0x1b51d,17,Captain's Stripe,0x1ba29,17,Captain's Stripe,0x1bec5,7,Galon ,0x1b4ed,17,Captain's Stripe,0b0100,X,"","",115,Grow All Attr,-1,100,0,0,0,50,16,4,0,0,0,Green,0,0,0,0x17ae5,96,A mark earned by shooting down an enemy. Using\\nit will increase ship parameters and endurance.,0x17e71,94,Al aplicar esta cera al navio y canones mejora\\nel poder de Ataque y de Defensa por 2 turnos.,0x18190,89,Galon obtenu en abattant un ennemi. Il accroît\\nles paramètres et l'endurance du navire.,0x17ab5,96,A mark earned by shooting down an enemy. Using\\nit will increase ship parameters and endurance.
497,0x8c374494,0x1b52e,8,Apa Wax,0x1ba3a,8,Apa Wax,0x1becc,9,Cire Apa,0x1b4fe,8,Apa Wax,0b0001,"","",X,105,Incr Attack + Defense,2,100,100,0,0,50,17,0,0,0,0,Green,0,0,0,0x17b45,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 2 turns.,0x17ecf,94,Al aplicar esta cera al navio y canones mejora\\nel poder de Ataque y de Defensa por 4 turnos.,0x181e9,93,Appliquer cette cire au navire et aux canons\\naugmente l'Attaque et la Défense pour 2 tours.,0x17b15,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 2 turns.
498,0x8c37449c,0x1b536,8,Apo Wax,0x1ba42,8,Apo Wax,0x1bed5,10,Cire Apo ,0x1b506,8,Apo Wax,0b0001,"","",X,105,Incr Attack + Defense,4,100,1000,0,0,50,18,1,0,0,0,Green,0,0,0,0x17b9f,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 4 turns.,0x17f2d,83,Al aplicar esta cera al motor mejora el\\nfuncionamiento del motor durante 1 turno.,0x18246,93,Appliquer cette cire au navire et aux canons\\naugmente l'Attaque et la Défense pour 4 tours.,0x17b6f,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 4 turns.
499,0x8c3744a4,0x1b53e,10,Speed Wax,0x1ba4a,10,Speed Wax,0x1bedf,13,Cire Vitesse,0x1b50e,10,Speed Wax,0b0001,"","",X,104,Incr Quick,1,100,150,0,0,50,19,26,0,0,0,Green,0,0,0,0x17bf9,68,Applying this wax to the engine improves engine\\noutput for 1 turn.,0x17f80,84,Cera desarrollada por De Loco. Mejora\\nvarios parametros del navio durante 1 turno.,0x182a3,72,Appliquer cette cire au moteur améliore son\\nrendement pendant un tour.,0x17bc9,68,Applying this wax to the engine improves engine\\noutput for 1 turn.
500,0x8c3744b0,0x1b548,11,Hybrid Wax,0x1ba54,11,Hybrid Wax,0x1beec,13,Cire Hybride,0x1b518,11,Hybrid Wax,0b0001,"","",X,108,Incr All Attr,4,100,1500,0,0,50,20,15,0,0,0,Green,0,0,0,0x17c3d,72,Wax developed by De Loco. Improves\\nvarious ship parameters for 1 turn.,0x17fd4,93,Detecta la sala de maquinas del navio enemigo\\npara disparar. Aumenta los Aciertos Criticos.,0x182eb,84,Cire développée par De Loco. Améliore divers\\nparamètres du navire pendant un tour.,0x17c0d,72,Wax developed by De Loco. Improves\\nvarious ship parameters for 1 turn.
501,0x8c3744bc,0x1b553,12,Heat Sensor,0x1ba5f,12,Heat Sensor,0x1bef9,16,Capteur Chaleur,0x1b523,12,Heat Sensor,0b0001,"","",X,112,Incr Critical%,0,100,2000,0,0,50,21,13,0,0,0,Green,0,0,0,0x17c85,92,Detects the engine room of enemy ships to help\\nyour gunners aim. Raises Critical Hit Rate.,0x18031,72,Mejora el funcionamiento del timon\\ny disminuye el consumo de Espiritu.,0x1833f,98,Détecte le moteur des navires ennemis pour aider\\nles canonniers à cibler. Plus de Coups mortels.,0x17c55,92,Detects the engine room of enemy ships to help\\nyour gunners aim. Raises Critical Hit Rate.
502,0x8c3744c8,0x1b55f,14,Rudder Grease,0x1ba6b,14,Rudder Grease,0x1bf09,17,Graisse Gouverne,0x1b52f,14,Rudder Grease,0b0001,"","",X,113,Consume SP by 50%,0,100,2000,0,0,50,22,23,0,0,0,Green,0,0,0,0x17ce1,70,"Improves rudder operation, and slows the rate\\nof Spirit consumption.",0x18079,97,Al aplicarlo a las piezas del motor estabiliza la\\npotencia y dobla la restauracion de Espiritu.,0x183a1,89,Améliore la manipulation du gouvernail et\\nralentit le taux de consommation de l'Esprit.,0x17cb1,70,"Improves rudder operation, and slows the rate\\nof Spirit consumption."
503,0x8c3744d8,0x1b56d,12,Machine Oil,0x1ba79,12,Machine Oil,0x1bf1a,17,Huile de Machine,0x1b53d,12,Machine Oil,0b0001,"","",X,114,Recover SP by 200%,0,100,2000,0,0,50,23,17,0,0,0,Green,0,0,0,0x17d27,94,"Applying oil to the engine parts stabilizes\\noutput, doubling the rate of Spirit restoration.",0x180da,94,Aleacion del casco del navio que lo hace mas\\nligero. Aumenta la posibilidad de Primer Golpe.,0x183fa,93,Appliquer l'huile sur le moteur le stabilise et\\ndouble son taux de restoration de l'Esprit.,0x17cf7,94,"Applying oil to the engine parts stabilizes\\noutput, doubling the rate of Spirit restoration."
504,0x8c3744e4,0x1b579,12,Light Alloy,0x1ba85,12,Light Alloy,0x1bf2b,14,Alliage Léger,0x1b549,12,Light Alloy,0b0001,"","",X,111,Incr First Strike%,0,100,2000,0,0,50,24,16,0,0,0,Green,0,0,0,0x17d85,90,Alloy blends with the ship's hull to make it\\nlighter. Improves chances for first strike.,0x18138,90,Escudo que protege de ataques de artilleria\\npor 1 turno. Hecha por un maestro ingeniero.,0x18457,99,Alliage qui s'intègre à la coque pour alléger le\\nnavire. Accroît les chances de tirer en premier.,0x17d55,90,Alloy blends with the ship's hull to make it\\nlighter. Improves chances for first strike.
505,0x8c3744f0,0x1b585,10,Hex Shell,0x1ba91,10,Hex Shell,0x1bf39,14,Bouclier Sort,0x1b555,10,Hex Shell,0b0001,"","",X,109,Block Attack,0,100,5000,0,0,50,25,14,0,0,0,Green,0,0,0,0x17ddf,82,"A barrier against artillery attacks for 1 turn,\\ndeveloped by a master engineer. ",0x18192,90,Barrera que protege de los ataques de magia\\ndurante 1 turno. Creado por un maestro mago.,0x184ba,92,"Barrière contre les attaques d'artillerie pour\\n1 tour, développée par un maître ingénieur.",0x17daf,82,"A barrier against artillery attacks for 1 turn,\\ndeveloped by a master engineer. "
506,0x8c3744fc,0x1b58f,12,Magic Shell,0x1ba9b,12,Magic Shell,0x1bf47,15,Bouclier Magie,0x1b55f,12,Magic Shell,0b0001,"","",X,110,Block Magic,0,100,2500,0,0,50,26,20,0,0,0,Green,0,0,0,0x17e31,77,"A barrier against magic attacks for 1 turn,\\ndeveloped by a master magician.",0x181ec,86,"Pieza de oro macizo, demasiado grande para \\nacarrear. Guardala o vendela por dinero.",0x18516,90,"Barrière contre les attaques de magie pendant\\n1 tour, développée par un maître magicien.",0x17e01,77,"A barrier against magic attacks for 1 turn,\\ndeveloped by a master magician."
507,0x8c374508,0x1b59b,13,Gold Bullion,0x1baa7,13,Gold Bullion,0x1bf56,12,Lingot d'Or,0x1b56b,13,Gold Bullion,0b0000,"","","",-1,None,-1,-1,10000,0,0,100,27,12,0,0,0,Green,0,0,0,0x17e7e,93,"A piece of solid gold, too big to carry. You can\\nkeep it, or sell it if you need the money.",0x18242,79,Obra de un celebre artesano. Puedes\\nguardarla o venderla si necesitas dinero.,0x18570,91,Lingot d'or pur trop lourd à porter. Gardez-le\\nou vendez-le si vous avez besoin d'argent.,0x17e4e,93,"A piece of solid gold, too big to carry. You can\\nkeep it, or sell it if you need the money."
508,0x8c374518,0x1b5a8,13,Crystal Ball,0x1bab4,13,Crystal Ball,0x1bf62,17,Boule de Cristal,0x1b578,13,Crystal Ball,0b0000,"","","",-1,None,-1,-1,1000,0,0,100,28,7,0,0,0,Green,0,0,0,0x17edb,93,"A work of art by a well-known craftsman. You can\\nkeep it, or sell it if you need the money.",0x18291,89,Dispara proyectiles magicos. Robado a Belleza\\nen una batalla sobre el desierto de Nasr.,0x185cb,92,Oeuvre d'art d'un artisan très connu. Gardez-la\\nou vendez-la si vous avez besoin d'argent.,0x17eab,93,"A work of art by a well-known craftsman. You can\\nkeep it, or sell it if you need the money."
509,0x8c374528,0x1b5b5,13,Magic Cannon,0x1bac1,13,Magic Cannon,0x1bf73,14,Canon Magique,0x1b585,13,Magic Cannon,0b0000,"","","",-1,None,-1,-1,0,0,0,0,29,18,0,0,0,Green,0,0,0,0x17f38,95,A device that fires magic projectiles. Stolen\\nfrom Belleza in a battle above the Nasr desert.,0x0,0,"",0x18627,94,Dispositif lançant des projectiles magiques.\\nPris à Belleza dans la bataille du désert Nasr.,0x17f08,95,A device that fires magic projectiles. Stolen\\nfrom Belleza in a battle above the Nasr desert.
