Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Sell%,EU Order 1,EU Order 2,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
330,0x8c3457b4,0x1ad1f,17,Yellow MoonStone,0x1ac6f,16,Piedra Amarilla,0x1af96,13,Pierre Jaune,0x1a7d1,17,Yellow MoonStone,0,4,34,0,0,0,0,0x154c3,80,Ein Mondstein vom Yellow Moon. Er kann Waffen\\ndie Kraft des Blitzes verleihen.,0x1530f,84,Piedra Lunar procedente de la Luna Amarilla.\\nOtorga a las armas el poder del rayo.,0x1547a,89,Une Pierre de Lune de la Lune Jaune. Peut\\ninsuffler les pouvoirs de l'éclair aux armes.,0x1509e,88,A Moon Stone from the Yellow Moon. It can infuse\\nweapons with the powers of lightning.
331,0x8c3457c8,0x1ad30,17,Silver MoonStone,0x1ac7f,16,Piedra de Plata,0x1afa3,16,Pierre d'Argent,0x1a7e2,17,Silver MoonStone,0,5,27,0,0,0,0,0x15513,87,Ein Mondstein vom Silver Moon. Er kann Waffen\\ndie Kräfte von Leben und Tod verleihen.,0x15363,87,Piedra Lunar de la Luna de Plata. Otorga a las\\narmas el poder de la vida y la muerte.,0x154d3,93,Une Pierre de Lune de la Lune Argent. Peut\\ndonner les pouvoirs de vie et de mort aux armes.,0x150f6,93,A Moon Stone from the Silver Moon. It can infuse\\nweapons with the powers of life and death.
332,0x8c3457dc,0x1ad41,17,Unterwasseranzug,0x1ac8f,15,Traje Acuático,0x1afb3,11,Scaphandre,0x1a7f3,16,Underwater Suit,0,26,28,0,0,0,0,0x1556a,93,Durch einen Blue Moon Stone kann der Träger\\ndieses wasserdichten Anzugs unter Wasser atmen.,0x153ba,88,"Este traje acuático, usando una Piedra Azul,\\npermite al usuario respirar bajo el agua.",0x15530,98,Cette combinaison imperméable permet de respirer\\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,0x15153,89,"Using a Blue Moon Stone, this water-proof suit\\nallows the wearer to breathe underwater."
333,0x8c3457ec,0x1ad52,13,Flaschenpost,0x1ac9e,5,Nota,0x1afbe,12,Message SOS,0x1a803,17,Note in a Bottle,0,12,19,0,0,0,0,0x155c7,95,"Eine Flaschenpost mit der Nachricht: “Quetya…\\nbitte sende Krieger, um uns kämpfen zu helfen.”",0x15412,85,Nota en una botella que dice: “Quetya…\\nEnvía guerreros para ayudarnos en la lucha.”,0x15592,85,Un mot trouvé dans une bouteille disant “Quetya…\\nEnvoyez des guerriers en renfort.”,0x151ac,86,"A note found in a bottle that says, “Quetya…\\nPlease send warriors to help us fight.”"
334,0x8c345800,0x1ad5f,17,Kanonenschlüssel,0x1aca3,16,Llave del Cañón,0x1afca,16,Clé Pièce Canon,0x1a814,16,Cannon Room Key,0,24,3,0,0,0,0,0x15626,96,Ein großer Stahlschlüssel zum Kanonenraum der\\nGroßen Festung. Er hat einen Drachen eingeprägt.,0x15467,93,Llave de acero para abrir la Sala de Cañones\\nde la Gran Fortaleza. Lleva un dragón grabado.,0x155e7,99,Grande clé en acier ouvrant la Pièce du Canon de\\nla Grande Forteresse. Porte l'estampe du dragon.,0x15202,92,"A large, steel key to the Cannon Room of the\\nGrand Fortress. It is embossed with a dragon."
335,0x8c345810,0x1ad70,12,Schiffsplan,0x1acb3,16,Planos de barco,0x1afda,17,Schéma du navire,0x1a824,16,Ship Schematics,0,28,26,0,0,0,0,0x15686,94,"Entwurf für ein Schiff, das in die Great Cloud\\nSea tauchen und in den Deep Sky abheben kann.",0x154c4,96,Proyecto de un barco que puede sumergirse bajo\\nel mar de Grandes Nubes e ir al Cielo Profundo.,0x1564a,97,Plans permettant au navire de s'immerger sous le\\nGrand Océan et de monter dans le Ciel Profond.,0x1525e,85,Design for a ship that can submerge under the\\nGreat Cloud Sea and go into Deep Sky.
336,0x8c345820,0x1ad7c,15,Gonzales Karte,0x1acc3,17,Mapa de González,0x1afeb,15,Carte Gonzales,0x1a834,14,Gonzales' Map,0,21,9,0,0,0,0,0x156e4,99,"Karte, die auf den Überresten von Gonzales gefun\\n-den wurde. Sie wurde in zwei Hälften zerrissen.",0x15524,94,Mapa encontrado junto a los restos de González.\\nParece que el mapa fue rasgado por la mitad.,0x156ab,89,Carte trouvée sur les restes du corps de\\nGonzales. Elle semble avoir été déchirée en 2.,0x152b3,88,Map found on the remains of Gonzales. It appears\\nthat the map has been ripped in half.
337,0x8c345830,0x1ad8b,13,Pedros Karte,0x1acd4,14,Mapa de Pedro,0x1affa,15,Carte de Pedro,0x1a842,12,Pedro's Map,0,22,20,0,0,0,0,0x15747,96,"Karte, die von Pedro kam, als er in Nasrad war.\\nSie scheint in zwei Hälften zerrissen zu sein.",0x15582,82,Mapa entregado por Pedro en Nasrad.\\nParece que el mapa fue rasgado por la mitad.,0x15704,90,Carte envoyée par Pedro quand il était à Nasrad.\\nElle semble avoir été déchirée en deux.,0x1530b,91,Map received from Pedro while in Nasrad. It\\nappears that the map has been ripped in half.
338,0x8c34583c,0x1ad98,14,ALFONSO'S KEY,0x1ace2,14,ALFONSO'S KEY,0x1b009,14,ALFONSO'S KEY,0x1a84e,14,ALFONSO'S KEY,0,39,35,0,0,0,0,0x157a7,8,CUT.\\n ,0x155d4,8,CUT.\\n ,0x1575e,8,CUT.\\n ,0x15366,13,CUT.\\n------
339,0x8c345850,0x1ada6,15,Golden Man Eye,0x1acf0,15,Ojo del Hombre,0x1b017,16,Oeil Homme Doré,0x1a85c,17,Golden Man's Eye,0,16,8,0,0,0,0,0x157af,95,"Ein herrliches orangefarbenes Juwel, das in das\\nAuge der Golden-Man-Statue eingelassen wurde.",0x155dc,93,Bella gema de color naranja que estaba engarzada\\nen el ojo de la estatua del Hombre Dorado.,0x15766,91,Belle pierre précieuse orange trouvée incrustée\\ndans l'oeil de la statue de l'Homme Doré.,0x15373,74,"A beautiful, orange gem found set into the eye\\nof the Golden Man statue."
340,0x8c345864,0x1adb5,15,Great Bird Eye,0x1acff,15,Ojo del Pájaro,0x1b027,17,Oeil GrandOiseau,0x1a86d,17,Great Bird's Eye,0,17,11,0,0,0,0,0x1580e,80,"Ein herrliches blaues Juwel, das in das Auge\\ndes Great Bird eingelassen wurde.",0x15639,83,Preciosa gema de color azul que se encontró\\nincrustada en el ojo del Gran Pájaro.,0x157c1,77,Belle pierre précieuse bleue trouvée incrustée\\ndans l'oeil du Grand Oiseau.,0x153bd,66,"A beautiful, blue gem found set into the eyes\\nof the Great Bird."
341,0x8c345878,0x1adc4,16,Roher Mondstein,0x1ad0e,11,Roca Lunar,0x1b038,17,Pierre Lune Brut,0x1a87e,15,Raw Moon Stone,0,11,23,0,0,0,0,0x1585e,89,"Ein Fels mit Mondsteinerz, der auf Shrine Island\\ngefunden wurde. Im Rohzustand nutzlos.",0x1568c,91,Roca con Piedra Lunar encontrada en la Isla de\\nShrine. Debe ser refinada antes de usarse.,0x1580e,93,Rocher contenant du minerai de Pierre de Lune\\ntrouvé sur l'île du Temple. Doit être traité.,0x153ff,83,A rock containing Moon Stone ore found on Shrine\\nIsland. Unusable unless refined.
342,0x8c345888,0x1add4,14,Daccats Münze,0x1ad19,17,Moneda de Daccat,0x1b049,16,Pièce de Daccat,0x1a88d,14,Daccat's Coin,100,23,5,0,20000,0,0,0x158b7,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\\nprägt wurde, trägt sein Symbol auf einer Seite.",0x156e7,86,Moneda de oro acuñada por el gran Pirata Aéreo\\nDaccat. Lleva su símbolo en una cara.,0x1586b,91,"Pièce d'or monnayée par le grand pirate Daccat,\\nelle porte son symbole sur une des faces.",0x15452,85,"A gold coin minted by the great Air Pirate\\nDaccat, it bears his symbol on one side."
343,0x8c345898,0x1ade2,10,SISIKABAB,0x1ad2a,10,SISIKABAB,0x1b059,10,SISIKABAB,0x1a89b,10,SISIKABAB,0,35,-1,0,0,0,0,0x15919,12,CONVERT.\\n ,0x1573d,12,CONVERT.\\n ,0x158c6,12,CONVERT.\\n ,0x154a7,17,CONVERT.\\n------
344,0x8c3458a4,0x1adec,6,Kabal,0x1ad34,6,Kabal,0x1b063,6,Kabal,0x1a8a5,6,Kabal,0,32,15,0,0,0,0,0x15925,74,"Fleisch eines Wüsten-Lasttiers, allseits als\\nsehr schmackhaft angesehen.",0x15749,74,Carne de un animal de carga desértico.\\nMuchos la consideren sabrosísima.,0x158d2,89,"La viande d'une bête de somme du désert,\\ncertains trouvent qu'elle est très savoureuse.",0x154b8,82,"The meat of a desert beast of burden, it is\\nconsidered by many to be very tasty."
345,0x8c3458ac,0x1adf2,7,Gentum,0x1ad3a,7,Gentum,0x1b069,7,Gentum,0x1a8ab,7,Gentum,0,33,7,0,500,0,0,0x1596f,98,Aromatische Frucht aus dem nördlichen Nasr. Ge-\\nheimzutat bei der Zubereitung von Kabal-Spießen.,0x15793,88,Fragante fruta del Norte de Nasrad. Es un\\ningrediente secreto de la brocheta de Kabal.,0x1592b,92,Un fruit parfumé du nord de Nasr. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x1550a,86,A fragrant fruit from northern Nasr.\\nSecret ingredient used in making Kabal Skewers.
346,0x8c3458b4,0x1adf9,6,Khale,0x1ad41,6,Khale,0x1b070,6,Khale,0x1a8b2,6,Khale,0,34,16,0,0,0,0,0x159d1,75,"Teures Gewürz, das im Osten angebaut wird.\\nGeheimzutat von Kabal-Spießen.",0x157eb,93,"Preciada especia, que crece en el Este y es\\nun ingrediente secreto de la brocheta de Kabal.",0x15987,94,Épice onéreuse cultivée dans l'Est. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x15560,88,"An expensive spice, grown in the East.\\nSecret ingredient used in making Kabal Skewers."
347,0x8c3458bc,0x1adff,14,CHO SISIKABAB,0x1ad47,14,CHO SISIKABAB,0x1b076,14,CHO SISIKABAB,0x1a8b8,14,CHO SISIKABAB,0,36,-1,0,0,0,0,0x15a1c,12,CONVERT.\\n ,0x15848,12,CONVERT.\\n ,0x159e5,12,CONVERT.\\n ,0x155b8,17,CONVERT.\\n------
348,0x8c3458d0,0x1ae0d,11,Valua-Pass,0x1ad55,17,Pasaporte Valuan,0x1b084,17,Passeport Valuan,0x1a8c6,16,Valuan Passport,0,13,29,0,0,0,0,0x15a28,89,"Pass, der für den Zugang zum Valua-Reich not-\\nwendig ist. Geschenk eines Nasr-Händlers.",0x15854,86,Pasaporte necesario para entrar en el Imperio\\nValuan. Un regalo de un mercader Nasr.,0x159f1,88,Passeport nécéssaire pour entrer dans l'empire\\nValuan. Offert par un marchand Nasrean.,0x155c9,91,A passport necessary to enter the Valuan Empire.\\nReceived from a Nasr merchant as a gift.
349,0x8c3458e0,0x1ae18,15,Mondsteinsprit,0x1ad66,15,Gasolina Lunar,0x1b095,17,Pierre Carburant,0x1a8d6,16,Moon Stone Fuel,0,15,18,0,0,0,0,0x15a81,82,Verfeinerter Mondstein zum Antrieb eines\\nSchiffes. Hans gab ihn Vyse in Horteka.,0x158aa,93,Piedra Lunar refinada para usarse como gasolina\\nde navío que Hans regaló a Vyse en Horteka.,0x15a49,98,Pierre de Lune raffinée pour servir de carburant\\naux navires. Hans l'a offerte à Vyse à Horteka.,0x15624,98,A Moon Stone refined for use as fuel for a ship.\\nGiven to Vyse by Hans when they met in Horteka.
350,0x8c3458f0,0x1ae27,13,Claras Börse,0x1ad75,17,Cartera de Clara,0x1b0a6,16,Bourse de Clara,0x1a8e6,14,Clara's Purse,0,19,4,0,0,0,0,0x15ad3,69,"Hellrosa Börse mit Geld, das Aika und Fina von\\nClara gegeben wurde.",0x15907,78,Cartera rosa brillante que guarda el dinero\\nque Clara entrega a Aika y Fina.,0x15aab,87,Un porte-monnaie rose fuchsia contenant de\\nl'argent que Clara a donné à Aika et Fina.,0x15686,71,A bright pink purse containing money given to\\nAika and Fina by Clara.
351,0x8c345900,0x1ae34,17,Book of Polarity,0x1ad86,15,Libro del Polo,0x1b0b6,16,Livre Polarités,0x1a8f4,17,Book of Polarity,0,27,2,0,0,0,0,0x15b18,98,"Alter Yafutoma-Text, der den Prozess beschreibt,\\ndurch den Schiffe hoch und tief fliegen können.",0x15955,98,Viejo texto Yafutoman que contiene instrucciones\\npara conducir navíos a altas y bajas latitudes.,0x15b02,93,Vieux texte Yafutoman décrivant les techniques\\nde vol à très haute et très basse altitudes.,0x156cd,98,An old Yafutoman text explaining the process of\\nenabling ships to fly to high and low altitudes.
352,0x8c345914,0x1ae45,9,Velorium,0x1ad95,9,Velorium,0x1b0c6,9,Velorium,0x1a905,9,Velorium,0,29,30,0,0,0,0,0x15b7a,93,"Seltene Art von Metall, in Deep Sky anzutreffen.\\nEin Vielfaches stärker als normaler Stahl.",0x159b7,92,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero.,0x15b5f,92,Type de métal rare trouvé dans le Ciel Profond.\\nBien plus solide que de l'acier ordinaire.,0x1572f,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
353,0x8c345914,0x1ae4e,9,Velorium,0x1ad9e,9,Velorium,0x1b0cf,9,Velorium,0x1a90e,9,Velorium,0,30,31,0,0,0,0,0x15bd7,96,"Seltene Art von Metall, in Deep Sky anzutreffen.\\nUm ein Vielfaches stärker als normaler Stahl.",0x15a13,93,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero..,0x15bbb,89,Type de métal rare trouvé dans le Ciel Profond.\\nBien plus solide que l'acier ordinaire.,0x15785,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
354,0x8c345920,0x1ae57,13,SAISYUHEIKI3,0x1ada7,13,SAISYUHEIKI3,0x1b0d8,13,SAISYUHEIKI3,0x1a917,13,SAISYUHEIKI3,0,37,-1,0,0,0,0,0x15c37,8,CUT.\\n ,0x15a70,8,CUT.\\n ,0x15c14,8,CUT.\\n ,0x157db,13,CUT.\\n------
355,0x8c34592c,0x1ae64,15,Hafenschlüssel,0x1adb4,13,Puerto Clave,0x1b0e5,12,Clé du Port,0x1a924,11,Harbor Key,0,25,14,0,0,0,0,0x15c3f,88,Kleiner Messingschlüssel zum Kaiserlichen Hafen\\nvon Valua. Er hat eine Drachenprägung.,0x15a78,93,Pequeña llave de bronce para acceder al puerto\\ndel Imperio Valuan. Tiene un dragón tallado.,0x15c1c,81,Petite clé en cuivre du port Impérial Valuan.\\nElle porte l'estampe d'un dragon.,0x157e8,83,"A small, brass key to the Valuan Imperial\\nharbor. It has a dragon embossed on it."
356,0x8c345938,0x1ae73,16,Magische Kanone,0x1adc1,13,Cañón Mágico,0x1b0f1,14,Canon Magique,0x1a92f,13,Magic Cannon,0,14,17,0,0,0,0,0x15c97,78,"Ein Kanonenaufsatz, durch den man Schüsse mit\\nmagischer Kraft abfeuern kann.",0x15ad5,85,Artefacto que se añade a los cañones para\\nefectuar disparos fortalecidos con Magia.,0x15c6d,89,Dispositif attaché aux canons qui leur permet\\nde tirer des coups aux pouvoirs magiques.,0x1583b,83,A device attached to cannons that allows them\\nto fire shots empowered with magic.
357,0x8c345948,0x1ae83,5,Lohn,0x1adce,9,Salarios,0x1b0ff,9,Salaires,0x1a93c,6,Wages,0,20,32,0,0,0,0,0x15ce5,90,"Enthält die 5000 Goldstücke, die Aika und Fina\\nin der Taverne von Nasrad verdient haben.",0x15b2a,94,Guarda las 5.000 unidades de oro que Fina y Aika\\nganaron trabajando en la taberna de Nasrad.,0x15cc6,93,Contient 5 000 pièces d'or qu'Aika et Fina ont\\ngagné en travaillant à la taverne de Nasrad.,0x1588e,90,"Contains the 5,000 gold that Aika and Fina\\nearned while working at the tavern in Nasrad."
358,0x8c345950,0x1ae88,15,Grapor-Fleisch,0x1add7,16,Carne de Grapor,0x1b108,16,Chair de Grapor,0x1a942,12,Grapor Meat,0,18,10,0,0,0,0,0x15d3f,98,"Fleisch eines seltenen Fisches, des Grapor. Man\\nfindet ihn nur in den Wäldern der Crescent Isle.",0x15b88,89,"Carne de un extrano pez, el Grapor, que vive\\nsolo en los bosques de la Isla de la Luna.",0x15d23,92,"Chair du Grapor, un poisson rare. Ce poisson\\nse trouve dans les forêts de l'île Croissant.",0x158e8,95,"Meat from the rare fish, the Grapor. This fish\\nis only found in the forests of Crescent Isle."
359,0x8c34595c,0x1ae97,17,Domingos Papiere,0x1ade7,12,Certificado,0x1b118,17,Titre de Domingo,0x1a94e,16,Domingo's Title,0,31,6,0,0,0,0,0x15da1,88,"Ein  Zertifikat von Domingo, in dem er Vyse als\\n“Hervorragenden Schatzjäger” ausweist.",0x15be1,90,Un certificado de Domingo reconociendo a Vyse\\ncomo “Extraordinario buscador de tesoros”.,0x15d7f,93,Certificat de Domingo proclamant Vyse comme\\nétant un “Extraordinaire Chercheur de Trésors.”,0x15947,87,A certificate from Domingo proclaiming Vyse to\\nbe a “Treasure Hunter Extraordinaire.”
360,0x8c34596c,0x1aea8,11,DUMMYCLEAR,0x1adf3,11,DUMMYCLEAR,0x1b129,11,DUMMYCLEAR,0x1a95e,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15df9,9,DUMMY\\n ,0x15c3b,9,DUMMY\\n ,0x15ddc,9,DUMMY\\n ,0x1599e,14,DUMMY\\n------
361,0x8c34596c,0x1aeb3,11,DUMMYCLEAR,0x1adfe,11,DUMMYCLEAR,0x1b134,11,DUMMYCLEAR,0x1a969,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e02,9,DUMMY\\n ,0x15c44,9,DUMMY\\n ,0x15de5,9,DUMMY\\n ,0x159ac,14,DUMMY\\n------
362,0x8c34596c,0x1aebe,11,DUMMYCLEAR,0x1ae09,11,DUMMYCLEAR,0x1b13f,11,DUMMYCLEAR,0x1a974,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e0b,9,DUMMY\\n ,0x15c4d,9,DUMMY\\n ,0x15dee,9,DUMMY\\n ,0x159ba,14,DUMMY\\n------
363,0x8c34596c,0x1aec9,11,DUMMYCLEAR,0x1ae14,11,DUMMYCLEAR,0x1b14a,11,DUMMYCLEAR,0x1a97f,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e14,9,DUMMY\\n ,0x15c56,9,DUMMY\\n ,0x15df7,9,DUMMY\\n ,0x159c8,14,DUMMY\\n------
364,0x8c34596c,0x1aed4,11,DUMMYCLEAR,0x1ae1f,11,DUMMYCLEAR,0x1b155,11,DUMMYCLEAR,0x1a98a,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e1d,9,DUMMY\\n ,0x15c5f,9,DUMMY\\n ,0x15e00,9,DUMMY\\n ,0x159d6,14,DUMMY\\n------
365,0x8c34596c,0x1aedf,11,DUMMYCLEAR,0x1ae2a,11,DUMMYCLEAR,0x1b160,11,DUMMYCLEAR,0x1a995,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e26,9,DUMMY\\n ,0x15c68,9,DUMMY\\n ,0x15e09,9,DUMMY\\n ,0x159e4,14,DUMMY\\n------
366,0x8c34596c,0x1aeea,11,DUMMYCLEAR,0x1ae35,11,DUMMYCLEAR,0x1b16b,11,DUMMYCLEAR,0x1a9a0,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e2f,9,DUMMY\\n ,0x15c71,9,DUMMY\\n ,0x15e12,9,DUMMY\\n ,0x159f2,14,DUMMY\\n------
367,0x8c34596c,0x1aef5,11,DUMMYCLEAR,0x1ae40,11,DUMMYCLEAR,0x1b176,11,DUMMYCLEAR,0x1a9ab,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e38,9,DUMMY\\n ,0x15c7a,9,DUMMY\\n ,0x15e1b,9,DUMMY\\n ,0x15a00,14,DUMMY\\n------
368,0x8c34596c,0x1af00,11,DUMMYCLEAR,0x1ae4b,11,DUMMYCLEAR,0x1b181,11,DUMMYCLEAR,0x1a9b6,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e41,9,DUMMY\\n ,0x15c83,9,DUMMY\\n ,0x15e24,9,DUMMY\\n ,0x15a0e,14,DUMMY\\n------
369,0x8c34596c,0x1af0b,11,DUMMYCLEAR,0x1ae56,11,DUMMYCLEAR,0x1b18c,11,DUMMYCLEAR,0x1a9c1,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e4a,9,DUMMY\\n ,0x15c8c,9,DUMMY\\n ,0x15e2d,9,DUMMY\\n ,0x15a1c,14,DUMMY\\n------
370,0x8c34596c,0x1af16,11,DUMMYCLEAR,0x1ae61,11,DUMMYCLEAR,0x1b197,11,DUMMYCLEAR,0x1a9cc,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e53,9,DUMMY\\n ,0x15c95,9,DUMMY\\n ,0x15e36,9,DUMMY\\n ,0x15a2a,14,DUMMY\\n------
371,0x8c34596c,0x1af21,11,DUMMYCLEAR,0x1ae6c,11,DUMMYCLEAR,0x1b1a2,11,DUMMYCLEAR,0x1a9d7,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x15e5c,9,DUMMY\\n ,0x15c9e,9,DUMMY\\n ,0x15e3f,9,DUMMY\\n ,0x15a38,14,DUMMY\\n------
