Entry ID,[Filter],[Enemy ID],[JP Enemy Name],Type ID,[Type Name],Instr. ID,[Instr. Name],Param. ID,[Param. Name]
4,*,4,アーアペプ,0,Branch,22,???,9,Jump To 9
5,*,4,アーアペプ,0,Branch,23,???,11,Jump To 11
6,*,4,アーアペプ,0,Branch,22,???,8,Jump To 8
7,*,4,アーアペプ,1,Action,550,Attack,2,Random Character
8,*,4,アーアペプ,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,1,Action,503,パニカ,14,Character w/o Confusion
10,*,4,アーアペプ,1,Action,520,ウェイバ,2,Random Character
11,*,4,アーアペプ,1,Action,57,怪音波,2,Random Character
1,*,7,煌術処刑士,0,Branch,17,???,19,Jump To 19
2,*,7,煌術処刑士,0,Branch,35,Already Executed?,9,Jump To 9
3,*,7,煌術処刑士,0,Branch,40,???,20,Jump To 20
4,*,7,煌術処刑士,0,Branch,32,???,9,Jump To 9
5,*,7,煌術処刑士,0,Branch,39,Injured Enemy?,21,Jump To 21
6,*,7,煌術処刑士,0,Branch,11,???,9,Jump To 9
7,*,7,煌術処刑士,0,Branch,12,???,9,Jump To 9
8,*,7,煌術処刑士,0,Branch,22,???,21,Jump To 21
9,*,7,煌術処刑士,0,Branch,37,???,14,Jump To 14
10,*,7,煌術処刑士,0,Branch,25,???,23,Jump To 23
11,*,7,煌術処刑士,0,Branch,26,???,19,Jump To 19
12,*,7,煌術処刑士,0,Branch,25,???,20,Jump To 20
13,*,7,煌術処刑士,0,Branch,30,???,25,Jump To 25
14,*,7,煌術処刑士,0,Branch,24,???,23,Jump To 23
15,*,7,煌術処刑士,0,Branch,24,???,19,Jump To 19
16,*,7,煌術処刑士,0,Branch,24,???,24,Jump To 24
17,*,7,煌術処刑士,0,Branch,25,???,21,Jump To 21
18,*,7,煌術処刑士,0,Branch,30,???,25,Jump To 25
19,*,7,煌術処刑士,1,Action,550,Attack,1,Same Character
20,*,7,煌術処刑士,1,Action,500,アパ,8,Enemy w/ Highest ID
21,*,7,煌術処刑士,1,Action,506,サプラ,7,Injured Enemy
22,*,7,煌術処刑士,1,Action,506,サプラ,8,Enemy w/ Highest ID
23,*,7,煌術処刑士,1,Action,526,グラシャ,2,Random Character
24,*,7,煌術処刑士,1,Action,37,ためる,-1,None
25,*,7,煌術処刑士,1,Action,551,Guard,-1,None
1,*,8,レトモニケ,0,Branch,44,???,3,Jump To 3
2,*,8,レトモニケ,0,Branch,30,???,4,Jump To 4
3,*,8,レトモニケ,0,Branch,28,???,16,Jump To 16
4,*,8,レトモニケ,0,Branch,2,???,12,Jump To 12
5,*,8,レトモニケ,0,Branch,4,???,7,Jump To 7
6,*,8,レトモニケ,0,Branch,30,???,9,Jump To 9
7,*,8,レトモニケ,0,Branch,28,???,14,Jump To 14
8,*,8,レトモニケ,0,Branch,30,???,15,Jump To 15
9,*,8,レトモニケ,0,Branch,26,???,14,Jump To 14
10,*,8,レトモニケ,0,Branch,26,???,15,Jump To 15
11,*,8,レトモニケ,0,Branch,30,???,16,Jump To 16
12,*,8,レトモニケ,0,Branch,24,???,16,Jump To 16
13,*,8,レトモニケ,0,Branch,30,???,9,Jump To 9
14,*,8,レトモニケ,1,Action,550,Attack,1,Same Character
15,*,8,レトモニケ,1,Action,551,Guard,-1,None
16,*,8,レトモニケ,1,Action,552,Run,-1,None
1,*,9,パラミス,0,Branch,44,???,3,Jump To 3
2,*,9,パラミス,0,Branch,30,???,4,Jump To 4
3,*,9,パラミス,0,Branch,29,???,16,Jump To 16
4,*,9,パラミス,0,Branch,2,???,12,Jump To 12
5,*,9,パラミス,0,Branch,4,???,7,Jump To 7
6,*,9,パラミス,0,Branch,30,???,9,Jump To 9
7,*,9,パラミス,0,Branch,29,???,14,Jump To 14
8,*,9,パラミス,0,Branch,30,???,16,Jump To 16
9,*,9,パラミス,0,Branch,27,???,14,Jump To 14
10,*,9,パラミス,0,Branch,24,???,15,Jump To 15
11,*,9,パラミス,0,Branch,30,???,16,Jump To 16
12,*,9,パラミス,0,Branch,25,???,16,Jump To 16
13,*,9,パラミス,0,Branch,30,???,9,Jump To 9
14,*,9,パラミス,1,Action,550,Attack,1,Same Character
15,*,9,パラミス,1,Action,551,Guard,-1,None
16,*,9,パラミス,1,Action,552,Run,-1,None
1,*,10,クグツムシ,0,Branch,21,???,3,Jump To 3
2,*,10,クグツムシ,1,Action,550,Attack,1,Same Character
3,*,10,クグツムシ,1,Action,551,Guard,-1,None
1,*,11,フォカラルガ,0,Branch,33,???,3,Jump To 3
2,*,11,フォカラルガ,0,Branch,22,???,9,Jump To 9
3,*,11,フォカラルガ,0,Branch,35,Already Executed?,5,Jump To 5
4,*,11,フォカラルガ,0,Branch,22,???,8,Jump To 8
5,*,11,フォカラルガ,0,Branch,21,???,7,Jump To 7
6,*,11,フォカラルガ,1,Action,550,Attack,2,Random Character
7,*,11,フォカラルガ,1,Action,551,Guard,-1,None
8,*,11,フォカラルガ,1,Action,503,パニカ,14,Character w/o Confusion
9,*,11,フォカラルガ,1,Action,527,グラシィ,2,Random Character
1,*,13,アスフール,0,Branch,44,???,3,Jump To 3
2,*,13,アスフール,0,Branch,30,???,4,Jump To 4
3,*,13,アスフール,0,Branch,27,???,15,Jump To 15
4,*,13,アスフール,0,Branch,25,???,13,Jump To 13
5,*,13,アスフール,0,Branch,24,???,8,Jump To 8
6,*,13,アスフール,0,Branch,28,???,11,Jump To 11
7,*,13,アスフール,0,Branch,30,???,14,Jump To 14
8,*,13,アスフール,0,Branch,25,???,16,Jump To 16
9,*,13,アスフール,0,Branch,24,???,17,Jump To 17
10,*,13,アスフール,0,Branch,30,???,18,Jump To 18
11,*,13,アスフール,0,Branch,35,Already Executed?,19,Jump To 19
12,*,13,アスフール,0,Branch,30,???,20,Jump To 20
13,*,13,アスフール,1,Action,550,Attack,2,Random Character
14,*,13,アスフール,1,Action,551,Guard,-1,None
15,*,13,アスフール,1,Action,552,Run,-1,None
16,*,13,アスフール,1,Action,200,仲間を呼ぶ,-1,None
17,*,13,アスフール,1,Action,201,仲間を呼ぶ,-1,None
18,*,13,アスフール,1,Action,108,仲間を呼ぶ,-1,None
19,*,13,アスフール,1,Action,517,ジェダ,2,Random Character
20,*,13,アスフール,1,Action,100,Ж術詠唱？,-1,None
1,*,14,盗掘者,0,Branch,11,???,6,Jump To 6
2,*,14,盗掘者,0,Branch,12,???,6,Jump To 6
3,*,14,盗掘者,0,Branch,13,???,8,Jump To 8
4,*,14,盗掘者,0,Branch,14,???,8,Jump To 8
5,*,14,盗掘者,0,Branch,37,???,11,Jump To 11
6,*,14,盗掘者,0,Branch,26,???,14,Jump To 14
7,*,14,盗掘者,0,Branch,30,???,15,Jump To 15
8,*,14,盗掘者,0,Branch,25,???,14,Jump To 14
9,*,14,盗掘者,0,Branch,28,???,15,Jump To 15
10,*,14,盗掘者,0,Branch,30,???,16,Jump To 16
11,*,14,盗掘者,0,Branch,23,???,14,Jump To 14
12,*,14,盗掘者,0,Branch,25,???,15,Jump To 15
13,*,14,盗掘者,0,Branch,30,???,16,Jump To 16
14,*,14,盗掘者,1,Action,550,Attack,4,Character w/ Least HP
15,*,14,盗掘者,1,Action,22,発破,2,Random Character
16,*,14,盗掘者,1,Action,552,Run,-1,None
1,*,15,ヌール,0,Branch,44,???,3,Jump To 3
2,*,15,ヌール,0,Branch,30,???,4,Jump To 4
3,*,15,ヌール,0,Branch,28,???,16,Jump To 16
4,*,15,ヌール,0,Branch,0,???,7,Jump To 7
5,*,15,ヌール,0,Branch,46,???,7,Jump To 7
6,*,15,ヌール,0,Branch,28,???,14,Jump To 14
7,*,15,ヌール,0,Branch,9,???,11,Jump To 11
8,*,15,ヌール,0,Branch,26,???,14,Jump To 14
9,*,15,ヌール,0,Branch,26,???,14,Jump To 14
10,*,15,ヌール,0,Branch,30,???,16,Jump To 16
11,*,15,ヌール,0,Branch,25,???,14,Jump To 14
12,*,15,ヌール,0,Branch,25,???,14,Jump To 14
13,*,15,ヌール,0,Branch,30,???,16,Jump To 16
14,*,15,ヌール,1,Action,550,Attack,1,Same Character
15,*,15,ヌール,1,Action,210,ＨＰ吸収,3,Character w/ Most HP
16,*,15,ヌール,1,Action,552,Run,-1,None
1,*,17,ヴァンピレッサ,0,Branch,44,???,3,Jump To 3
2,*,17,ヴァンピレッサ,0,Branch,30,???,4,Jump To 4
3,*,17,ヴァンピレッサ,0,Branch,24,???,11,Jump To 11
4,*,17,ヴァンピレッサ,0,Branch,0,???,7,Jump To 7
5,*,17,ヴァンピレッサ,0,Branch,46,???,7,Jump To 7
6,*,17,ヴァンピレッサ,0,Branch,25,???,12,Jump To 12
7,*,17,ヴァンピレッサ,0,Branch,33,???,9,Jump To 9
8,*,17,ヴァンピレッサ,0,Branch,24,???,13,Jump To 13
9,*,17,ヴァンピレッサ,0,Branch,21,???,11,Jump To 11
10,*,17,ヴァンピレッサ,1,Action,550,Attack,2,Random Character
11,*,17,ヴァンピレッサ,1,Action,552,Run,-1,None
12,*,17,ヴァンピレッサ,1,Action,211,ＨＰ吸収,3,Character w/ Most HP
13,*,17,ヴァンピレッサ,1,Action,532,ボルタ,2,Random Character
1,*,18,セベスク,0,Branch,44,???,3,Jump To 3
2,*,18,セベスク,0,Branch,30,???,4,Jump To 4
3,*,18,セベスク,0,Branch,24,???,13,Jump To 13
4,*,18,セベスク,0,Branch,40,???,15,Jump To 15
5,*,18,セベスク,0,Branch,5,???,14,Jump To 14
6,*,18,セベスク,0,Branch,1,???,14,Jump To 14
7,*,18,セベスク,0,Branch,24,???,14,Jump To 14
8,*,18,セベスク,0,Branch,28,???,11,Jump To 11
9,*,18,セベスク,0,Branch,27,???,12,Jump To 12
10,*,18,セベスク,0,Branch,30,???,13,Jump To 13
11,*,18,セベスク,1,Action,550,Attack,2,Random Character
12,*,18,セベスク,1,Action,551,Guard,-1,None
13,*,18,セベスク,1,Action,552,Run,-1,None
14,*,18,セベスク,1,Action,20,ためる,-1,None
15,*,18,セベスク,1,Action,170,針乱射,2,Random Character
1,*,19,ユールマラー,0,Branch,45,???,3,Jump To 3
2,*,19,ユールマラー,0,Branch,30,???,4,Jump To 4
3,*,19,ユールマラー,0,Branch,24,???,6,Jump To 6
4,*,19,ユールマラー,0,Branch,21,???,6,Jump To 6
5,*,19,ユールマラー,1,Action,550,Attack,1,Same Character
6,*,19,ユールマラー,1,Action,552,Run,-1,None
1,*,20,レトモニケ２,0,Branch,44,???,3,Jump To 3
2,*,20,レトモニケ２,0,Branch,30,???,4,Jump To 4
3,*,20,レトモニケ２,0,Branch,28,???,16,Jump To 16
4,*,20,レトモニケ２,0,Branch,2,???,12,Jump To 12
5,*,20,レトモニケ２,0,Branch,4,???,7,Jump To 7
6,*,20,レトモニケ２,0,Branch,30,???,9,Jump To 9
7,*,20,レトモニケ２,0,Branch,28,???,14,Jump To 14
8,*,20,レトモニケ２,0,Branch,30,???,15,Jump To 15
9,*,20,レトモニケ２,0,Branch,26,???,14,Jump To 14
10,*,20,レトモニケ２,0,Branch,26,???,15,Jump To 15
11,*,20,レトモニケ２,0,Branch,30,???,16,Jump To 16
12,*,20,レトモニケ２,0,Branch,24,???,16,Jump To 16
13,*,20,レトモニケ２,0,Branch,30,???,9,Jump To 9
14,*,20,レトモニケ２,1,Action,550,Attack,1,Same Character
15,*,20,レトモニケ２,1,Action,551,Guard,-1,None
16,*,20,レトモニケ２,1,Action,552,Run,-1,None
1,*,23,メア・ヘスア,0,Branch,45,???,3,Jump To 3
2,*,23,メア・ヘスア,0,Branch,30,???,4,Jump To 4
3,*,23,メア・ヘスア,0,Branch,26,???,12,Jump To 12
4,*,23,メア・ヘスア,0,Branch,44,???,6,Jump To 6
5,*,23,メア・ヘスア,0,Branch,30,???,7,Jump To 7
6,*,23,メア・ヘスア,0,Branch,23,???,12,Jump To 12
7,*,23,メア・ヘスア,0,Branch,11,???,10,Jump To 10
8,*,23,メア・ヘスア,0,Branch,29,???,11,Jump To 11
9,*,23,メア・ヘスア,0,Branch,30,???,12,Jump To 12
10,*,23,メア・ヘスア,0,Branch,22,???,13,Jump To 13
11,*,23,メア・ヘスア,1,Action,550,Attack,2,Random Character
12,*,23,メア・ヘスア,1,Action,552,Run,-1,None
13,*,23,メア・ヘスア,1,Action,513,クイッカ,-1,None
1,*,24,デシェレト,0,Branch,41,???,7,Jump To 7
2,*,24,デシェレト,0,Branch,5,???,6,Jump To 6
3,*,24,デシェレト,0,Branch,1,???,6,Jump To 6
4,*,24,デシェレト,0,Branch,24,???,6,Jump To 6
5,*,24,デシェレト,1,Action,550,Attack,1,Same Character
6,*,24,デシェレト,1,Action,47,ためる,-1,None
7,*,24,デシェレト,1,Action,180,火炎ブレス,1,Same Character
1,*,25,イアールト２,0,Branch,33,???,4,Jump To 4
2,*,25,イアールト２,0,Branch,27,???,7,Jump To 7
3,*,25,イアールト２,0,Branch,30,???,8,Jump To 8
4,*,25,イアールト２,0,Branch,25,???,7,Jump To 7
5,*,25,イアールト２,0,Branch,27,???,9,Jump To 9
6,*,25,イアールト２,0,Branch,30,???,10,Jump To 10
7,*,25,イアールト２,1,Action,550,Attack,2,Random Character
8,*,25,イアールト２,1,Action,525,バーネス,-1,None
9,*,25,イアールト２,1,Action,100,Ж術詠唱？,-1,None
10,*,25,イアールト２,1,Action,552,Run,-1,None
1,*,26,ザダムレステル,0,Branch,44,???,3,Jump To 3
2,*,26,ザダムレステル,0,Branch,30,???,4,Jump To 4
3,*,26,ザダムレステル,0,Branch,29,???,16,Jump To 16
4,*,26,ザダムレステル,0,Branch,2,???,12,Jump To 12
5,*,26,ザダムレステル,0,Branch,4,???,7,Jump To 7
6,*,26,ザダムレステル,0,Branch,30,???,9,Jump To 9
7,*,26,ザダムレステル,0,Branch,29,???,14,Jump To 14
8,*,26,ザダムレステル,0,Branch,30,???,16,Jump To 16
9,*,26,ザダムレステル,0,Branch,27,???,14,Jump To 14
10,*,26,ザダムレステル,0,Branch,24,???,15,Jump To 15
11,*,26,ザダムレステル,0,Branch,30,???,16,Jump To 16
12,*,26,ザダムレステル,0,Branch,25,???,16,Jump To 16
13,*,26,ザダムレステル,0,Branch,30,???,9,Jump To 9
14,*,26,ザダムレステル,1,Action,550,Attack,1,Same Character
15,*,26,ザダムレステル,1,Action,551,Guard,-1,None
16,*,26,ザダムレステル,1,Action,552,Run,-1,None
1,*,27,ヘベレル,0,Branch,17,???,12,Jump To 12
2,*,27,ヘベレル,0,Branch,35,Already Executed?,8,Jump To 8
3,*,27,ヘベレル,0,Branch,24,???,16,Jump To 16
4,*,27,ヘベレル,0,Branch,24,???,15,Jump To 15
5,*,27,ヘベレル,0,Branch,24,???,17,Jump To 17
6,*,27,ヘベレル,0,Branch,26,???,18,Jump To 18
7,*,27,ヘベレル,0,Branch,30,???,19,Jump To 19
8,*,27,ヘベレル,0,Branch,25,???,15,Jump To 15
9,*,27,ヘベレル,0,Branch,24,???,17,Jump To 17
10,*,27,ヘベレル,0,Branch,26,???,18,Jump To 18
11,*,27,ヘベレル,0,Branch,30,???,19,Jump To 19
12,*,27,ヘベレル,0,Branch,24,???,17,Jump To 17
13,*,27,ヘベレル,0,Branch,25,???,18,Jump To 18
14,*,27,ヘベレル,0,Branch,30,???,19,Jump To 19
15,*,27,ヘベレル,1,Action,550,Attack,2,Random Character
16,*,27,ヘベレル,1,Action,504,ダウナ,2,Random Character
17,*,27,ヘベレル,1,Action,28,仲間を呼ぶ,-1,None
18,*,27,ヘベレル,1,Action,110,仲間を呼ぶ,-1,None
19,*,27,ヘベレル,1,Action,552,Run,-1,None
1,*,28,屍鬼,0,Branch,26,???,4,Jump To 4
2,*,28,屍鬼,0,Branch,28,???,5,Jump To 5
3,*,28,屍鬼,0,Branch,30,???,6,Jump To 6
4,*,28,屍鬼,1,Action,550,Attack,1,Same Character
5,*,28,屍鬼,1,Action,15,石化液,13,Character w/o Stone
6,*,28,屍鬼,1,Action,551,Guard,-1,None
1,*,29,エルモ,0,Branch,1,???,7,Jump To 7
2,*,29,エルモ,0,Branch,25,???,7,Jump To 7
3,*,29,エルモ,0,Branch,28,???,5,Jump To 5
4,*,29,エルモ,0,Branch,30,???,6,Jump To 6
5,*,29,エルモ,1,Action,550,Attack,2,Random Character
6,*,29,エルモ,1,Action,551,Guard,-1,None
7,*,29,エルモ,1,Action,552,Run,-1,None
1,*,30,エルモ２,0,Branch,1,???,9,Jump To 9
2,*,30,エルモ２,0,Branch,23,???,9,Jump To 9
3,*,30,エルモ２,0,Branch,25,???,7,Jump To 7
4,*,30,エルモ２,0,Branch,28,???,6,Jump To 6
5,*,30,エルモ２,0,Branch,30,???,8,Jump To 8
6,*,30,エルモ２,1,Action,550,Attack,2,Random Character
7,*,30,エルモ２,1,Action,500,アパ,8,Enemy w/ Highest ID
8,*,30,エルモ２,1,Action,551,Guard,-1,None
9,*,30,エルモ２,1,Action,552,Run,-1,None
1,*,31,ヘムヘム,0,Branch,44,???,3,Jump To 3
2,*,31,ヘムヘム,0,Branch,30,???,4,Jump To 4
3,*,31,ヘムヘム,0,Branch,28,???,15,Jump To 15
4,*,31,ヘムヘム,0,Branch,17,???,9,Jump To 9
5,*,31,ヘムヘム,0,Branch,25,???,12,Jump To 12
6,*,31,ヘムヘム,0,Branch,25,???,13,Jump To 13
7,*,31,ヘムヘム,0,Branch,26,???,14,Jump To 14
8,*,31,ヘムヘム,0,Branch,30,???,15,Jump To 15
9,*,31,ヘムヘム,0,Branch,25,???,13,Jump To 13
10,*,31,ヘムヘム,0,Branch,25,???,14,Jump To 14
11,*,31,ヘムヘム,0,Branch,30,???,15,Jump To 15
12,*,31,ヘムヘム,1,Action,550,Attack,2,Random Character
13,*,31,ヘムヘム,1,Action,29,仲間を呼ぶ,-1,None
14,*,31,ヘムヘム,1,Action,98,仲間を呼ぶ,-1,None
15,*,31,ヘムヘム,1,Action,552,Run,-1,None
1,*,32,汎用兵Ｂ１,0,Branch,21,???,5,Jump To 5
2,*,32,汎用兵Ｂ１,0,Branch,23,???,4,Jump To 4
3,*,32,汎用兵Ｂ１,1,Action,550,Attack,2,Random Character
4,*,32,汎用兵Ｂ１,1,Action,70,手榴弾,2,Random Character
5,*,32,汎用兵Ｂ１,1,Action,551,Guard,-1,None
1,*,37,ヤック,0,Branch,45,???,3,Jump To 3
2,*,37,ヤック,0,Branch,30,???,4,Jump To 4
3,*,37,ヤック,0,Branch,26,???,12,Jump To 12
4,*,37,ヤック,0,Branch,44,???,6,Jump To 6
5,*,37,ヤック,0,Branch,30,???,7,Jump To 7
6,*,37,ヤック,0,Branch,23,???,12,Jump To 12
7,*,37,ヤック,0,Branch,11,???,10,Jump To 10
8,*,37,ヤック,0,Branch,29,???,11,Jump To 11
9,*,37,ヤック,0,Branch,30,???,12,Jump To 12
10,*,37,ヤック,0,Branch,22,???,13,Jump To 13
11,*,37,ヤック,1,Action,550,Attack,2,Random Character
12,*,37,ヤック,1,Action,552,Run,-1,None
13,*,37,ヤック,1,Action,513,クイッカ,-1,None
32,*,50,マロッカ２,-1,None,-1,None,-1,None
1,*,51,アイガムハ,0,Branch,33,???,3,Jump To 3
2,*,51,アイガムハ,0,Branch,22,???,10,Jump To 10
3,*,51,アイガムハ,0,Branch,36,???,5,Jump To 5
4,*,51,アイガムハ,0,Branch,22,???,9,Jump To 9
5,*,51,アイガムハ,0,Branch,23,???,11,Jump To 11
6,*,51,アイガムハ,0,Branch,22,???,8,Jump To 8
7,*,51,アイガムハ,1,Action,550,Attack,2,Random Character
8,*,51,アイガムハ,1,Action,551,Guard,-1,None
9,*,51,アイガムハ,1,Action,503,パニカ,14,Character w/o Confusion
10,*,51,アイガムハ,1,Action,521,ウェイビィ,2,Random Character
11,*,51,アイガムハ,1,Action,57,怪音波,2,Random Character
1,*,57,イアールト,0,Branch,33,???,4,Jump To 4
2,*,57,イアールト,0,Branch,27,???,7,Jump To 7
3,*,57,イアールト,0,Branch,30,???,8,Jump To 8
4,*,57,イアールト,0,Branch,25,???,7,Jump To 7
5,*,57,イアールト,0,Branch,27,???,9,Jump To 9
6,*,57,イアールト,0,Branch,30,???,10,Jump To 10
7,*,57,イアールト,1,Action,550,Attack,2,Random Character
8,*,57,イアールト,1,Action,523,バーナ,-1,None
9,*,57,イアールト,1,Action,100,Ж術詠唱？,-1,None
10,*,57,イアールト,1,Action,552,Run,-1,None
1,*,63,メタルクリオネ,0,Branch,45,???,3,Jump To 3
2,*,63,メタルクリオネ,0,Branch,30,???,4,Jump To 4
3,*,63,メタルクリオネ,0,Branch,29,???,15,Jump To 15
4,*,63,メタルクリオネ,0,Branch,44,???,6,Jump To 6
5,*,63,メタルクリオネ,0,Branch,30,???,7,Jump To 7
6,*,63,メタルクリオネ,0,Branch,24,???,15,Jump To 15
7,*,63,メタルクリオネ,0,Branch,0,???,10,Jump To 10
8,*,63,メタルクリオネ,0,Branch,46,???,10,Jump To 10
9,*,63,メタルクリオネ,0,Branch,29,???,16,Jump To 16
10,*,63,メタルクリオネ,0,Branch,34,???,12,Jump To 12
11,*,63,メタルクリオネ,0,Branch,23,???,17,Jump To 17
12,*,63,メタルクリオネ,0,Branch,23,???,18,Jump To 18
13,*,63,メタルクリオネ,0,Branch,24,???,15,Jump To 15
14,*,63,メタルクリオネ,1,Action,550,Attack,2,Random Character
15,*,63,メタルクリオネ,1,Action,552,Run,-1,None
16,*,63,メタルクリオネ,1,Action,210,ＨＰ吸収,3,Character w/ Most HP
17,*,63,メタルクリオネ,1,Action,511,プワゾーク,19,Character w/o Poison
18,*,63,メタルクリオネ,1,Action,100,Ж術詠唱？,-1,None
1,*,64,ぶちクリオネ,0,Branch,45,???,3,Jump To 3
2,*,64,ぶちクリオネ,0,Branch,30,???,4,Jump To 4
3,*,64,ぶちクリオネ,0,Branch,28,???,15,Jump To 15
4,*,64,ぶちクリオネ,0,Branch,44,???,6,Jump To 6
5,*,64,ぶちクリオネ,0,Branch,30,???,7,Jump To 7
6,*,64,ぶちクリオネ,0,Branch,24,???,15,Jump To 15
7,*,64,ぶちクリオネ,0,Branch,0,???,10,Jump To 10
8,*,64,ぶちクリオネ,0,Branch,46,???,10,Jump To 10
9,*,64,ぶちクリオネ,0,Branch,28,???,16,Jump To 16
10,*,64,ぶちクリオネ,0,Branch,33,???,12,Jump To 12
11,*,64,ぶちクリオネ,0,Branch,24,???,17,Jump To 17
12,*,64,ぶちクリオネ,0,Branch,24,???,18,Jump To 18
13,*,64,ぶちクリオネ,0,Branch,22,???,15,Jump To 15
14,*,64,ぶちクリオネ,1,Action,550,Attack,2,Random Character
15,*,64,ぶちクリオネ,1,Action,552,Run,-1,None
16,*,64,ぶちクリオネ,1,Action,210,ＨＰ吸収,3,Character w/ Most HP
17,*,64,ぶちクリオネ,1,Action,510,プワザ,19,Character w/o Poison
18,*,64,ぶちクリオネ,1,Action,100,Ж術詠唱？,-1,None
1,*,66,ギャルブ,0,Branch,33,???,3,Jump To 3
2,*,66,ギャルブ,0,Branch,22,???,9,Jump To 9
3,*,66,ギャルブ,0,Branch,35,Already Executed?,5,Jump To 5
4,*,66,ギャルブ,0,Branch,22,???,8,Jump To 8
5,*,66,ギャルブ,0,Branch,21,???,7,Jump To 7
6,*,66,ギャルブ,1,Action,550,Attack,2,Random Character
7,*,66,ギャルブ,1,Action,551,Guard,-1,None
8,*,66,ギャルブ,1,Action,503,パニカ,14,Character w/o Confusion
9,*,66,ギャルブ,1,Action,528,グラシェス,2,Random Character
1,*,72,警備士,0,Branch,1,???,4,Jump To 4
2,*,72,警備士,0,Branch,28,???,7,Jump To 7
3,*,72,警備士,0,Branch,30,???,9,Jump To 9
4,*,72,警備士,0,Branch,26,???,7,Jump To 7
5,*,72,警備士,0,Branch,24,???,8,Jump To 8
6,*,72,警備士,0,Branch,30,???,9,Jump To 9
7,*,72,警備士,1,Action,550,Attack,2,Random Character
8,*,72,警備士,1,Action,80,薬草,7,Injured Enemy
9,*,72,警備士,1,Action,551,Guard,-1,None
1,*,86,はぐれクリオネ,0,Branch,45,???,3,Jump To 3
2,*,86,はぐれクリオネ,0,Branch,30,???,4,Jump To 4
3,*,86,はぐれクリオネ,0,Branch,29,???,16,Jump To 16
4,*,86,はぐれクリオネ,0,Branch,44,???,6,Jump To 6
5,*,86,はぐれクリオネ,0,Branch,30,???,7,Jump To 7
6,*,86,はぐれクリオネ,0,Branch,26,???,16,Jump To 16
7,*,86,はぐれクリオネ,0,Branch,0,???,10,Jump To 10
8,*,86,はぐれクリオネ,0,Branch,46,???,10,Jump To 10
9,*,86,はぐれクリオネ,0,Branch,26,???,17,Jump To 17
10,*,86,はぐれクリオネ,0,Branch,33,???,12,Jump To 12
11,*,86,はぐれクリオネ,0,Branch,23,???,18,Jump To 18
12,*,86,はぐれクリオネ,0,Branch,23,???,19,Jump To 19
13,*,86,はぐれクリオネ,0,Branch,23,???,20,Jump To 20
14,*,86,はぐれクリオネ,0,Branch,25,???,16,Jump To 16
15,*,86,はぐれクリオネ,1,Action,550,Attack,2,Random Character
16,*,86,はぐれクリオネ,1,Action,552,Run,-1,None
17,*,86,はぐれクリオネ,1,Action,210,ＨＰ吸収,3,Character w/ Most HP
18,*,86,はぐれクリオネ,1,Action,519,ジェドーサ,19,Character w/o Poison
19,*,86,はぐれクリオネ,1,Action,100,Ж術詠唱？,-1,None
20,*,86,はぐれクリオネ,1,Action,56,電撃,-1,None
1,*,88,ユールマラー２,0,Branch,45,???,3,Jump To 3
2,*,88,ユールマラー２,0,Branch,30,???,4,Jump To 4
3,*,88,ユールマラー２,0,Branch,24,???,6,Jump To 6
4,*,88,ユールマラー２,0,Branch,21,???,6,Jump To 6
