Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
47,ラ・コロナシオン,6,Neutral,242,2,"",X,"",0,Damage,4,All enemies,4,Enrique,1,30,0,0,150,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812876,60,エンリック攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
48,ハデにやろうぜ,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #4,5,Gilder,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812936,60,ギルダー攻撃技の第１弾です。\nＥＣ範囲に対する攻撃技です。
49,俺がギルダーだ！,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,30,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0,0,""
50,リヴェンジ,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,10,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812996,64,ヴァイス防御技の第１弾です。\n防御効果に加え、確実に反撃します。
51,スカルシールド,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,15,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813060,60,ヴァイス防御技の第２弾です。\nＥＣの直接攻撃を無効化します。
52,デルタシールド,6,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813120,60,アイカ防御技の第１弾です。\nＥＣのЖ術攻撃を無効化します。
53,ユプシロンミラー,6,Neutral,313,2,"",X,"",40,???,2,All characters,1,Aika,2,24,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813180,56,アイカ防御技の第２弾です。\nＥＣのЖ術攻撃を反射します。
54,月の恵み,6,Neutral,321,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,8,0,0,4,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813236,56,ファイナ防御技の第１弾です。\n毎ターンＨＰが回復します。
55,月の浄化,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813292,68,ファイナ防御技の第２弾です。\nＰＣ全員のステータス異常を解除します。
56,月の大いなるЖき,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,30,0,0,9999,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813360,64,ファイナ防御技の第３弾です。\nＰＣ全員を復活、完全回復します。
57,怒！,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813424,64,ドラクマの防御技です。\n防御効果に加え、ガッツを２倍回復します。
58,エスクード,6,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813488,56,エンリックの防御技です。\nＰＣ全員に防御効果があります。
59,効かねえなあ,6,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2813544,68,ギルダーの防御技です。\nＰＣ全員にステータス異常バリアを張ります。
60,クルー召喚,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0,0,""
61,４人合体,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0,0,""
