Entry ID,JP entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],[借ジャンク船],Type ID,[Type name],Element ID,[Element name],Purchase price,Pad. #0,Pad. #1,Retail price in %,Pad. #2,Attack,Hit%,Limit,Spirit,Feat. #0 ID,[Feat. #0 name],Pad. #3,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #4,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #5,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #6,Feat. #3 value,Order by prio.,JP order by ABC,Pad. #7,Pad. #8
427,長距離砲7,14,"","",X,X,X,"",2,Torpedo,2,Purple,400,0,0,50,0,330,190,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,27,27,0,0
428,長距離砲8,14,"","",X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,400,200,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,28,28,0,0
429,長距離砲9,10,"","",X,"",X,"",2,Torpedo,6,Neutral,400,0,0,50,0,240,190,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,29,29,0,0
430,ラムキャノン,32,X,"","","","","",3,Special,6,Neutral,0,0,0,0,0,300,75,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,30,30,0,0
431,デルフィナス砲,14,"","",X,X,X,"",3,Special,6,Neutral,0,0,0,0,0,700,200,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,31,31,0,0
432,最強主砲,14,"","",X,X,X,"",0,Main cannon,6,Neutral,50000,0,0,100,0,999,999,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,32,32,0,0
433,最強副砲,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,50000,0,0,100,0,500,999,3,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,33,33,0,0
434,最強長距離砲,14,"","",X,X,X,"",2,Torpedo,5,Silver,50000,0,0,100,0,750,999,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,34,34,0,0
435,ボーナス主砲,14,"","",X,X,X,"",0,Main cannon,6,Neutral,1000,0,0,50,0,550,350,0,18,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,35,35,0,0
436,ボーナス副砲,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,1000,0,0,50,0,230,380,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,36,36,0,0
437,ボーナス長距離砲,14,"","",X,X,X,"",2,Torpedo,6,Neutral,1000,0,0,50,0,320,280,3,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,37,37,0,0
438,変わった主砲,62,X,X,X,X,X,"",0,Main cannon,3,Blue,1000,0,0,50,0,300,300,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,38,38,0,0
439,変わった副砲,62,X,X,X,X,X,"",1,Secondary cannon,4,Yellow,1000,0,0,50,0,180,100,2,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,39,39,0,0
