Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,US Order 1,US Order 2,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
250,Risan Crystal,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,100,50,8,72,150,0,0,0,0,Green,0,Physical,7,Revival,50,0x336b80,100,"An ensorcelled crystal that has a 50% chance of
reviving one ally, with 50% of their maximum HP."
251,Riselem Crystal,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,100,50,9,73,450,0,0,0,0,Green,0,Physical,7,Revival,0,0x336be4,60,"An ensorcelled crystal that will revive an ally
to Max HP."
252,Glyph of Might,0b0010,"",X,"",21,Incr Attack & Defense,1,Single PC,100,50,10,3,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x336c20,72,"Developed by De Loco's Researchers.
Increases the Strength of one ally."
253,Glyph of Speed,0b0010,"",X,"",20,Incr Quick,2,All PCs,100,50,11,21,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x336c68,72,"Developed by De Loco's Researchers.
Increases the Speed of one ally."
254,Healing Salve,0b0010,"",X,"",33,Regenerate,1,Single PC,100,50,12,74,50,0,0,250,0,Green,0,Physical,0,Poison,0,0x336cb0,76,"Developed by De Loco's Researchers.
Allows one ally to regenerate health."
255,Chalice of Blood,0b0000,"","","",-1,None,0,None,0,100,51,53,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336cfc,64,"A valuable treasure sought by Zivilyn Bane in
the Dark Rift."
256,Windsong Orb,0b0000,"","","",-1,None,0,None,0,100,52,52,6000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336d3c,60,"A valuable treasure sought by Zivilyn Bane in
Mount Kazai."
257,Winter Orb,0b0000,"","","",-1,None,0,None,0,100,53,56,7000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336d78,56,"A valuable treasure sought by Zivilyn Bane in
Glacia."
258,Moonberry,0b0000,"","","",52,Learn S-Move,1,Single PC,100,0,13,49,50000,0,0,-1,-1,None,-1,None,0,Poison,0,0x336db0,92,"An edible fruit fertilized by Moon Stones.
Eating it will enable you to learn a technique."
259,Cham,0b0100,X,"","",53,Evolve Cupil,0,None,100,0,14,44,10000,0,0,-1,-1,None,-1,None,0,Poison,0,0x336e0c,96,"Cupil gets excited when Chams are in the area.
Feeding them to Cupil will enable him to evolve."
260,Paranta Seed,0b0100,X,"","",54,Grow Power,1,Single PC,100,1,17,65,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x336e6c,88,"The seed of a Paranta Tree, which blooms under
a full Red Moon. Increases Power by 3."
261,Icyl Seed,0b0100,X,"","",55,Grow Will,1,Single PC,100,1,18,7,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x336ec4,88,"The seed of an Icyl Tree, which blooms under a
full Purple Moon. Increases Will by 3."
262,Zaal Seed,0b0100,X,"","",56,Grow Vigor,1,Single PC,100,1,19,36,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x336f1c,88,"The seed of a Zaal Tree, which blooms under a
full Yellow Moon. Increases Vigor by 3."
263,Dexus Seed,0b0100,X,"","",57,Grow Agile,1,Single PC,100,1,20,2,15000,0,0,1,-1,None,-1,None,0,Poison,0,0x336f74,96,"The seed of a Dexus Tree, which blooms under
the light of 6 full moons. Increases Agile by 1."
264,Sylph Seed,0b0100,X,"","",58,Grow Quick,1,Single PC,100,1,21,37,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x336fd4,88,"The seed of a Sylph Tree, which blooms under a
full Blue Moon. Increases Quick by 3."
265,Vidal Seed,0b0100,X,"","",59,Grow MAXHP,1,Single PC,100,1,22,66,5000,0,0,30,-1,None,-1,None,0,Poison,0,0x33702c,88,"The seed of a Vidal Tree, which blooms under a
full Green Moon. Increases Max HP by 30."
266,Magus Seed,0b0100,X,"","",60,Grow MAXMP,1,Single PC,100,1,23,26,5000,0,0,1,-1,None,-1,None,0,Poison,0,0x337084,88,"The seed of a Magus Tree, which blooms under a
full Silver Moon. Increases Max MP by 1."
267,Pyri Box,0b0010,"",X,"",0,Damage,4,All ECs,8,1,24,68,400,0,0,150,1,Red,1,Magical,0,Poison,0,0x3370dc,96,"A mage of the Red Moon has enchanted a box with
the spell, Pyri. It can be used more than once."
268,Pyrum Box,0b0010,"",X,"",0,Damage,4,All ECs,16,1,25,63,1200,0,0,360,1,Red,1,Magical,0,Poison,0,0x33713c,84,"A mage of the Red Moon has enchanted a box with
the spell, Pyrum. 5 or 6 charges."
269,Crystales Box,0b0010,"",X,"",0,Damage,3,Single EC,12,1,26,25,800,0,0,330,2,Purple,1,Magical,0,Poison,0,0x337190,88,"A mage of the Purple Moon has enchanted a box
with the spell Crystales. 7 or 8 charges."
270,Crystalen Box,0b0010,"",X,"",0,Damage,3,Single EC,24,1,27,58,1600,0,0,600,2,Purple,1,Magical,0,Poison,0,0x3371e8,88,"A mage of the Purple Moon has enchanted a box
with the spell Crystalen. 3 or 4 charges."
271,Wevles Box,0b0010,"",X,"",0,Damage,33,EC Square S5,12,1,28,14,800,0,0,285,3,Blue,1,Magical,0,Poison,0,0x337240,84,"A mage of the Blue Moon has enchanted a box
with the spell Wevles. 7 or 8 charges."
272,Wevlen Box,0b0010,"",X,"",0,Damage,34,EC Square S7,24,1,29,42,1600,0,0,525,3,Blue,1,Magical,0,Poison,0,0x337294,84,"A mage of the Blue Moon has enchanted a box
with the spell Wevlen. 3 or 4 charges."
273,Electri Box,0b0010,"",X,"",0,Damage,36,EC Ray S1,8,1,30,16,400,0,0,180,4,Yellow,1,Magical,0,Poison,0,0x3372e8,96,"A mage of the Yellow Moon has enchanted a box
with the spell Electri. It has several charges."
274,Electrum Box,0b0010,"",X,"",0,Damage,37,EC Ray S3,16,1,31,5,1200,0,0,420,4,Yellow,1,Magical,0,Poison,0,0x337348,88,"A mage of the Yellow Moon has enchanted a box
with the spell Electrum. 5 or 6 charges."
275,Sacri Box,0b0010,"",X,"",31,Recover HP,1,Single PC,8,1,32,12,800,0,0,500,-1,None,-1,None,0,Poison,0,0x3373a0,92,"A mage of the Green Moon has enchanted a box
with the spell Sacri. It has several charges."
276,Sacrulen Box,0b0010,"",X,"",31,Recover HP,2,All PCs,16,1,33,13,1200,0,0,1000,-1,None,-1,None,0,Poison,0,0x3373fc,88,"A mage of the Green Moon has enchanted a box
with the spell Sacrulen. 5 or 6 charges."
277,Riselem Box,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,32,1,34,38,2400,0,0,0,0,Green,0,Physical,7,Revival,0,0x337454,92,"A mage of the Silver Moon has enchanted a box
with the spell Riselem. This box is fragile!"
278,Sylenis Box,0b0010,"",X,"",12,Silence,3,Single EC,12,1,35,47,600,0,0,0,0,Green,0,Physical,5,Silence,30,0x3374b0,88,"A mage of the Purple Moon has enchanted a box
with the spell Sylenis. 7 or 8 charges."
279,Panika Box,0b0010,"",X,"",11,Confusion,3,Single EC,24,1,36,28,1200,0,0,0,0,Green,0,Physical,4,Confusion,30,0x337508,88,"A mage of the Purple Moon has enchanted a box
with the spell Panika. 3 or 4 charges."
280,Driln Box,0b0010,"",X,"",26,Decr All Attr,3,Single EC,12,1,37,43,600,0,0,0,0,Green,0,Physical,8,Weak,50,0x337560,84,"A mage of the Yellow Moon has enchanted a box
with the spell Driln. 7 or 8 charges."
281,Slipara Box,0b0010,"",X,"",9,Sleep,4,All ECs,24,1,38,34,1200,0,0,0,0,Green,0,Physical,3,Sleep,50,0x3375b4,84,"A mage of the Blue Moon has enchanted a box
with the spell Slipara. 3 or 4 charges."
282,Eternum Box,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,32,1,39,39,3600,0,0,250,5,Silver,1,Magical,49,???,0,0x337608,92,"A mage of the Silver Moon has enchanted a box
with the spell Eternum. This box is fragile!"
283,Rune of Ill Omen,0b0000,"","","",-1,None,0,None,0,100,47,55,1000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337664,56,"A valuable treasure sought by Zivilyn Bane in
Pyrynn."
284,Golden Mask,0b0000,"","","",-1,None,0,None,0,100,48,50,2000,0,0,0,0,Green,0,Physical,0,Poison,0,0x33769c,56,"A valuable treasure sought by Zivilyn Bane in
Rixis."
285,Sky Sardis,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,58,40,1,0,0,1,-1,None,-1,None,0,Poison,0,0x3376d4,92,"A common fish at the bottom of the food chain.
They are fare for most Mid Ocean residents."
286,Red Sardis,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,59,0,10,0,0,1,-1,None,-1,None,0,Poison,0,0x337730,88,"A type of fish that doesn't taste very good,
but is valued for its firey red scales."
287,Flying Fish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,60,41,2,0,0,1,-1,None,-1,None,0,Poison,0,0x337788,64,"Most commonly found near Mid Ocean. Has thick,
barbed scales."
288,Spiked Sunfish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,61,59,20,0,0,1,-1,None,-1,None,0,Poison,0,0x3377c8,80,"Spiked Sunfish travel in schools
avoid predators. They can be eaten or sold."
289,Abirik Cham,0b0100,X,"","",75,Evolve Cupil Now,0,None,100,0,15,67,50000,0,0,-1,-2,???,-1,None,0,Poison,0,0x337818,52,"If Cupil eats an Abirik Cham
into his next form."
290,Chom,0b0100,X,"","",76,Reset Cupil,0,None,100,1,16,46,3000,0,0,-1,-2,???,-1,None,0,Poison,0,0x33784c,72,"A contaminated form of Cham that causes Cupil
to regurgitate all Chams."
291,Gold Pollen,0b0000,"","","",-1,None,0,None,100,100,41,9,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337894,84,"Pollen from the Kanezl Plants found north of
Nasr. An expensive export of Nasrad."
292,Ilchymix,0b0100,X,"","",51,Recover HP & MP by 100% B,2,All PCs,100,100,46,4,400,0,0,10000,-1,None,-1,None,0,Poison,0,0x3378e8,96,"Ilchymis' special mix of herbs, this amazing
potion will fully restore the party's HP and MP."
293,Orb of Serenity,0b0000,"","","",-1,None,0,None,0,100,54,57,10000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337948,56,"A valuable treasure sought by Zivilyn Bane in
Soltis."
294,Kabal Skewer,0b0110,X,X,"",48,Recover MP,1,Single PC,100,100,42,33,100,0,0,2,-1,None,-1,None,0,Poison,0,0x337980,84,"A traditional Nasr dish featuring grilled Kabal
meat. Restores one ally's MP by 2."
295,Mom's Skewer,0b0110,X,X,"",49,Recover MP of 100%,1,Single PC,100,100,43,19,200,0,0,100,-1,None,-1,None,0,Poison,0,0x3379d4,92,"A Kabal Skewer made with only the finest of
ingredients. Completely restores one ally's MP."
296,Tropica ,0b0100,X,"","",59,Grow MAXHP,1,Single PC,100,100,40,61,1000,0,0,200,-1,None,-1,None,0,Poison,0,0x337a30,84,"An extremely rare gourd, found in Ixa'taka,
that increases an ally's Max HP by 200."
297,Urala's Lunch,0b0100,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,44,8,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x337a84,84,"A meal made from exotic ingredients that 
fully replenishes the party's HP and MP."
298,Polly Special,0b0100,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,45,69,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x337ad8,84,"A meal made from rare ingredients that 
fully replenishes the party's HP and MP."
299,Magillex Idol,0b0000,"","","",-1,None,0,None,0,100,55,70,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337b2c,68,"One of the three lost sacred figurines that
Pinta is looking for."
300,Pharax Idol,0b0000,"","","",-1,None,0,None,0,100,56,6,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337b70,68,"One of the three lost sacred figurines that
Pinta is looking for. "
301,Euconyx Idol,0b0000,"","","",-1,None,0,None,0,100,57,17,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
302,ダミー,0b0000,"","","",-1,None,0,None,0,0,77,77,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
303,ダミー,0b0000,"","","",-1,None,0,None,0,0,78,78,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
304,ダミー,0b0000,"","","",-1,None,0,None,0,0,79,79,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
305,Drajik Fish,0b0000,"","","",-1,None,0,None,100,100,76,27,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x337bb4,92,"A fish, believed to be extinct since the Old
World, recently discovered near the Dark Rift."
306,Kite Ray,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,62,11,5,0,0,10,-1,None,-1,None,0,Poison,0,0x337c10,68,"Found near Valua. An air fish that's known
for it's great taste."
307,Stealth Ray,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,63,35,50,0,0,10,-1,None,-1,None,0,Poison,0,0x337c54,76,"A larger ray, rarely caught. Valued for its
hide, rather than consumption."
308,Spear Squid,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,64,71,30,0,0,1,-1,None,-1,None,0,Poison,0,0x337ca0,72,"These small creatures are often found in windy
areas. They are small"
309,Drill Squid,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,65,60,300,0,0,10,-1,None,-1,None,0,Poison,0,0x337ce8,76,"Larger than a Spear Squid, and can make a
decent meal. Can be eaten raw."
310,Grule,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,66,45,40,0,0,10,-1,None,-1,None,0,Poison,0,0x337d34,92,"A fish found near the Dark Rift. Despite its
grotesque appearance, it tastes pretty good."
311,Rainbow Grule,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,67,62,400,0,0,50,-1,None,-1,None,0,Poison,0,0x337d90,96,"A fish that uses a glowing tentacle as a lure
to catch smaller fish. These fish are delicious."
312,Moonfish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,68,48,150,0,0,10,-1,None,-1,None,0,Poison,0,0x337df0,88,"Its body is a translucent white. It's found at
high altitudes, and has a bland taste."
313,Silverfish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,69,20,1500,0,0,500,-1,None,-1,None,0,Poison,0,0x337e48,88,"A rare fish found at high altitudes above Mid
Ocean. Very high in nutritional value."
314,Romuhai Fish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,70,76,100,0,0,50,-1,None,-1,None,0,Poison,0,0x337ea0,84,"Has fins that look like wings. Commonly eaten in
the East raw, or cooked in broth."
315,Hamahai Fish,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,71,64,1000,0,0,100,-1,None,-1,None,0,Poison,0,0x337ef4,92,"Found at high altitudes above Yaftoma. Prized
as a delicacy, but not much of it is edible."
316,Nerath Eel,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,72,1,80,0,0,10,-1,None,-1,None,0,Poison,0,0x337f50,72,"An eel found in dark areas, under clouds or
continents. Barely edible."
317,Great Nerath Eel,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,73,10,800,0,0,1,-1,None,-1,None,0,Poison,0,0x337f98,88,"A Nerath Eel that has lived for years.
Good food for those who need an energy boost."
318,Red Dragon,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,74,75,200,0,0,50,-1,None,-1,None,0,Poison,0,0x337ff0,72,"Very little is known about this rare creature.
Its meat is a delicacy."
319,Gold Dragon,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,75,22,2000,0,0,100,-1,None,-1,None,0,Poison,0,0x338038,64,"An extremely rare creature. The wealthy would 
pay bags of gold"
