Entry ID,Entry US Name,Sell%,US Order 1,US Order 2,Buy,[US Descr Pos],[US Descr Size],US Descr Str
351,Book of Polarity,0,27,17,0,0x3389c0,100,An old Yafutoman text explaining the process of\nenabling ships to fly to high and low altitudes.
352,Velorium,0,29,3,0,0x338a24,88,A rare type of metal found in Deep Sky.\nIt is many times stronger than normal steel.
353,Velorium,0,30,4,0,0x0,0,""
354,最終兵器３,0,37,37,0,0x0,0,""
355,Harbor Key,0,25,11,0,0x338a7c,84,"A small, brass key to the Valuan Imperial\nharbor. It has a dragon embossed on it."
356,Magic Cannon,0,14,12,0,0x338ad0,84,A device attached to cannons that allows them\nto fire shots empowered with magic.
357,Wages,0,20,7,0,0x338b24,92,"Contains the 5,000 gold that Aika and Fina\nearned while working at the tavern in Nasrad."
358,Grapor Meat,0,18,29,0,0x338b80,96,"Meat from the rare fish, the Grapor. This fish\nis only found in the forests of Crescent Isle."
359,Domingo's Title,0,31,36,0,0x338be0,88,A certificate from Domingo proclaiming Vyse to\nbe a “Treasure Hunter Extraordinaire.”
360,ダミークリア,0,-1,-1,0,0x0,0,""
361,ダミークリア,0,-1,-1,0,0x0,0,""
362,ダミークリア,0,-1,-1,0,0x0,0,""
363,ダミークリア,0,-1,-1,0,0x0,0,""
364,ダミークリア,0,-1,-1,0,0x0,0,""
365,ダミークリア,0,-1,-1,0,0x0,0,""
366,ダミークリア,0,-1,-1,0,0x0,0,""
367,ダミークリア,0,-1,-1,0,0x0,0,""
368,ダミークリア,0,-1,-1,0,0x0,0,""
369,ダミークリア,0,-1,-1,0,0x0,0,""
370,ダミークリア,0,-1,-1,0,0x0,0,""
371,ダミークリア,0,-1,-1,0,0x0,0,""
372,ダミークリア,0,-1,-1,0,0x0,0,""
373,ダミークリア,0,-1,-1,0,0x0,0,""
374,ダミークリア,0,-1,-1,0,0x0,0,""
375,ダミークリア,0,-1,-1,0,0x0,0,""
376,ダミークリア,0,-1,-1,0,0x0,0,""
377,ダミークリア,0,-1,-1,0,0x0,0,""
378,ダミークリア,0,-1,-1,0,0x0,0,""
379,ダミークリア,0,-1,-1,0,0x0,0,""
380,ダミークリア,0,-1,-1,0,0x0,0,""
381,ダミークリア,0,-1,-1,0,0x0,0,""
382,ダミークリア,0,-1,-1,0,0x0,0,""
383,ダミークリア,0,-1,-1,0,0x0,0,""
384,ダミークリア,0,-1,-1,0,0x0,0,""
385,ダミークリア,0,-1,-1,0,0x0,0,""
386,ダミークリア,0,-1,-1,0,0x0,0,""
387,ダミークリア,0,-1,-1,0,0x0,0,""
388,ダミークリア,0,-1,-1,0,0x0,0,""
389,ダミークリア,0,-1,-1,0,0x0,0,""
390,ダミークリア,0,-1,-1,0,0x0,0,""
391,ダミークリア,0,-1,-1,0,0x0,0,""
392,ダミークリア,0,-1,-1,0,0x0,0,""
393,ダミークリア,0,-1,-1,0,0x0,0,""
394,ダミークリア,0,-1,-1,0,0x0,0,""
395,ダミークリア,0,-1,-1,0,0x0,0,""
396,ダミークリア,0,-1,-1,0,0x0,0,""
397,ダミークリア,0,-1,-1,0,0x0,0,""
398,ダミークリア,0,-1,-1,0,0x0,0,""
399,ダミークリア,0,-1,-1,0,0x0,0,""
