Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Purchase price,Retail price in %,Order by prio.,EU order by ABC,Padding #0,Padding #1,Padding #2,Ship effect amount,Element ID,[Element name],Unknown #0,Unknown #1,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
495,2150456032,126145,15,Thermal Grease,125600,14,Grasa Térmica,126150,15,Thermo-graisse,123689,15,Thermal Grease,1,"","",X,103,Recover Spirit to 100% (Ship),-1,100,1000,50,15,27,0,0,0,0,0,Green,0,0,0,110811,95,Verhindert Hochgeschwindigkeits-Pannen aufgrund\nvon Hitze. Stellt Spirit komplett wieder her.,109833,94,Previene las averías producidas por la fricción\na gran velocidad. Restaura todo el Espíritu.,110248,76,Evite les pannes de chaleur dûes à la\nvitesse. Redonne tout l'Esprit (ES).,108619,78,Prevents heat-related breakdowns at high speeds.\nRestores Spirit completely.
496,2150456048,126160,17,Captain's Stripe,125614,17,Galón de Capitán,126165,7,Galon,123704,17,Captain's Stripe,4,X,"","",115,Captain's Stripe,-1,100,0,50,16,4,0,0,0,0,0,Green,0,0,0,110906,90,Auszeichnung für das Abschießen eines Feindes.\nVerbessert Schiffsparameter und Ausdauer.,109927,91,"Ganado al abatir a un enemigo. Si se usa,\naumenta los parámetros y resistencia del navío.",110324,89,Galon obtenu en abattant un ennemi. Il accroît\nles paramètres et l'endurance du navire.,108697,96,A mark earned by shooting down an enemy. Using\nit will increase ship parameters and endurance.
497,2150956828,126177,8,Apa Wax,125631,9,Cera Apa,126172,9,Cire Apa,123721,8,Apa Wax,1,"","",X,105,Add Strengthen (Ship),2,100,100,50,17,0,0,0,0,0,0,Green,0,0,0,110996,88,Auftragen auf Schiff und Kanonen verbessert\nAttack und Defense Power für 2 Durchgänge.,110018,94,Al aplicar esta cera al navío y cañones mejora\nel poder de Ataque y de Defensa por 2 turnos.,110413,93,Appliquer cette cire au navire et aux canons\naugmente l'Attaque et la Défense pour 2 tours.,108793,90,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 2 turns.
498,2150956836,126185,8,Apo Wax,125640,9,Cera Apo,126181,10,Cire Apo,123729,8,Apo Wax,1,"","",X,105,Add Strengthen (Ship),4,100,1000,50,18,1,0,0,0,0,0,Green,0,0,0,111084,88,Auftragen auf Schiff und Kanonen verbessert\nAttack und Defense Power für 4 Durchgänge.,110112,94,Al aplicar esta cera al navío y cañones mejora\nel poder de Ataque y de Defensa por 4 turnos.,110506,93,Appliquer cette cire au navire et aux canons\naugmente l'Attaque et la Défense pour 4 tours.,108883,90,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 4 turns.
499,2150456068,126193,10,Speed Wax,125649,15,Cera Velocidad,126191,13,Cire Vitesse,123737,10,Speed Wax,1,"","",X,104,Add Quickened (Ship),1,100,150,50,19,26,0,0,0,0,0,Green,0,0,0,111172,88,Auftragen dieses Wachses auf den Motor ver-\nbessert die Motorleistung für 1 Durchgang.,110206,82,Al aplicar esta cera al motor mejora el\nfuncionamiento de éste durante 1 turno.,110599,72,Appliquer cette cire au moteur améliore son\nrendement pendant un tour.,108973,68,Applying this wax to the engine improves engine\noutput for 1 turn.
500,2150456080,126203,11,Hybrid Wax,125664,13,Cera Híbrida,126204,13,Cire Hybride,123747,11,Hybrid Wax,1,"","",X,108,Improve parameters (Ship),4,100,1500,50,20,15,0,0,0,0,0,Green,0,0,0,111260,91,Von De Loco entwickeltes Wachs. Verbessert\nverschiedene Schiffsparameter für 1 Durchgang.,110288,84,Cera desarrollada por De Loco. Mejora\nvarios parámetros del navío durante 1 turno.,110671,84,Cire développée par De Loco. Améliore divers\nparamètres du navire pendant un tour.,109041,72,Wax developed by De Loco. Improves\nvarious ship parameters for 1 turn.
501,2150456092,126214,12,Heat Sensor,125677,16,Sensor de Calor,126217,16,Capteur Chaleur,123758,12,Heat Sensor,1,"","",X,112,Improve Critical% (Ship),0,100,2000,50,21,13,0,0,0,0,0,Green,0,0,0,111351,92,Ermittelt Maschinenraum von Feindschiffen zum\nbesseren Anpeilen. Erhöht Critical Hit Rate.,110372,93,Detecta la sala de máquinas del navío enemigo\npara disparar. Aumenta los Aciertos Críticos.,110755,98,Détecte le moteur des navires ennemis pour aider\nles canonniers à cibler. Plus de Coups mortels.,109113,92,Detects the engine room of enemy ships to help\nyour gunners aim. Raises Critical Hit Rate.
502,2150456104,126226,14,Rudder Grease,125693,15,Grasa de Timón,126233,17,Graisse Gouverne,123770,14,Rudder Grease,1,"","",X,113,Decrease Spirit consumption to 50% (Ship),0,100,2000,50,22,23,0,0,0,0,0,Green,0,0,0,111443,66,Verbessert die Steuerung und setzt Spirit-\nVerbrauchsrate herab.,110465,72,Mejora el funcionamiento del timón\ny disminuye el consumo de Espíritu.,110853,89,Améliore la manipulation du gouvernail et\nralentit le taux de consommation de l'Esprit.,109205,70,"Improves rudder operation, and slows the rate\nof Spirit consumption."
503,2150456120,126240,12,Machine Oil,125708,16,Aceite de Motor,126250,17,Huile de Machine,123784,12,Machine Oil,1,"","",X,114,Increase Spirit restoration to 200% (Ship),0,100,2000,50,23,17,0,0,0,0,0,Green,0,0,0,111509,94,Maschinenteile ölen stabilisiert die Leistung\nund verdoppelt die Rate der Spirit-Erneuerung.,110537,97,Al aplicarlo a las piezas del motor estabiliza\nla potencia y dobla la restauración de Espíritu.,110942,93,Appliquer l'huile sur le moteur le stabilise et\ndouble son taux de restoration de l'Esprit.,109275,94,"Applying oil to the engine parts stabilizes\noutput, doubling the rate of Spirit restoration."
504,2150456132,126252,12,Light Alloy,125724,16,Aleación Ligera,126267,14,Alliage Léger,123796,12,Light Alloy,1,"","",X,111,Improve First strike% (Ship),0,100,2000,50,24,16,0,0,0,0,0,Green,0,0,0,111603,92,"Legierungen machen den Schiffsrumpf leichter.\ngang, entwickelt von einem Meisteringenieur.",110634,94,Aleación del casco del navío que lo hace más\nligero. Aumenta la posibilidad de Primer Golpe.,111035,99,Alliage qui s'intègre à la coque pour alléger le\nnavire. Accroît les chances de tirer en premier.,109369,90,Alloy blends with the ship's hull to make it\nlighter. Improves chances for first strike.
505,2150456144,126264,10,Hex Shell,125740,16,Escudo Benéfico,126281,14,Bouclier Sort,123808,10,Hex Shell,1,"","",X,109,Block artillery (Ship),0,100,5000,50,25,14,0,0,0,0,0,Green,0,0,0,111695,83,"Barriere gegen Artillerie für 1 Durchgang,\nentwickelt von einem Meisteringenieur.",110728,90,Escudo que protege de ataques de artillería\npor 1 turno. Hecha por un maestro ingeniero.,111134,92,"Barrière contre les attaques d'artillerie pour\n1 tour, développée par un maître ingénieur.",109459,82,"A barrier against artillery attacks for 1 turn,\ndeveloped by a master engineer."
506,2150456156,126274,12,Magic Shell,125756,16,Escudo de Magia,126295,15,Bouclier Magie,123818,12,Magic Shell,1,"","",X,110,Block magic (Ship),0,100,2500,50,26,20,0,0,0,0,0,Green,0,0,0,111778,82,"Abwehr magischer Angriffe für 1 Durchgang,\nentwickelt von einem Meisterzauberer.",110818,90,Barrera que protege de los ataques de magia\ndurante 1 turno. Creado por un maestro mago.,111226,90,"Barrière contre les attaques de magie pendant\n1 tour, développée par un maître magicien.",109541,77,"A barrier against magic attacks for 1 turn,\ndeveloped by a master magician."
507,2150456168,126286,13,Gold Bullion,125772,15,Lingote de Oro,126310,12,Lingot d'Or,123830,13,Gold Bullion,0,"","","",-1,None,-1,-1,10000,100,27,12,0,0,0,0,0,Green,0,0,0,111860,82,"Reines Gold, zu schwer zum Tragen. Man kann\nes verkaufen, wenn man Geld braucht.",110908,86,"Pieza de oro macizo, demasiado grande para \nacarrear. Guárdala o véndela por dinero.",111316,91,Lingot d'or pur trop lourd à porter. Gardez-le\nou vendez-le si vous avez besoin d'argent.,109618,93,"A piece of solid gold, too big to carry. You can\nkeep it, or sell it if you need the money."
508,2150456184,126299,13,Crystal Ball,125787,16,Bola de Cristal,126322,17,Boule de Cristal,123843,13,Crystal Ball,0,"","","",-1,None,-1,-1,1000,100,28,7,0,0,0,0,0,Green,0,0,0,111942,95,"Kunstwerk von einem bekannten Handwerker. Zum\nBehalten oder Verkaufen, wenn man Geld braucht.",110994,79,Obra de un célebre artesano. Puedes\nguardarla o venderla si necesitas dinero.,111407,92,Oeuvre d'art d'un artisan très connu. Gardez-la\nou vendez-la si vous avez besoin d'argent.,109711,93,"A work of art by a well-known craftsman. You can\nkeep it, or sell it if you need the money."
509,2150456200,126312,13,Magic Cannon,125803,13,Cañón Mágico,126339,14,Canon Magique,123856,13,Magic Cannon,0,"","","",-1,None,-1,-1,0,0,29,18,0,0,0,0,0,Green,0,0,0,112037,94,"Kanone, die magische Geschosse abfeuert. Von\nBelleza im Kampf über der Nasr Wüste entwendet.",111073,89,Dispara proyectiles mágicos. Robado a Belleza\nen una batalla sobre el desierto de Nasr.,111499,94,Dispositif lançant des projectiles magiques.\nPris à Belleza dans la bataille du désert Nasr.,109804,95,A device that fires magic projectiles. Stolen\nfrom Belleza in a battle above the Nasr desert.
