Entry ID,Message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE arm. #0 name pos.],[DE arm. #0 name size],DE arm. #0 name string,[ES arm. #0 name pos.],[ES arm. #0 name size],ES arm. #0 name string,[FR arm. #0 name pos.],[FR arm. #0 name size],FR arm. #0 name string,[GB arm. #0 name pos.],[GB arm. #0 name size],GB arm. #0 name string,Arm. #0 type ID,[Arm. #0 type name],Arm. #0 attack,Arm. #0 range,Arm. #0 hit%,Arm. #0 element ID,[Arm. #0 element name],[DE arm. #1 name pos.],[DE arm. #1 name size],DE arm. #1 name string,[ES arm. #1 name pos.],[ES arm. #1 name size],ES arm. #1 name string,[FR arm. #1 name pos.],[FR arm. #1 name size],FR arm. #1 name string,[GB arm. #1 name pos.],[GB arm. #1 name size],GB arm. #1 name string,Arm. #1 type ID,[Arm. #1 type name],Arm. #1 attack,Arm. #1 range,Arm. #1 hit%,Arm. #1 element ID,[Arm. #1 element name],[DE arm. #2 name pos.],[DE arm. #2 name size],DE arm. #2 name string,[ES arm. #2 name pos.],[ES arm. #2 name size],ES arm. #2 name string,[FR arm. #2 name pos.],[FR arm. #2 name size],FR arm. #2 name string,[GB arm. #2 name pos.],[GB arm. #2 name size],GB arm. #2 name string,Arm. #2 type ID,[Arm. #2 type name],Arm. #2 attack,Arm. #2 range,Arm. #2 hit%,Arm. #2 element ID,[Arm. #2 element name],[DE arm. #3 name pos.],[DE arm. #3 name size],DE arm. #3 name string,[ES arm. #3 name pos.],[ES arm. #3 name size],ES arm. #3 name string,[FR arm. #3 name pos.],[FR arm. #3 name size],FR arm. #3 name string,[GB arm. #3 name pos.],[GB arm. #3 name size],GB arm. #3 name string,Arm. #3 type ID,[Arm. #3 type name],Arm. #3 attack,Arm. #3 range,Arm. #3 hit%,Arm. #3 element ID,[Arm. #3 element name],Padding #0,Padding #1,Padding #2,Padding #3,Padding #4,Padding #5,EXP,Gold,Item drop #0 ID,[Item drop #0 name],Item #0 ID,[Item #0 name],Item drop #1 ID,[Item drop #1 name],Item #1 ID,[Item #1 name],Item drop #2 ID,[Item drop #2 name],Item #2 ID,[Item #2 name]
10,2150454376,124627,17,Gregorio Gunboat,123973,17,Gregorio Gunboat,124566,17,Gregorio Gunboat,122141,17,Gregorio Gunboat,30000,120,270,300,70,5,10,10,8,8,10,7,10,126854,12,Hauptkanone,126332,16,Cañón Principal,126867,16,Canon Principal,124391,12,Main Cannon,0,Main cannon,270,0,90,6,Neutral,126866,17,Splittergeschütz,126348,13,Fragmentador,126883,12,Fragmenteur,124403,15,Fragmenter Gun,1,Secondary cannon,220,3,85,6,Neutral,126883,17,Explosionsladung,126361,17,Ataque Explosivo,126895,17,Charge Explosive,124418,13,Blast Charge,2,Torpedo,250,3,70,6,Neutral,126900,2,-,126378,2,-,126912,2,-,124431,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,483,Shredder Bomb,7,Kalifa,508,Crystal Ball,-1,None,-1,None
11,2150956712,124644,5,Lynx,123990,5,Lynx,124583,5,Lynx,122158,5,Lynx,25000,130,40,150,65,30,10,10,5,5,9,3,10,126902,12,Lynx-Kanone,126380,11,Cañón Lynx,126914,11,Canon Lynx,124433,12,Lynx Cannon,0,Main cannon,130,0,90,6,Neutral,126914,17,Lynx-Hilfskanone,126391,14,Subcañón Lynx,126925,14,Subcanon Lynx,124445,15,Lynx Subcannon,1,Secondary cannon,110,2,88,6,Neutral,126931,13,Lynx-Torpedo,126405,13,Torpedo Lynx,126939,14,Torpille Lynx,124460,13,Lynx Torpedo,2,Torpedo,100,2,60,6,Neutral,126944,2,-,126418,2,-,126953,2,-,124473,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3520,2400,0,100%,496,Captain's Stripe,0,100%,509,Magic Cannon,0,100%,411,"3"" Blaster"
12,2150454396,124649,10,Chameleon,123995,10,Chameleon,124588,10,Chameleon,122163,10,Chameleon,30000,130,100,200,60,20,15,10,10,10,20,5,10,126946,11,Drehkanone,126420,15,Cañón Revólver,126955,15,Canon Révolver,124475,16,Revolver Cannon,0,Main cannon,155,0,90,6,Neutral,126957,18,Hilfskanone Typ D,126435,16,Subcañón Tipo D,126970,16,Subcanon Type D,124491,17,Type D Subcannon,1,Secondary cannon,120,1,70,6,Neutral,126975,14,Torpedo Typ D,126451,15,Torpedo Tipo D,126986,16,Torpille Type D,124508,15,Type D Torpedo,2,Torpedo,160,2,70,6,Neutral,126989,14,Flammenwerfer,126466,12,Lanzallamas,127002,14,Lance-flammes,124523,13,Flamethrower,3,Special,300,0,-1,6,Neutral,0,0,0,0,0,0,2900,1900,0,100%,496,Captain's Stripe,4,50%,404,B-Type Cannon,-1,None,-1,None
13,2150454396,124659,10,Chameleon,124005,10,Chameleon,124598,10,Chameleon,122173,10,Chameleon,30000,130,150,230,60,20,15,10,10,10,20,5,10,127003,15,Handfeuerwaffe,126478,9,Revólver,127016,9,Pistolet,124536,8,Handgun,0,Main cannon,170,0,100,6,Neutral,127018,18,Hilfskanone Typ D,126487,16,Subcañón Tipo D,127025,16,Subcanon Type D,124544,17,Type D Subcannon,1,Secondary cannon,180,1,70,6,Neutral,127036,14,Torpedo Typ D,126503,15,Torpedo Tipo D,127041,16,Torpille Type D,124561,15,Type D Torpedo,2,Torpedo,200,2,70,6,Neutral,127050,11,Testkanone,126518,12,Cañón Test,127057,11,Canon Test,124576,12,Test Cannon,3,Special,350,0,-1,6,Neutral,0,0,0,0,0,0,4170,2400,4,50%,423,Hunter Torpedo,-1,None,-1,None,-1,None,-1,None
14,2150454396,124669,10,Chameleon,124015,10,Chameleon,124608,10,Chameleon,122183,10,Chameleon,30000,200,150,380,120,20,30,3,3,3,3,0,3,127061,17,Chameleon-Kanone,126530,16,Cañón Camaleón,127068,15,Canon Caméléon,124588,17,Chameleon Cannon,0,Main cannon,300,0,60,6,Neutral,127078,15,De Loco-Kanone,126546,14,Cañón De Loco,127083,14,Canon De Loco,124605,15,De Loco Cannon,1,Secondary cannon,250,2,70,6,Neutral,127093,16,De Loco-Torpedo,126560,16,Torpedo De Loco,127097,16,Torpille DeLoco,124620,16,De Loco Torpedo,2,Torpedo,550,3,70,6,Neutral,127109,16,De Loco-Harpune,126576,14,Arpón De Loco,127113,15,Harpon De Loco,124636,16,De Loco Harpoon,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7000,0,100%,496,Captain's Stripe,0,100%,455,Twin Turbo,0,100%,506,Magic Shell
15,2150454408,124679,6,CUT15,124025,6,CUT15,124618,6,CUT15,122193,6,CUT15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127125,2,-,126590,2,-,127128,2,-,124652,2,-,-1,None,-1,-1,-1,-1,None,127127,2,-,126592,2,-,127130,2,-,124654,2,-,-1,None,-1,-1,-1,-1,None,127129,2,-,126594,2,-,127132,2,-,124656,2,-,-1,None,-1,-1,-1,-1,None,127131,2,-,126596,2,-,127134,2,-,124658,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,2150956720,124685,7,Auriga,124031,7,Auriga,124624,7,Auriga,122199,7,Auriga,50000,250,300,300,80,15,5,9,5,5,9,3,9,127133,10,AP-Kanone,126598,9,Cañón AP,127136,9,Canon AP,124660,10,AP Cannon,0,Main cannon,300,0,87,6,Neutral,127143,17,Fragmentgeschütz,126607,14,Fragmentadora,127145,12,Fragmenteur,124670,13,Fragment Gun,1,Secondary cannon,250,2,87,6,Neutral,127160,17,Explosionsladung,126621,17,Ataque Explosivo,127157,17,Charge Explosive,124683,13,Blast Charge,2,Torpedo,300,2,80,6,Neutral,127177,11,Rumpframme,126638,17,Espolón de Casco,127174,7,Éperon,124696,9,Hull Ram,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5200,0,100%,496,Captain's Stripe,0,100%,464,Heavy Armor Deck,0,100%,414,"12"" Cannon"
17,2150956728,124692,6,Draco,124038,6,Draco,124631,6,Draco,122206,6,Draco,45000,240,125,300,100,15,10,10,10,8,11,11,10,127188,2,-,126655,2,-,127181,2,-,124705,2,-,-1,None,-1,-1,-1,-1,None,127190,13,Zusatzkanone,126657,17,Cañón Secundario,127183,13,Second Canon,124707,17,Secondary Cannon,1,Secondary cannon,300,0,80,6,Neutral,127203,12,Bohrtorpedo,126674,15,Torpedo Punzón,127196,14,Tête perceuse,124724,17,Piercing Torpedo,2,Torpedo,500,2,80,6,Neutral,127215,13,Draco-Kanone,126689,12,Cañón Draco,127210,12,Canon Draco,124741,13,Draco Cannon,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,6100,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
18,2150956736,124698,6,Hydra,124044,6,Hydra,124637,6,Hydra,122212,6,Hydra,200000,280,300,370,200,15,5,10,10,10,10,0,10,127228,13,Hydra-Kanone,126701,12,Cañón Hydra,127222,14,Lanceur Hydra,124754,15,Hydra Launcher,0,Main cannon,350,0,70,6,Neutral,127241,14,Hydra-Hilfsk.,126713,15,Subcañón Hydra,127236,15,Subcanon Hydra,124769,16,Hydra Subcannon,1,Secondary cannon,360,1,80,6,Neutral,127255,13,Hydra-Strahl,126728,11,Rayo Hydra,127251,12,Rayon Hydra,124785,10,Hydra Ray,1,Secondary cannon,370,2,80,6,Neutral,127268,13,Hydra-Werfer,126739,15,Lanzador Hydra,127263,12,Canon Hydra,124795,13,Hydra Cannon,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,11900,0,100%,496,Captain's Stripe,0,100%,432,Moon Cannon,6,Osman,434,Moon Torpedo
19,2150454420,124704,6,CUT19,124050,6,CUT19,124643,6,CUT19,122218,6,CUT19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127281,7,Kanone,126754,6,Cañón,127275,6,Canon,124808,8,Cannon,-1,None,-1,-1,-1,-1,None,127288,11,Feuerpfeil,126760,16,Flecha de Fuego,127281,14,Flêche de Feu,124816,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,127299,16,Houroku Torpedo,126776,8,Granada,127295,17,Torpille Houroku,124827,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,127315,2,-,126784,2,-,127312,2,-,124843,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,2150454432,124710,6,CUT20,124056,6,CUT20,124649,6,CUT20,122224,6,CUT20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127317,7,Kanone,126786,6,Cañón,127314,6,Canon,124845,8,Cannon,-1,None,-1,-1,-1,-1,None,127324,11,Feuerpfeil,126792,16,Flecha de Fuego,127320,14,Flêche de Feu,124853,11,Fire Arrow,-1,None,-1,-1,-1,-1,None,127335,16,Houroku Torpedo,126808,8,Granada,127334,17,Torpille Houroku,124864,16,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,127351,2,-,126816,2,-,127351,2,-,124880,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,2150454444,124716,14,Black Pirates,124062,14,Black Pirates,124655,14,Black Pirates,122230,14,Black Pirates,9000,40,25,10,50,8,25,10,10,10,10,20,10,127353,16,Schwarze Kanone,126818,12,Cañón Negro,127353,11,Canon Noir,124882,13,Black Cannon,0,Main cannon,120,0,70,6,Neutral,127369,16,Schwarzer Torp.,126830,14,Torpedo Negro,127364,15,Torpille Noire,124895,14,Black Torpedo,2,Torpedo,120,1,60,6,Neutral,127385,2,-,126844,2,-,127379,2,-,124909,2,-,-1,None,-1,-1,-1,-1,None,127387,2,-,126846,2,-,127381,2,-,124911,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,450,300,3,20%,402,Heavy Cannon,3,20%,440,Rogue Figure,-1,None,-1,None
22,2150454460,124730,14,Spell Pirates,124076,14,Spell Pirates,124669,14,Spell Pirates,122244,14,Spell Pirates,12000,100,70,220,50,8,15,9,9,9,9,9,10,127389,17,Schwarzer Kanone,126848,12,Cañón Negro,127383,11,Canon Noir,124913,13,Black Cannon,0,Main cannon,140,0,80,6,Neutral,127406,16,Schwarzer Torp.,126860,14,Torpedo Negro,127394,15,Torpille Noire,124926,14,Black Torpedo,2,Torpedo,200,1,40,6,Neutral,127422,2,-,126874,2,-,127409,2,-,124940,2,-,-1,None,-1,-1,-1,-1,None,127424,2,-,126876,2,-,127411,2,-,124942,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1030,600,0,100%,484,Pyro Bomb,-1,None,-1,None,-1,None,-1,None
23,2150454476,124744,11,Blackbeard,124090,11,Blackbeard,124683,11,Blackbeard,122258,11,Blackbeard,10000,50,40,10,50,10,10,10,10,10,10,10,10,127426,16,Schwarze Kanone,126878,12,Cañón Negro,127413,11,Canon Noir,124944,13,Black Cannon,0,Main cannon,115,0,75,6,Neutral,127442,2,-,126890,2,-,127424,2,-,124957,2,-,-1,None,-1,-1,-1,-1,None,127444,2,-,126892,2,-,127426,2,-,124959,2,-,-1,None,-1,-1,-1,-1,None,127446,2,-,126894,2,-,127428,2,-,124961,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,410,300,0,100%,496,Captain's Stripe,0,100%,480,Bomb,-1,None,-1,None
24,2150956744,124755,8,Recumen,124101,8,Recumen,124694,8,Recumen,122269,8,Recumen,100000,150,0,400,40,0,1,10,0,10,10,10,10,127448,13,Roter Strahl,126896,10,Rayo Rojo,127430,12,Rayon Rouge,124963,8,Red Ray,3,Special,400,0,-1,6,Neutral,127461,13,Roter Strahl,126906,10,Rayo Rojo,127442,12,Rayon Rouge,124971,8,Red Ray,-1,None,-1,-1,-1,-1,None,127474,13,Roter Strahl,126916,10,Rayo Rojo,127454,12,Rayon Rouge,124979,8,Red Ray,-1,None,-1,-1,-1,-1,None,127487,13,Roter Strahl,126926,10,Rayo Rojo,127466,12,Rayon Rouge,124987,8,Red Ray,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,2150956752,124763,8,Grendel,124109,8,Grendel,124702,8,Grendel,122277,8,Grendel,110000,300,100,250,70,10,1,0,10,5,5,5,5,127500,14,Grendel-Faust,126936,16,Puño de Grendel,127478,17,Poing de Grendel,124995,16,Fist of Grendel,3,Special,180,0,-1,6,Neutral,127514,12,Steinwerfer,126952,14,Lanzar Piedra,127495,14,Jet de Pierre,125011,14,Boulder Throw,3,Special,200,0,-1,6,Neutral,127526,7,Stampf,126966,7,Patear,127509,11,Pas Pesant,125025,6,Stomp,3,Special,400,0,-1,6,Neutral,127533,2,-,126973,2,-,127520,2,-,125031,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,4640,2700,0,100%,496,Captain's Stripe,0,100%,30,Grendel Wing,0,100%,493,Complete Kit
26,2150956760,124771,8,Bluheim,124117,8,Bluheim,124710,8,Bluheim,122285,8,Bluheim,100000,350,200,350,130,10,70,10,15,10,0,10,10,127535,12,Blaue Winde,126975,15,Vientos Azules,127522,12,Vents Bleus,125033,11,Blue Winds,3,Special,250,0,-1,6,Neutral,127547,13,Blauer Blitz,126990,10,Rayo Azul,127534,12,Éclair Bleu,125044,15,Blue Lightning,3,Special,300,0,-1,6,Neutral,127560,15,Phoenix-Strahl,127000,11,Rayo Fénix,127546,14,Rayon Phoenix,125059,12,Phoenix Ray,3,Special,450,0,-1,6,Neutral,127575,16,Göttliche Winde,127011,16,Vientos Divinos,127560,12,Vents Bleus,125071,11,Blue Winds,3,Special,200,0,-1,6,Neutral,0,0,0,0,0,0,17140,8100,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
27,2150956768,124779,8,Yeligar,124125,8,Yeligar,124718,8,Yeligar,122293,8,Yeligar,150000,400,100,330,80,5,2,10,10,10,10,0,10,127591,9,Voltigar,127027,9,Voltigar,127572,9,Voltigar,125082,9,Voltigar,3,Special,330,0,-1,6,Neutral,127600,16,Photonen-Ladung,127036,17,Ataque de Photon,127581,15,Attaque Photon,125091,14,Photon Charge,3,Special,300,0,-1,6,Neutral,127616,13,Donnerschlag,127053,17,Clamor de Trueno,127596,17,Coup de Tonnerre,125105,14,Thunder Crash,3,Special,500,0,-1,6,Neutral,127629,2,-,127070,2,-,127613,2,-,125119,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,19050,8700,0,100%,496,Captain's Stripe,0,100%,5,Thunder Cutlass,-1,None,-1,None
