Entry ID,[Filter],Party vigor,Magic EXP,Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],[EU enemy #0 name],Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],[EU enemy #1 name],Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],[EU enemy #2 name],Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],[EU enemy #3 name],Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],[EU enemy #4 name],Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],[EU enemy #5 name],Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],[EU enemy #6 name],Enemy #7 ID,[JP enemy #7 name],[US enemy #7 name],[EU enemy #7 name]
6,a035b_ep.enp,144,3,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
7,a035b_ep.enp,144,3,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
8,a035b_ep.enp,139,3,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
9,a035b_ep.enp,144,3,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
10,a035b_ep.enp,144,3,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
11,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
12,a035b_ep.enp,139,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
13,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
0,a099a_01ep.enp,22,1,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a099a_01ep.enp,22,1,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
2,a099a_01ep.enp,22,1,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None
3,a099a_01ep.enp,52,1,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
4,a099a_01ep.enp,52,1,29,エルモ,Looper,Looper,29,エルモ,Looper,Looper,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
5,a099a_01ep.enp,27,1,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
6,a099a_01ep.enp,12,1,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
7,a099a_01ep.enp,27,1,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
8,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
9,a099a_01ep.enp,27,1,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
10,a099a_01ep.enp,27,1,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
11,a099a_01ep.enp,22,1,3,マロッカ,Marocca,Marocca,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
12,a099a_01ep.enp,22,1,3,マロッカ,Marocca,Marocca,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
13,a099a_01ep.enp,32,1,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
14,a099a_01ep.enp,32,1,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
15,a099a_01ep.enp,27,1,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
16,a099a_01ep.enp,27,1,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
17,a099a_01ep.enp,22,1,4,アーアペプ,Grouder,Grouder,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
18,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None
19,a099a_01ep.enp,27,1,4,アーアペプ,Grouder,Grouder,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
20,a099a_01ep.enp,27,1,4,アーアペプ,Grouder,Grouder,29,エルモ,Looper,Looper,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
21,a099a_01ep.enp,22,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
22,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
23,a099a_01ep.enp,27,1,4,アーアペプ,Grouder,Grouder,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
24,a099a_01ep.enp,22,1,4,アーアペプ,Grouder,Grouder,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
25,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
26,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
27,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
28,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None
29,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,29,エルモ,Looper,Looper,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None
30,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,15,ヌール,Ghastling,Ghastling,15,ヌール,Ghastling,Ghastling,255,None,None,None,255,None,None,None,255,None,None,None
31,a099a_01ep.enp,12,1,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,3,マロッカ,Marocca,Marocca,29,エルモ,Looper,Looper,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
0,a099a_02ep.enp,44,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a099a_02ep.enp,44,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
2,a099a_02ep.enp,34,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
3,a099a_02ep.enp,29,1,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
4,a099a_02ep.enp,29,1,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
5,a099a_02ep.enp,24,1,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None
6,a099a_02ep.enp,44,1,18,セベスク,Thorkyn,Thorkyn,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
7,a099a_02ep.enp,44,1,18,セベスク,Thorkyn,Thorkyn,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None
8,a099a_02ep.enp,44,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
9,a099a_02ep.enp,34,1,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
10,a099a_02ep.enp,34,1,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None
11,a099a_02ep.enp,34,1,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
12,a099a_02ep.enp,44,1,4,アーアペプ,Grouder,Grouder,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
13,a099a_02ep.enp,44,1,4,アーアペプ,Grouder,Grouder,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
14,a099a_02ep.enp,34,1,4,アーアペプ,Grouder,Grouder,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
15,a099a_02ep.enp,24,1,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
16,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
17,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
18,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
19,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
20,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
21,a099a_02ep.enp,24,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None
22,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
23,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None
24,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None
25,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,3,マロッカ,Marocca,Marocca,255,None,None,None,255,None,None,None,255,None,None,None
26,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
27,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
28,a099a_02ep.enp,39,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,4,アーアペプ,Grouder,Grouder,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
29,a099a_02ep.enp,29,1,18,セベスク,Thorkyn,Thorkyn,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,4,アーアペプ,Grouder,Grouder,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
30,a099a_02ep.enp,52,1,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
31,a099a_02ep.enp,52,1,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,17,ツィツィ,Tsirat,Tsirat,255,None,None,None,255,None,None,None,255,None,None,None
0,a099a_03ep.enp,63,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a099a_03ep.enp,63,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,255,None,None,None,255,None,None,None
2,a099a_03ep.enp,73,2,96,ロッキ,Stonebeak,Stonebeak,96,ロッキ,Stonebeak,Stonebeak,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
3,a099a_03ep.enp,73,2,96,ロッキ,Stonebeak,Stonebeak,96,ロッキ,Stonebeak,Stonebeak,96,ロッキ,Stonebeak,Stonebeak,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
4,a099a_03ep.enp,88,2,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
5,a099a_03ep.enp,88,2,30,エルモック,Loopalon,Loopalon,30,エルモック,Loopalon,Loopalon,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
6,a099a_03ep.enp,58,2,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
7,a099a_03ep.enp,58,2,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
8,a099a_03ep.enp,29,2,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None
9,a099a_03ep.enp,68,2,13,アスフール,Azbeth,Azbeth,96,ロッキ,Stonebeak,Stonebeak,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
10,a099a_03ep.enp,58,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,96,ロッキ,Stonebeak,Stonebeak,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
11,a099a_03ep.enp,48,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,96,ロッキ,Stonebeak,Stonebeak,96,ロッキ,Stonebeak,Stonebeak,255,None,None,None,255,None,None,None
12,a099a_03ep.enp,73,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
13,a099a_03ep.enp,63,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None
14,a099a_03ep.enp,58,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None
15,a099a_03ep.enp,58,2,13,アスフール,Azbeth,Azbeth,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
16,a099a_03ep.enp,58,2,13,アスフール,Azbeth,Azbeth,13,アスフール,Azbeth,Azbeth,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
17,a099a_03ep.enp,78,2,96,ロッキ,Stonebeak,Stonebeak,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
18,a099a_03ep.enp,78,2,96,ロッキ,Stonebeak,Stonebeak,96,ロッキ,Stonebeak,Stonebeak,30,エルモック,Loopalon,Loopalon,30,エルモック,Loopalon,Loopalon,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
19,a099a_03ep.enp,68,2,96,ロッキ,Stonebeak,Stonebeak,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
20,a099a_03ep.enp,68,2,96,ロッキ,Stonebeak,Stonebeak,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,93,ヘベレル,Durel Beetle,Scarabée,255,None,None,None,255,None,None,None,255,None,None,None
21,a099a_03ep.enp,68,2,96,ロッキ,Stonebeak,Stonebeak,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,19,ユールマラー,Scorfly,Scorfly,255,None,None,None,255,None,None,None,255,None,None,None
