Entry ID,Padding #0,Message ID,[DE descr. pos.],[DE descr. size],DE descr. string,[ES descr. pos.],[ES descr. size],ES descr. string,[FR descr. pos.],[FR descr. size],FR descr. string,[GB descr. pos.],[GB descr. size],GB descr. string,Item #0 ID,[Item #0 name],Item #1 ID,[Item #1 name],Item #2 ID,[Item #2 name],Item #3 ID,[Item #3 name],Item #4 ID,[Item #4 name],Item #5 ID,[Item #5 name],Item #6 ID,[Item #6 name],Item #7 ID,[Item #7 name],Item #8 ID,[Item #8 name],Item #9 ID,[Item #9 name],Item #10 ID,[Item #10 name],Item #11 ID,[Item #11 name],Item #12 ID,[Item #12 name],Item #13 ID,[Item #13 name],Item #14 ID,[Item #14 name],Item #15 ID,[Item #15 name],Item #16 ID,[Item #16 name],Item #17 ID,[Item #17 name],Item #18 ID,[Item #18 name],Item #19 ID,[Item #19 name],Item #20 ID,[Item #20 name],Item #21 ID,[Item #21 name],Item #22 ID,[Item #22 name],Item #23 ID,[Item #23 name],Item #24 ID,[Item #24 name],Item #25 ID,[Item #25 name],Item #26 ID,[Item #26 name],Item #27 ID,[Item #27 name],Item #28 ID,[Item #28 name],Item #29 ID,[Item #29 name],Item #30 ID,[Item #30 name],Item #31 ID,[Item #31 name],Item #32 ID,[Item #32 name],Item #33 ID,[Item #33 name],Item #34 ID,[Item #34 name],Item #35 ID,[Item #35 name],Item #36 ID,[Item #36 name],Item #37 ID,[Item #37 name],Item #38 ID,[Item #38 name],Item #39 ID,[Item #39 name],Item #40 ID,[Item #40 name],Item #41 ID,[Item #41 name],Item #42 ID,[Item #42 name],Item #43 ID,[Item #43 name],Item #44 ID,[Item #44 name],Item #45 ID,[Item #45 name],Item #46 ID,[Item #46 name],Item #47 ID,[Item #47 name]
10,0,2150343844,68886,15,Roscoes Waffen,68087,16,Armas de Roscoe,68145,16,Armes de Roscoe,67101,17,Roscoe's Weapons,99,Ixa'takan Armor,100,Naval Uniform,161,Prophet's Sand,163,Moondust Ring,169,Thryllak's Scale,171,Burocca's Shell,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
11,0,2150343844,68901,15,Roscoes Waffen,68103,16,Armas de Roscoe,68161,16,Armes de Roscoe,67118,17,Roscoe's Weapons,31,Flutter Blade,51,Mining Arm,67,Valuan Pistol,113,Vengeance Armor,114,Swift Dress,196,Blue Rogue Patch,99,Ixa'takan Armor,100,Naval Uniform,161,Prophet's Sand,163,Moondust Ring,169,Thryllak's Scale,171,Burocca's Shell,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
12,0,2150343864,68916,14,Zauberhändler,68119,16,Mercader Enigma,68177,17,Marchand Étrange,67135,17,Mystery Merchant,220,Thermo Ring,221,Slayer Ring,269,Crystales Box,278,Sylenis Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
13,0,2150343884,68930,16,Waffenverteiler,68135,16,Agente de Armas,68194,9,Armurier,67152,17,Arms Distributor,23,Valuarang,49,Hook Hand,90,Valuan Armor,164,Lover's Ring,195,Mage's Bane,207,Gem of Purity,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
14,0,2150343904,68946,17,Objekteverteiler,68151,15,Agente Objetos,68203,16,Vendeuse objets,67169,17,Item Distributor,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
15,0,2150343924,68963,15,Quemals Waffen,68166,16,Armas de Quemal,68219,16,Armes de Quemal,67186,17,Quemal's Weapons,7,Nasr Cutlass,93,Nasrean Mail,94,Ceramic Armor,95,Agile Robe,191,Nomadic Veil,193,Sand Storm Ring,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,0,2150343944,68978,12,Valas Laden,68182,15,Tienda de Vala,68235,16,Magasin de Vala,67203,17,Vala's Item Shop,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
17,0,2150343964,68990,17,Daks Schiffteile,68197,14,Repuestos Dak,68251,16,"Dak, l'armateur",67220,17,Dak's Ship Parts,402,Heavy Cannon,410,"3"" Cannon",420,Light Torpedo,440,Rogue Figure,451,Turbo Kit,461,Steel Deck,481,Big Bomb,484,Pyro Bomb,490,Repair Kit,491,Deluxe Kit,497,Apa Wax,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
18,0,2150343864,69007,14,Zauberhändler,68211,16,Mercader Enigma,68267,17,Marchand Étrange,67237,17,Mystery Merchant,220,Thermo Ring,221,Slayer Ring,269,Crystales Box,278,Sylenis Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
19,0,2150343984,69021,17,Pucks Kriegladen,68227,15,Tienda de Puck,68284,15,Puck Artilleur,67254,16,Puck's War Shop,9,Hunter's Sword,22,Hunting Arc,96,Miner's Overalls,97,Fiber Robe,98,Golden Armor,175,Quetya Feather,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,0,2150344000,69038,15,Kiskis Objekte,68242,17,Objetos de Kiski,68299,15,Bazar de Kiski,67270,14,Kiski's Items,241,Sacres Crystal,242,Sacrum Crystal,244,Magic Droplet,249,Curia Crystal,250,Risan Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,0,2150344016,69053,14,Khazims Laden,68259,17,Tienda de Khazim,68314,16,Boutique Khazim,67284,15,Khazim's Store,408,Ancient Cannon,436,Wevl Cannon,428,Arcwhale Torpedo,447,Goddess Figure,454,Air Intake,477,Chandelier,483,Shredder Bomb,493,Complete Kit,502,Rudder Grease,503,Machine Oil,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
22,0,2150344032,69067,17,Ryu-kan Schmiede,68276,17,Forja de Ryu-kan,68330,17,Forge de Ryu-kan,67299,16,Ryu-kan's Forge,12,Windslicer,110,Captain's Cloak,111,Blessed Robe,112,Insulated Mail,192,Radiant Fur,194,Skull Cap,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
23,0,2150344032,69084,17,Ryu-kan Schmiede,68293,17,Forja de Ryu-kan,68347,17,Forge de Ryu-kan,67315,16,Ryu-kan's Forge,15,Soul Sword,28,Moon Wing,52,Dragon Arm,59,Stoneblade,70,Gilder Special,115,Gaia Cape,116,Robe of Faith,117,Plated Armor,118,Robe of Truth,203,Crescent Amulet,206,Critical Vision,208,Shard of Purity,12,Windslicer,110,Captain's Cloak,111,Blessed Robe,112,Insulated Mail,192,Radiant Fur,194,Skull Cap,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
24,0,2150344048,69101,13,Osmans Laden,68310,16,Tienda de Osman,68364,17,Boutique d'Osman,67331,14,Osman's Store,267,Pyri Box,269,Crystales Box,271,Wevles Box,273,Electri Box,275,Sacri Box,278,Sylenis Box,279,Panika Box,281,Slipara Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,0,2150344048,69114,13,Osmans Laden,68326,16,Tienda de Osman,68381,17,Boutique d'Osman,67345,14,Osman's Store,267,Pyri Box,268,Pyrum Box,269,Crystales Box,270,Crystalen Box,271,Wevles Box,272,Wevlen Box,273,Electri Box,274,Electrum Box,275,Sacri Box,276,Sacrum Box,278,Sylenis Box,279,Panika Box,280,Driln Box,281,Slipara Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
26,0,2150344064,69127,16,Ilchymis' Labor,68342,17,Lab. de Ilchymis,68398,16,Labo d'Ilchymis,67359,14,Ilchymis' Lab,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
27,0,2150344064,69143,16,Ilchymis' Labor,68359,17,Lab. de Ilchymis,68414,16,Labo d'Ilchymis,67373,14,Ilchymis' Lab,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,260,Paranta Seed,261,Icyl Seed,262,Zaal Seed,264,Sylph Seed,265,Vidal Seed,266,Magus Seed,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
28,0,2150344080,69159,14,Alazs' Waffen,68376,14,Armas de Alaz,68430,13,Armes d'Alaz,67387,15,Alaz's Weapons,6,Iron-cutter,65,Nasr Pistol,101,Nasr Uniform,102,Caravan Armor,103,Holy Robe,219,Immunity Ring,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
29,0,2150344096,69173,15,Karahs Objekte,68390,17,Objetos de Karah,68443,15,Bazar de Karah,67402,14,Karah's Items,241,Sacres Crystal,242,Sacrum Crystal,244,Magic Droplet,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
30,0,2150344112,69188,17,Rals Schiffteile,68407,14,Repuestos Ral,68458,16,"Ral, l'armateur",67416,17,Ral's Ship Parts,406,Advanced Cannon,416,"10"" Cannon Coil",424,Valuan Torpedo,442,Pyrynn Figure,463,Compound Deck,471,Enhanced Kitchen,491,Deluxe Kit,494,Gear Grease,497,Apa Wax,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
31,0,2150344132,69205,14,Bazras Waffen,68421,15,Armas de Bazra,68474,15,Armes de Bazra,67433,16,Bazra's Weapons,197,Assassin Ring,198,Stealth Ring,199,Dhabu Hide,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
32,0,2150344132,69219,15,Bazras Objekte,68436,17,Objetos de Bazra,68489,15,Bazar de Bazra,67449,16,Bazra's Weapons,240,Sacri Crystal,245,Magic Dew,249,Curia Crystal,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
33,0,2150343864,69234,14,Zauberhändler,68453,16,Mercader Enigma,68504,17,Marchand Étrange,67465,17,Mystery Merchant,220,Thermo Ring,221,Slayer Ring,269,Crystales Box,278,Sylenis Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
