Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[JP EC1 Name],[EU EC1 Name],EC2 ID,[JP EC2 Name],[EU EC2 Name],EC3 ID,[JP EC3 Name],[EU EC3 Name],EC4 ID,[JP EC4 Name],[EU EC4 Name],EC5 ID,[JP EC5 Name],[EU EC5 Name],EC6 ID,[JP EC6 Name],[EU EC6 Name],EC7 ID,[JP EC7 Name],[EU EC7 Name],EC8 ID,[JP EC8 Name],[EU EC8 Name]
12,A099A_01EP.BIN,22,1,3,マロッカ,Marocca,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
13,A099A_01EP.BIN,32,1,3,マロッカ,Marocca,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
14,A099A_01EP.BIN,32,1,3,マロッカ,Marocca,3,マロッカ,Marocca,29,エルモ,Looper,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None
15,A099A_01EP.BIN,27,1,3,マロッカ,Marocca,29,エルモ,Looper,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,A099A_01EP.BIN,27,1,3,マロッカ,Marocca,29,エルモ,Looper,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
17,A099A_01EP.BIN,22,1,4,アーアペプ,Grouder,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None
19,A099A_01EP.BIN,27,1,4,アーアペプ,Grouder,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,A099A_01EP.BIN,27,1,4,アーアペプ,Grouder,29,エルモ,Looper,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
21,A099A_01EP.BIN,22,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
22,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,A099A_01EP.BIN,27,1,4,アーアペプ,Grouder,29,エルモ,Looper,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
24,A099A_01EP.BIN,22,1,4,アーアペプ,Grouder,29,エルモ,Looper,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
25,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
26,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
27,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
28,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,3,マロッカ,Marocca,3,マロッカ,Marocca,29,エルモ,Looper,29,エルモ,Looper,255,None,None,255,None,None,255,None,None
29,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,29,エルモ,Looper,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None
30,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,3,マロッカ,Marocca,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None
31,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,3,マロッカ,Marocca,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None
0,A099A_02EP.BIN,44,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_02EP.BIN,44,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,18,セベスク,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,A099A_02EP.BIN,34,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,18,セベスク,Thorkryn,18,セベスク,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None
3,A099A_02EP.BIN,29,1,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,A099A_02EP.BIN,29,1,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,A099A_02EP.BIN,24,1,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None
6,A099A_02EP.BIN,44,1,18,セベスク,Thorkryn,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
7,A099A_02EP.BIN,44,1,18,セベスク,Thorkryn,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None
8,A099A_02EP.BIN,44,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
9,A099A_02EP.BIN,34,1,19,ユールマラー,Scorfly,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,A099A_02EP.BIN,34,1,19,ユールマラー,Scorfly,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None
11,A099A_02EP.BIN,34,1,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
12,A099A_02EP.BIN,44,1,4,アーアペプ,Grouder,18,セベスク,Thorkryn,18,セベスク,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
13,A099A_02EP.BIN,44,1,4,アーアペプ,Grouder,18,セベスク,Thorkryn,18,セベスク,Thorkryn,18,セベスク,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None
14,A099A_02EP.BIN,34,1,4,アーアペプ,Grouder,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
15,A099A_02EP.BIN,24,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
16,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
17,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
19,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
20,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
21,A099A_02EP.BIN,24,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None
22,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None
24,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None
25,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None
26,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
27,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
28,A099A_02EP.BIN,39,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,4,アーアペプ,Grouder,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
29,A099A_02EP.BIN,29,1,18,セベスク,Thorkryn,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
30,A099A_02EP.BIN,52,1,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
31,A099A_02EP.BIN,52,1,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,17,ツィツィ,Tsirat,255,None,None,255,None,None,255,None,None
0,A099A_03EP.BIN,63,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_03EP.BIN,63,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,255,None,None,255,None,None
2,A099A_03EP.BIN,73,2,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,A099A_03EP.BIN,73,2,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,A099A_03EP.BIN,88,2,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,A099A_03EP.BIN,88,2,30,エルモック,Loopalon,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,A099A_03EP.BIN,58,2,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,A099A_03EP.BIN,58,2,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None
8,A099A_03EP.BIN,29,2,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None
9,A099A_03EP.BIN,68,2,13,アスフール,Azbeth,96,ロッキ,Stonebeak,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,A099A_03EP.BIN,58,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonebeak,255,None,None,255,None,None,255,None,None,255,None,None
11,A099A_03EP.BIN,48,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,255,None,None,255,None,None
12,A099A_03EP.BIN,73,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
13,A099A_03EP.BIN,63,2,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,13,アスフール,Azbeth,30,エルモック,Loopalon,255,None,None,255,None,None
14,A099A_03EP.BIN,58,2,13,アスフール,Azbeth,13,アスフール,Azbeth,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None
15,A099A_03EP.BIN,58,2,13,アスフール,Azbeth,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,A099A_03EP.BIN,58,2,13,アスフール,Azbeth,13,アスフール,Azbeth,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None
17,A099A_03EP.BIN,78,2,96,ロッキ,Stonebeak,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,A099A_03EP.BIN,78,2,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
19,A099A_03EP.BIN,68,2,96,ロッキ,Stonebeak,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,A099A_03EP.BIN,68,2,96,ロッキ,Stonebeak,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None
21,A099A_03EP.BIN,68,2,96,ロッキ,Stonebeak,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None
22,A099A_03EP.BIN,68,2,30,エルモック,Loopalon,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,A099A_03EP.BIN,68,2,30,エルモック,Loopalon,30,エルモック,Loopalon,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None
24,A099A_03EP.BIN,68,2,30,エルモック,Loopalon,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
25,A099A_03EP.BIN,58,2,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None
26,A099A_03EP.BIN,68,2,13,アスフール,Azbeth,96,ロッキ,Stonebeak,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
27,A099A_03EP.BIN,68,2,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonebeak,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
28,A099A_03EP.BIN,63,2,13,アスフール,Azbeth,96,ロッキ,Stonebeak,93,ヘベレル,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
29,A099A_03EP.BIN,63,2,13,アスフール,Azbeth,13,アスフール,Azbeth,96,ロッキ,Stonebeak,96,ロッキ,Stonebeak,93,ヘベレル,Scarabée,93,ヘベレル,Scarabée,255,None,None,255,None,None
30,A099A_03EP.BIN,58,2,13,アスフール,Azbeth,96,ロッキ,Stonebeak,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
31,A099A_03EP.BIN,63,2,30,エルモック,Loopalon,93,ヘベレル,Scarabée,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,19,ユールマラー,Scorfly,255,None,None,255,None,None
0,A099A_04EP.BIN,75,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_04EP.BIN,75,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None,255,None,None,255,None,None
2,A099A_04EP.BIN,70,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None,255,None,None
3,A099A_04EP.BIN,65,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None
4,A099A_04EP.BIN,60,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None
5,A099A_04EP.BIN,80,2,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,A099A_04EP.BIN,75,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None
7,A099A_04EP.BIN,80,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,255,None,None
8,A099A_04EP.BIN,80,2,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
9,A099A_04EP.BIN,70,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None,255,None,None
10,A099A_04EP.BIN,80,2,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None,255,None,None,255,None,None
11,A099A_04EP.BIN,70,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,30,エルモック,Loopalon,30,エルモック,Loopalon,30,エルモック,Loopalon,255,None,None
0,A099A_05EP.BIN,75,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_05EP.BIN,70,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None,255,None,None
2,A099A_05EP.BIN,65,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,255,None,None,255,None,None
3,A099A_05EP.BIN,84,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None
4,A099A_05EP.BIN,84,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,41,エルモンテ,Elooper,255,None,None
5,A099A_05EP.BIN,84,2,64,デモンヌール,Graver,64,デモンヌール,Graver,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
6,A099A_05EP.BIN,79,2,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,64,デモンヌール,Graver,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None
7,A099A_05EP.BIN,84,2,64,デモンヌール,Graver,64,デモンヌール,Graver,41,エルモンテ,Elooper,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None
8,A099A_05EP.BIN,104,2,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,A099A_05EP.BIN,104,2,41,エルモンテ,Elooper,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,A099A_05EP.BIN,84,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
11,A099A_05EP.BIN,84,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,255,None,None,255,None,None,255,None,None
12,A099A_05EP.BIN,74,2,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
13,A099A_05EP.BIN,74,2,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,255,None,None,255,None,None,255,None,None,255,None,None
14,A099A_05EP.BIN,79,2,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,255,None,None,255,None,None,255,None,None
15,A099A_05EP.BIN,79,2,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,255,None,None
16,A099A_05EP.BIN,84,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None
17,A099A_05EP.BIN,84,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
18,A099A_05EP.BIN,74,2,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
19,A099A_05EP.BIN,74,2,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
20,A099A_05EP.BIN,79,2,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,41,エルモンテ,Elooper,255,None,None
21,A099A_05EP.BIN,79,2,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None
22,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,255,None,None,255,None,None,255,None,None,255,None,None
24,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,255,None,None,255,None,None,255,None,None
25,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,41,エルモンテ,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
26,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,41,エルモンテ,Elooper,41,エルモンテ,Elooper,255,None,None,255,None,None
27,A099A_05EP.BIN,79,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,36,ソピローテ,Pinalisk,36,ソピローテ,Pinalisk,41,エルモンテ,Elooper,255,None,None,255,None,None
28,A099A_05EP.BIN,84,2,12,ギジェリガー,Varkris,12,ギジェリガー,Varkris,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,255,None,None,255,None,None
29,A099A_05EP.BIN,74,2,36,ソピローテ,Pinalisk,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,90,キュキュ,Tsorok,255,None,None,255,None,None
